country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,axfin_p,axfin_r,social_p,social_r
Afghanistan,1517.0162662229,41128771.0,,0.26616,363.674087113049,0.0068000000000000005,0.0178,0.11107429316985593,0.04316252404515953
Africa Eastern and Southern,3553.91337005893,720839314.0,,0.378245925253433,1622.39171959406,,,,
Africa Western and Central,4063.85769053894,490330870.0,,0.490473845486314,1790.34880033979,,,,
Albania,15501.6629314635,2775634.0,0.084,0.63799,6802.80451885113,0.0538,0.125,0.24388830493481292,0.1680056536478622
Algeria,11187.382302721,44903225.0,0.094,0.74772,4273.92218311515,0.09390000000000001,0.2046,,
Angola,5906.11567677033,35588987.0,0.038,0.68081,2998.50115810921,0.0364,0.2231,0.12690494714243264,0.14424343376260376
Antigua and Barbuda,21457.9378904139,93763.0,0.0103,0.24346,18745.1735087796,0.153,0.153,,
Arab World,14324.3965711509,464684914.0,,0.595574706520255,7655.84840197887,0.0596,0.13390000000000002,,
Argentina,18087.196261682242,46234830.0,0.051,0.9234699999999999,13686.0086737317,0.052000000000000005,0.1505,0.24742378758801228,0.16599390393684182
Armenia,16041.8297023795,2780469.0,0.094,0.63573,7014.20659172274,0.034300000000000004,0.0704,0.7505426704999499,0.2928660209784904
Aruba,38866.3334861967,106445.0,,0.44052,29342.1007300268,,,,
Australia,50997.5464327292,25978935.0,0.073,0.86488,64491.4298860631,0.5726,0.7709,,
Austria,56280.5083306017,9042528.0,0.079,0.59256,52131.4466586387,0.6746,0.6614,,
Azerbaijan,15044.9440415466,10175016.0,0.10800000000000001,0.5717,7736.70123206975,0.008199999999999999,0.0672,0.028608650816369104,0.015117028000045026
"Bahamas, The",34197.1297928152,409984.0,,0.83492,31458.300811739,,,,
Bahrain,51854.7163705359,1472233.0,,0.89743,30152.0346838601,0.2878,0.32,,
Bangladesh,6263.00464871693,171186372.0,0.086,0.39710999999999996,2688.30395035828,0.0409,0.0729,0.05664547676194784,0.04017887561121464
Barbados,15106.7751747395,281635.0,,0.31324,20018.5151513054,,,,
Belarus,19132.2703879485,9208701.0,0.10300000000000001,0.80326,7904.85624285517,0.1344,0.2802,0.6063687266613399,0.41816484008869803
Belgium,53155.9110104316,11669446.0,0.094,0.98153,49582.8253649187,0.46159999999999995,0.6414,,
Belize,9697.9330494303,405272.0,0.0321,0.46396,6968.36158480889,0.1201,0.2879,0.4203675230871665,0.11287637559654637
Benin,3435.17182729466,13352864.0,0.07,0.49534,1303.22201358944,0.0528,0.0506,0.04725879801790591,0.07452986564780328
Bermuda,81165.6509443183,63532.0,,1.0,118845.621104325,,,,
Bhutan,10907.8567096084,782455.0,0.08800000000000001,0.43686,3266.36277371286,0.1594,0.2697,0.024656816466764264,0.018314411694763045
Bolivia,8201.18379886392,12224110.0,0.053,0.7082999999999999,3523.27373305196,0.1059,0.26239999999999997,0.4124714559656775,0.29549336472949433
Bosnia and Herzegovina,16703.4564245907,3233526.0,0.075,0.49841,7585.37500171521,0.0989,0.24489999999999998,0.24933294360996652,0.15976138888042862
Botswana,15518.0298701635,2630296.0,0.039,0.72224,7737.65468112589,0.0971,0.223,,
Brazil,15093.4651170661,215313498.0,0.033,0.87555,8917.67389796927,0.18239999999999998,0.2587,0.27894122124914106,0.20066303296118848
Brunei Darussalam,58669.9007681841,449002.0,,0.78854,37152.4662378669,,,,
Bulgaria,26823.0207707774,6465097.0,0.061,0.76363,13772.476794451,0.0975,0.3201,0.5143870971115059,0.23240492552502592
Burkina Faso,2156.12552817895,22673762.0,0.063,0.31877,832.884265674075,0.051,0.0913,0.04075583507449282,0.10994711303578442
Burundi,708.178317277191,12889576.0,0.069,0.14417,238.44187565548,0.0161,0.0559,,
Cabo Verde,7692.37539122176,593149.0,0.057,0.67545,3902.58904940059,,,0.11215629400699986,0.088506357117947
Cambodia,4530.53167522922,16767842.0,,0.25114000000000003,1786.56081858524,0.024700000000000003,0.0946,0.0411389340536264,0.03579849988075774
Cameroon,3733.23271967824,27914536.0,0.045,0.58733,1588.47872338696,0.054900000000000004,0.1069,0.005311106604712887,0.0063742848146832705
Canada,48954.8053508794,38929902.0,0.076,0.8175199999999999,54966.4888361088,0.5163,0.7209,,
Caribbean small states,17831.9047919113,7505478.0,,0.51983916724158,12382.3753760863,,,,
Cayman Islands,69400.6666612381,68706.0,,1.0,88475.6008787475,,,,
Central African Republic,819.192343077178,5579144.0,0.055999999999999994,0.43119999999999997,427.058096252078,0.014199999999999999,0.0862,,
Central Europe and the Baltics,35580.5132883779,100648571.0,,0.628148502585695,19337.8890310738,,,,
Chad,1412.67071848127,17723315.0,0.071,0.24062999999999998,716.804381236651,0.0542,0.0909,0.025863878358886223,0.03014438203536612
Chile,25886.1213557859,19603733.0,0.055,0.87912,15355.5064965406,0.2736,0.33549999999999996,0.22626927605024721,0.1802168219194809
China,18187.9787370537,1412175000.0,0.07200000000000001,0.6356,12720.2156397612,0.3406,0.5178,0.3899989249251001,0.25550280586571444
Colombia,15651.5820579216,51874024.0,0.036000000000000004,0.8205,6630.28272608054,0.03,0.1699,0.15743303176480322,0.1245414676366637
