country,_dw_tot_curr
Albania,609586842.8607558
Algeria,3678934318.2297926
Angola,1143509952.7839062
Antigua and Barbuda,463182118.67139184
Argentina,5713627854.624459
Armenia,430617465.2167273
Australia,3417213352.554758
Austria,1368941178.2027774
Azerbaijan,669378078.0090241
Bangladesh,34029526999.84768
Belarus,894841547.9471945
Belgium,467160778.0098225
Belize,148836177.08334997
Benin,219705178.8550741
Bhutan,259974866.65927044
Bolivia,836348243.0498942
Bosnia and Herzegovina,512452806.4050126
Botswana,169405751.20126086
Brazil,8755603064.57549
Bulgaria,535135278.0885905
Burkina Faso,152693085.0270022
Burundi,57391932.27516993
Cameroon,641169567.5153309
Canada,2353975933.2034206
Central African Republic,42644168.81813112
Chad,118969909.69619927
Chile,7903333898.017073
China,101727451399.18459
Colombia,16968831467.556152
Comoros,11761475.373173155
"Congo, Dem. Rep.",1759137104.0874286
"Congo, Rep.",238218886.28247976
Costa Rica,759457500.8850968
Cote d'Ivoire,560529828.5933486
Croatia,959604981.2465639
Cyprus,163186692.49018574
Denmark,20596278.370411776
Dominica,55828199.4650264
Dominican Republic,3450881173.236436
Ecuador,5259473697.109699
"Egypt, Arab Rep.",1895459791.1243
El Salvador,2057291413.126884
Estonia,185612848.1527649
Ethiopia,1317523681.428376
Fiji,441373769.97412586
Finland,
France,6321086828.641882
Gabon,519630865.60373056
"Gambia, The",16434829.263806464
Georgia,855450148.9483298
Germany,5120961563.978787
Ghana,514768621.70915306
Greece,8878731763.70081
Guatemala,3592932451.155456
Guinea,247610479.84062266
Guinea-Bissau,7230993.769764604
Guyana,514205917.6747647
Haiti,3719229789.4249105
Honduras,3133897227.2551575
Hungary,3745161757.4131875
Iceland,53597404.110182874
India,40973792536.4424
Indonesia,15326559608.094261
"Iran, Islamic Rep.",15911440959.601692
Iraq,3672054724.241664
Ireland,509566156.5352392
Israel,777294798.9210442
Italy,18271569775.00641
Jamaica,681457833.5063229
Japan,40221422023.92615
Jordan,280333294.7638245
Kazakhstan,2305568990.974212
Kenya,1048798404.7251574
Kiribati,20203.74958110666
"Korea, Rep.",16319619639.934958
Kyrgyz Republic,564163101.3369076
Lao PDR,2805647086.361437
Latvia,568882143.0598406
Lebanon,329889225.71630454
Lesotho,70022358.96234855
Liberia,39093103.66141535
Lithuania,429415909.34078604
Luxembourg,36332486.33217351
Madagascar,2563336776.225663
Malawi,445187327.996038
Malaysia,4079965034.7115397
Maldives,267877.93587563856
Mali,293937031.4140006
Malta,50827774.34243673
Mauritania,330590917.4816636
Mauritius,215541198.49051255
Mexico,6186451874.164004
Moldova,369207644.72568476
Mongolia,244606099.747409
Montenegro,52190222.17834114
Morocco,1422997481.1262822
Mozambique,336001672.4810856
Myanmar,5177000603.319633
Namibia,247737861.26531214
Nepal,1870384282.2458355
Netherlands,1018340089.2183537
Nicaragua,637080800.36569
Niger,369971957.83317906
Nigeria,2392278194.4626675
Norway,7811051.420720086
Pakistan,11073070380.97128
Panama,548893962.9502285
Papua New Guinea,619992413.9332073
Paraguay,284461572.1921554
Peru,16793480125.310993
Philippines,55016103571.820496
Poland,1713965089.989282
Portugal,188063037.20652783
Romania,3429725247.535321
Russian Federation,15662459358.607838
Rwanda,183151458.91534552
Senegal,127136898.81226097
Serbia,2351452654.7664666
Seychelles,0.0
Sierra Leone,112232196.67503196
Slovak Republic,742108594.6959947
Slovenia,572349800.8292676
Solomon Islands,92983337.07842311
South Africa,3280984155.2063284
Spain,1253920416.872965
Sri Lanka,661389004.9816872
St. Lucia,83611458.24246001
St. Vincent and the Grenadines,32611584.465918344
Sudan,536012164.79040676
Sweden,64087532.536531866
Switzerland,1011620073.1856052
Tajikistan,878740267.3986845
Tanzania,762432524.6660366
Thailand,11963223834.554125
Timor-Leste,62121127.33323005
Togo,99857383.82639416
Tonga,37330573.631621085
Trinidad and Tobago,705017429.3344028
Tunisia,624287122.6530322
Uganda,412674744.11644214
Ukraine,3223371320.682427
United Arab Emirates,3260375851.347692
United Kingdom,2211110411.049081
United States,74404672817.48514
Uruguay,72721710.4156887
Uzbekistan,1729957085.443436
Vanuatu,88891816.09410542
West Bank and Gaza,55300173.326113075
Zambia,317704232.57015586
Zimbabwe,17307532.36248889
Syrian Arab Republic,618928535.8025702
