country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier_Gamma,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,15501.662931463497,2775634.0,0.084,0.63799,6802.80451885113,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.18628171635596602,1.118347494599629,148.5653247847024,412362966.6934627,1.3274921457089058e-06,3.6846323343625933,80.73063990655592,0.11076000000000001,77508.31465731749,148.5653247847024,166.14765875735208,166.14765875735208,148.5653247847024,1.3274921457089058e-06,0.004684841967579017,1.0,80.73063990655592,84.42823037716244,80.73063990655592,418330.7453626871,3.3937034201181033,0.0,0.19425818390525226,2.105999999999999,2.105999999999999,174.3255032148094,483863793.79013425,0.011245600164675462,0.8522294331291016,0.009583831453537901
Algeria,11187.382302721002,44903225.0,0.094,0.74772,4273.92218311515,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2889104503291931,1.0,0.14897796598878915,1.216243465076183,46.15480223908877,2072499469.7723067,8.723239443274173e-07,39.1701583450215,59.27103610653327,0.18245999999999998,55936.91151360501,46.15480223908877,56.135476605175306,56.135476605175306,46.15480223908877,8.723239443274173e-07,0.00885501592764815,1.0,59.27103610653326,60.67863769277635,59.27103610653327,193613.32014770957,3.388228573864774,2.4000000000000004,0.15929025045967896,0.9394682000000001,0.8492792527999999,70.23505480681716,3153780468.8778424,0.006278059773619656,0.6571476645962393,0.004125612318429752
Angola,5906.11567677033,35588987.0,0.038,0.68081,2998.50115810921,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.4323973905251145,1.0,0.16518511127103716,1.351790414097182,8.231148216864566,292938226.8850662,5.363284165552156e-07,19.087385044514154,2.253225126744582,0.18575999999999998,29530.578383851644,8.231148216864565,11.126787256570633,11.126787256570633,8.231148216864566,5.363284165552156e-07,0.0015207822274709481,1.0000000000000002,2.2532251267445824,2.253225126744582,2.253225126744582,68294.99675747106,3.398591931227176,0.0,0.15935173643856948,3.0999999999999996,3.0999999999999996,16.563747347480042,589486989.0207517,0.0028045077770196465,0.49693756154260754,0.001393665256039422
Antigua and Barbuda,21457.937890413898,93763.0,0.0103,0.24346,18745.1735087796,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.4005106416086055,1.0,0.13901490701349908,1.3216681498414256,2114.9902583369085,198307831.5924436,1.7260119596893513e-05,1.6183605937635264,98.33993537342556,0.15299999999999997,107289.6894520695,2114.990258336909,2795.315261668781,2795.3152616687807,2114.9902583369085,1.7260119596893513e-05,0.16509649839485743,1.0,98.33993537342556,102.41133224829548,98.33993537342556,267882.244080089,3.2423406002502406,1.6,0.16390495997237423,1.1779571109442393,1.1024406459462304,3691.8864015644654,346162344.669889,0.17205224567332614,0.5728752264535184,0.09856446920194309
Argentina,18087.196261682235,46234830.0,0.051,0.92347,13686.0086737317,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2695495148851759,1.0,0.1846944780030515,1.1979538860660952,78.4923565814682,3629080762.8435636,6.008926583005854e-07,27.782169904775657,24.796767830834433,0.1308,90435.98130841117,78.4923565814682,94.03022359325549,94.03022359325549,78.4923565814682,6.008926583005854e-07,0.003032415214146206,1.0,24.796767830834433,24.796767830834433,24.796767830834433,335507.86150342564,3.3959211142176486,3.2000000000000006,0.19535988066707588,2.2908930499999993,1.9976587395999994,99.45534553517763,4598300993.410196,0.00549866016248599,0.7892220992154236,0.004339664116309415
Armenia,16041.829702379504,2780469.0,0.094,0.63573,7014.20659172274,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3666957212217474,1.0,0.34258828603350755,1.289724411382942,112.96009911126205,314082053.81579167,1.0708297208689247e-06,2.9774088431546986,19.91147571518823,0.06318000000000001,80209.14851189753,112.96009911126205,145.6873973360312,145.6873973360312,112.96009911126205,1.0708297208689247e-06,0.011016746984863629,1.0,19.911475715188228,19.954925160416053,19.91147571518823,218734.8907280912,3.3856735196408754,1.6000000000000003,0.3907193508827823,1.25,1.17,148.04568939010105,411636449.9328049,0.009228728401732207,0.7630083630034759,0.007041596950409375
Australia,50997.54643272919,25978935.0,0.073,0.86488,64491.4298860631,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2736023908600951,1.0,0.23463841000000005,1.201782492156731,101.84817153483056,2645907028.172213,1.6240586982418493e-07,4.219131535780962,19.48784116645509,0.7312400000000001,254987.73216364594,101.84817153483056,122.39934940873488,122.39934940873489,101.84817153483056,1.6240586982418493e-07,0.0012700219247559013,0.9999999999999998,19.48784116645509,19.48784116645509,19.48784116645509,931964.5612820407,3.398306062937593,4.0,0.289524,2.854399999999999,2.397696,127.3126222494309,3307446338.0975194,0.0024964460283862645,0.7999848698056788,0.00199711905099549
Austria,56280.50833060169,9042528.0,0.079,0.59256,52131.4466586387,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.23227851820729,1.0,0.4830197903699999,1.1627453167024924,123.87908064766026,1120180055.370726,1.5680436902026875e-07,1.417907897388113,68.31531259431439,0.66404,281402.54165300843,123.87908064766026,144.03982086047733,144.03982086047733,123.87908064766026,1.5680436902026875e-07,0.0021940994067726942,1.0,68.31531259431438,70.94953950522101,68.31531259431439,1211487.5875085408,3.397133253798616,4.0,0.49636875599999986,1.528,1.2835199999999998,142.3758261874492,1287437394.8231428,0.0025297537355403465,0.8700850696702086,0.002201100955236093
Azerbaijan,15044.9440415466,10175016.0,0.108,0.5717,7736.70123206975,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.5982212831852317,1.0,0.022656923264207995,1.5084382783151649,39.52444795427985,402161890.3259647,4.882312211362709e-07,4.967760486761094,20.71837843984011,0.055399999999999984,75224.72020773297,39.52444795427985,59.62019022351123,59.62019022351123,39.52444795427985,4.882312211362709e-07,0.006441405678942863,1.0,20.71837843984011,20.738004765364945,20.71837843984011,125747.31511924592,3.3914466946680433,0.0,0.02335535256330981,1.2499999999999998,1.2499999999999998,61.29907849400479,623719104.4617547,0.0040743972410085035,0.6447804587820263,0.002627091722317685
Bangladesh,6263.00464871693,171186372.0,0.086,0.3971099999999999,2688.30395035828,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2897089076246591,1.0,0.048609803310177585,1.2169977389506987,136.58033012702964,23380691201.008507,5.393776678300837e-06,923.3410609365313,65.95945929842398,0.06649999999999999,31315.02324358464,136.58033012702964,166.21795294973506,166.21795294973506,136.58033012702964,5.393776678300837e-06,0.01733380638164783,1.0000000000000002,65.95945929842398,75.17783297759898,65.95945929842398,108091.33726794396,3.3776991960353997,3.2,0.05012219584136117,2.322450365635921,2.025176718834523,181.90362916366124,31139422330.16056,0.0290441472370497,0.7508389511247543,0.021807477047779328
Belarus,19132.2703879485,9208701.0,0.103,0.80326,7904.85624285517,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3864445367538237,1.0,0.4640681004056802,1.308380406754342,68.45027863843215,630338149.3480088,5.000119599906993e-07,4.604460635978312,42.63096634815974,0.25104000000000004,95661.35193974251,68.45027863843215,89.55900340739991,89.55900340739991,68.45027863843215,5.000119599906993e-07,0.005088617633930994,0.9999999999999998,42.63096634815974,42.71291873395495,42.63096634815973,247542.25468758936,3.393321946203818,3.2000000000000006,0.48090961740322646,1.8799999999999997,1.6393599999999995,90.03813181507016,829134234.4835684,0.004706087149582914,0.7602365493213761,0.003577739455404585
Belgium,53155.91101043156,11669446.0,0.094,0.98153,49582.8253649187,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2166915174374667,1.0,0.4883456199899999,1.1480208379739567,31.481674659293446,367373702.42619324,4.2599959076841434e-08,0.49711792204941097,11.82654798223183,0.6054399999999999,265779.55505215784,31.481674659293446,36.14161852318554,36.14161852318554,31.481674659293446,4.2599959076841434e-08,0.00045875789873799734,1.0,11.82654798223183,11.82654798223183,11.82654798223183,1226534.1910712174,3.3993855736493783,0.0,0.5127967019999999,1.5399999999999996,1.5399999999999996,35.52836293045583,414596312.685356,0.0006683802846212828,0.8860997823321194,0.0005922516247179987
Belize,9697.9330494303,405272.0,0.0321,0.46396,6968.36158480889,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.9615481265045698,1.0,0.15099820343099518,1.8516600728709784,133.9507633089827,54286493.74775802,4.7442351042355985e-06,1.9227056491637695,19.63180457711239,0.25434,48489.6652471515,133.95076330898266,248.03128014983403,248.03128014983403,133.9507633089827,4.7442351042355985e-06,0.04909535293183178,1.0,19.63180457711239,19.63180457711239,19.63180457711239,50428.7449692421,3.3458980697483764,0.0,0.1998086050946703,1.542047829611466,1.542047829611466,308.2913995756939,124941872.08884062,0.03178939244108355,0.43449399981102665,0.013812300273288808
Benin,3435.17182729466,13352864.0,0.07,0.49534,1303.22201358944,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3302533219458435,1.0,0.0776962909137103,1.255298588167888,8.86232519483532,118337423.05040954,9.109358612931767e-07,12.163602668570654,3.031853814519287,0.051039999999999995,17175.859136473297,8.86232519483532,11.12486430496148,11.12486430496148,8.86232519483532,9.109358612931767e-07,0.0015758525854975894,1.0,3.0318538145192866,3.0388652092650497,3.031853814519287,52008.13434751726,3.3982082725999763,1.6000000000000003,0.07417965212182365,3.393739601658167,3.1765402671520446,12.479058267614821,166631167.8955363,0.0036327318966872745,0.7101758005116852,0.0025798782827742175
Bhutan,10907.856709608399,782455.0,0.088,0.43686,3266.36277371286,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1855753942784819,1.0,0.044871903314699105,1.118626556140341,250.8690913720586,196293774.8895241,3.896005831964107e-06,3.048449243249475,65.32742728000744,0.24764,54539.28354804199,250.86909137205856,280.6288277235824,280.6288277235824,250.8690913720586,3.896005831964107e-06,0.006964772895355973,1.0,65.32742728000744,89.88699781479816,65.32742728000743,293892.860958701,3.3908999359114125,2.4000000000000004,0.044346892649163236,3.395562306575224,3.069588325144002,301.9974253539902,236299395.4553564,0.02768622960438872,0.830699437513413,0.022998935359232912
Bolivia,8201.183798863918,12224110.0,0.053,0.7082999999999999,3523.27373305196,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.4218342004210295,1.0,0.327103753565012,1.3418117485225833,40.43649675278411,494300184.32067573,1.1228057146944934e-06,13.725300565054106,12.606710065911532,0.23109999999999994,41005.91899431959,40.43649675278411,54.25816641198101,54.258166411981,40.43649675278411,1.1228057146944934e-06,0.00549652731587565,0.9999999999999998,12.606710065911532,12.609187390457526,12.606710065911532,97208.61645023542,3.3926878732053227,2.4000000000000004,0.34199898297673087,2.2554168467144113,2.0388968294298273,56.74316779787448,693634724.9096754,0.006918899660038703,0.7126231812933576,0.004930568286786311
Bosnia and Herzegovina,16703.456424590695,3233526.0,0.075,0.49841,7585.37500171521,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3239322323570031,1.0,0.18987425548514383,1.2493272822979193,100.83281990571334,326045544.81844157,8.899013003883461e-07,2.877518992239527,41.49031911574447,0.21569999999999992,83517.28212295347,100.83281990571334,125.97319285924038,125.97319285924038,100.83281990571334,8.899013003883461e-07,0.004266731753445783,1.0,41.49031911574447,41.610004536874285,41.49031911574447,257823.3154362662,3.394314945626654,0.0,0.19924569982633605,2.4663824910999996,2.4663824910999996,130.71621542157453,422674281.18726224,0.007825698591887555,0.771387234403292,0.006036643994069878
Botswana,15518.0298701635,2630296.0,0.039,0.72224,7737.65468112589,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2811780767140953,1.0,0.1595287439842362,1.2089389699717095,43.79628363861698,115197189.66951968,4.257072313518887e-07,1.1197360277959474,6.060965681332705,0.19782000000000002,77590.14935081749,43.79628363861697,52.94703403065843,52.94703403065843,43.79628363861698,4.257072313518887e-07,0.0013842467713776772,1.0,6.060965681332705,6.060965681332705,6.060965681332705,275946.65365647245,3.398142689742034,3.2000000000000006,0.18538860849715122,3.266403415957444,2.8483037787148913,55.99342664968725,147279286.14296576,0.003608281922265516,0.7821683054445034,0.0028222837567044544
Brazil,15093.465117066102,215313498.0,0.033,0.87555,8917.67389796927,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.265575010187584,1.0,0.2288644231746908,1.1941993145009575,27.942066250620933,6016304025.768938,2.746750919238588e-07,59.14125485559759,3.6490422620052203,0.24343999999999996,75467.32558533049,27.942066250620936,33.36839636223186,33.36839636223186,27.942066250620933,2.746750919238588e-07,0.0007998110648738608,1.0,3.6490422620052203,3.6490422620052203,3.6490422620052203,284165.7636839609,3.398932390216656,0.8000000000000002,0.24066267061877888,3.3026515399850975,3.196966690705574,34.655459914168574,7461788298.918415,0.0022960572436732125,0.8062817899351286,0.0018512691442223554
Bulgaria,26823.02077077741,6465097.0,0.061,0.76363,13772.476794451,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3230784715072762,1.0,0.4508913836449999,1.2485207651457937,59.8491301960228,386930432.0829164,2.540906387319835e-07,1.64272062619423,14.95727093578152,0.27558,134115.10385388706,59.8491301960228,74.7228818256486,74.72288182564861,59.8491301960228,2.540906387319835e-07,0.0019296198690759358,1.0,14.95727093578152,14.95727093578152,14.95727093578152,415116.1890428424,3.39736620028901,3.2000000000000006,0.483747084,2.2295733835999996,1.9441879904991994,75.93380928412024,490919442.6013379,0.002830919378284456,0.7881750008364037,0.0022312598833471426
Burkina Faso,2156.12552817895,22673762.0,0.063,0.31877,832.884265674075,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.4056650918810229,1.0,0.114464172524223,1.326537373530722,4.931119904402683,111807039.10588919,9.327652769993398e-07,21.149297892547107,1.3174045609996303,0.08324000000000001,10780.627640894749,4.931119904402683,6.5413148465513995,6.5413148465514,4.931119904402683,9.327652769993398e-07,0.0014888122264812241,0.9999999999999998,1.3174045609996303,1.3174045609996303,1.3174045609996303,26575.191843365683,3.3978832084729724,2.4000000000000004,0.10443285744352607,3.3937396016581673,3.0679405998989835,6.354115931295409,144071712.34660044,0.002947006493013445,0.7760512961552748,0.002287028208681095
Burundi,708.1783172771911,12889576.0,0.069,0.14417,238.44187565548,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.4629793127178333,1.0,0.10247342621046872,1.3806800555012047,2.5408495745370763,32750473.695563316,2.9696736275309307e-06,38.27783391725562,1.0264791060466232,0.04794,3540.891586385955,2.5408495745370767,3.508100331592064,3.508100331592064,2.5408495745370763,2.9696736275309307e-06,0.003825924310450896,1.0,1.0264791060466232,1.0594375152170226,1.0264791060466232,7648.055731906929,3.3949809746473534,2.4000000000000004,0.10339516670073552,2.4697888508587624,2.232689121176321,3.8079868577254072,49083336.00965282,0.0053771582168264925,0.6672422120844137,0.0035878669433231903
