country,year,income_cat,adequacy_remittances,adequacy_all_prot_lab,coverage_remittances,coverage_all_prot_lab
Afghanistan,2011,0.2,0.344734178012937,,0.050564641281103405,0.12466565804261
Afghanistan,2011,0.4,0.34831979638498095,,0.0384031388328872,0.11856722491788901
Afghanistan,2011,0.6,0.27606371446761097,,0.0500010623204383,0.0831429025584611
Afghanistan,2011,0.8,0.226186210596806,,0.04126411472936779,0.0709354419093651
Afghanistan,2011,1.0,0.30598537160559003,,0.039033201404444905,0.043732971420301504
Afghanistan,2007,0.2,0.405224505066634,0.378786163096346,0.052118382537951397,0.237481355323381
Afghanistan,2007,0.4,0.47378682102749003,0.30329384145268,0.0508239011297348,0.192955764070785
Afghanistan,2007,0.6,0.450471944440873,0.316367868410098,0.0482686426056627,0.162316446633052
Afghanistan,2007,0.8,0.37978309037647895,0.244413591455851,0.0515917339740313,0.11372985039021201
Afghanistan,2007,1.0,0.2948540856299,0.194981977013922,0.0463309895589826,0.08018766950758159
Albania,2012,0.2,0.160785113063945,0.34798018145153004,0.20554099025208297,0.605897622955557
Albania,2012,0.4,0.140452569715679,0.28086423092060303,0.179052579199514,0.594229890338339
Albania,2012,0.6,0.111961062273935,0.283354147182246,0.20499733973533601,0.548679615323379
Albania,2012,0.8,0.136734808319692,0.283716982997055,0.234978519909796,0.5288034398000839
Albania,2012,1.0,0.103776540926345,0.253035691579604,0.286300927853,0.466715406799776
Albania,2008,0.2,0.111266347555373,0.277181897112568,0.406238489865097,0.791365528890509
Albania,2008,0.4,0.10715924088055999,0.230956680867291,0.367971368236368,0.7179907428907261
Albania,2008,0.6,0.11028427335302099,0.264545273088621,0.363169003453368,0.6886477423567
Albania,2008,0.8,0.091234804271323,0.222795457543427,0.40559662632243104,0.6353251915552071
Albania,2008,1.0,0.06838718409529071,0.22560433621196999,0.371097814731987,0.553220641645305
Angola,2018,0.2,0.0312726522774762,0.10214860850077899,0.183935120429374,0.057952456257606005
Angola,2018,0.4,0.0251742846287944,0.08725895273244619,0.268534722630992,0.08781788643043739
Angola,2018,0.6,0.0209193152819873,0.049476321112469704,0.33857365963948705,0.0984894775084067
Angola,2018,0.8,0.0162178335061349,0.0483657083120162,0.34817788898944796,0.11426244473520301
Angola,2018,1.0,0.0143789191843041,0.04796252209518839,0.385294252471196,0.158173335114556
Argentina,2022,0.2,0.281041298178569,0.33597406773566196,0.193284506334751,0.7548425692144239
Argentina,2022,0.4,0.20269657473428002,0.27381339782826997,0.16214507749076698,0.64918017536666
Argentina,2022,0.6,0.194289291128593,0.293861864067066,0.12156993107348,0.5512757617687
Argentina,2022,0.8,0.179732090681191,0.35605707553137994,0.119176419696715,0.47393323194073
Argentina,2022,1.0,0.21961986227464098,0.384128415137151,0.0659807343062256,0.402620749879448
Argentina,2021,0.2,0.231836683207073,0.33567721684473706,0.23486373562036,0.7376922174330289
Argentina,2021,0.4,0.231408198625543,0.282533639276193,0.16222980785702698,0.6018000968381361
Argentina,2021,0.6,0.17850876952140202,0.31656976691183003,0.136970065360654,0.519789407295664
Argentina,2021,0.8,0.16773461430608902,0.378778070153241,0.09445069229383121,0.45593264024037
Argentina,2021,1.0,0.15055177062551,0.40751690746118396,0.0718823334551195,0.416147113988211
Argentina,2020,0.2,0.22314158055183297,0.429586843685291,0.245714188715869,0.7870827258745
Argentina,2020,0.4,0.167420960024211,0.32935526734058695,0.219314480839036,0.68467178904131
Argentina,2020,0.6,0.17536865120802803,0.323595615975393,0.158946925066761,0.618730781284477
Argentina,2020,0.8,0.228961136084088,0.392457701436512,0.151861497318716,0.557093326892651
Argentina,2020,1.0,0.19530541273979998,0.43207952766362295,0.117013030293223,0.49486861682261
Argentina,2019,0.2,0.250080913251794,0.319556687171114,0.211925889178257,0.738119022588982
Argentina,2019,0.4,0.218552160265516,0.285714878771759,0.15453438924524002,0.594489124695615
Argentina,2019,0.6,0.232813149550685,0.356053640840162,0.130188259294072,0.480358588114897
Argentina,2019,0.8,0.213154004465658,0.41387490234714003,0.121731834976739,0.451863945045628
Argentina,2019,1.0,0.20114139234620598,0.429011160454232,0.08011868591636491,0.44856178711958994
Argentina,2018,0.2,0.289620464788901,0.29907429907151,0.18957392623176803,0.703949381065804
Argentina,2018,0.4,0.22146695744525002,0.267640156698196,0.13014761428918,0.552908651913929
Argentina,2018,0.6,0.230006727535609,0.350194371918982,0.113081674955483,0.490129601983919
Argentina,2018,0.8,0.194318835402808,0.406864125730209,0.0931636386011735,0.457473913105277
Argentina,2018,1.0,0.21569438374747602,0.43759968285115597,0.07280684905786611,0.437943721589049
Argentina,2017,0.2,0.289348412810124,0.321774827279628,0.16940995909093398,0.6760098458491041
Argentina,2017,0.4,0.208201728532042,0.278121716250051,0.134187161931163,0.555960973831114
Argentina,2017,0.6,0.212179037535866,0.35764905303335603,0.10885540513742299,0.49152865535164897
Argentina,2017,0.8,0.207391843837048,0.423877301200968,0.088307842219051,0.46906513733934196
Argentina,2017,1.0,0.21139840317824501,0.440245968685205,0.0630447392092876,0.44901230084451
Argentina,2016,0.2,0.153241082378615,0.331808121273512,0.169631937292733,0.67808406915952
Argentina,2016,0.4,0.0738286315595645,0.268417876169075,0.113720705194961,0.540093817102729
Argentina,2016,0.6,0.047099168113775305,0.33064345843445897,0.116521082971647,0.49473635318742
Argentina,2016,0.8,0.0310551498725486,0.421791689237832,0.0965361056031446,0.474397979003519
Argentina,2016,1.0,0.0162146300365967,0.40904519600496003,0.0706516391312952,0.426422716137832
Argentina,2013,0.2,0.421486951053512,0.347620230583466,0.0890080996596162,0.603842945107151
Argentina,2013,0.4,0.31273841206206,0.299213531505653,0.0768079253955846,0.5127469192512151
Argentina,2013,0.6,0.332106853868039,0.428772110340348,0.0756648931259864,0.462143746000108
Argentina,2013,0.8,0.273763537992825,0.38826469957179804,0.0741652190509212,0.40426728227749104
Argentina,2013,1.0,0.219739732013049,0.389077495662669,0.0566159620031016,0.335224038774726
Argentina,2010,0.2,0.447295658166229,0.3916274278241,0.08570110035851392,0.412971846243903
Argentina,2010,0.4,0.350933173671376,0.35064009730066403,0.0755736449442258,0.378569607060717
Argentina,2010,0.6,0.285513824672574,0.437706982873191,0.0838200258606919,0.425580410173376
Argentina,2010,0.8,0.320664432096499,0.37474377023646605,0.0723459361988118,0.367649769269646
Argentina,2010,1.0,0.29406451747809803,0.34103724555793297,0.051346770152408905,0.305289720333917
Argentina,2006,0.2,0.471337967774457,0.495881142191641,0.0916009605087583,0.373988605548455
Argentina,2006,0.4,0.348820623451684,0.46717508952425396,0.0745055667778456,0.351828790542853
Argentina,2006,0.6,0.398929280866105,0.474143118746306,0.08619291544672629,0.329468967969813
Argentina,2006,0.8,0.338832217827836,0.439120660603358,0.08577632825111961,0.321215000079834
Argentina,2006,1.0,0.300274213223061,0.363567901572469,0.061999693995082594,0.290362666060517
Armenia,2022,0.2,0.783734684749473,0.621538454564535,0.259158551243175,0.849580317386868
Armenia,2022,0.4,0.613152278381779,0.474972496630756,0.17903703913727098,0.809361168358371
Armenia,2022,0.6,0.7376204404049309,0.432681529320112,0.210779429544626,0.748104922238381
Armenia,2022,0.8,0.492033187853148,0.405294043299255,0.197367869993132,0.71483082976248
Armenia,2022,1.0,0.485181853078888,0.297963800282407,0.262070527792625,0.643074114235786
Armenia,2021,0.2,0.8913065855343529,0.555489365667052,0.236203982606466,0.767792374635485
Armenia,2021,0.4,0.704432856732798,0.446604624808336,0.210571604508403,0.7461874329957481
Armenia,2021,0.6,0.657722600353129,0.45883732858980103,0.168335640905351,0.685201542256517
