iso3,avg_prod_k
ABW,0.19888963433077606
AGO,0.17186260685643784
AIA,0.10648615480072492
ALB,0.16202216968574668
ARE,0.14265133496611615
ARG,0.3074152642375409
ARM,0.469678089191154
ATG,0.15957204665763627
AUS,0.23099803101387528
AUT,0.18186532022472657
AZE,0.6127220701287495
BDI,0.5273924728010927
BEL,0.17009500737381328
BEN,0.4570694328380306
BFA,0.5136741699207948
BGD,0.2770114487863902
BGR,0.34702291863864165
BHR,0.18899274123987073
BHS,0.18386339390287162
BIH,0.36384492670064134
BLR,0.3634728967331161
BLZ,0.24618765352857863
BMU,0.32633418992350466
BOL,0.48238079763710623
BRA,0.2423649776461265
BRB,0.1222877059404076
BRN,0.1643908938960592
BTN,0.15485283162287
BWA,0.21584996202890477
CAF,0.15963415104773776
CAN,0.2209511482560882
CHE,0.22899160633982424
CHL,0.22311463099423323
CHN,0.20226869046930582
CIV,0.5264144049225482
CMR,0.4033385932793022
COD,0.32771689599153253
COG,0.17760605179703118
COL,0.34146505174868186
COM,0.24532955097242454
CPV,0.22388715539259718
CRI,0.43261932255359703
CYM,0.2832553672683424
CYP,0.1451910922152238
CZE,0.19013098402060497
DEU,0.21800234539705118
DJI,0.5545364212082405
DMA,0.29079181047939545
DNK,0.21172682437904242
DOM,0.24862508642175815
DZA,0.21997907059240865
ECU,0.18060502619358446
EGY,0.7411056618723808
ESP,0.16670477850299206
EST,0.2239238114723021
ETH,0.4834511165692108
FIN,0.19991804595040583
FJI,0.4620055737591007
FRA,0.17668124683823622
GAB,0.27297777313868626
GBR,0.21166971628155043
GEO,0.26043967643408783
GHA,0.4015998812071467
GIN,0.5326179953434279
GMB,0.5058967226596787
GNB,0.6111865352628437
GNQ,0.29687373682733303
GRC,0.12470324872956334
GRD,0.282115625889488
GTM,0.3252414222281725
HKG,0.17865224410380803
HND,0.24259264015249607
HRV,0.20341490490168024
HTI,0.11433196860146515
HUN,0.20937668409697455
IDN,0.1761408179006248
IND,0.26808751560353083
IRL,0.27491920622194305
IRN,0.16736178418633862
IRQ,0.4073304239369676
ISL,0.2088920584384275
ISR,0.2848230351273969
ITA,0.14345010664311653
JAM,0.17381211069959124
JOR,0.30982958107400826
JPN,0.21067857354295638
KAZ,0.4992063423501769
KEN,0.44207779697977306
KGZ,0.485430091589271
KHM,0.3871356096650716
KNA,0.11817878168073861
KOR,0.20279720920777902
KWT,0.2785053007416826
LAO,0.2864886795282072
LBN,0.17788026340875157
LBR,0.2623024378712349
LCA,0.23796442368118045
LKA,0.34732239754243355
LSO,0.21715833947341423
LTU,0.2598650358328045
LUX,0.2372362621786413
LVA,0.13433888017759493
MAC,0.2911923319948543
MAR,0.20080164161649414
MDA,0.4075954431814228
MDG,0.4516007373953485
MDV,0.17934246468391105
MEX,0.23087021820623913
MKD,0.2633828630982844
MLI,0.6798061699455986
MLT,0.28775624634153857
MMR,0.34198358432077974
MNE,0.3178534786705985
MNG,0.22914325221774237
MOZ,0.3294826964673195
MRT,0.22076578577680425
MSR,0.07497621342434811
MUS,0.32153921983997297
MWI,0.9707059348850776
MYS,0.24949212698674084
NAM,0.312294397553134
NER,0.23278847187557952
NGA,0.33211773435943276
NIC,0.26510141584931673
NLD,0.2157709406280088
NOR,0.23773524714427238
NPL,0.31064782597856616
NZL,0.3282052982123362
OMN,0.19563885107014395
PAK,0.6522309077626153
PAN,0.24867076843824124
PER,0.2774178440794039
PHL,0.3459349526152716
POL,0.42158623054222205
PRT,0.1251835191172326
PRY,0.32039027475084436
PSE,0.28621480308801545
QAT,0.19534871409382548
ROU,0.3181439389878922
RUS,0.2324524602368638
RWA,0.585174807157438
SAU,0.2647807096184093
SDN,0.6196936360546678
SEN,0.3456410886964015
SGP,0.23881925729136644
SLE,0.944750855404646
SLV,0.30212378059748374
SRB,0.2280092387089795
STP,0.2339209650981573
SUR,0.1601027779156778
SVK,0.21839330687198988
SVN,0.15744270973287583
SWE,0.22170190067143244
SWZ,0.31404057961183984
SYC,0.17926447233337167
SYR,0.3084740473139799
TCA,0.16739419189726473
TCD,0.5538995526753602
TGO,0.3975163837569679
THA,0.2661875047234859
TJK,0.10886153287159044
TKM,0.1868522895533863
TTO,0.5333503578087184
TUN,0.4027351818419936
TUR,0.23191721266739587
TWN,0.294286179609934
TZA,0.33928612187221824
UGA,0.5221099997715624
UKR,0.08886634939539849
URY,0.22444330821553823
USA,0.29780171552966045
UZB,0.34639468776606985
VCT,0.14532744985440793
VEN,0.03549734219505789
VGB,0.2815818725435017
VNM,0.3685205824381082
YEM,0.09785451184269955
ZAF,0.2609504893395919
ZMB,0.1999607740585774
ZWE,0.6916635274013144
