iso3,real_estate_share_of_value_added,home_ownership_rate,self_employment,k_pub_share,real_est_k_to_va_shares_ratio,k_real_est_share,k_labor_share,owner_occupied_share_of_value_added
ABW,0.10068006481068434,0.6704771371769727,,,3.705328168012808,0.3730526801003838,,0.0675036816250597
AFG,0.05398716703072639,0.805990992136218,0.817169670984926,0.7933591648410439,3.705328168012808,0.20004017071016286,0.045410259501173555,0.04351317031771888
AGO,0.05575379253864181,0.8092505064145847,0.655007400457814,0.35829810239603344,3.705328168012808,0.2065860979669718,0.47452199320598165,0.04511878484642958
AIA,,0.5894630192502532,,,3.705328168012808,,,
ALA,,0.6505327794834748,,,3.705328168012808,,,
ALB,0.06769137496355253,0.9618,0.523627444248986,0.2993533407761013,3.705328168012808,0.2508187583839681,0.45940917741019816,0.06510556443994482
AND,0.15695808494029745,0.6599999999999999,,,3.705328168012808,0.581581213326631,,0.1035923360605963
ARE,0.0473594733810925,0.6599999999999999,0.0487067719248274,0.5192707608949589,3.705328168012808,0.1754823907412148,0.3649108612158393,0.03125725243152105
ARG,0.07019097130394586,0.772606869511574,0.257532871092025,0.2448042665610075,3.705328168012808,0.2600805831126893,0.5542556882995529,0.054230026607118335
ARM,0.09156542929991267,0.8668721363697093,0.609061512543324,0.251357587379269,3.705328168012808,0.33927996440115166,0.4545300650528657,0.07937551931482487
ATG,0.057643171806167404,0.6307677252042864,,0.3232250347384819,3.705328168012808,0.2135868681869938,0.5420512622817002,0.03635945235373607
AUS,0.11293408580898126,0.6355999999999999,0.13057964759743101,0.16007435220124655,3.705328168012808,0.41845784927679375,0.5739538387984233,0.07178090494018849
AUT,0.09776138932164131,0.46799999999999997,0.157215546374602,0.19052622138478068,3.705328168012808,0.3622380295975441,0.6399463807635687,0.045752330202528134
AZE,0.033968973418307936,0.8642478110673412,0.6754557894723691,0.5448477723085087,3.705328168012808,0.12586619404533472,0.3463726450004336,0.029357610920977332
BDI,0.053764148460121085,0.8528009188670312,0.8475507922333191,0.39367279143689915,3.705328168012808,0.19921381371850908,0.4364374851729507,0.045850115208894746
BEL,0.09585309918243465,0.7013999999999999,0.150241650782864,0.14822565215511743,3.705328168012808,0.35516718839200057,0.6026600819067334,0.06723136376655965
BEN,0.047874523020186834,0.8092505064145847,0.8803963841468629,0.3753655585443696,3.705328168012808,0.17739081867687587,0.4810808316080708,0.03874248199844289
BFA,0.05042687494841554,0.8115681111940634,0.752755377834778,0.3989634610134714,3.705328168012808,0.1868481201712235,0.44939656301900743,0.04092484365530483
BGD,0.08597891769800739,0.8079293346228265,0.533941897588006,0.26656386861690523,3.705328168012808,0.3185801056016817,0.47604591864025836,0.06946488976734187
BGR,0.08088727482975556,0.8573999999999999,0.11293676296003201,0.23338019559885362,3.705328168012808,0.2997138978604867,0.5096451083755651,0.06935274943903241
BHR,0.09647899242023716,0.6599999999999999,0.0263265125144384,0.256911231995629,3.705328168012808,0.35748632823619897,0.5071477913684797,0.06367613499735653
BHS,0.16341572111251812,0.5891844023394545,0.158111512965218,0.07324214733158241,3.705328168012808,0.6055088745343387,0.5700014683146675,0.09628199397654996
BIH,0.04952807501382007,0.772606869511574,0.227038537991475,0.3539245655853331,3.705328168012808,0.18351777145615883,0.5042883435101835,0.03826573098936193
BLM,,0.41024624653693675,,,3.705328168012808,,,
BLR,0.06978730207152778,0.8934688713428207,0.0453709688849566,0.1440171359583704,3.705328168012808,0.25858485613525045,0.6249453444841218,0.062352782015908416
BLZ,0.05391760084660048,0.772606869511574,0.360459676004445,0.4119495268222203,3.705328168012808,0.19978240516857998,0.4336972145369902,0.041657108801666586
BMU,0.15234683002206137,0.4838792034429937,,,3.705328168012808,0.5644950005882032,,0.07371746275814021
BOL,0.05575379253864181,0.6971917080780119,0.6746049096878189,0.5881475189345561,3.705328168012808,0.2065860979669718,0.26782236655867936,0.0388710818518428
BRA,0.0906747589674305,0.7349328469670252,0.31228270990448304,0.33029377135789595,3.705328168012808,0.3359797385297922,0.4227836828811672,0.0666398587559825
BRB,0.12500970714868342,0.6599999999999999,0.204648734502993,0.27127271946623444,3.705328168012808,0.4632019891730488,0.4230139676795534,0.08250640671813105
BRN,0.029987588805341723,0.5495405718305318,0.07632279042270179,0.24675970183903342,3.705328168012808,0.11111385749121823,0.6921787253769464,0.016479396699906345
BTN,0.03656363227342795,0.5071379930184478,0.707052576086817,0.3120290065995724,3.705328168012808,0.13548025658759477,0.6192638079809705,0.018542807088610797
BWA,0.045658934188362615,0.5428176244014535,0.31078065052882897,0.3469222737569434,3.705328168012808,0.169181334969583,0.561243115901801,0.024784474188829304
CAF,0.053764148460121085,0.805990992136218,0.945389483362189,0.6103424888912601,3.705328168012808,0.19921381371850908,0.22909297174251905,0.04333341935873191
CAN,0.13484565664902423,0.7076,0.131513080870593,0.21447167641664336,3.705328168012808,0.4996474099158131,0.43197781632692733,0.09541678664484955
CHE,0.06821440319208108,0.3804,0.166061918423514,0.16834960829482903,3.705328168012808,0.25275674961180083,0.7355017241528419,0.025948758974267645
CHL,0.09146098758755655,0.5700000000000001,0.246453204652613,0.14249890449249317,3.705328168012808,0.3388929735824431,0.6643321005655143,0.05213276292490724
CHN,0.05848306111914488,0.8539336637758801,0.453054614058699,0.46851593498944716,3.705328168012808,0.21669893371638216,0.34643755060579595,0.049940654650300106
CIV,0.05575379253864181,0.8092505064145847,0.7436744421665441,0.29387981796482404,3.705328168012808,0.2065860979669718,0.538940277637191,0.04511878484642958
CMR,0.04868162300729339,0.8092505064145847,0.694882022728834,0.2802824516162888,3.705328168012808,0.18038138899350456,0.5737438179929515,0.03939562807173608
COD,0.053764148460121085,0.699,0.8630303625057251,0.17755713627638692,3.705328168012808,0.19921381371850908,0.6831924079343752,0.037581139773624636
