iso3,gdp_pc_pp,gni_pc_pp,pop,gini_index,name,region,income_group,income_share,transfers,findex,WRP_prepare_scaleup,WRP_ew,HFA,finance_pre,ew,prepare_scaleup,borrowing_ability,avg_prod_k,k_pub_share,self_employment,real_estate_share_of_value_added,home_ownership_rate,hazard_loss,gem_building_classes,gmd_vulnerability_rel,exposure_bias,flopros
AGO,available,available,available,available,available,available,available,available,available,available,,,,imputed,imputed,imputed,available,available,available,available,imputed,imputed,available,available,available,available,available
ALB,available,available,available,available,available,available,available,available,available,available,available,available,,imputed,available,available,available,available,available,available,available,available,available,available,,available,available
ARG,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,imputed,available,available,available,available,available
ARM,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
AUS,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
AUT,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
AZE,available,available,available,available,available,available,available,available,available,available,,,,imputed,imputed,imputed,available,available,available,available,available,available,available,available,,available,available
BDI,available,available,available,available,available,available,available,available,available,available,,,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available
BEL,available,available,available,available,available,available,available,available,imputed,available,available,available,,imputed,available,available,available,available,available,available,available,available,available,available,,available,available
BEN,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available
BFA,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
BGD,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
BGR,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
BIH,available,available,available,available,available,available,available,available,available,available,available,available,,imputed,available,available,available,available,available,available,available,imputed,available,available,,available,available
BLR,available,available,available,available,available,available,available,available,available,available,,,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
BLZ,available,available,available,available,available,available,available,available,available,available,,,,imputed,imputed,imputed,available,available,available,available,available,imputed,available,available,,available,available
BOL,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available
BRA,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
BTN,available,available,available,available,available,available,available,available,available,available,,,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
BWA,available,available,available,available,available,available,available,available,imputed,available,,,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
CAN,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
CHE,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
CHL,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
