iso3,REM,UNE,GDP_{pc},gini_index,exp_SP_including_health_GDP,exp_health_GDP,SOC,name,region,income_group,FSY,0.2,0.4,0.6,0.8,1.0
ABW,1.06793146679127,,40516.8085633136,,,,,Aruba,LAC,HICs,False,,,,,
AFG,1.8656461200228,13.295,1983.81261992909,,2.564513683,0.720000029,1.844513535,Afghanistan,MNA,LICs,False,11.107429715867834,8.26019894639379,7.309537751929454,4.739078935614713,2.9296031895469508
AGO,0.0634842009116607,14.464,7344.14537855393,51.3,3.137511015,1.710000038,1.427510977,Angola,SSA,LMICs,False,1.1671901828720237,1.4423066341323814,1.195562614757998,1.1173075107229087,1.3126506998761718
ALB,8.36876417203097,10.25,18920.8942644729,29.4,12.44294739,2.880000114,9.562947273,Albania,ECA,UMICs,False,24.388829613408188,19.20463160027037,17.842236439633787,18.216025941765547,14.780697568702495
AND,1.29549250264243,,65928.3071971004,,9.454371452,6.170000076,3.284371376,Andorra,ECA,HICs,False,,,,,
ARG,0.164917106386832,7.876,26547.0503429365,42.4,16.97686577,6.139999866,10.83686543,Argentina,LAC,UMICs,False,30.792845705713024,21.06204814373002,18.56186586991603,19.01671076339412,16.914875033363657
ARM,4.95690384001967,13.329,20078.7848984844,27.2,8.686155319,2.190000057,6.496155262,Armenia,ECA,UMICs,True,73.1158382955781,49.42012632729066,47.91663974950133,38.68282195219034,31.876467125272555
ATG,1.1811713667388,,29561.807425139,,6.78790617,3.930000067,2.857906103,Antigua and Barbuda,LAC,HICs,False,,,,,
AUS,0.108060849007185,4.072,60082.005786975,33.8,18.11169815,8.020000458,10.09169769,Australia,EAP,HICs,False,,,,,
AUT,0.688552378400084,5.439,63314.4627876454,31.2,30.09401703,9.470000267,20.62401772,Austria,ECA,HICs,False,,,,,
AZE,1.81882789681566,5.594,22072.1058327346,26.6,10.16485023,1.49000001,8.674850464,Azerbaijan,ECA,UMICs,True,2.8608649819433096,1.3975896630256393,1.838308505313537,1.4529077356238898,1.4452680326819183
BDI,7.79847501046119,0.902,835.620859248356,37.5,2.230000019,2.230000019,,Burundi,SSA,LICs,False,4.13408594064541,2.8168819673474963,2.263737253551597,2.1003005795133487,0.20423913604939503
BEL,2.28846679353846,5.488,63083.1843669076,26.8,29.58292961,8.569999695,21.01292992,Belgium,ECA,HICs,False,,,,,
BEN,1.0969082787448,1.722,3901.32588494392,34.4,1.407993793,0.319999993,1.087993741,Benin,SSA,LMICs,False,2.88489756330517,2.261802474427043,2.933009804344738,3.8049244069985386,4.5393387815152755
BFA,2.53761095239569,5.166,2547.93264387899,37.4,2.946106434,2.730000019,0.216106459,Burkina Faso,SSA,LICs,False,2.9837816325392454,7.688812575616094,6.937447415446436,5.712110519053928,7.062863281715251
BGD,6.03585067679055,4.68,8486.78495660517,30.9,1.312739968,0.400000006,0.912739992,Bangladesh,SAR,LMICs,False,7.255539622358061,6.434436465645986,6.812453460917835,6.853417505870883,9.161075055154697
BGR,2.38140406223299,4.104,34085.1952950467,39.5,18.74310493,5.380000114,13.36310482,Bulgaria,ECA,HICs,False,51.438710149646084,38.31383054547729,27.471425543371858,24.24259360576438,17.163790264631697
BHS,0.416407710575514,8.463,36244.0360489936,,6.641563416,3.980000019,2.661563158,"Bahamas, The",LAC,HICs,False,,,,,
BIH,11.0230816585769,10.723,20429.7007276332,33.0,19.17273903,6.53000021,12.64273834,Bosnia and Herzegovina,ECA,UMICs,True,24.93329348075661,21.631305971540353,19.50862519394945,17.757161679192322,12.503676789769925
BLR,1.81319105202764,3.361,29037.5291400434,24.4,17.9866333,4.869999886,13.11663437,Belarus,ECA,UMICs,True,60.60596860676949,55.61273681246781,50.10439445740557,43.97599789088398,29.878256774127287
BLZ,4.38450234938887,7.0,13277.9352658254,39.9,7.699148178,3.430000067,4.269147873,Belize,LAC,UMICs,False,42.03675239970898,25.03314188213271,12.31891146486745,11.28746021275878,8.676075092224025
BMU,26.1241397741698,,105322.911174674,,,,,Bermuda,NMA,HICs,False,,,,,
BOL,2.59061806172674,3.091,9844.27685167629,42.1,10.92176056,5.880000114,5.041759968,Bolivia,LAC,LMICs,False,24.134021179388956,14.475880152242707,11.366495735886371,10.934330168048017,13.11088476883212
BRA,0.224941418439149,7.634,19647.9096329925,51.6,21.53167343,4.5,17.03167343,Brazil,LAC,UMICs,False,35.08706718680682,25.896854608192154,23.756416200426667,20.560091976075455,16.529922388237868
BRB,1.18877728541521,7.529,19945.7371938511,34.1,8.649147987,4.380000114,4.269147873,Barbados,LAC,HICs,False,,,,,
BTN,3.57497269708309,2.856,14645.2656341911,28.5,5.510000229,2.210000038,3.299999952,Bhutan,SAR,LMICs,False,2.5006941382396324,3.038661733859883,3.0772301965408406,2.4978237363412745,2.361395454791128
BWA,0.661308331576148,23.138,18068.5050698005,54.9,5.238473892,4.820000172,0.418473512,Botswana,SSA,UMICs,False,,,,,
CAN,0.0379893662486223,6.45,56691.9070100503,31.1,21.00984573,8.989999771,12.01984501,Canada,NMA,HICs,False,,,,,
CHE,0.373890009955756,4.11,82026.4087304591,33.8,16.74257088,4.269999981,12.47257042,Switzerland,ECA,HICs,False,,,,,
CHL,0.0303210305442313,9.056,30182.7871224714,43.0,12.47764397,5.199999809,7.277644157,Chile,LAC,HICs,False,34.21280410305811,31.49570686617537,32.13131418336465,27.55395078368465,15.110285908468299
CHN,0.16757857471,4.571,23845.6197217259,36.0,10.83355713,2.910000086,7.923556805,China,EAP,UMICs,False,38.999891473839035,27.093470234510598,26.129483532856916,28.315311394818256,23.77535250283438
CIV,1.25955624858677,2.288,6733.15402382668,35.3,1.074450135,1.029999971,0.044450156,Cote d'Ivoire,SSA,LMICs,False,3.679077640534683,6.657735769563083,5.671788450307257,6.171617383189417,8.77581195960228
CMR,1.2274297900289,3.518,4919.14166939977,42.2,0.586710691,0.479999989,0.10671068,Cameroon,SSA,LMICs,False,2.5294597711188915,3.7048057543077215,3.7897364782819314,5.047050742264473,7.072534721670156
COD,2.82792138843037,4.556,1504.14374011806,44.7,0.680372357,0.629999995,0.050372347,"Congo, Dem. Rep.",SSA,LICs,False,5.345055530108385,6.89770640013149,6.7013257868666285,5.932291398732298,9.807707819959855
COG,0.279898472084279,19.694,6181.47053293572,48.9,3.024438143,1.899999976,1.124438167,"Congo, Rep.",SSA,LMICs,False,,14.36947198937784,18.424638183927723,13.033120746132571,13.217322281295699
COL,2.83680771791186,9.608,18503.6706011465,53.9,14.6769886,6.550000191,8.126988411,Colombia,LAC,UMICs,False,8.520360915107862,6.039854862817268,6.906200570789559,9.85763089938456,12.914995005535621
COM,18.2672435195336,3.875,3567.51386511576,45.3,1.581539989,0.939999998,0.641539991,Comoros,SSA,LMICs,False,3.839734754695571,6.024434388089915,5.406661137590864,7.407083476371956,7.846676575920533
CPV,12.0679438327227,11.878,9907.58847498474,42.4,10.75335693,4.710000038,6.043357372,Cabo Verde,SSA,UMICs,False,11.215629372637398,13.03079093709367,11.24678164367733,10.331161469398008,7.129851187441198
CRI,0.760139316219408,7.848,26973.4361581028,45.8,12.39321136,5.300000191,7.093211174,Costa Rica,LAC,HICs,False,34.072428314754106,27.02825844025713,22.680666319644118,21.1629275897034,23.066484409122424
CUW,5.38205169034654,,27675.5721321424,,,,,Curacao,LAC,HICs,False,,,,,
CYM,0.151819860886916,,78109.3506593441,,,,,Cayman Islands,LAC,HICs,False,,,,,
CYP,1.81853291499373,5.602,53255.5234375,31.8,20.52554512,7.989999771,12.53554535,Cyprus,ECA,HICs,False,,,,,
CZE,1.23116888269338,2.506,47961.8095131483,25.7,21.8164978,8.180000305,13.63649654,Czechia,ECA,HICs,False,,,,,
DEU,0.455479144619276,3.406,62829.7960031194,32.4,30.26712799,10.22000027,20.04712677,Germany,ECA,HICs,False,,,,,
DJI,1.37032999543718,25.875,6841.16653163372,41.6,3.072659016,0.970000029,2.102658987,Djibouti,MNA,LMICs,False,28.57597999555584,10.969674090853202,10.947852045406075,7.155269738438584,7.349847887377559
DMA,5.60763997462338,,18739.3640404986,,8.627752304,4.170000076,4.457751751,Dominica,LAC,UMICs,False,58.15343174037094,33.47049417175132,15.428149878129608,9.368733970948917,7.108626172587865
DNK,0.353814302918278,5.587,73709.0018358619,29.9,28.1178093,9.220000267,18.89780807,Denmark,ECA,HICs,False,,,,,
DOM,9.04956290595841,5.473,24229.4681222745,39.0,5.473155499,3.289999962,2.183155537,Dominican Republic,LAC,UMICs,False,29.80354766090173,21.461352238728647,17.444779707719775,14.896995168052085,13.398192227367383
DZA,0.682450183715263,11.427,15442.1244460542,27.6,10.92029953,3.269999981,7.650299072,Algeria,MNA,UMICs,False,,,,,
ECU,5.24908721771676,4.773,13935.5391125402,45.2,12.54464436,5.28000021,7.264644146,Ecuador,LAC,UMICs,False,26.53789603018442,18.85141345602038,15.832342078326475,12.963658273194373,16.307922068759336
EGY,7.59757023635599,7.198,16798.151577864,28.5,11.23954964,1.74000001,9.499549866,"Egypt, Arab Rep.",MNA,LMICs,False,10.013164102130153,7.821267812055907,8.129959746537024,10.859478877954455,15.928230295796514
ERI,0.46501791787489,5.553,,,,,,Eritrea,SSA,LICs,False,,,,,
ESP,0.367942444188682,11.394,48373.0455699185,33.4,26.47166443,7.690000057,18.78166389,Spain,ECA,HICs,False,,,,,
EST,1.16044621332369,7.828,41546.1201868122,30.7,19.30685616,5.710000038,13.59685612,Estonia,ECA,HICs,True,,,,,
ETH,0.40245351230772,3.398,2884.26460712345,31.1,2.01609993,0.980000019,1.03610003,Ethiopia,SSA,LICs,False,4.702465224409823,3.566174125329348,2.7010369356550674,3.188097499922815,5.017375346760636
FIN,0.249775147156108,8.26,55628.6815127631,27.4,33.10910797,8.409999847,24.69910812,Finland,ECA,HICs,False,,,,,
FJI,7.36527195037518,4.307,14104.4435804465,30.7,9.51241684,3.359999895,6.152416706,Fiji,EAP,UMICs,False,19.714045566039832,13.240182070715575,14.477864498292018,14.0529753267363,20.57122562235091
FRA,1.22626159696763,7.37,54464.9816695754,31.8,34.07270813,9.31000042,24.76270866,France,ECA,HICs,False,,,,,
FRO,6.32195310250215,,70428.9630965924,,,,,Faroe Islands,ECA,HICs,False,,,,,
FSM,4.95066979363509,,3823.60411002339,40.1,2.289573669,1.889999986,0.399573803,"Micronesia, Fed. Sts.",EAP,LMICs,False,49.106059894818046,33.594182555456065,21.66502708386135,13.711753805318242,11.174357377820193
GAB,0.128331390945391,20.061,18923.0900476678,38.0,2.455832243,1.590000033,0.865832269,Gabon,SSA,UMICs,False,6.501284096704639,6.374272957730423,7.179159450700201,4.881251187170461,4.241798535014242
GBR,0.132661425354601,4.111,52517.9848574945,32.4,26.45829964,10.35000038,16.10829926,United Kingdom,ECA,HICs,False,,,,,
GEO,12.0157271642489,11.48,25000.6326416981,33.9,11.3364315,4.489999771,6.846432209,Georgia,ECA,UMICs,True,88.97332865386811,54.787768020406126,39.119739752172535,34.10695583198832,23.633706020637582
GHA,3.65518409870881,3.007,7061.93402799185,43.5,2.788133621,2.24000001,0.548133612,Ghana,SSA,LMICs,False,11.063858231697793,10.447479448978655,11.813473882519219,10.856435545899176,6.262199020384834
GIN,2.43314324176726,5.23,4028.48347380899,29.6,2.121361017,0.689999998,1.43136096,Guinea,SSA,LMICs,False,6.909964947584936,9.149883451443467,7.790249163192257,8.256979201902674,8.939010419267163
GMB,21.0871813503036,6.496,3030.97408356729,38.8,1.987889409,1.620000005,0.367889374,"Gambia, The",SSA,LICs,False,7.240391097719859,6.420100705760035,5.645956739291302,6.817667244415062,11.065565566099188
GNB,9.72267259047621,2.622,2685.6174278336,33.4,1.324557662,1.139999986,0.184557721,Guinea-Bissau,SSA,LICs,False,3.2828660940754157,6.835852549951163,6.626271266999048,7.53182943165811,8.062673895100197
GRC,0.218339039931367,10.133,37752.6321172664,33.4,26.04428482,5.429999828,20.61428452,Greece,ECA,HICs,False,,,,,
