iso3,income_cat,income_share,transfers
AGO,0.2,0.03796203796203797,0.011671901828720237
AGO,0.4,0.07692307692307693,0.014423066341323813
AGO,0.6,0.1258741258741259,0.01195562614757998
AGO,0.8,0.2037962037962038,0.011173075107229086
AGO,1.0,0.5554445554445555,0.013126506998761717
ALB,0.2,0.08408408408408409,0.24388829613408186
ALB,0.4,0.13213213213213215,0.19204631600270372
ALB,0.6,0.17317317317317318,0.17842236439633785
ALB,0.8,0.23023023023023023,0.18216025941765548
ALB,1.0,0.3803803803803804,0.14780697568702494
ARG,0.2,0.051,0.30792845705713023
ARG,0.4,0.09699999999999999,0.2106204814373002
ARG,0.6,0.14800000000000002,0.1856186586991603
ARG,0.8,0.225,0.19016710763394118
ARG,1.0,0.479,0.16914875033363658
ARM,0.2,0.095,0.7311583829557811
ARM,0.4,0.14,0.4942012632729066
ARM,0.6,0.175,0.4791663974950133
ARM,0.8,0.221,0.3868282195219034
ARM,1.0,0.369,0.31876467125272556
AUS,0.2,0.073,0.49541368800241303
AUS,0.4,0.124,0.418384248837678
AUS,0.6,0.166,0.3966605596646569
AUS,0.8,0.22699999999999998,0.33527716096446936
AUS,1.0,0.41,0.2251256474888165
AUT,0.2,0.07707707707707707,0.673325530146877
AUT,0.4,0.13213213213213215,0.5270243814256775
AUT,0.6,0.17517517517517517,0.48832248656381083
AUT,0.8,0.22522522522522523,0.4296256587714232
AUT,1.0,0.3903903903903904,0.29269612989141786
AZE,0.2,0.10789210789210792,0.028608649819433098
AZE,0.4,0.13886113886113888,0.013975896630256392
AZE,0.6,0.16683316683316685,0.01838308505313537
AZE,0.8,0.2087912087912088,0.014529077356238897
AZE,1.0,0.3776223776223776,0.014452680326819182
BDI,0.2,0.071,0.0413408594064541
BDI,0.4,0.11199999999999999,0.02816881967347496
BDI,0.6,0.153,0.022637372535515968
BDI,0.8,0.214,0.02100300579513349
BDI,1.0,0.45,0.0020423913604939504
BEL,0.2,0.091,0.6804039968072343
BEL,0.4,0.14400000000000002,0.5301994902174214
BEL,0.6,0.18,0.4917224748275089
BEL,0.8,0.222,0.4333055943848564
BEL,1.0,0.363,0.2969399994911219
BEN,0.2,0.076,0.0288489756330517
BEN,0.4,0.11900000000000001,0.02261802474427043
BEN,0.6,0.161,0.02933009804344738
BEN,0.8,0.221,0.03804924406998539
BEN,1.0,0.423,0.04539338781515276
BFA,0.2,0.07300000000000001,0.029837816325392456
BFA,0.4,0.112,0.07688812575616094
BFA,0.6,0.15100000000000002,0.06937447415446436
BFA,0.8,0.21100000000000005,0.05712110519053928
BFA,1.0,0.453,0.07062863281715251
BGD,0.2,0.08800000000000001,0.0725553962235806
BGD,0.4,0.128,0.06434436465645986
BGD,0.6,0.165,0.06812453460917835
BGD,0.8,0.218,0.06853417505870883
BGD,1.0,0.401,0.09161075055154697
BGR,0.2,0.059940059940059943,0.5143871014964608
BGR,0.4,0.11288711288711291,0.3831383054547729
BGR,0.6,0.15384615384615385,0.2747142554337186
BGR,0.8,0.2117882117882118,0.24242593605764381
BGR,1.0,0.4615384615384616,0.17163790264631695
BIH,0.2,0.07492507492507493,0.2493329348075661
BIH,0.4,0.12287712287712291,0.21631305971540354
BIH,0.6,0.16683316683316685,0.19508625193949447
BIH,0.8,0.22877122877122877,0.17757161679192324
BIH,1.0,0.40659340659340665,0.12503676789769924
