iso3,gdp_pc_pp,gni_pc_pp,pop,gini_index,name,region,income_group
AGO,7344.14537855393,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs
ALB,18920.8942644729,18404.6379498887,2714617.0,29.4,Albania,ECA,UMICs
ARG,26547.0503429365,25284.1877853823,45696159.0,42.4,Argentina,LAC,UMICs
ARM,20078.7848984844,18725.7119227579,3033500.0,27.2,Armenia,ECA,UMICs
AUS,60082.005786975,58522.8987735291,27204809.0,33.8,Australia,EAP,HICs
AUT,63314.4627876454,62305.6383565027,9178482.0,31.2,Austria,ECA,HICs
AZE,22072.1058327346,19693.9063534123,10202850.0,26.6,Azerbaijan,ECA,UMICs
BDI,835.620859248356,851.962370060218,14047786.0,37.5,Burundi,SSA,LICs
BEL,63083.1843669076,62352.5605666743,11876844.0,26.8,Belgium,ECA,HICs
BEN,3901.32588494392,3822.67948629058,14462724.0,34.4,Benin,SSA,LMICs
BFA,2547.93264387899,2569.09345817925,23548781.0,37.4,Burkina Faso,SSA,LICs
BGD,8486.78495660517,8854.72230612135,173562364.0,30.9,Bangladesh,SAR,LMICs
BGR,34085.1952950467,32274.6230621858,6444366.0,39.5,Bulgaria,ECA,HICs
BIH,20429.7007276332,19913.9548286205,3164253.0,33.0,Bosnia and Herzegovina,ECA,UMICs
BLR,29037.5291400434,28074.4955028392,9133712.0,24.4,Belarus,ECA,UMICs
BLZ,13277.9352658254,11921.5830532649,417072.0,39.9,Belize,LAC,UMICs
BOL,9844.27685167629,9404.20916239205,12413315.0,42.1,Bolivia,LAC,LMICs
BRA,19647.9096329925,18932.3549097991,211998573.0,51.6,Brazil,LAC,UMICs
BRB,19945.7371938511,15398.4659740752,282467.0,34.1,Barbados,LAC,HICs
BTN,14645.2656341911,13239.7011889342,791524.0,28.5,Bhutan,SAR,LMICs
BWA,18068.5050698005,19060.9054268781,2521139.0,54.9,Botswana,SSA,UMICs
CAN,56691.9070100503,55318.6112749144,41288599.0,31.1,Canada,NMA,HICs
CHE,82026.4087304591,79631.6407153478,9034102.0,33.8,Switzerland,ECA,HICs
CHL,30182.7871224714,28707.1035801015,19764771.0,43.0,Chile,LAC,HICs
