DATAFLOW,LAST UPDATE,freq,unit,nace_r2,asset10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Austria,2014,868767.3,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Austria,2015,887225.5,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Austria,2016,906591.9,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Austria,2017,926736.8,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Austria,2018,947830.7,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Austria,2019,969227.9,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Austria,2020,989958.6,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Austria,2021,1018131.5,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Austria,2022,1038984.1,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Austria,2023,1057316.9,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Belgium,2014,1005193.7,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Belgium,2015,1024008.8,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Belgium,2016,1043346.5,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Belgium,2017,1062385.4,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Belgium,2018,1082066.0,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Belgium,2019,1102310.2,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Belgium,2020,1120874.2,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Belgium,2021,1140461.9,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Belgium,2022,1159291.6,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Belgium,2023,1176929.8,p,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Bulgaria,2014,3010.7,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Bulgaria,2015,3474.6,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Bulgaria,2016,3991.0,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Bulgaria,2017,4749.9,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Bulgaria,2018,5553.8,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Bulgaria,2019,6457.3,,
ESTAT:NAMA_10_NFA_ST(1.0),04/02/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,Dwellings (gross),Bulgaria,2020,7300.6,,
