iso3,decade,forecast_accuracy
ABW,1991-2000,0.203667174521243
ABW,2001-2010,0.34220162662916
ABW,2011-2020,0.348378698302691
AFG,1991-2000,0.535012383449014
AFG,2001-2010,0.669284006180286
AFG,2011-2020,0.677386121673223
AGO,1991-2000,0.139372103176181
AGO,2001-2010,0.128275695264263
AGO,2011-2020,0.249866173169131
ALB,1991-2000,0.717292915826671
ALB,2001-2010,0.818999189572942
ALB,2011-2020,0.808196083606292
AND,1991-2000,0.772211627350148
AND,2001-2010,0.843635267640518
AND,2011-2020,0.866854054235254
ARE,1991-2000,0.619471712244377
ARE,2001-2010,0.671752146351412
ARE,2011-2020,0.698169206948927
ARG,1991-2000,0.682634918416609
ARG,2001-2010,0.786673484906026
ARG,2011-2020,0.802180122395138
ARM,1991-2000,0.476637988370331
ARM,2001-2010,0.720408477439902
ARM,2011-2020,0.737224454608941
ASM,1991-2000,0.304704962587141
ASM,2001-2010,0.18993554928546
ASM,2011-2020,0.240313236240869
AUS,1991-2000,0.683969101673925
AUS,2001-2010,0.781540213979084
AUS,2011-2020,0.799928107464644
AUT,1991-2000,0.512456158944183
AUT,2001-2010,0.660569925309113
AUT,2011-2020,0.712105797515908
AZE,1991-2000,0.503237328458404
AZE,2001-2010,0.719867379395343
AZE,2011-2020,0.73820973861847
BDI,1991-2000,0.241981179589998
BDI,2001-2010,0.50638273552984
BDI,2011-2020,0.478432001621387
BEL,1991-2000,0.750878386590973
BEL,2001-2010,0.870522393718244
BEL,2011-2020,0.901388026832304
BEN,1991-2000,0.209125064669307
BEN,2001-2010,0.292677815240903
BEN,2011-2020,0.318994906937877
BFA,1991-2000,0.417312604108563
BFA,2001-2010,0.501453646111423
BFA,2011-2020,0.562989598079047
BGD,1991-2000,0.384038032255961
BGD,2001-2010,0.522992884679397
BGD,2011-2020,0.570589935253992
BGR,1991-2000,0.742862295547181
BGR,2001-2010,0.841408574615108
BGR,2011-2020,0.860255342467348
BHR,1991-2000,0.526659380338933
BHR,2001-2010,0.53894706153544
BHR,2011-2020,0.755770262410409
BHS,1991-2000,0.544678231706366
BHS,2001-2010,0.654893501955729
BHS,2011-2020,0.707501788855761
BIH,1991-2000,0.707839161685111
BIH,2001-2010,0.82543415880457
BIH,2011-2020,0.847170972675604
BLR,1991-2000,0.270545884450375
BLR,2001-2010,0.342644140808072
BLR,2011-2020,0.30008008602479
BLZ,1991-2000,0.350175749612562
BLZ,2001-2010,0.564871098998089
BLZ,2011-2020,0.589613659597096
BOL,1991-2000,0.339459354955271
BOL,2001-2010,0.499487410304964
BOL,2011-2020,0.548419311636005
BRA,1991-2000,0.486685544647494
BRA,2001-2010,0.650519838147014
BRA,2011-2020,0.687851835528661
BRN,1991-2000,0.148505964281831
BRN,2001-2010,0.385488492730715
BRN,2011-2020,0.426915005802085
BTN,1991-2000,0.39396155802507
BTN,2001-2010,0.541584848176821
BTN,2011-2020,0.568173609744828
BWA,1991-2000,0.70310614505715
BWA,2001-2010,0.806899323381495
BWA,2011-2020,0.836302376439369
CAF,1991-2000,0.158506675381143
CAF,2001-2010,0.24478544079561
CAF,2011-2020,0.310812289360355
CAN,1991-2000,0.248015404547529
CAN,2001-2010,0.194605200987407
CAN,2011-2020,0.154039026061427
CHE,1991-2000,0.635265321758265
CHE,2001-2010,0.762552422426029
CHE,2011-2020,0.788497056500914
CHL,1991-2000,0.405888758244462
CHL,2001-2010,0.519703536351765
CHL,2011-2020,0.561763492370637
CHN,1991-2000,0.496207046808655
CHN,2001-2010,0.656089780726832
CHN,2011-2020,0.685409197028717
