country,NY.GDP.PCAP.pp.kd
Angola,7244.893053
Albania,17975.79839
Argentina,27104.98
Armenia,19230.18993
Australia,60408.94337
Austria,64336.03753
Azerbaijan,21262.298
Belgium,62876.23877
Benin,3721.224527
Burkina Faso,2482.072253
Bangladesh,8242.39799
Bulgaria,33111.73321
Bosnia and Herzegovina,19829.28226
Belarus,27718.32312
Bolivia,9843.970142
Brazil,19018.23907
Bhutan,14061.31202
Botswana,18846.25046
Central African Republic,1135.136277
Canada,56686.91595
Switzerland,81683.86626
Chile,29490.75849
China,22137.59983
Cote d'Ivoire,6485.315849
Cameroon,4870.570765
"Congo, Dem. Rep.",1455.835623
"Congo, Rep.",6172.287767
Colombia,18324.9053
Comoros,3498.803271
Cabo Verde,9288.40217
Costa Rica,25989.90981
Cyprus,52148.04297
Czechia,47452.34856
Germany,63097.7108
Djibouti,6400.620163
Denmark,71390.00246
Dominican Republic,23087.93436
Algeria,15159.32424
Ecuador,14472.31651
"Egypt, Arab Rep.",16691.13324
Spain,47298.41219
Estonia,41668.83757
Ethiopia,2755.457096
Finland,56454.84969
Fiji,13652.49087
France,53969.03757
"Micronesia, Fed. Sts.",3886.696571
Gabon,18702.69052
United Kingdom,52588.97943
Georgia,22590.52935
Ghana,6796.473619
Guinea,3949.340135
"Gambia, The",2932.280595
Guinea-Bissau,2578.804534
Greece,36821.27537
Guatemala,12389.38587
Honduras,6468.301921
Croatia,41100.25241
Haiti,2956.462137
Hungary,40167.99248
Indonesia,13889.88288
India,9160.063654
Ireland,115401.1253
"Iran, Islamic Rep.",15912.02992
Iraq,12711.06167
Iceland,66880.06581
Israel,48356.08991
Italy,52588.68994
Jamaica,10291.31267
Jordan,9362.587761
Japan,45948.67611
Kazakhstan,34703.23493
Kenya,5682.989162
Kyrgyz Republic,6403.143088
"Korea, Rep.",49995.48773
Lao PDR,8372.155919
Lebanon,11474.75058
Liberia,1616.923734
St. Lucia,23403.46177
Sri Lanka,13029.52394
Lesotho,2595.829523
Lithuania,46118.09251
Luxembourg,130373.4779
Latvia,38333.17143
Morocco,8868.711914
Moldova,15855.27374
Madagascar,1643.309348
Maldives,22286.98017
Mexico,21874.01615
North Macedonia,23323.90341
Mali,2394.672164
Malta,59548.08294
Myanmar,5364.13797
Montenegro,27342.82377
Mongolia,16222.86389
Mozambique,1511.636535
Mauritania,6258.710913
Mauritius,26590.42388
Malawi,1648.436518
Malaysia,32812.29975
Namibia,10105.51477
Niger,1703.396933
Nigeria,5593.056614
Nicaragua,7486.942762
Netherlands,70610.17045
Norway,90160.1575
Nepal,4859.800104
Pakistan,5439.18762
Panama,35863.88015
Peru,15294.25678
Philippines,9901.056524
Papua New Guinea,4174.44164
Poland,43585.11942
Portugal,41498.36696
Paraguay,15783.11501
West Bank and Gaza,5313.097903
Qatar,116159.1426
Romania,40267.30659
Russian Federation,39753.45703
Rwanda,3060.028931
Sudan,2469.19458
Senegal,4317.226392
Solomon Islands,2534.027563
Sierra Leone,3034.218943
El Salvador,11404.33423
Serbia,25718.42998
Sao Tome and Principe,5541.301676
Suriname,19043.70529
Slovak Republic,39171.78262
Slovenia,47825.23008
Sweden,62665.21726
Eswatini,10132.18726
Syrian Arab Republic,4454.853733
Chad,1679.461532
Togo,2767.516558
Thailand,21142.66433
Tajikistan,4472.324138
Timor-Leste,4328.50782
Tonga,6901.738556
Tunisia,12552.98669
Turkiye,34251.579
Tanzania,3620.793457
Uganda,2791.055769
Ukraine,15885.22559
Uruguay,31019.31139
United States,74577.50654
Uzbekistan,10007.6855
Viet Nam,13491.87942
Vanuatu,3118.396033
Samoa,6304.346137
Kosovo,13642.67696
South Africa,13690.38946
Zambia,3673.484197
Zimbabwe,3442.251327
