,last_updated
SI.DST.FRST.20,2025-10-08 16:44:21
SI.DST.02nd.20,2025-10-08 16:44:21
SI.DST.03rd.20,2025-10-08 16:44:22
SI.DST.04th.20,2025-10-08 16:44:23
SI.DST.05th.20,2025-10-08 16:44:23
NY.GDP.PCAP.PP.KD,2025-10-08 16:44:24
NY.GNP.PCAP.PP.KD,2025-10-08 16:44:25
SP.POP.TOTL,2025-10-08 16:44:25
SI.POV.GINI,2025-10-08 16:44:26
per_pr_allpr.adq_q1_tot,2025-10-08 16:44:42
per_pr_allpr.adq_q2_tot,2025-10-08 16:44:43
per_pr_allpr.adq_q3_tot,2025-10-08 16:43:41
per_pr_allpr.adq_q4_tot,2025-10-08 16:43:42
per_pr_allpr.adq_q5_tot,2025-10-08 16:43:42
per_allsp.adq_q1_tot,2025-10-08 16:43:43
per_allsp.adq_q2_tot,2025-10-08 16:43:43
per_allsp.adq_q3_tot,2025-10-08 16:43:43
per_allsp.adq_q4_tot,2025-10-08 16:43:44
per_allsp.adq_q5_tot,2025-10-08 16:43:44
per_pr_allpr.cov_q1_tot,2025-10-08 16:43:45
per_pr_allpr.cov_q2_tot,2025-10-08 16:43:45
per_pr_allpr.cov_q3_tot,2025-10-08 16:43:45
per_pr_allpr.cov_q4_tot,2025-10-08 16:43:46
per_pr_allpr.cov_q5_tot,2025-10-08 16:43:46
per_allsp.cov_q1_tot,2025-10-08 16:43:47
per_allsp.cov_q2_tot,2025-10-08 16:43:47
per_allsp.cov_q3_tot,2025-10-08 16:43:48
per_allsp.cov_q4_tot,2025-10-08 16:43:48
per_allsp.cov_q5_tot,2025-10-08 16:43:48
BX.TRF.PWKR.DT.GD.ZS,2025-10-08 16:43:49
SL.UEM.TOTL.ZS,2025-10-08 16:43:50
