country,year,per_allsp.adq_q5_tot
East Asia & Pacific,2010-20W,32.798185766589796
East Asia & Pacific,2010-20S,26.169220011591598
Europe & Central Asia,2010-20W,31.483540440300402
Europe & Central Asia,2010-20S,44.546413727755
High income,2010-20W,40.3476341328588
High income,2010-20S,36.63067964128819
Latin America & Caribbean,2010-20W,32.5693015295916
Latin America & Caribbean,2010-20S,27.257111367329003
Low income,2010-20W,17.0644059911735
Low income,2010-20S,14.580087480001898
Lower middle income,2010-20W,12.105850673214
Lower middle income,2010-20S,20.5181720326064
Middle East & North Africa,2010-20W,9.582695034588939
Middle East & North Africa,2010-20S,14.111105787671798
South Asia,2010-20W,7.72912357231178
South Asia,2010-20S,13.9930149414065
Sub-Saharan Africa,2010-20W,21.0235210229578
Sub-Saharan Africa,2010-20S,17.4312265229077
Upper middle income,2010-20W,33.3361508302371
Upper middle income,2010-20S,33.8387333316092
World,2010-20W,22.8968593723541
World,2010-20S,25.50580002637639
Afghanistan,2011,
Afghanistan,2007,19.4981977013922
Albania,2018,
Albania,2017,
Albania,2016,
Albania,2015,
Albania,2012,25.3035691579604
Albania,2008,22.56043362119699
Angola,2018,47.7047508816253
Argentina,2021,40.75169074611839
Argentina,2020,43.20795276636219
Argentina,2019,42.9011160454232
Argentina,2018,43.75996828511559
Argentina,2017,44.0245968685205
Argentina,2016,40.904519600495995
Argentina,2013,38.9077495662669
Argentina,2010,34.10372455579329
Argentina,2006,36.3567901572469
Armenia,2019,31.9395093200177
Armenia,2018,19.8636758853908
Armenia,2017,21.068545428551
Armenia,2016,19.1901391282377
Armenia,2015,20.862442931825388
Armenia,2014,21.414700121568288
Armenia,2013,20.7265517768891
Armenia,2012,21.650779175475492
Armenia,2011,21.4676837691422
Armenia,2010,22.6379332475797
Armenia,2009,21.3299705622679
Armenia,2008,17.313705450161
Azerbaijan,2015,2.33178093396273
Bangladesh,2016,5.09472439534866
Bangladesh,2010,15.648834987593299
Bangladesh,2005,40.02357134122299
Belarus,2019,38.29149544447719
Belarus,2018,33.28685926687489
Belarus,2017,36.0427370389972
Belarus,2016,46.910873378113
Belarus,2015,34.9297559987377
Belarus,2014,30.861726478718698
Belarus,2013,31.5089345756077
Belarus,2012,28.9661956479653
Belarus,2010,23.7156297757096
Belarus,2009,23.2814146098215
Belarus,2008,27.195412078585303
Belize,2009,17.92352686150519
Benin,2018,21.4639130952695
Benin,2003,40.6318987487994
Bhutan,2012,18.1014597500487
Bolivia,2020,11.4057787949111
Bolivia,2019,19.0275309029753
Bolivia,2018,15.553827727089201
Bolivia,2017,13.2760773772027
Bolivia,2016,14.1072759603309
Bolivia,2015,10.7471405181439
Bolivia,2014,11.3460879947585
Bolivia,2012,11.8124261180415
Bolivia,2011,12.1131676176262
Bolivia,2009,14.931860529826698
Bolivia,2008,14.6028286289426
Bolivia,2007,25.1655238978381
Bolivia,2006,26.6379449850363
Bosnia and Herzegovina,2015,26.147948654611692
Bosnia and Herzegovina,2007,12.2556854089606
Brazil,2020,37.6957621246927
Brazil,2019,40.2727496369203
Brazil,2018,39.3319116345549
Brazil,2017,38.8212123249701
Brazil,2016,38.71976708304659
Brazil,2015,44.0518428948995
Brazil,2012,35.2216431718644
Brazil,2011,37.1029806862539
Brazil,2009,37.6775531418359
Brazil,2006,43.7806251802773
Bulgaria,2007,20.900578456410297
Burkina Faso,2018,17.3333146103053
Burkina Faso,2014,19.0114540135157
Burkina Faso,2009,
Burkina Faso,2003,41.3120349368797
Cabo Verde,2007,13.1637874868328
Cambodia,2013,10.0585964261169
Cambodia,2008,6.67788618811289
Cameroon,2014,2.74423434738705
Cameroon,2007,24.8019457726493
Central African Republic,2008,
Chad,2011,19.1677011289534
Chile,2020,20.98548717377689
Chile,2017,18.2943602448691
Chile,2015,18.9015476419134
Chile,2013,19.30321029018299
Chile,2011,16.7042768528923
China,2013,39.683479236161
Colombia,2020,44.3601723672216
Colombia,2019,40.3553531794112
Colombia,2018,39.758094035728
Colombia,2017,39.2545090581717
Colombia,2016,38.107714193228496
Colombia,2015,35.93336913460569
Colombia,2014,32.5276291002902
Colombia,2012,22.844898425391
Colombia,2011,18.5415215766913
Colombia,2010,22.9019768251749
Comoros,2004,11.3388129596472
"Congo, Dem. Rep.",2012,36.8765907447918
"Congo, Dem. Rep.",2004,17.389318208388698
"Congo, Rep.",2005,72.1925024319437
Costa Rica,2020,39.5794621833396
Costa Rica,2019,39.3865039718413
Costa Rica,2018,35.9657886413927
Costa Rica,2017,37.4510132752394
Costa Rica,2016,37.3573882254452
Costa Rica,2015,35.9220397928445
Costa Rica,2014,32.4762163554512
Costa Rica,2012,26.462822156904497
Costa Rica,2011,29.9344213183274
Costa Rica,2010,32.2058783153036
Costa Rica,2008,39.2004591216547
Cote D'Ivoire,2018,17.2423567538434
Cote D'Ivoire,2015,45.9883345147437
Cote D'Ivoire,2008,23.221769703962288
Cote D'Ivoire,2002,16.4593840652142
Croatia,2014,41.936527252197294
Croatia,2011,44.0527877807617
Croatia,2010,37.390775622225
