country,year,per_pr_allpr.cov_q3_tot
East Asia & Pacific,2010-20W,27.4060697250999
East Asia & Pacific,2010-20S,35.6420375483749
Europe & Central Asia,2010-20W,28.48086986832079
Europe & Central Asia,2010-20S,20.2940527951149
High income,2010-20W,23.8148463555866
High income,2010-20S,19.1777513527907
Latin America & Caribbean,2010-20W,18.5775588748883
Latin America & Caribbean,2010-20S,30.329639602574098
Low income,2010-20W,26.422606065094
Low income,2010-20S,34.6472863462886
Lower middle income,2010-20W,41.95349174229409
Lower middle income,2010-20S,33.5488850888024
Middle East & North Africa,2010-20W,57.229730030645996
Middle East & North Africa,2010-20S,58.4616749503074
South Asia,2010-20W,33.7670592081211
South Asia,2010-20S,26.268572257550698
Sub-Saharan Africa,2010-20W,33.0395020047832
Sub-Saharan Africa,2010-20S,34.3475172976204
Upper middle income,2010-20W,24.2274577706597
Upper middle income,2010-20S,32.4782711970904
World,2010-20W,29.9446166252681
World,2010-20S,32.3778909070056
Afghanistan,2011,5.00010623204383
Afghanistan,2007,4.82686426056627
Albania,2018,17.6964898773496
Albania,2017,16.7991058247294
Albania,2016,2.50317402691104
Albania,2015,2.23321973681978
Albania,2012,20.499733973533598
Albania,2008,36.3169003453368
Angola,2018,35.5087418960411
Argentina,2021,13.6970065360654
Argentina,2020,15.894692506676101
Argentina,2019,13.0188259294072
Argentina,2018,11.3081674955483
Argentina,2017,10.88554051374229
Argentina,2016,11.6521082971647
Argentina,2013,7.56648931259864
Argentina,2010,8.38200258606919
Argentina,2006,8.61929154467262
Armenia,2019,17.4476062931716
Armenia,2018,31.267149246145397
Armenia,2017,17.2048141256289
Armenia,2016,28.5444003666125
Armenia,2015,22.02349024682769
Armenia,2014,19.8817225578413
Armenia,2013,19.831639721252188
Armenia,2012,17.2561117613771
Armenia,2011,19.143970847336288
Armenia,2010,21.588959129035
Armenia,2009,18.3972854379032
Armenia,2008,16.5550007446754
Azerbaijan,2015,15.25752648616619
Bangladesh,2016,27.6884561013165
Bangladesh,2010,24.5745940132919
Bangladesh,2005,43.442158940926
Belarus,2019,53.190407034425704
Belarus,2018,57.390885566407704
Belarus,2017,60.003688731279006
Belarus,2016,57.39865776030349
Belarus,2015,56.572844294967
Belarus,2014,56.9814539810397
Belarus,2013,55.86242316277921
Belarus,2012,56.36941202634
Belarus,2010,64.3549031289404
Belarus,2009,68.2716088368915
Belarus,2008,57.7884839589237
Belize,2009,23.1519016621961
Benin,2018,24.221578712296598
Benin,2003,25.835735127998
Bhutan,2012,9.47075443716413
Bolivia,2020,19.9718162009401
Bolivia,2019,24.571580421313598
Bolivia,2018,21.7810031681828
Bolivia,2017,20.8125080736361
Bolivia,2016,23.1306758965519
Bolivia,2015,16.93763022925919
Bolivia,2014,21.673425758972
Bolivia,2012,16.0056808210844
Bolivia,2011,22.1383376100149
Bolivia,2009,21.979691938702288
Bolivia,2008,24.1382624824469
Bolivia,2007,24.883152801147197
Bolivia,2006,19.4273515483328
Bosnia and Herzegovina,2015,7.77288499654774
Bosnia and Herzegovina,2007,11.0342791455117
Brazil,2020,4.46636407390061
Brazil,2019,6.9134631336658705
Brazil,2018,6.748856540820169
Brazil,2017,6.9680021825409
Brazil,2016,6.572286094130391
Brazil,2015,1.24524500780075
Brazil,2012,1.41626184411452
Brazil,2011,1.32425790008271
Brazil,2009,1.78525392495157
Brazil,2006,2.26006124963215
Bulgaria,2007,28.407695479574603
Burkina Faso,2018,33.292295591063095
Burkina Faso,2014,23.0837688656479
Burkina Faso,2009,30.3779128091284
Burkina Faso,2003,15.9226908626455
Cabo Verde,2007,38.8725741862614
Cambodia,2013,44.5771147870198
Cambodia,2008,29.994983044421392
Cameroon,2014,6.5175489178587
Cameroon,2007,5.9951684152402
Central African Republic,2008,6.66223708276177
Chad,2011,6.84884156881013
Chile,2020,26.9291994749565
Chile,2017,15.10339648815
Chile,2015,15.2346841944473
Chile,2013,15.089827672541201
Chile,2011,11.05417673575889
China,2013,23.3582928275808
Colombia,2020,18.9821384261373
Colombia,2019,23.586972755458
Colombia,2018,24.2877340053059
Colombia,2017,24.1465795147959
Colombia,2016,22.321419931388
Colombia,2015,22.9918342603617
Colombia,2014,25.6594599091925
Colombia,2012,26.790982683025998
Colombia,2011,31.256610745151697
Colombia,2010,29.1844819426995
Comoros,2004,27.4276170957516
"Congo, Dem. Rep.",2012,10.5888047387191
"Congo, Dem. Rep.",2004,4.10216002627359
"Congo, Rep.",2005,51.6150010428737
Costa Rica,2020,18.481245359949998
Costa Rica,2019,20.4955131286203
Costa Rica,2018,20.8004246561459
Costa Rica,2017,19.901441946729488
Costa Rica,2016,19.6207276917673
Costa Rica,2015,20.336243331039
Costa Rica,2014,17.072668020413488
Costa Rica,2012,17.0140747572336
Costa Rica,2011,19.02321197125009
Costa Rica,2010,18.6822090494641
Costa Rica,2008,9.78032657226369
Cote D'Ivoire,2018,38.4303066180276
Cote D'Ivoire,2015,19.5822275470479
Cote D'Ivoire,2008,30.3641196470835
Cote D'Ivoire,2002,26.971364347189
Croatia,2014,12.11363697052
Croatia,2011,10.0234489440918
Croatia,2010,12.523620508162999
Croatia,2008,14.575885239397099
Djibouti,2012,20.2314160846219
Dominica,2002,50.3069901963219
Dominican Republic,2019,46.07751255268409
Dominican Republic,2018,45.682215499384796
Dominican Republic,2017,45.382735049362296
Dominican Republic,2016,40.13940685051729
Dominican Republic,2015,37.6447580163384
Dominican Republic,2014,55.4404051321301
Dominican Republic,2013,41.6550179110351
Dominican Republic,2012,43.33754678043799
Dominican Republic,2011,43.9913087248661
Dominican Republic,2010,43.39648635120259
Dominican Republic,2009,40.7522371263419
Dominican Republic,2008,42.1698342043668
Dominican Republic,2007,38.7557068136392
Ecuador,2020,52.72818962030059
Ecuador,2019,62.1895671685967
Ecuador,2018,52.93412338631309
Ecuador,2017,52.2261495806851
Ecuador,2016,48.3583800346345
Ecuador,2015,43.6891601183644
Ecuador,2014,29.833518161203
Ecuador,2012,14.3853718177328
Ecuador,2011,13.831155652192601
Ecuador,2010,15.3629873387877
Ecuador,2008,16.1157117513057
"Egypt, Arab Rep.",2017,98.87506019805008
"Egypt, Arab Rep.",2008,5.84358487715123
El Salvador,2019,35.5868894140728
El Salvador,2018,31.139042615919
El Salvador,2017,32.8411079858306
El Salvador,2016,32.690640515240496
El Salvador,2015,33.6871195874499
El Salvador,2014,33.051918955165895
El Salvador,2012,37.4814878822137
El Salvador,2011,33.2669272780929
El Salvador,2010,36.6112190895846
El Salvador,2009,33.127230245349395
El Salvador,2008,36.9848960145849
El Salvador,2007,40.3784144300589
Eswatini,2016,68.4695926855969
Ethiopia,2018,11.1623715091688
Ethiopia,2015,14.4117272167649
Fiji,2013,47.0345220600013
Fiji,2008,59.65800916708191
Gabon,2017,36.5327804787497
Gabon,2005,22.6688472913921
"Gambia, The",2015,31.301685058182997
"Gambia, The",2010,38.6758049958989
Georgia,2021,59.0258426828835
Georgia,2020,57.4672785912029
Georgia,2019,39.049881219693
Georgia,2018,43.31778479447469
Georgia,2017,45.3314745170707
Georgia,2016,46.3351212010538
Georgia,2015,51.386904875409
Georgia,2014,84.4084975876088
