iso3,gini_index
ALB,29.4
DZA,27.6
AGO,51.3
ARG,40.7
ARM,27.9
AUS,34.3
AUT,30.7
AZE,26.6
BGD,33.4
BLR,24.4
BEL,26.6
BEN,34.4
BTN,28.5
BOL,40.9
BIH,33.0
BWA,53.3
BRA,52.0
BGR,39.0
BFA,37.4
BDI,37.5
CPV,42.4
CMR,42.2
CAN,31.7
CAF,43.0
TCD,37.4
CHL,43.0
CHN,35.7
COL,54.8
COM,45.3
COD,44.7
COG,48.9
CRI,46.7
CIV,35.3
HRV,28.9
CYP,31.3
CZE,26.2
DNK,28.3
DJI,41.6
DOM,37.0
ECU,44.6
EGY,31.9
SLV,38.8
EST,31.8
SWZ,54.6
ETH,35.0
FJI,30.7
FIN,27.7
FRA,31.5
GAB,38.0
GMB,38.8
GEO,33.5
DEU,32.4
GHA,43.5
GRC,32.9
GRD,43.8
GTM,48.3
GIN,29.6
GNB,33.4
HTI,41.1
HND,48.2
HUN,29.2
ISL,26.1
IND,32.8
IDN,36.1
IRN,34.8
IRQ,29.5
IRL,30.1
ISR,37.9
ITA,34.8
JAM,40.2
JPN,32.9
JOR,33.7
KAZ,29.2
KEN,38.7
KIR,27.8
KOR,32.9
XKX,29.0
KGZ,26.4
LAO,38.8
LVA,34.3
LBN,31.8
LSO,44.9
LBR,35.3
LTU,36.7
LUX,32.7
MDG,42.6
MWI,38.5
MYS,40.7
MDV,29.3
MLI,35.7
MLT,31.4
MHL,35.5
MRT,32.0
MUS,36.8
MEX,43.5
FSM,40.1
MDA,25.7
MNG,31.4
MNE,34.3
MAR,39.5
MOZ,50.3
MMR,30.7
NAM,59.1
NRU,32.4
NPL,30.0
NLD,25.7
NIC,46.2
NER,32.9
NGA,35.1
MKD,33.5
NOR,27.7
PAK,29.6
PAN,48.9
PNG,41.9
PRY,45.1
PER,40.3
PHL,40.7
POL,28.5
PRT,34.6
QAT,35.1
ROU,33.9
RUS,35.1
RWA,43.7
WSM,38.7
STP,40.7
SEN,36.2
SRB,33.1
SYC,32.1
SLE,35.7
SVK,24.1
SVN,24.3
SLB,37.1
ZAF,63.0
SSD,44.1
ESP,33.9
LKA,37.7
LCA,43.7
SDN,34.2
SUR,39.2
SWE,29.8
CHE,33.7
SYR,26.6
TJK,34.0
TZA,40.5
THA,34.9
TLS,28.7
TGO,37.9
TON,27.1
TUN,33.7
TUR,44.4
TUV,39.1
UGA,42.7
UKR,25.6
ARE,26.4
GBR,32.4
USA,41.3
URY,40.6
UZB,31.2
VUT,32.3
VEN,44.7
VNM,36.1
PSE,33.7
YEM,36.7
ZMB,51.5
ZWE,50.3
