country,iso3,old_age_pension_coverage
Algeria,DZA,88.6
Egypt,EGY,58.5
Libya,LBY,79.4
Morocco,MAR,23.4
Sudan,SDN,10.6
Tunisia,TUN,100
Angola,AGO,15.3
Benin,BEN,9.1
Botswana,BWA,100
Burkina Faso,BFA,6.7
Burundi,BDI,13.3
Cabo Verde,CPV,69.8
Cameroon,CMR,18.3
Central African Republic,CAF,4.7
Chad,TCD,5.8
Comoros,COM,7.1
Congo,COG,22.1
Côte d'Ivoire,CIV,16.2
DR Congo,COD,1
Djibouti,DJI,14.2
Equatorial Guinea,GNQ,3.7
Eritrea,ERI,…
Eswatini,SWZ,100
Ethiopia,ETH,4.2
Gabon,GAB,38.8
Gambia,GMB,17
Ghana,GHA,15.7
Guinea,GIN,2.5
Guinea-Bissau,GNB,14.7
Kenya,KEN,19.8
Lesotho,LSO,100
Liberia,LBR,3.4
Madagascar,MDG,19.2
Malawi,MWI,8.9
Mali,MLI,5.6
Mauritania,MRT,18.6
Mauritius,MUS,100
Mozambique,MOZ,42.3
Namibia,NAM,100
Niger,NER,5.8
Nigeria,NGA,19.6
Rwanda,RWA,16.7
Sao Tome and Principe,STP,54.8
Senegal,SEN,25.3
Seychelles,SYC,100
Sierra Leone,SLE,7
Somalia,SOM,0
South Africa,ZAF,79.9
South Sudan,SSD,0
Tanzania (United Republic of),TZA,6
Togo,TGO,15.9
Uganda,UGA,18.3
Zambia,ZMB,25.8
Zimbabwe,ZWE,19.6
Anguilla,AIA,66.1
Antigua and Barbuda,ATG,84.4
Argentina,ARG,90.8
Aruba,ABW,100
Bahamas,BHS,74.8
Barbados,BRB,98.4
Belize,BLZ,37.5
Bolivia (Plurinational State of),BOL,100
Brazil,BRA,88.6
British Virgin Islands,VGB,59.3
Cayman Islands,CYM,3.1
Chile,CHL,71.6
Colombia,COL,51.4
Costa Rica,CRI,56.9
Cuba,CUB,60.9
Curaçao,CUW,100
Dominica,DMA,92.7
Dominican Republic,DOM,7.6
Ecuador,ECU,66.1
El Salvador,SLV,24.5
French Guiana,GUF,55.5
Grenada,GRD,53.5
Guadeloupe,GLP,82.3
Guatemala,GTM,23.3
Guyana,GUY,100
Haiti,HTI,1
Honduras,HND,14.6
Jamaica,JAM,87.8
Martinique,MTQ,72.1
Mexico,MEX,100
