iso3,year,income_cat,country,liquidity_share,liquidity
AFG,2014,q1,Afghanistan,0.6062309461926171,106.0
AFG,2014,q2,Afghanistan,0.6337386884913135,106.0
AFG,2014,q3,Afghanistan,0.668254707177611,106.0
AFG,2014,q4,Afghanistan,0.6889439344114644,106.0
AFG,2014,q5,Afghanistan,0.6765749157068396,106.0
AFG,2017,q1,Afghanistan,0.4399842571762146,106.0
AFG,2017,q2,Afghanistan,0.46573086253950857,106.0
AFG,2017,q3,Afghanistan,0.5726507980929869,106.0
AFG,2017,q4,Afghanistan,0.5335992537889556,106.0
AFG,2017,q5,Afghanistan,0.6903130093305823,106.0
AFG,2021,q1,Afghanistan,0.8191835715939658,84.0
AFG,2021,q2,Afghanistan,0.6966416135596776,84.0
AFG,2021,q3,Afghanistan,0.778103270798471,84.0
AFG,2021,q4,Afghanistan,0.7767153980667458,84.0
AFG,2021,q5,Afghanistan,0.8404867772252976,84.0
ALB,2014,q1,Albania,0.44337166293257224,568.0
ALB,2014,q2,Albania,0.6472059575752664,568.0
ALB,2014,q3,Albania,0.7215903413374324,568.0
ALB,2014,q4,Albania,0.7715879221320957,568.0
ALB,2014,q5,Albania,0.8406960508138974,568.0
ALB,2017,q1,Albania,0.30721096204091713,640.0
ALB,2017,q2,Albania,0.38392511460896994,640.0
ALB,2017,q3,Albania,0.48750640885795055,640.0
ALB,2017,q4,Albania,0.6378696534583678,640.0
ALB,2017,q5,Albania,0.7730239763035947,640.0
ALB,2021,q1,Albania,0.7538895757834695,802.0
ALB,2021,q2,Albania,0.8542918071262512,802.0
ALB,2021,q3,Albania,0.906764926677395,802.0
ALB,2021,q4,Albania,0.9597624195664047,802.0
ALB,2021,q5,Albania,0.9616159780588479,802.0
DZA,2014,q1,Algeria,0.690683304609065,638.0
DZA,2014,q2,Algeria,0.7600525655516901,638.0
DZA,2014,q3,Algeria,0.8745421115997049,638.0
DZA,2014,q4,Algeria,0.8928616122230518,638.0
DZA,2014,q5,Algeria,0.9479162434862368,638.0
DZA,2017,q1,Algeria,0.474189285130826,581.5
DZA,2017,q2,Algeria,0.48837324490329576,581.5
DZA,2017,q3,Algeria,0.6019470130407402,581.5
DZA,2017,q4,Algeria,0.6432443774814522,581.5
DZA,2017,q5,Algeria,0.8084201721343932,581.5
DZA,2021,q1,Algeria,0.7058682512286487,597.5
DZA,2021,q2,Algeria,0.7876935441899068,597.5
DZA,2021,q3,Algeria,0.8295678611448876,597.5
DZA,2021,q4,Algeria,0.9150993358187179,597.5
DZA,2021,q5,Algeria,0.9617989346130865,597.5
AGO,2014,q1,Angola,0.2574210151744467,381.5
AGO,2014,q2,Angola,0.3509365893805002,381.5
AGO,2014,q3,Angola,0.5093153824598805,381.5
AGO,2014,q4,Angola,0.4760367603534947,381.5
AGO,2014,q5,Angola,0.6414509707915093,381.5
ARG,2014,q1,Argentina,0.6520722443068426,964.0
ARG,2014,q2,Argentina,0.6215879643640524,964.0
ARG,2014,q3,Argentina,0.7866800012086694,964.0
ARG,2014,q4,Argentina,0.7347310793604518,964.0
ARG,2014,q5,Argentina,0.81051146330496,964.0
ARG,2017,q1,Argentina,0.17481618575237504,1149.5
ARG,2017,q2,Argentina,0.25267531549386746,1149.5
ARG,2017,q3,Argentina,0.32524792375042055,1149.5
ARG,2017,q4,Argentina,0.39215304551035784,1149.5
ARG,2017,q5,Argentina,0.5228356159992127,1149.5
ARG,2021,q1,Argentina,0.7087207911230642,1167.5
ARG,2021,q2,Argentina,0.8770262420558304,1167.5
ARG,2021,q3,Argentina,0.8554645953509205,1167.5
ARG,2021,q4,Argentina,0.9491794751637528,1167.5
ARG,2021,q5,Argentina,0.8985552278576695,1167.5
ARM,2014,q1,Armenia,0.5004995854075207,528.5
ARM,2014,q2,Armenia,0.5320049202006827,528.5
ARM,2014,q3,Armenia,0.6294563033150364,528.5
ARM,2014,q4,Armenia,0.6247290014179788,528.5
ARM,2014,q5,Armenia,0.8121575853505733,528.5
ARM,2017,q1,Armenia,0.23016869578771837,647.5
ARM,2017,q2,Armenia,0.3758706521205028,647.5
ARM,2017,q3,Armenia,0.3313613718247617,647.5
ARM,2017,q4,Armenia,0.49948613562306227,647.5
ARM,2017,q5,Armenia,0.4978224479742926,647.5
ARM,2021,q1,Armenia,0.7027460782509843,761.0
ARM,2021,q2,Armenia,0.8085249702357592,761.0
ARM,2021,q3,Armenia,0.7577917541672059,761.0
ARM,2021,q4,Armenia,0.8094509949799201,761.0
ARM,2021,q5,Armenia,0.9234091275733087,761.0
AUS,2014,q1,Australia,0.7158183966176678,2284.5
AUS,2014,q2,Australia,0.8103848394905042,2284.5
AUS,2014,q3,Australia,0.9156716102808393,2284.5
AUS,2014,q4,Australia,0.9418290095354157,2284.5
AUS,2014,q5,Australia,0.9384760473325986,2284.5
AUS,2017,q1,Australia,0.5938608621233498,2354.5
AUS,2017,q2,Australia,0.7484480774354406,2354.5
AUS,2017,q3,Australia,0.7956024412710769,2354.5
AUS,2017,q4,Australia,0.8504379074465941,2354.5
AUS,2017,q5,Australia,0.8970611104188749,2354.5
AUS,2021,q1,Australia,0.8164120731581738,2839.0
AUS,2021,q2,Australia,0.9302807913562493,2839.0
AUS,2021,q3,Australia,0.9713135643739826,2839.0
AUS,2021,q4,Australia,0.9547019730110435,2839.0
AUS,2021,q5,Australia,0.9857588710305402,2839.0
AUT,2014,q1,Austria,0.7402577110778187,2443.0
AUT,2014,q2,Austria,0.8624764268701164,2443.0
AUT,2014,q3,Austria,0.9049281401810186,2443.0
AUT,2014,q4,Austria,0.9101898170221875,2443.0
AUT,2014,q5,Austria,0.9140176349617617,2443.0
AUT,2017,q1,Austria,0.5484679048989615,2683.5
AUT,2017,q2,Austria,0.7145944014372897,2683.5
AUT,2017,q3,Austria,0.7463282283174154,2683.5
AUT,2017,q4,Austria,0.8232060272003846,2683.5
AUT,2017,q5,Austria,0.9049691808323013,2683.5
AUT,2021,q1,Austria,0.8931267823675333,3220.5
AUT,2021,q2,Austria,0.9391433066836343,3220.5
AUT,2021,q3,Austria,0.9477871068998766,3220.5
AUT,2021,q4,Austria,0.9193092235871109,3220.5
AUT,2021,q5,Austria,0.9014588275665917,3220.5
AZE,2014,q1,Azerbaijan,0.6361274820061995,847.0
AZE,2014,q2,Azerbaijan,0.7424564664138554,847.0
AZE,2014,q3,Azerbaijan,0.7244390961847925,847.0
AZE,2014,q4,Azerbaijan,0.8264740652833995,847.0
AZE,2014,q5,Azerbaijan,0.8009592660775695,847.0
AZE,2017,q1,Azerbaijan,0.278609938235822,679.5
AZE,2017,q2,Azerbaijan,0.382093490969191,679.5
AZE,2017,q3,Azerbaijan,0.4267298311711033,679.5
AZE,2017,q4,Azerbaijan,0.4455728075238715,679.5
AZE,2017,q5,Azerbaijan,0.6246164648991867,679.5
AZE,2022,q1,Azerbaijan,0.5831772032664608,831.5
AZE,2022,q2,Azerbaijan,0.6416117540546261,831.5
AZE,2022,q3,Azerbaijan,0.7684364363921018,831.5
AZE,2022,q4,Azerbaijan,0.8320768438476874,831.5
AZE,2022,q5,Azerbaijan,0.7989270373896347,831.5
BHR,2014,q1,Bahrain,0.5581190476869073,2476.5
BHR,2014,q2,Bahrain,0.6869596828634941,2476.5
BHR,2014,q3,Bahrain,0.713605505707317,2476.5
BHR,2014,q4,Bahrain,0.8449458595050687,2476.5
BHR,2014,q5,Bahrain,0.9050245291586305,2476.5
BHR,2017,q1,Bahrain,0.3998385010825501,2309.5
BHR,2017,q2,Bahrain,0.3974181365365858,2309.5
BHR,2017,q3,Bahrain,0.5736723040246106,2309.5
BHR,2017,q4,Bahrain,0.6534991281847932,2309.5
BHR,2017,q5,Bahrain,0.703850391696942,2309.5
BGD,2014,q1,Bangladesh,0.5472668124001472,211.0
BGD,2014,q2,Bangladesh,0.6344103173846293,211.0
BGD,2014,q3,Bangladesh,0.7193541318430743,211.0
BGD,2014,q4,Bangladesh,0.7631321713057572,211.0
BGD,2014,q5,Bangladesh,0.9107046546593234,211.0
BGD,2017,q1,Bangladesh,0.4069879345992751,250.0
BGD,2017,q2,Bangladesh,0.5492799177690012,250.0
BGD,2017,q3,Bangladesh,0.601413732507794,250.0
BGD,2017,q4,Bangladesh,0.7657603237395832,250.0
BGD,2017,q5,Bangladesh,0.7802621794421709,250.0
BGD,2021,q1,Bangladesh,0.7965035307511952,343.5
BGD,2021,q2,Bangladesh,0.8261893098477205,343.5
BGD,2021,q3,Bangladesh,0.789356760424621,343.5
BGD,2021,q4,Bangladesh,0.9169562405058659,343.5
BGD,2021,q5,Bangladesh,0.8668977413678355,343.5
BLR,2014,q1,Belarus,0.7366164995631149,922.0
BLR,2014,q2,Belarus,0.9073744862528497,922.0
BLR,2014,q3,Belarus,0.8549705680241527,922.0
BLR,2014,q4,Belarus,0.844813699567464,922.0
BLR,2014,q5,Belarus,0.9190719582134657,922.0
BLR,2017,q1,Belarus,0.4741914553042697,883.5
BLR,2017,q2,Belarus,0.6215761705434671,883.5
BLR,2017,q3,Belarus,0.6056242867918432,883.5
BLR,2017,q4,Belarus,0.6938330661921402,883.5
BLR,2017,q5,Belarus,0.7724724478004309,883.5
BEL,2014,q1,Belgium,0.6624563318526767,2293.5
BEL,2014,q2,Belgium,0.7280153496692657,2293.5
BEL,2014,q3,Belgium,0.7544376887369165,2293.5
BEL,2014,q4,Belgium,0.7888312440251072,2293.5
BEL,2014,q5,Belgium,0.8961254592053619,2293.5
BEL,2017,q1,Belgium,0.4694729550708444,2545.0
BEL,2017,q2,Belgium,0.5563876252849619,2545.0
BEL,2017,q3,Belgium,0.7341797629650155,2545.0
BEL,2017,q4,Belgium,0.7448686353487578,2545.0
BEL,2017,q5,Belgium,0.8743304478424838,2545.0
BEL,2021,q1,Belgium,0.963577746687992,3138.5
BEL,2021,q2,Belgium,0.9227483906026303,3138.5
BEL,2021,q3,Belgium,0.954520409327367,3138.5
BEL,2021,q4,Belgium,0.9634876069574221,3138.5
BEL,2021,q5,Belgium,0.9793161830443707,3138.5
BLZ,2014,q1,Belize,0.6106080496992142,430.0
BLZ,2014,q2,Belize,0.548904065110153,430.0
BLZ,2014,q3,Belize,0.7837239162959916,430.0
BLZ,2014,q4,Belize,0.7811528909441754,430.0
BLZ,2014,q5,Belize,0.8458936017719422,430.0
BEN,2014,q1,Benin,0.47952729800946003,136.5
BEN,2014,q2,Benin,0.6108634287012009,136.5
