,iso3,country,MerL_Riv,MerL_Co
0,IDN,Indonesia,100.0000502041878,14.49175064032689
1,MYS,Malaysia,33.38911778432136,51.17398090210698
2,CHL,Chile,57.6879484399176,16.01708970083351
3,BOL,Bolivia,6.706563559701128,0
4,PER,Peru,91.76913135250621,3.994342083643207
5,ARG,Argentina,49.38920519507015,14.48131979022849
6,CYP,Cyprus,14.29521918130544,5.557341571349474
7,IND,India,99.99947573586705,63.84926117016381
8,CHN,China,29.43819583859641,28.7289727183617
9,ISR,Israel,100.0000181313428,7.256214940136521
10,PSE,West Bank and Gaza,29.23125037615007,0.4287459505634076
11,LBN,Lebanon,15.53901162613096,41.06961728578289
12,ETH,Ethiopia,1.949319844273826,2.182382712324062e-05
13,SSD,South Sudan,2.157782718572309,0
14,SOM,Somalia,1.824721776514275,0.6893086206719738
15,KEN,Kenya,2.125619081213906,0.05340186748532529
16,PAK,Pakistan,7.2139183581255,1.554861574652473
17,MWI,Malawi,2.98283411672248,0.003299082253583449
18,TZA,Tanzania,1.968519954600199,0.3793602063981523
19,SYR,Syrian Arab Republic,8.948145547792079,0
20,FRA,France,119.6113109154283,27.01646923831492
21,SUR,Suriname,23.94447662732932,18.74899648129814
22,GUY,Guyana,8.338134926206489,7.912239130074372
23,KOR,"Korea, Republic of",168.054828496787,51.73381815892534
24,PRK,"Korea, Democratic People's Republic of",3.289359461118036,1.427488090178368
25,MAR,Morocco,19.78190152223628,8.643748073311867
26,CRI,Costa Rica,17.02194680901668,4.417843943336388
27,NIC,Nicaragua,6.41578105235634,0.692400845096945
28,COG,"Congo, Rep. of",4.702346277153631,0.02555069002755941
29,COD,"Congo, Democratic Republic of",2.037779739919518,0.02088370719668576
30,BTN,Bhutan,6.781135691165558,0.4208978631513189
31,UKR,Ukraine,9.271870953945935,0
32,BLR,Belarus,13.98804537097265,0
33,NAM,Namibia,16.52581708483515,0.5136699469879961
34,ZAF,South Africa,100.0000048883162,79.44142360311216
35,MAF,Saint-Martin (Fr.),0,0
36,SXM,Sint Maarten (Neth.),,
37,OMN,Oman,41.59039648962781,77.28197131037942
38,UZB,Uzbekistan,9.039966627458808,0
39,KAZ,Kazakhstan,15.644553339638,0
40,TJK,Tajikistan,2.609937059854746,0
41,LTU,Lithuania,49.78665044396848,4.675370263690729
42,BRA,Brazil,22.10157059446965,22.82388039877624
43,URY,Uruguay,46.96074307270953,0.6495746447086516
44,MNG,Mongolia,6.337401801574531,0
45,RUS,Russian Federation,83.98652916038479,8.25122287952801
46,CZE,Czech Republic,86.13988211796371,0
47,DEU,Germany,106.2179142854564,99.4712297649733
48,EST,Estonia,45.85230865210559,24.84276004825182
49,LVA,Latvia,57.09909988741175,25.10472497242359
50,NOR,Norway,56.53241206485823,5.528886618850244
51,SWE,Sweden,60.86013243779401,28.86547274199493
52,FIN,Finland,47.93018036908925,81.9120285578135
53,VNM,Vietnam,18.2452584815773,3.720332321796721
54,KHM,Cambodia,5.464899419896866,0.16907331931878
55,LUX,Luxembourg,62.6001182138708,0
56,ARE,United Arab Emirates,30.11422601432394,268.4597018806925
57,BEL,Belgium,213.6497682142595,91.36065254612333
58,GEO,Georgia,26.65732206281902,0
59,MKD,North Macedonia,14.52013855351614,0.02745839893119454
60,ALB,Albania,15.53812983038791,17.69356741742366
61,AZE,Azerbaijan,14.89961952661951,0
62,XKX,Kosovo,7.661507210964548,0
63,TUR,Turkey,18.12234076589479,4.124746435442677
64,ESP,Spain,96.8043275872174,46.05261416864663
65,LAO,Lao People's Democratic Republic,6.821022601149488,0.02358256402136213
66,KGZ,Kyrgyz Republic,3.156698531597451,0
67,ARM,Armenia,10.09014089481521,0
68,DNK,Denmark,35.64140486741957,102.7348529872195
69,LBY,Libya,27.3709502173695,9.2957314613273
70,TUN,Tunisia,18.55861253050972,21.02220661941898
71,ROU,Romania,50.00000080795761,0
72,HUN,Hungary,100.0000064465561,0
73,SVK,Slovak Republic,99.99998356369619,99.99998356369619
74,POL,Poland,199.999915579447,180.6570034654544
75,IRL,Ireland,199.9999875012539,92.45924901005316
76,GBR,United Kingdom,230.1299628954135,71.80223910816967
77,GRC,Greece,24.62419287935771,27.78622636517661
78,ZMB,Zambia,6.529094939141981,0
79,SLE,Sierra Leone,1.760804923570273,1.880974030441856
80,GIN,Guinea,3.913046187519934,1.098215604016742
81,LBR,Liberia,6.653194195049366,5.146813149627818
82,CAF,Central African Republic,2.207036634666781,0
83,SDN,Sudan,7.716921279010713,0.3453980831910792
84,DJI,Djibouti,2.190880638854981,7.455433517735788
85,ERI,Eritrea,2.003430866410845,0.004659040231341359
86,AUT,Austria,610.0187978371207,0.007694796728655274
87,IRQ,Iraq,20.81944603768541,1.593591421397617
88,ITA,Italy,61.05744506768713,38.46404617577465
89,CHE,Switzerland,30.0000013465808,0
90,IRN,"Iran, Islamic Republic of",17.89139790669528,1.953954061842234
91,LIE,Liechtenstein,12.63723856052236,0
92,CIV,Côte d'Ivoire,6.807846591264169,0.9783811927497646
93,SRB,Serbia,20.77438684708684,0
94,MLI,Mali,7.051447067797279,0
95,SEN,Senegal,5.401764990213573,1.426771650151697
96,NGA,Nigeria,7.065881068414074,61.52850790588753
97,BEN,Benin,5.915410578927322,0.3845009013974279
98,AGO,Angola,16.40981765422472,27.40843900418662
99,HRV,Croatia,180.6740091740387,154.2666879433709
100,SVN,Slovenia,56.37243034161575,4.203143104141826
101,QAT,Qatar,0,63.82416870484823
102,SAU,Saudi Arabia,46.22947383997322,12.68950593133173
103,BWA,Botswana,16.20418754825175,0.0002744723451372712
104,ZWE,Zimbabwe,2.020500802515371,0
105,BGR,Bulgaria,27.3143938097103,0.02683925317166859
106,THA,Thailand,22.88930222402872,11.43762075777241
107,SMR,San Marino,0,7.0343662121562
108,HTI,Haiti,1.651582247053685,1.274937570200739
109,DOM,Dominican Republic,84.2110897299146,9.166403718763016
110,TCD,Chad,3.168414017451558,0
111,KWT,Kuwait,65.77403904112032,147.2047562709435
112,SLV,El Salvador,6.841659879015594,3.071846071320598
113,GTM,Guatemala,7.961838165400761,0.3017152112063958
114,TLS,Timor-Leste,2.691174829535076,5.136598853732383
115,BRN,Brunei Darussalam,85.31848758707198,177.0657339438386
116,MCO,Monaco,0,40.70136984580243
117,DZA,Algeria,19.69096028386024,22.71484392520666
118,MOZ,Mozambique,19.56091498821031,3.500947655831794
119,SWZ,eSwatini,6.610998377440167,0
120,BDI,Burundi,1.664751672348882,0
121,RWA,Rwanda,2.218401156716561,0
122,MMR,Myanmar,2.393960775485076,0.9052688890779521
123,BGD,Bangladesh,50.0000056484733,0.8851181639865411
124,AND,Andorra,40.2051223931642,0
125,AFG,Afghanistan,2.521503434689478,0.000164228151356995
126,MNE,Montenegro,11.36252485550098,0
127,BIH,Bosnia and Herzegovina,18.31872349100183,0.9341944336838461
128,UGA,Uganda,1.529017771501006,0
129,CUB,Cuba,12.51895558159721,12.49335152680574
130,HND,Honduras,7.172557131178848,1.007138782654269
131,ECU,Ecuador,18.2060110372592,19.25655059078863
132,COL,Colombia,19.44042069738325,10.17605299773521
133,PRY,Paraguay,16.42513425115515,3.635910162267637e-05
134,PRT,Portugal,72.97444944835968,134.9661120928052
135,MDA,Moldova,8.494705351151318,0
136,TKM,Turkmenistan,16.63146308603156,0
137,JOR,Jordan,16.63376275571561,0
138,NPL,Nepal,2.320011459943355,0
139,LSO,Lesotho,10.41755414402672,0.01452404631949727
140,CMR,Cameroon,6.73769810334304,2.330734933359982
141,GAB,Gabon,17.11024211764759,6.508665626190173
142,NER,Niger,2.293148576337591,0
143,BFA,Burkina Faso,1.917109807293677,0
144,TGO,Togo,2.298778551394527,7.449364100788898
145,GHA,Ghana,8.061828184998248,1.630529099498953
146,GNB,Guinea-Bissau,1.364577535571949,1.903437528703588
147,GIB,Gibraltar (UK),,
148,USA,United States of America,458.6981328030826,96.05204297834207
149,CAN,Canada,69.04731760440129,24.25737436985566
150,MEX,Mexico,36.66869301588022,7.324762930205483
151,BLZ,Belize,16.44170065655975,0.05569118785189675
