iso3,year,forecast_accuracy
ABW,1987,0.389
ABW,1988,0.434
ABW,1989,0.44
ABW,1990,0.461
ABW,1991,0.464
ABW,1992,0.465
ABW,1993,0.466
ABW,1994,0.46
ABW,1995,0.481
ABW,1996,0.518
ABW,1997,0.525
ABW,1998,0.554
ABW,1999,0.581
ABW,2000,0.584
ABW,2001,0.579
ABW,2002,0.591
ABW,2003,0.59
ABW,2004,0.615
ABW,2005,0.634
ABW,2006,0.6395
ABW,2007,0.645
ABW,2008,0.642
ABW,2009,0.641
ABW,2010,0.623
ABW,2011,0.615
ABW,2012,0.617
ABW,2013,0.637
ABW,2014,0.645
ABW,2015,0.662
ABW,2016,0.656
ABW,2017,0.665
ABW,2018,0.674
AND,1987,0.389
AND,1988,0.434
AND,1989,0.44
AND,1990,0.461
AND,1991,0.464
AND,1992,0.465
AND,1993,0.466
AND,1994,0.46
AND,1995,0.481
AND,1996,0.518
AND,1997,0.525
AND,1998,0.554
AND,1999,0.581
AND,2000,0.584
AND,2001,0.579
AND,2002,0.591
AND,2003,0.59
AND,2004,0.615
AND,2005,0.634
AND,2006,0.6395
AND,2007,0.645
AND,2008,0.642
AND,2009,0.641
AND,2010,0.623
AND,2011,0.615
AND,2012,0.617
AND,2013,0.637
AND,2014,0.645
AND,2015,0.662
AND,2016,0.656
AND,2017,0.665
AND,2018,0.674
ARE,1987,0.389
ARE,1988,0.434
ARE,1989,0.44
ARE,1990,0.461
ARE,1991,0.464
ARE,1992,0.465
ARE,1993,0.466
ARE,1994,0.46
ARE,1995,0.481
ARE,1996,0.518
ARE,1997,0.525
ARE,1998,0.554
ARE,1999,0.581
ARE,2000,0.584
ARE,2001,0.579
ARE,2002,0.591
ARE,2003,0.59
ARE,2004,0.615
ARE,2005,0.634
ARE,2006,0.6395
ARE,2007,0.645
ARE,2008,0.642
ARE,2009,0.641
ARE,2010,0.623
ARE,2011,0.615
ARE,2012,0.617
ARE,2013,0.637
ARE,2014,0.645
ARE,2015,0.662
ARE,2016,0.656
ARE,2017,0.665
ARE,2018,0.674
ASM,1987,0.389
ASM,1988,0.434
ASM,1989,0.44
ASM,1990,0.461
ASM,1991,0.464
ASM,1992,0.465
ASM,1993,0.466
ASM,1994,0.46
ASM,1995,0.481
ASM,1996,0.518
ASM,1997,0.525
ASM,1998,0.554
ASM,1999,0.581
ASM,2000,0.584
ASM,2001,0.579
ASM,2002,0.591
ASM,2003,0.59
ASM,2004,0.615
ASM,2005,0.634
ASM,2006,0.6395
ASM,2007,0.645
ASM,2008,0.642
ASM,2009,0.641
ASM,2010,0.623
ASM,2011,0.615
ASM,2012,0.617
ASM,2013,0.637
ASM,2014,0.645
ASM,2015,0.662
ASM,2016,0.656
ASM,2017,0.665
ASM,2018,0.674
ATG,1987,0.389
ATG,1988,0.434
ATG,1989,0.44
ATG,1990,0.461
ATG,1991,0.464
ATG,1992,0.465
ATG,1993,0.466
ATG,1994,0.46
