iso3,hazard,income_cat,exposure_bias
AGO,Drought,q1,1.4155013421277156
AGO,Drought,q2,1.2409898286108878
AGO,Drought,q3,0.938599182297604
AGO,Drought,q4,0.7287155659014974
AGO,Drought,q5,0.676194081062295
AGO,Flood,q1,1.0067954777983121
AGO,Flood,q2,1.0061757682574541
AGO,Flood,q3,0.9943568989742574
AGO,Flood,q4,0.993758526569756
AGO,Flood,q5,0.9989133284002202
ALB,Drought,q1,1.2496052121688688
ALB,Drought,q2,1.1337233373126958
ALB,Drought,q3,1.0109429746501568
ALB,Drought,q4,0.8028642379341391
ALB,Drought,q5,0.8028642379341391
ALB,Flood,q1,1.0744525715012285
ALB,Flood,q2,1.1041685885776136
ALB,Flood,q3,1.0217285964268117
ALB,Flood,q4,0.8998251217471732
ALB,Flood,q5,0.8998251217471732
ARE,Drought,q1,0.9871636443798444
ARE,Drought,q2,1.003209088905039
ARE,Drought,q3,1.003209088905039
ARE,Drought,q4,1.003209088905039
ARE,Drought,q5,1.003209088905039
ARE,Flood,q1,0.9871636443798446
ARE,Flood,q2,1.0032090889050391
ARE,Flood,q3,1.0032090889050391
ARE,Flood,q4,1.0032090889050391
ARE,Flood,q5,1.0032090889050391
ARE,Heat,q1,0.9871636443798444
ARE,Heat,q2,1.003209088905039
ARE,Heat,q3,1.003209088905039
ARE,Heat,q4,1.003209088905039
ARE,Heat,q5,1.003209088905039
ARG,Drought,q1,0.9965849237708141
ARG,Drought,q2,0.9644348996398439
ARG,Drought,q3,1.0129933921964476
ARG,Drought,q4,1.0129933921964476
ARG,Drought,q5,1.0129933921964476
ARG,Flood,q1,0.9965849237708139
ARG,Flood,q2,0.964434899639844
ARG,Flood,q3,1.0129933921964474
ARG,Flood,q4,1.0129933921964474
ARG,Flood,q5,1.0129933921964474
ARG,Heat,q1,0.9965849237708139
ARG,Heat,q2,0.964434899639844
ARG,Heat,q3,1.0129933921964476
ARG,Heat,q4,1.0129933921964476
ARG,Heat,q5,1.0129933921964476
ARM,Drought,q1,1.4441517127722905
ARM,Drought,q2,1.0417731941077546
ARM,Drought,q3,0.8914799872968184
ARM,Drought,q4,0.8956549589370768
ARM,Drought,q5,0.7269401468860605
ARM,Flood,q1,1.1469807355051829
ARM,Flood,q2,0.9677978246475369
ARM,Flood,q3,0.9425569971451264
ARM,Flood,q4,1.0219988146283567
ARM,Flood,q5,0.920665628073797
AUS,Drought,q1,0.9728387875281256
AUS,Drought,q2,1.003740146666092
AUS,Drought,q3,1.003740146666092
AUS,Drought,q4,1.003740146666092
AUS,Drought,q5,1.003740146666092
AUS,Flood,q1,0.9759301951437479
AUS,Flood,q2,1.0030342020776108
AUS,Flood,q3,1.0030342020776108
AUS,Flood,q4,1.0030342020776108
AUS,Flood,q5,1.0030342020776108
AUS,Heat,q1,0.9733616058889696
AUS,Heat,q2,1.0042175073575288
AUS,Heat,q3,1.0042175073575288
AUS,Heat,q4,1.0042175073575288
AUS,Heat,q5,1.0042175073575288
AUS,Storm surge,q1,1.0170527545172297
AUS,Storm surge,q2,0.9915371238706925
AUS,Storm surge,q3,0.9915371238706925
AUS,Storm surge,q4,0.9915371238706925
AUS,Storm surge,q5,0.9915371238706925
AUS,Wind,q1,1.0170527545172297
AUS,Wind,q2,0.9915371238706925
AUS,Wind,q3,0.9915371238706925
AUS,Wind,q4,0.9915371238706925
AUS,Wind,q5,0.9915371238706925
AUT,Drought,q1,0.995464974914675
AUT,Drought,q2,1.0011337562713312
AUT,Drought,q3,1.0011337562713312
AUT,Drought,q4,1.0011337562713312
AUT,Drought,q5,1.0011337562713312
AUT,Flood,q1,0.9938566564866013
AUT,Flood,q2,1.0015358358783495
AUT,Flood,q3,1.0015358358783495
AUT,Flood,q4,1.0015358358783495
AUT,Flood,q5,1.0015358358783495
AZE,Drought,q1,0.004799057512239231
AZE,Drought,q2,0.03468018117110023
AZE,Drought,q3,0.28541499154426914
AZE,Drought,q4,1.0923767886449796
AZE,Drought,q5,3.5827289811274134
AZE,Flood,q1,0.005416967721814439
AZE,Flood,q2,0.03515213073914263
AZE,Flood,q3,0.2802084098455983
AZE,Flood,q4,1.0329163989081334
AZE,Flood,q5,3.6463060927853124
AZE,Heat,q1,0.0
AZE,Heat,q2,0.025750951149543417
AZE,Heat,q3,0.343624678672164
AZE,Heat,q4,1.3174398368434466
AZE,Heat,q5,3.313184533334847
BDI,Drought,q1,1.159368129514442
BDI,Drought,q2,1.159368129514442
BDI,Drought,q3,1.159368129514442
BDI,Drought,q4,0.8944493447397238
BDI,Drought,q5,0.6274462667169504
BDI,Flood,q1,1.0605742432296323
BDI,Flood,q2,1.0605742432296323
BDI,Flood,q3,1.0605742432296323
BDI,Flood,q4,0.9585917196952829
BDI,Flood,q5,0.8596855506158196
BEL,Drought,q1,0.9947525403346392
BEL,Drought,q2,1.0012289477787841
BEL,Drought,q3,1.0012289477787841
BEL,Drought,q4,1.0012289477787841
BEL,Drought,q5,1.0012289477787841
BEL,Flood,q1,0.9962819410930408
BEL,Flood,q2,1.0008215389124688
BEL,Flood,q3,1.0008215389124688
BEL,Flood,q4,1.0008215389124688
BEL,Flood,q5,1.0008215389124688
BEN,Drought,q1,1.1862128426299507
BEN,Drought,q2,1.1346983028923738
BEN,Drought,q3,1.050215785713933
BEN,Drought,q4,0.9515802398244165
BEN,Drought,q5,0.6772928289393257
BEN,Flood,q1,0.9388635705179005
BEN,Flood,q2,0.9871437791788855
BEN,Flood,q3,1.0256114091102286
BEN,Flood,q4,1.0927309892173953
BEN,Flood,q5,0.9556502519755892
BEN,Heat,q1,1.2745242030365256
BEN,Heat,q2,1.176971587697285
BEN,Heat,q3,1.0740502768962867
BEN,Heat,q4,1.0054884342541264
BEN,Heat,q5,0.468965498115776
BFA,Drought,q1,1.1336858697471088
BFA,Drought,q2,1.0695123206999753
BFA,Drought,q3,1.0860908830939007
BFA,Drought,q4,0.829093022189096
BFA,Drought,q5,0.8816179042699186
BFA,Flood,q1,0.9758570073768194
BFA,Flood,q2,0.9474642048063118
BFA,Flood,q3,1.0174099977872564
BFA,Flood,q4,0.8492650721078989
BFA,Flood,q5,1.2100037179217127
BFA,Heat,q1,1.017078921080167
BFA,Heat,q2,0.9487003699108373
BFA,Heat,q3,0.9558503577326289
BFA,Heat,q4,0.792951304690853
BFA,Heat,q5,1.2854190465855133
BGD,Drought,q1,1.127830862953492
BGD,Drought,q2,1.2447455016164959
BGD,Drought,q3,0.9645632266975153
BGD,Drought,q4,0.8251921347876527
BGD,Drought,q5,0.837668273944844
BGD,Flood,q1,0.9190780518631808
BGD,Flood,q2,1.0777624662804424
BGD,Flood,q3,0.9432770147065711
BGD,Flood,q4,0.9525201520303764
BGD,Flood,q5,1.107362315119429
BGD,Heat,q1,0.9423607999344171
BGD,Heat,q2,1.0982971770241647
BGD,Heat,q3,0.9563688579975766
BGD,Heat,q4,0.9455186623836939
BGD,Heat,q5,1.0574545026601476
BGD,Storm surge,q1,0.7331624867289174
BGD,Storm surge,q2,1.0850661498675818
BGD,Storm surge,q3,1.1030318852402672
BGD,Storm surge,q4,1.073362769914014
BGD,Storm surge,q5,1.0053767082492189
BGD,Wind,q1,0.7331624867289174
BGD,Wind,q2,1.0850661498675818
BGD,Wind,q3,1.1030318852402672
BGD,Wind,q4,1.073362769914014
BGD,Wind,q5,1.0053767082492189
BGR,Drought,q1,1.2715912953650996
BGR,Drought,q2,0.9321021761587251
BGR,Drought,q3,0.9321021761587251
BGR,Drought,q4,0.9321021761587251
BGR,Drought,q5,0.9321021761587251
BGR,Flood,q1,1.2100159970088202
BGR,Flood,q2,0.9474960007477948
BGR,Flood,q3,0.9474960007477949
BGR,Flood,q4,0.9474960007477949
BGR,Flood,q5,0.9474960007477949
BIH,Drought,q1,0.5974794821317491
BIH,Drought,q2,0.8550459012855757
BIH,Drought,q3,1.1824915388608916
BIH,Drought,q4,1.1824915388608916
BIH,Drought,q5,1.1824915388608916
