iso3,hazard,income_cat,exposure_bias
AGO,Drought,q1,1.4165029450242386
AGO,Drought,q2,1.2356073304485604
AGO,Drought,q3,0.9233409626451067
AGO,Drought,q4,0.7561477612991411
AGO,Drought,q5,0.6684010005829527
AGO,Flood,q1,1.0075078821152543
AGO,Flood,q2,1.0139035304909965
AGO,Flood,q3,1.0063556659330122
AGO,Flood,q4,0.9795978363844183
AGO,Flood,q5,0.9926350850763186
ALB,Drought,q1,1.182528764639438
ALB,Drought,q2,0.9535769271213937
ALB,Drought,q3,0.9535769271213937
ALB,Drought,q4,0.9535769271213937
ALB,Drought,q5,0.9535769271213937
ALB,Flood,q1,1.0332058090718148
ALB,Flood,q2,0.9909910490335094
ALB,Flood,q3,0.9909910490335093
ALB,Flood,q4,0.9909910490335093
ALB,Flood,q5,0.9909910490335093
ARE,Drought,q1,0.9931726907630524
ARE,Drought,q2,1.001706827309237
ARE,Drought,q3,1.001706827309237
ARE,Drought,q4,1.001706827309237
ARE,Drought,q5,1.001706827309237
ARE,Flood,q1,0.993172690763052
ARE,Flood,q2,1.0017068273092369
ARE,Flood,q3,1.0017068273092369
ARE,Flood,q4,1.0017068273092369
ARE,Flood,q5,1.0017068273092369
ARE,Heat,q1,0.9931726907630524
ARE,Heat,q2,1.001706827309237
ARE,Heat,q3,1.001706827309237
ARE,Heat,q4,1.001706827309237
ARE,Heat,q5,1.001706827309237
ARG,Drought,q1,1.0259437136465326
ARG,Drought,q2,0.9935140715883669
ARG,Drought,q3,0.9935140715883669
ARG,Drought,q4,0.9935140715883669
ARG,Drought,q5,0.9935140715883669
ARG,Flood,q1,1.0259437136465324
ARG,Flood,q2,0.9935140715883668
ARG,Flood,q3,0.9935140715883668
ARG,Flood,q4,0.9935140715883668
ARG,Flood,q5,0.9935140715883668
ARG,Heat,q1,1.0259437136465326
ARG,Heat,q2,0.9935140715883668
ARG,Heat,q3,0.9935140715883668
ARG,Heat,q4,0.9935140715883668
ARG,Heat,q5,0.9935140715883668
ARM,Drought,q1,1.2921570219471499
ARM,Drought,q2,1.103444066331921
ARM,Drought,q3,0.9821346194503241
ARM,Drought,q4,0.8111321461353024
ARM,Drought,q5,0.8111321461353024
ARM,Flood,q1,1.0797470800486493
ARM,Flood,q2,1.0064763654193583
ARM,Flood,q3,0.9883207526589756
ARM,Flood,q4,0.9627279009365084
ARM,Flood,q5,0.9627279009365084
AUS,Drought,q1,0.9997568018281019
AUS,Drought,q2,1.0000607995429744
AUS,Drought,q3,1.0000607995429744
AUS,Drought,q4,1.0000607995429744
AUS,Drought,q5,1.0000607995429744
AUS,Flood,q1,1.0016098800874622
AUS,Flood,q2,0.9995975299781342
AUS,Flood,q3,0.9995975299781342
AUS,Flood,q4,0.9995975299781342
AUS,Flood,q5,0.9995975299781342
AUS,Heat,q1,1.0048150835493408
AUS,Heat,q2,0.9987962291126646
AUS,Heat,q3,0.9987962291126646
AUS,Heat,q4,0.9987962291126646
AUS,Heat,q5,0.9987962291126646
AUS,Storm surge,q1,1.021568808080808
AUS,Storm surge,q2,0.9946077979797979
AUS,Storm surge,q3,0.9946077979797978
AUS,Storm surge,q4,0.9946077979797978
AUS,Storm surge,q5,0.9946077979797978
AUS,Wind,q1,1.021568808080808
AUS,Wind,q2,0.9946077979797979
AUS,Wind,q3,0.9946077979797978
AUS,Wind,q4,0.9946077979797978
AUS,Wind,q5,0.9946077979797978
AUT,Drought,q1,0.99395671564827
AUT,Drought,q2,1.0015108210879324
AUT,Drought,q3,1.0015108210879324
AUT,Drought,q4,1.0015108210879324
AUT,Drought,q5,1.0015108210879324
AUT,Flood,q1,0.9930822867284403
AUT,Flood,q2,1.00172942831789
AUT,Flood,q3,1.00172942831789
AUT,Flood,q4,1.00172942831789
AUT,Flood,q5,1.00172942831789
AZE,Drought,q1,0.006507718101201221
AZE,Drought,q2,0.6356237855069493
AZE,Drought,q3,1.4526228321306167
AZE,Drought,q4,1.4526228321306167
AZE,Drought,q5,1.4526228321306167
AZE,Flood,q1,0.007134011371695694
AZE,Flood,q2,0.6358582237943352
AZE,Flood,q3,1.4523359216113232
AZE,Flood,q4,1.4523359216113232
AZE,Flood,q5,1.4523359216113232
AZE,Heat,q1,0.0
AZE,Heat,q2,0.6331877729257644
AZE,Heat,q3,1.455604075691412
AZE,Heat,q4,1.455604075691412
AZE,Heat,q5,1.455604075691412
BDI,Drought,q1,1.1599539194475514
BDI,Drought,q2,1.1599539194475514
BDI,Drought,q3,1.1599539194475514
BDI,Drought,q4,0.8715155975057203
BDI,Drought,q5,0.6486226441516246
BDI,Flood,q1,1.0611101159168173
BDI,Flood,q2,1.0611101159168173
BDI,Flood,q3,1.0611101159168173
BDI,Flood,q4,0.940093429807675
