iso3,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,axfin_p,axfin_r,social_p,social_r
AFG,1516.27326544595,41128771.0,,0.26616,355.777826392648,0.0068000000000000005,0.0178,0.11107429715867834,0.043162522713835916
ALB,15492.0674040291,2777689.0,0.084,0.63799,6810.11404104233,0.0538,0.125,3.1667119337353875,1.6374175190238565
DZA,11198.2334828027,44903225.0,0.094,0.74772,4342.63796796522,0.09390000000000001,0.2046,0.2277288125041308,0.1193731099485661
AGO,5906.11567677033,35588987.0,0.038,0.68081,3000.44423053173,0.0364,0.2231,0.1269049457707061,0.1442434339825778
ATG,22321.8700193402,93763.0,0.0103,0.24346,19919.7266867883,0.153,0.153,0.2535709186813892,0.1223634702951206
ARG,18087.196261682242,46234830.0,0.051,0.9234699999999999,13650.6046294524,0.052000000000000005,0.1505,0.3020764999077889,0.18613559685160547
ARM,16057.0064572714,2780469.0,0.094,0.63573,7018.05150434798,0.034300000000000004,0.0704,0.6687114184330778,0.3865179427435422
ABW,41273.6150545168,106445.0,,0.44052,33300.8388187011,,,0.4213692791322181,0.1535188929239457
AUS,51090.2633278214,26005540.0,0.073,0.86488,65099.8459118981,0.5726,0.7709,0.578,0.126
AUT,55867.1838072071,9041851.0,0.079,0.59256,52084.6811953372,0.6746,0.6614,0.51716638,0.40816435
AZE,15094.2841004892,10141756.0,0.10800000000000001,0.5717,7762.0738285884,0.008199999999999999,0.0672,0.028608649819433098,0.015117027979845698
BHS,34663.4964494117,409984.0,,0.83492,31458.300811739,,,0.3508512265226881,0.1387533735956544
BHR,51854.7163705359,1472233.0,,0.89743,30146.925026365,0.2878,0.32,0.3076475465644531,0.1299865551724273
BGD,6263.00463511584,171186372.0,0.086,0.39710999999999996,2688.30550090738,0.0409,0.0729,0.04962474233468171,0.0364807284420155
BRB,15417.2964362331,281635.0,,0.31324,20238.7842420154,,,0.4604335188483889,0.1598165052681362
BLR,19092.1111740223,9228071.0,0.10300000000000001,0.80326,7888.26371063212,0.1344,0.2802,0.6063687223290611,0.41816483759805273
BEL,53287.1536143837,11685814.0,0.094,0.98153,49926.8254295305,0.46159999999999995,0.6414,0.65117317,0.402522585
BLZ,9473.7056187,405272.0,0.0321,0.46396,6984.21695968163,0.1201,0.2879,0.4203675239970898,0.11276296971054835
BEN,3435.1716165759,13352864.0,0.07,0.49534,1302.85103626824,0.0528,0.0506,0.07684777715383845,0.08001132299879898
BMU,81165.6509443183,63532.0,,1.0,118774.790656677,,,,
BTN,11595.683107514,782455.0,0.08800000000000001,0.43686,3560.19770457687,0.1594,0.2697,0.024656815823972514,0.018314412040891428
BOL,8244.23565848464,12224110.0,0.053,0.7082999999999999,3600.12163486427,0.1059,0.26239999999999997,0.23868904717626793,0.1294424605616456
BIH,16737.2260122958,3233526.0,0.075,0.49841,7568.79847995923,0.0989,0.24489999999999998,0.2493329348075661,0.15976358550735428
BWA,15518.6510452679,2630296.0,0.039,0.72224,7738.87880407803,0.0971,0.223,0.3041748296793377,0.1309645532016047
BRA,15093.4651170661,215313498.0,0.033,0.87555,8917.67491057495,0.18239999999999998,0.2587,0.49329896213240804,0.2197612149561896
BRN,58669.9006928728,449002.0,,0.78854,37152.4769749763,,,0.3293836221621857,0.1316321648823133
BGR,26961.2912585423,6465097.0,0.061,0.76363,13974.4492487792,0.0975,0.3201,0.66309464,0.404462695
BFA,2158.8585157544,22673762.0,0.063,0.31877,830.03715033429,0.051,0.0913,0.03989960135731187,0.10960142519461115
BDI,708.178313385561,12889576.0,0.069,0.14417,259.025031363515,0.0161,0.0559,0.1074141162596168,0.0963979293110152
CPV,7379.2475648386,593149.0,0.057,0.67545,3754.30479371603,,,0.11215629372637398,0.08850635601032933
KHM,4533.86402345977,16767842.0,,0.25114000000000003,1759.60802346044,0.024700000000000003,0.0946,0.041138933196540335,0.03579850070892287
CMR,3723.53233655551,27914536.0,0.045,0.58733,1563.48894034459,0.054900000000000004,0.1069,0.0053111067122733665,0.006374284681921306
CAN,48974.5865932969,38929902.0,0.076,0.8175199999999999,54917.6625226262,0.5163,0.7209,0.631,0.14
CYM,71353.8880767945,68706.0,,1.0,99624.8854439134,,,,
CAF,823.982185329142,5579144.0,0.055999999999999994,0.43119999999999997,427.058096191269,0.014199999999999999,0.0862,0.0,0.0673435995104628
TCD,1412.67071848127,17723315.0,0.071,0.24062999999999998,716.804381134584,0.0542,0.0909,0.025863876723175912,0.03014438185406208
CHL,25886.1213561616,19603733.0,0.055,0.87912,15355.4797401048,0.2736,0.33549999999999996,0.32317091425298805,0.16363406100513903
CHN,18187.8411189224,1412175000.0,0.07200000000000001,0.6356,12720.2163182363,0.3406,0.5178,0.3899989147933587,0.25550280135685954
COL,15616.7522199735,51874024.0,0.036000000000000004,0.8205,6624.16539269075,0.03,0.1699,1.045488943152504,0.3874784398507197
COM,3245.76869721125,836774.0,0.045,0.29864,1484.89246472542,0.0815,0.1317,0.03660522825276104,0.026937871324974452
COD,1132.65423032115,99010212.0,0.055,0.46837,653.656223069354,0.0069,0.0729,0.05345055530108385,0.07847734673820549
COG,3670.19962157469,5970424.0,0.042,0.6873600000000001,2649.22502230642,0.0281,0.0719,0.1719690487070631,0.13940263769925976
CRI,22070.9209746683,5180829.0,0.045,0.82042,13365.3563992692,0.1273,0.2788,0.6259103457924846,0.27616475801930745
CIV,5537.36975768475,28160542.0,0.07,0.52661,2486.41219394248,0.0313,0.0771,0.1151115686790272,0.0960947852811568
HRV,34302.3488152107,3855600.0,0.079,0.58219,18570.4039968345,0.1675,0.30879999999999996,0.549424,0.270493
CUW,23114.9521355536,149996.0,,0.8902500000000001,20501.7522782219,,,,
CYP,44996.31640625,1251488.0,0.085,0.66911,32048.240234375,0.14880000000000002,0.369,0.47965103,0.33355333
CZE,41052.6470916984,10672118.0,0.098,0.7437699999999999,27223.0451937676,0.5569,0.6249,,
DNK,59935.1199155773,5903037.0,0.094,0.8836700000000001,67790.0539923276,0.5135000000000001,0.7791,0.67680752,0.353511483
DJI,4989.40872323181,1120849.0,0.054000000000000006,0.7837999999999999,3136.11276804873,,,0.2857597999555584,0.0818067671016118
DMA,11463.5978657008,72737.0,0.038,0.7170000000000001,8351.19321309293,0.44,0.44,0.5815343174037094,0.0830320143226583
DOM,19338.0151125748,11228821.0,0.065,0.83848,10111.2457110261,0.0542,0.171,0.27229534998732835,0.148540783440095
ECU,10859.2178291137,18001000.0,0.047,0.6456999999999999,6391.28248430643,0.0617,0.1769,0.25826174191798573,0.1080205747423078
EGY,12780.7598676582,110990103.0,0.09,0.42967,4295.40749561014,0.0098,0.0526,0.10013164102130152,0.11927926710278983
SLV,9396.01377999827,6336392.0,0.055999999999999994,0.74767,5127.32166823012,0.024399999999999998,0.11320000000000001,0.4399562498128836,0.3331823422714854
GNQ,14918.2967315542,1674908.0,,0.7401000000000001,7182.26538205027,,,0.0,0.0695654071058449
EST,37711.8188349466,1348840.0,0.081,0.69609,28247.095992497,0.5195000000000001,0.6831,0.51851898,0.34896655
SWZ,9058.58317666301,1201670.0,0.037000000000000005,0.24576,3986.88663743798,0.0643,0.1898,0.35287138667046103,0.17459861629893536
ETH,2381.16578430493,123379924.0,0.073,0.22661,1027.58591095964,0.133,0.2883,0.047024652244098235,0.040389633598780054
FJI,12388.1085288836,929766.0,0.084,0.58229,5356.16439621614,0.6,0.6,0.19714045566039834,0.17275240468482736
FIN,49418.7793973564,5556106.0,0.095,0.85681,50916.2804653208,0.47240000000000004,0.7189,0.57169229,0.335617398
FRA,45904.4112972518,67971311.0,0.08,0.81509,40886.2532680273,0.49689999999999995,0.5637,0.49639142,0.37605085
GAB,13939.7868122861,2388992.0,0.06,0.90735,8820.34733682316,0.0794,0.135,0.06446669235813537,0.050350118873100556
GMB,2113.61484432613,2705992.0,0.066,0.63852,808.278281490135,0.1373,0.1859,0.07240391097719859,0.09160311232569893
GEO,17078.3409616702,3712502.0,0.07,0.60297,6674.95695994589,0.0375,0.1047,0.8897332865386811,0.3235359193183032
DEU,53969.625548865,83797985.0,0.079,0.77648,48717.9911402128,0.5658,0.5751,0.64378774,0.383320503
GHA,5480.32998341512,33475870.0,0.047,0.5861500000000001,2203.55893518303,0.0925,0.289,0.4117934061192903,0.21422841588935826
GRC,31704.4256099332,10426919.0,0.067,0.80357,20867.2690861087,0.1547,0.33799999999999997,0.38459209,0.496522668
GRD,14462.9367349445,125438.0,,0.36868,9689.08269960317,,,0.2193496439754632,0.1149524699981226
GTM,9162.05278751063,17357886.0,0.045,0.52666,5473.20856444589,0.0669,0.1278,0.23669434523342006,0.1467015629693168
GIN,2699.12885475889,13859341.0,0.085,0.37668,1515.16794777584,0.0231,0.0662,0.061311106405694135,0.06878574697624323
GNB,1855.11197273144,2105566.0,0.078,0.45041,775.828965745365,0.0002,0.0002,0.0705876121963379,0.0911765068233911
GUY,35634.6889104126,808726.0,0.045,0.27021999999999996,18199.4748396968,0.68,0.68,0.2457464136666859,0.1215147840699641
HTI,2799.11256134589,11584996.0,0.055,0.5882000000000001,1748.25713229469,0.0779,0.1506,0.0,0.0690931167188294
HND,5709.12420809714,10432860.0,0.036000000000000004,0.596,3040.17304596842,0.052000000000000005,0.1408,0.1270746531594289,0.10197028864025348
HKG,58478.8815196858,7346100.0,,1.0,48983.6217162934,0.40990000000000004,0.7179000000000001,0.481148073781957,0.1604641808726517
HUN,35356.7758131528,9643048.0,0.081,0.72552,18390.1849993244,0.17559999999999998,0.4143,0.912333,0.525706
ISL,55567.4362538457,382003.0,0.09699999999999999,0.9399200000000001,73466.7786674708,0.6725,0.8145,0.31120709,0.245566038
IND,7112.03939594585,1417173173.0,0.081,0.35872,2410.88802070689,0.0722,0.1643,0.2014303140104942,0.111528359298832
IDN,12409.758854952,275501339.0,0.073,0.57934,4787.99930771921,0.1084,0.2536,0.2316102082103185,0.1169841588674764
IRN,15461.079338719,88550570.0,0.06,0.76807,4669.57137993878,0.19269999999999998,0.2685,0.0728668126165128,0.02098563027135276
IRQ,9199.02069369123,44496122.0,0.08800000000000001,0.71354,5937.19546600271,0.0045000000000000005,0.0273,0.12955245779273072,0.11247385964958805
