iso3,income_cat,income_share,social,axfin
AGO,q1,0.03796203796203797,0.1269049457707061,0.0346965987745852
AGO,q2,0.07692307692307693,0.1630023564484145,0.0456995628628879
AGO,q3,0.1258741258741259,0.13473058732511137,0.1512590152016139
AGO,q4,0.2037962037962038,0.15558824859096992,0.1901296568688489
AGO,q5,0.5554445554445555,0.13997366869879435,0.3251495004262276
ALB,q1,0.08408408408408409,0.2438882961340817,0.030747964800638
ALB,q2,0.13213213213213215,0.19204631600270372,0.0766977603363668
ALB,q3,0.17317317317317318,0.17842236439633835,0.0827032617132566
ALB,q4,0.23023023023023023,0.18216025941765585,0.0856291884061276
ALB,q5,0.3803803803803804,0.1478069756870252,0.2068132807901691
ARG,q1,0.05094905094905095,0.3020764999077889,0.0383591152262322
ARG,q2,0.09890109890109891,0.20757007907600655,0.065731900431188
ARG,q3,0.14985014985014986,0.188999969339623,0.0371094116419097
ARG,q4,0.22677322677322678,0.18853993603296815,0.1938859110476451
ARG,q5,0.47352647352647353,0.18040899751973413,0.2221270147597444
ARM,q1,0.094,0.7505426696617941,0.0479004899407548
ARM,q2,0.138,0.5115423234876981,0.0207471236834298
ARM,q3,0.17300000000000001,0.4440492102956107,0.0669766165796398
ARM,q4,0.218,0.3638834364973169,0.0416642702001703
ARM,q5,0.377,0.1739671156103536,0.1026041401135401
AUS,q1,0.07292707292707293,0.412695932701709,0.5155466474380117
AUS,q2,0.12187812187812189,0.2732023333223251,0.6296838891562465
AUS,q3,0.16383616383616384,0.3100883887612174,0.7270432805527772
AUS,q4,0.22377622377622378,0.274096002144726,0.7461748339028289
AUS,q5,0.4175824175824176,0.2051582184552067,0.8395599018246677
AUT,q1,0.079,0.5930308826243784,0.6638382115932856
AUT,q2,0.135,0.3843172144470934,0.6853923440884614
AUT,q3,0.17800000000000002,0.4447725770030951,0.6872906804953757
AUT,q4,0.23,0.392021528399445,0.6233226173406197
AUT,q5,0.37799999999999995,0.2275969965521956,0.6738866481292712
AZE,q1,0.10800000000000001,0.028608649819433098,0.0096431019212562
AZE,q2,0.139,0.013975896630256392,0.006776677150343
AZE,q3,0.166,0.01838308505313537,0.0574110205171255
AZE,q4,0.209,0.014529077356238897,0.0667226760684371
AZE,q5,0.37799999999999995,0.014452680326819182,0.077384177336095
BDI,q1,0.06900000000000002,0.0819578778308397,0.0156668630717758
BDI,q2,0.11000000000000001,0.0617734562709866,0.0208023328735856
BDI,q3,0.15000000000000002,0.0821915684252778,0.0103066802573911
BDI,q4,0.20800000000000005,0.0810698781185364,0.0542069950357003
BDI,q5,0.463,0.1074313992128596,0.0991772176961484
BEL,q1,0.09390609390609392,0.5738111831888437,0.3643009168596042
BEL,q2,0.14485514485514486,0.3855746485804299,0.558554926711214
BEL,q3,0.18081918081918086,0.446160044640559,0.5929028848642192
BEL,q4,0.22577422577422582,0.3928379986307886,0.6486143192973283
BEL,q5,0.3546453546453547,0.2270035230089249,0.6822970173784603
BEN,q1,0.07007007007007009,0.07684777715383845,0.0299388508504149
