iso3,gdp_pc_pp,pop,urbanization_rate
AGO,5906.11567677033,35588987.0,0.68081
ALB,15492.0674040291,2777689.0,0.63799
ARG,22461.44094262,46234830.0,0.9234699999999999
ARM,16057.0064572714,2780469.0,0.63573
AUS,51090.2633278214,26005540.0,0.86488
AUT,55867.1838072071,9041851.0,0.59256
AZE,15094.2841004892,10141756.0,0.5717
BDI,708.178313385561,12889576.0,0.14417
BEL,53287.1536143837,11685814.0,0.98153
BEN,3435.1716165759,13352864.0,0.49534
BFA,2158.8585157544,22673762.0,0.31877
BGD,6263.00463511584,171186372.0,0.39710999999999996
BGR,26961.2912585423,6465097.0,0.76363
BIH,16737.2260122958,3233526.0,0.49841
BLR,19092.1111740223,9228071.0,0.80326
BOL,8244.23565848464,12224110.0,0.7082999999999999
BRA,15093.4651170661,215313498.0,0.87555
BTN,11595.683107514,782455.0,0.43686
BWA,15518.6510452679,2630296.0,0.72224
CAN,49296.3792142772,38929902.0,0.8175199999999999
CHE,72278.2072582055,8775760.0,0.74092
CHL,25886.1213561616,19603733.0,0.87912
CHN,18187.8411189224,1412175000.0,0.6356
CIV,5537.36975768475,28160542.0,0.52661
CMR,3723.53233655551,27914536.0,0.58733
COD,1132.65423032115,99010212.0,0.46837
COG,3670.19962157469,5970424.0,0.6873600000000001
COL,15616.7522199735,51874024.0,0.8205
COM,3245.76869721125,836774.0,0.29864
CRI,22070.9209746683,5180829.0,0.82042
CYP,44996.31640625,1251488.0,0.66911
CZE,41052.3457310965,10672118.0,0.7437699999999999
DEU,53969.625548865,83797985.0,0.77648
DJI,4989.40872323181,1120849.0,0.7837999999999999
DNK,59935.1199155774,5903037.0,0.8836700000000001
DOM,19338.0151125748,11228821.0,0.83848
DZA,11198.2334828027,44903225.0,0.74772
ECU,10859.2178291137,18001000.0,0.6456999999999999
EGY,12780.7598676582,110990103.0,0.42967
ESP,40223.0125356769,47778340.0,0.81304
EST,37711.8188349466,1348840.0,0.69609
ETH,2381.16578430493,123379924.0,0.22661
FIN,49275.1537762966,5556106.0,0.85681
FRA,45904.4112972518,67971311.0,0.81509
GAB,13939.7868122861,2388992.0,0.90735
GBR,47587.1673459552,66971395.0,0.84398
GEO,17078.3409616702,3712502.0,0.60297
GHA,5480.32998341512,33475870.0,0.5861500000000001
GIN,2699.12885475889,13859341.0,0.37668
GMB,2113.61484432613,2705992.0,0.63852
GRC,31704.4256099332,10426919.0,0.80357
GTM,9162.05278751063,17357886.0,0.52666
HND,5709.12420809714,10432860.0,0.596
HRV,34302.3488152107,3855600.0,0.58219
HTI,2799.11256134589,11584996.0,0.5882000000000001
HUN,35356.7758131528,9643048.0,0.72552
