iso3,cgdpo,cn,avg_prod_k
ABW,3466.241943359375,17427.966796875,0.19888963433077606
AGO,223289.3125,1299231.5,0.17186260685643784
AIA,241.38453674316406,2266.816162109375,0.10648615480072492
ALB,36288.328125,223971.375,0.16202216968574668
ARE,635332.8125,4453746.0,0.14265133496611615
ARG,978558.8125,3183182.25,0.3074152642375409
ARM,43795.6875,93246.1796875,0.469678089191154
ATG,1631.6505126953125,10225.1650390625,0.15957204665763627
AUS,1355143.25,5866471.0,0.23099803101387528
AUT,478329.34375,2630129.5,0.18186532022472657
AZE,157517.125,257077.609375,0.6127220701287495
BDI,9166.3232421875,17380.458984375,0.5273924728010927
BEL,523688.59375,3078800.5,0.17009500737381328
BEN,38397.953125,84009.015625,0.4570694328380306
BFA,43177.33984375,84055.890625,0.5136741699207948
BGD,757204.5625,2733477.5,0.2770114487863902
BGR,150325.4375,433185.90625,0.34702291863864165
BHR,77180.3359375,408377.25,0.18899274123987073
BHS,12962.3017578125,70499.6328125,0.18386339390287162
BIH,45816.265625,125922.5078125,0.36384492670064134
BLR,205916.1875,566524.1875,0.3634728967331161
BLZ,2218.947021484375,9013.234375,0.24618765352857863
BMU,3188.010009765625,9769.1572265625,0.32633418992350466
BOL,98644.46875,204495.015625,0.48238079763710623
BRA,3079724.5,12706970.0,0.2423649776461265
BRB,3577.5810546875,29255.443359375,0.1222877059404076
BRN,31061.181640625,188947.09375,0.1643908938960592
BTN,8979.6513671875,57988.29296875,0.15485283162287
BWA,38095.609375,176491.15625,0.21584996202890477
CAF,4653.58056640625,29151.53515625,0.15963415104773776
CAN,1862070.0,8427519.0,0.2209511482560882
CHE,644661.75,2815220.0,0.22899160633982424
CHL,441291.09375,1977867.125,0.22311463099423323
CHN,20118076.0,99462136.0,0.20226869046930582
CIV,129436.7890625,245883.828125,0.5264144049225482
CMR,94377.6953125,233991.234375,0.4033385932793022
COD,88514.0703125,270093.09375,0.32771689599153253
COG,24495.845703125,137922.359375,0.17760605179703118
COL,706174.3125,2068072.0,0.34146505174868186
COM,2746.73193359375,11196.0908203125,0.24532955097242454
CPV,4044.03564453125,18062.830078125,0.22388715539259718
CRI,93967.2421875,217205.375,0.43261932255359703
CYM,4036.45703125,14250.240234375,0.2832553672683424
CYP,28377.013671875,195445.96875,0.1451910922152238
CZE,401744.25,2112986.75,0.19013098402060497
DEU,4274167.5,19606062.0,0.21800234539705118
DJI,6095.72265625,10992.4658203125,0.5545364212082405
DMA,753.6078491210938,2591.57177734375,0.29079181047939545
DNK,312004.0625,1473616.125,0.21172682437904242
DOM,192885.859375,775810.125,0.24862508642175815
DZA,503848.3125,2290437.5,0.21997907059240865
ECU,194288.453125,1075764.375,0.18060502619358446
EGY,1212398.375,1635931.875,0.7411056618723808
ESP,1889426.625,11333968.0,0.16670477850299206
EST,45079.3515625,201315.578125,0.2239238114723021
ETH,304722.5625,630306.875,0.4834511165692108
FIN,249282.984375,1246925.875,0.19991804595040583
FJI,12362.8251953125,26759.0390625,0.4620055737591007
FRA,2950146.25,16697563.0,0.17668124683823622
GAB,33140.015625,121401.8828125,0.27297777313868626
GBR,2994405.75,14146595.0,0.21166971628155043
GEO,68545.671875,263192.125,0.26043967643408783
GHA,162525.890625,404696.0625,0.4015998812071467
GIN,29424.21484375,55244.5,0.5326179953434279
GMB,5678.66650390625,11224.9521484375,0.5058967226596787
GNB,3581.914794921875,5860.591796875,0.6111865352628437
GNQ,33078.69921875,111423.4609375,0.29687373682733303
GRC,286884.53125,2300537.75,0.12470324872956334
GRD,1732.5673828125,6141.337890625,0.282115625889488
GTM,137257.53125,422017.375,0.3252414222281725
HKG,408095.8125,2284302.75,0.17865224410380803
HND,53133.1328125,219022.03125,0.24259264015249607
HRV,108094.8203125,531400.6875,0.20341490490168024
HTI,17676.765625,154609.125,0.11433196860146515
HUN,284589.5,1359222.5,0.20937668409697455
