iso3,real_estate_share_of_value_added,home_ownership_rate,self_employment,k_pub_share,real_est_k_to_va_shares_ratio
ABW,0.10068006481068434,,,,3.705328168012808
AFG,0.05398716703072639,0.42700000000000005,0.817169670984926,0.7933591648410439,3.705328168012808
AGO,,0.8698,0.655007400457814,0.35829810239603344,3.705328168012808
ALB,0.06769137496355253,0.9618,0.523627444248986,0.2993533407761013,3.705328168012808
AND,0.15695808494029745,0.7161,,,3.705328168012808
ARE,0.0473594733810925,0.28,0.0487067719248274,0.5192707608949589,3.705328168012808
ARG,,0.689,0.257532871092025,0.2448042665610075,3.705328168012808
ARM,0.09156542929991267,0.8408,0.609061512543324,0.251357587379269,3.705328168012808
ATG,0.057643171806167404,0.8415000000000001,,0.3232250347384819,3.705328168012808
AUS,0.11293408580898126,0.6355999999999999,0.13057964759743101,0.16007435220124655,3.705328168012808
AUT,0.09776138932164131,0.46799999999999997,0.157215546374602,0.19052622138478068,3.705328168012808
AZE,0.033968973418307936,0.7984,0.6754557894723691,0.5448477723085087,3.705328168012808
BDI,,0.7903,0.8475507922333191,0.39367279143689915,3.705328168012808
BEL,0.09585309918243465,0.7013999999999999,0.150241650782864,0.14822565215511743,3.705328168012808
BEN,0.047874523020186834,0.7178,0.8803963841468629,0.3753655585443696,3.705328168012808
BFA,0.05042687494841554,0.7818,0.752755377834778,0.3989634610134714,3.705328168012808
BGD,0.08597891769800739,0.7637999999999999,0.533941897588006,0.26656386861690523,3.705328168012808
BGR,0.08088727482975556,0.8573999999999999,0.11293676296003201,0.23338019559885362,3.705328168012808
BHR,,0.8318000000000001,0.0263265125144384,0.256911231995629,3.705328168012808
BHS,0.16341572111251812,0.7155,0.158111512965218,0.07324214733158241,3.705328168012808
BIH,0.04952807501382007,0.8454999999999998,0.227038537991475,0.3539245655853331,3.705328168012808
BLR,0.06978730207152778,0.6689,0.0453709688849566,0.1440171359583704,3.705328168012808
BLZ,0.05391760084660048,0.6563,0.360459676004445,0.4119495268222203,3.705328168012808
BMU,0.15234683002206137,,,,3.705328168012808
BOL,,0.7419,0.6746049096878189,0.5881475189345561,3.705328168012808
BRA,0.0906747589674305,0.725,0.31228270990448304,0.33029377135789595,3.705328168012808
BRB,0.12500970714868342,0.767,0.204648734502993,0.27127271946623444,3.705328168012808
BRN,0.029987588805341723,0.65,0.07632279042270179,0.24675970183903342,3.705328168012808
BTN,0.03656363227342795,0.8187999999999999,0.707052576086817,0.3120290065995724,3.705328168012808
BWA,0.045658934188362615,0.7214,0.31078065052882897,0.3469222737569434,3.705328168012808
CAF,,0.7097,0.945389483362189,0.6103424888912601,3.705328168012808
CAN,0.13484565664902423,0.7076,0.131513080870593,0.21447167641664336,3.705328168012808
CHE,0.06821440319208108,0.3804,0.166061918423514,0.16834960829482903,3.705328168012808
CHL,0.09146098758755655,0.5700000000000001,0.246453204652613,0.14249890449249317,3.705328168012808
CHN,0.05848306111914488,0.8968,0.453054614058699,0.46851593498944716,3.705328168012808
CIV,,0.6875,0.7436744421665441,0.29387981796482404,3.705328168012808
CMR,0.04868162300729339,0.8583000000000001,0.694882022728834,0.2802824516162888,3.705328168012808
COD,,0.699,0.8630303625057251,0.17755713627638692,3.705328168012808
COG,,0.8562000000000001,0.756196439862729,0.26927189635660304,3.705328168012808
COK,0.1019921213960145,,,,3.705328168012808
COL,0.08016718692132692,0.40440000000000004,0.465934825340389,0.20224120112445193,3.705328168012808
COM,,0.8398999999999999,0.574777515841956,0.18570281251203513,3.705328168012808
CPV,0.08629817091899998,0.6675,0.385120664773282,0.27235123495854907,3.705328168012808
CRI,0.08139939953009588,0.7386000000000001,0.269521883663997,0.17537294627227226,3.705328168012808
CUB,,0.9,0.28367304452756903,,3.705328168012808
CUW,0.11271002286353077,,,,3.705328168012808
CYM,0.0928502557366532,,,,3.705328168012808
CYP,0.08503362372000611,0.6452,0.10515626606210599,0.22887640169075577,3.705328168012808
CZE,0.09393824068861352,0.7512000000000001,0.164905171448329,0.20687626848427165,3.705328168012808
DEU,0.10006903032955414,0.42160000000000003,0.0862742215819687,0.172163040094892,3.705328168012808
DJI,,0.7643000000000001,0.506862780791495,0.48470873034554296,3.705328168012808
DMA,,0.8328,,0.7083431474169981,3.705328168012808
DNK,0.09710488565803967,0.5422,0.0841889998659116,0.2608448041421991,3.705328168012808
DOM,0.07059464053636394,0.8464,0.42365559403910297,0.19438195334750336,3.705328168012808
DZA,,0.7193999999999999,0.320940198493035,0.4528349133520606,3.705328168012808
ECU,0.0690934089165594,0.8599,0.507938036477426,0.4454544791947039,3.705328168012808
EGY,,0.76,0.260877691023584,0.5539740581896897,3.705328168012808
ERI,,0.7448,0.763040916761568,0.8319574704590661,3.705328168012808
ESP,0.10622675421671189,0.7648,0.151693384007829,0.20812586728938998,3.705328168012808
EST,0.10232210700729022,0.7859999999999999,0.11108434247167401,0.23529177362888748,3.705328168012808
ETH,,0.6509,0.850948840976875,0.47639485040000695,3.705328168012808
FIN,0.12674378051615903,0.6636,0.131887241270814,0.2321439473526286,3.705328168012808
FJI,0.03947804199509836,0.8126999999999999,0.314050529127821,0.27368674538225396,3.705328168012808
FRA,0.1298316218536094,0.6216,0.12918804155201902,0.24268675442230453,3.705328168012808
FRO,0.08724390503883861,,,,3.705328168012808
FSM,,0.6979000000000001,,,3.705328168012808
GAB,,0.7439,0.33851037350200697,0.30211512571564014,3.705328168012808
GBR,0.12298488240315675,0.6904,0.134187341614466,0.21986111351164803,3.705328168012808
GEO,0.10241732411673451,0.6778,0.487384383924351,0.3861178097422998,3.705328168012808
GHA,0.021687489525981696,0.9,0.711727725664695,0.1717632574225276,3.705328168012808
GIN,,0.7945,0.818802860470411,0.41457980425554414,3.705328168012808
GMB,0.020922413038773093,0.8392000000000002,0.692398782635111,0.45144091272394876,3.705328168012808
GNB,,0.763,0.7831757258655491,0.757389259663022,3.705328168012808
GNQ,,0.8324,0.873021002624352,0.6464362173036028,3.705328168012808
GRC,0.13956524512246354,0.7163999999999999,0.309524457344361,0.319967246773652,3.705328168012808
GRD,,0.7112,,0.33340423772595673,3.705328168012808
GRL,0.13047473200612558,,,,3.705328168012808
GTM,0.08019040411634494,0.7037,0.39540840734712296,0.2291045685103328,3.705328168012808
GUM,,,0.119046966249006,,3.705328168012808
GUY,0.029264367215938423,0.6884,0.319293271314923,0.5908987965413017,3.705328168012808
HKG,0.031760010294339135,0.221,0.0846457548957351,0.24191259998376635,3.705328168012808
HND,,0.7386,0.45651261560525297,0.3070449597285783,3.705328168012808
HRV,0.08625195862377714,0.9112,0.135379286777243,0.31706186154943833,3.705328168012808
HTI,0.04876644908854955,0.7715000000000001,0.754352409262302,0.36439942496795813,3.705328168012808
HUN,0.12100352278350253,0.8944000000000001,0.122944560329107,0.23212315586808013,3.705328168012808
