iso3,hazard,rp,income_cat,fa
ABW,Earthquake,10.0,q1,0.009983144592848978
ABW,Earthquake,10.0,q2,0.009983144592848978
ABW,Earthquake,10.0,q3,0.009983144592848978
ABW,Earthquake,10.0,q4,0.009983144592848978
ABW,Earthquake,10.0,q5,0.009983144592848978
ABW,Earthquake,25.0,q1,0.024745719476716662
ABW,Earthquake,25.0,q2,0.024745719476716662
ABW,Earthquake,25.0,q3,0.024745719476716662
ABW,Earthquake,25.0,q4,0.024745719476716662
ABW,Earthquake,25.0,q5,0.024745719476716662
ABW,Earthquake,50.0,q1,0.04933396692767365
ABW,Earthquake,50.0,q2,0.04933396692767365
ABW,Earthquake,50.0,q3,0.04933396692767365
ABW,Earthquake,50.0,q4,0.04933396692767365
ABW,Earthquake,50.0,q5,0.04933396692767365
ABW,Earthquake,100.0,q1,0.09743508812494751
ABW,Earthquake,100.0,q2,0.09743508812494751
ABW,Earthquake,100.0,q3,0.09743508812494751
ABW,Earthquake,100.0,q4,0.09743508812494751
ABW,Earthquake,100.0,q5,0.09743508812494751
ABW,Earthquake,250.0,q1,0.23572617923642075
ABW,Earthquake,250.0,q2,0.23572617923642075
ABW,Earthquake,250.0,q3,0.23572617923642075
ABW,Earthquake,250.0,q4,0.23572617923642075
ABW,Earthquake,250.0,q5,0.23572617923642075
ABW,Earthquake,500.0,q1,0.39176936788045436
ABW,Earthquake,500.0,q2,0.39176936788045436
ABW,Earthquake,500.0,q3,0.39176936788045436
ABW,Earthquake,500.0,q4,0.39176936788045436
ABW,Earthquake,500.0,q5,0.39176936788045436
ABW,Earthquake,1000.0,q1,0.5162741719898412
ABW,Earthquake,1000.0,q2,0.5162741719898412
ABW,Earthquake,1000.0,q3,0.5162741719898412
ABW,Earthquake,1000.0,q4,0.5162741719898412
ABW,Earthquake,1000.0,q5,0.5162741719898412
ABW,Earthquake,2500.0,q1,0.7279940703875128
ABW,Earthquake,2500.0,q2,0.7279940703875128
ABW,Earthquake,2500.0,q3,0.7279940703875128
ABW,Earthquake,2500.0,q4,0.7279940703875128
ABW,Earthquake,2500.0,q5,0.7279940703875128
ABW,Earthquake,5000.0,q1,0.9282990728704174
ABW,Earthquake,5000.0,q2,0.9282990728704174
ABW,Earthquake,5000.0,q3,0.9282990728704174
ABW,Earthquake,5000.0,q4,0.9282990728704174
ABW,Earthquake,5000.0,q5,0.9282990728704174
ABW,Storm surge,10.0,q1,0.02349636530234977
ABW,Storm surge,10.0,q2,0.02349636530234977
ABW,Storm surge,10.0,q3,0.02349636530234977
ABW,Storm surge,10.0,q4,0.02349636530234977
ABW,Storm surge,10.0,q5,0.02349636530234977
ABW,Storm surge,25.0,q1,0.03420639305250757
ABW,Storm surge,25.0,q2,0.03420639305250757
ABW,Storm surge,25.0,q3,0.03420639305250757
ABW,Storm surge,25.0,q4,0.03420639305250757
ABW,Storm surge,25.0,q5,0.03420639305250757
ABW,Storm surge,50.0,q1,0.04370323556156385
ABW,Storm surge,50.0,q2,0.04370323556156385
ABW,Storm surge,50.0,q3,0.04370323556156385
ABW,Storm surge,50.0,q4,0.04370323556156385
ABW,Storm surge,50.0,q5,0.04370323556156385
ABW,Storm surge,100.0,q1,0.054239893420690036
ABW,Storm surge,100.0,q2,0.054239893420690036
ABW,Storm surge,100.0,q3,0.054239893420690036
ABW,Storm surge,100.0,q4,0.054239893420690036
ABW,Storm surge,100.0,q5,0.054239893420690036
ABW,Storm surge,250.0,q1,0.07015786173144554
ABW,Storm surge,250.0,q2,0.07015786173144554
ABW,Storm surge,250.0,q3,0.07015786173144554
ABW,Storm surge,250.0,q4,0.07015786173144554
ABW,Storm surge,250.0,q5,0.07015786173144554
ABW,Storm surge,500.0,q1,0.08363265186854918
ABW,Storm surge,500.0,q2,0.08363265186854918
ABW,Storm surge,500.0,q3,0.08363265186854918
ABW,Storm surge,500.0,q4,0.08363265186854918
ABW,Storm surge,500.0,q5,0.08363265186854918
ABW,Storm surge,1000.0,q1,0.09858614478703723
ABW,Storm surge,1000.0,q2,0.09858614478703723
ABW,Storm surge,1000.0,q3,0.09858614478703723
ABW,Storm surge,1000.0,q4,0.09858614478703723
ABW,Storm surge,1000.0,q5,0.09858614478703723
ABW,Storm surge,2500.0,q1,0.12078339812369669
ABW,Storm surge,2500.0,q2,0.12078339812369669
ABW,Storm surge,2500.0,q3,0.12078339812369669
ABW,Storm surge,2500.0,q4,0.12078339812369669
