iso3,income_cat,income_share,social
AGO,q1,0.03796203796203797,0.1269049457707061
AGO,q2,0.07692307692307693,0.1630023564484145
AGO,q3,0.1258741258741259,0.13473058732511137
AGO,q4,0.2037962037962038,0.15558824859096992
AGO,q5,0.5554445554445555,0.13997366869879435
ALB,q1,0.08408408408408409,0.2438882961340817
ALB,q2,0.13213213213213215,0.19204631600270372
ALB,q3,0.17317317317317318,0.17842236439633835
ALB,q4,0.23023023023023023,0.18216025941765585
ALB,q5,0.3803803803803804,0.1478069756870252
ARG,q1,0.054000000000000006,0.3020764999077889
ARG,q2,0.10099999999999999,0.20757007907600655
ARG,q3,0.152,0.188999969339623
ARG,q4,0.22699999999999998,0.18853993603296815
ARG,q5,0.466,0.18040899751973413
ARM,q1,0.092,0.7505426696617941
ARM,q2,0.136,0.5115423234876981
ARM,q3,0.175,0.4440492102956107
ARM,q4,0.22399999999999998,0.3638834364973169
ARM,q5,0.373,0.1739671156103536
AUS,q1,0.07400000000000001,0.5037888937579597
AUS,q2,0.122,0.3534368931448526
AUS,q3,0.16399999999999998,0.3997284161791516
AUS,q4,0.225,0.3496650114722883
AUS,q5,0.415,0.3496650114722883
AUT,q1,0.077,0.5385324559989333
AUT,q2,0.133,0.3728804803933967
AUT,q3,0.177,0.3984644164085933
AUT,q4,0.22899999999999998,0.3221617731602791
AUT,q5,0.384,0.3221617731602791
AZE,q1,0.10789210789210792,0.028608649819433098
AZE,q2,0.13886113886113888,0.013975896630256392
AZE,q3,0.16683316683316685,0.01838308505313537
AZE,q4,0.2087912087912088,0.014529077356238897
AZE,q5,0.3776223776223776,0.014452680326819182
BEL,q1,0.09209209209209208,0.5597872949320802
BEL,q2,0.14414414414414417,0.3879360907579265
BEL,q3,0.17917917917917917,0.4104779340706933
BEL,q4,0.2242242242242242,0.348354467018849
BEL,q5,0.36036036036036034,0.348354467018849
BEN,q1,0.076,0.07684777715383845
BEN,q2,0.11900000000000001,0.11092744592172218
BEN,q3,0.161,0.054127928582463646
BEN,q4,0.221,0.07332643849490705
BEN,q5,0.423,0.08402282308376202
BFA,q1,0.07300000000000001,0.03989960135731187
BFA,q2,0.112,0.04487885903895582
BFA,q3,0.15100000000000002,0.09408007926289001
BFA,q4,0.21100000000000005,0.14008589152966502
BFA,q5,0.453,0.11805074354754135
BGD,q1,0.08208208208208208,0.04962474233468171
BGD,q2,0.12212212212212213,0.03712923552952149
BGD,q3,0.1601601601601602,0.0392208567687811
BGD,q4,0.21521521521521525,0.0330112488902978
BGD,q5,0.42042042042042044,0.03717595067079647
BGR,q1,0.06093906093906094,0.5143871014964608
BGR,q2,0.1098901098901099,0.3831383054547729
BGR,q3,0.15484515484515485,0.2747142554337186
BGR,q4,0.21878121878121878,0.24242593605764393
BGR,q5,0.4555444555444556,0.17163790264631695
BIH,q1,0.07492507492507493,0.2493329348075661
BIH,q2,0.12287712287712291,0.21631305971540354
BIH,q3,0.16683316683316685,0.19508625193949447
BIH,q4,0.22877122877122877,0.17757161679192324
BIH,q5,0.40659340659340665,0.12503676789769924
BLR,q1,0.10289710289710291,0.6063687215671144
BLR,q2,0.14485514485514486,0.5652786535197266
BLR,q3,0.17982017982017984,0.4782007855109386
BLR,q4,0.2247752247752248,0.44388162696733474
BLR,q5,0.34765234765234765,0.3216071272758677
BOL,q1,0.05294705294705294,0.23868904717626793
BOL,q2,0.10389610389610389,0.15681181706598885
BOL,q3,0.15284715284715283,0.12126010632766691
BOL,q4,0.22377622377622372,0.12027308137546236
BOL,q5,0.4665334665334665,0.131142790113009
BRA,q1,0.036000000000000004,0.49329896213240804
BRA,q2,0.077,0.39973212338420516
BRA,q3,0.12300000000000001,0.32492834858205094
BRA,q4,0.195,0.25478037255663155
BRA,q5,0.569,0.17940276120680135
BTN,q1,0.08800000000000001,0.024656815823972514
BTN,q2,0.135,0.03142082117516736
BTN,q3,0.17600000000000002,0.017861270002551274
BTN,q4,0.228,0.024737343168165858
BTN,q5,0.373,0.014910148922443337
BWA,q1,0.039,0.1815047653462676
BWA,q2,0.07,0.1755972443130356
BWA,q3,0.111,0.1563304328374617
BWA,q4,0.195,0.109020689074437
BWA,q5,0.585,0.109020689074437
CAN,q1,0.07707707707707707,0.5530170379230999
CAN,q2,0.12812812812812813,0.3810377487108198
CAN,q3,0.17217217217217215,0.3990889542342407
CAN,q4,0.23123123123123124,0.3560405230638103
CAN,q5,0.3913913913913914,0.3560405230638103
CHE,q1,0.075,0.3928866120765389
CHE,q2,0.122,0.2866373327571749
CHE,q3,0.165,0.3800692850514515
CHE,q4,0.223,0.3239748642221423
CHE,q5,0.415,0.3239748642221423
CHL,q1,0.059000000000000004,0.32317091425298805
CHL,q2,0.099,0.25437462625468965
CHL,q3,0.14,0.23554513868263316
CHL,q4,0.203,0.20703819772383097
CHL,q5,0.499,0.12723628183478886
CHN,q1,0.07400000000000001,0.3899989147933587
CHN,q2,0.114,0.27093470233918115
CHN,q3,0.157,0.2612948353317642
CHN,q4,0.21899999999999997,0.2831531139455101
CHN,q5,0.436,0.23775352503822922
CIV,q1,0.076,0.05281460450765389
CIV,q2,0.11599999999999999,0.07035818119165695
CIV,q3,0.157,0.10228059313702113
CIV,q4,0.218,0.11169548595231109
CIV,q5,0.433,0.10464675861740308
CMR,q1,0.05394605394605396,0.0053111067122733665
CMR,q2,0.09590409590409592,0.003528248124171576
CMR,q3,0.14685314685314685,0.00704307358632044
CMR,q4,0.2247752247752248,0.006837823350448985
CMR,q5,0.4785214785214786,0.00688006235740503
COD,q1,0.05494505494505495,0.05345055530108385
COD,q2,0.09590409590409592,0.0689770640013149
COD,q3,0.13686313686313686,0.06701325786866628
COD,q4,0.2017982017982018,0.05932291398732298
COD,q5,0.5104895104895105,0.09807707819959856
COL,q1,0.032,0.1574330395982509
COL,q2,0.071,0.09737493614346616
COL,q3,0.113,0.09136932520282573
COL,q4,0.188,0.10380916929182292
COL,q5,0.596,0.14344922899518397
COM,q1,0.045,0.03660522825276104
COM,q2,0.091,0.054064673442143905
COM,q3,0.139,0.0354934110816336
COM,q4,0.222,0.0410368781203576
COM,q5,0.503,0.01954924209647246
CPV,q1,0.05699999999999999,0.11215629372637398
CPV,q2,0.09699999999999996,0.1303079093709367
CPV,q3,0.143,0.11246781643677331
CPV,q4,0.21599999999999997,0.10331161469398036
CPV,q5,0.48699999999999993,0.07129851187441198
CRI,q1,0.04495504495504496,0.6259103457924846
CRI,q2,0.08691308691308691,0.39360106801540073
CRI,q3,0.13386613386613389,0.3243911656189214
CRI,q4,0.21378621378621382,0.2564242875801544
CRI,q5,0.5204795204795205,0.2591421885106892
CYP,q1,0.08591408591408592,0.2764390036390247
CYP,q2,0.1278721278721279,0.202970351085831
CYP,q3,0.16783216783216787,0.2968153584315527
CYP,q4,0.21778221778221782,0.2562614527354749
CYP,q5,0.4005994005994007,0.2562614527354749
