DATAFLOW,LAST UPDATE,freq,unit,sector,asset10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Austria,2014,1185301.1,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Austria,2015,1217227.9,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Austria,2016,1254859.9,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Austria,2017,1299363.5,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Austria,2018,1354340.3,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Austria,2019,1412069.3,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Austria,2020,1482375.2,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Austria,2021,1615183.8,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Austria,2022,1770094.5,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Austria,2023,1908430.9,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Belgium,2014,1238725.9,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Belgium,2015,1265112.7,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Belgium,2016,1293328.3,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Belgium,2017,1353435.9,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Belgium,2018,1403194.9,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Belgium,2019,1464184.5,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Belgium,2020,1495632.6,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Belgium,2021,1605346.4,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Belgium,2022,1792333.1,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Belgium,2023,1906501.3,p,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Bulgaria,2014,353877.7,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Bulgaria,2015,370907.4,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Bulgaria,2016,372683.9,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Bulgaria,2017,387088.0,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Bulgaria,2018,400117.4,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Bulgaria,2019,420330.0,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Bulgaria,2020,431826.2,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Bulgaria,2021,466103.4,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Bulgaria,2022,582478.3,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Cyprus,2014,54183.8,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Cyprus,2015,53790.2,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Cyprus,2016,54490.9,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Cyprus,2017,57817.5,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Cyprus,2018,60053.3,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Cyprus,2019,62175.6,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Cyprus,2020,63866.6,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Cyprus,2021,68509.6,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Cyprus,2022,76034.6,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Czechia,2014,14243871.0,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Czechia,2015,14826100.0,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Czechia,2016,15469149.0,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Czechia,2017,16387888.0,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Czechia,2018,17466527.0,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Czechia,2019,18836284.0,,
ESTAT:NAMA_10_NFA_BS(1.0),05/02/25 23:00:00,Annual,"Current prices, million units of national currency",Total economy,Total fixed assets (net),Czechia,2020,20462593.0,,
