country,year,income_cat,NA/couldnt,savings,family_friends,work_loan,borrowing,selling_assets,other
Afghanistan,2014,q1,0.3785019530250693,0.049827850742859774,0.4013146970664886,0.08084219952857544,0.0016510077566437105,0.015267100782313728,0.07259519109804957
Afghanistan,2014,q2,0.35516403436677557,0.05140974883730466,0.4348729144070439,0.0710681107782526,0.012000128093079043,0.011097277141910854,0.06438778637563332
Afghanistan,2014,q3,0.33174529282238896,0.10195719863024834,0.3614359371528251,0.09351338458592176,0.019060011208950903,0.0,0.09228817559966492
Afghanistan,2014,q4,0.2887460454940046,0.09436065400963288,0.3291723606376413,0.1198274316983105,0.013319985549445348,0.022310020094530928,0.13226350251643434
Afghanistan,2014,q5,0.314127989223719,0.16287537872209623,0.352251322057607,0.07154544649051835,0.0056032412586875125,0.009297095069441553,0.08429952717793042
Afghanistan,2017,q1,0.54034730049407,0.0029249135484900914,0.2916250674643836,0.12156970169320598,0.0,0.019668442329715433,0.02386457447013491
Afghanistan,2017,q2,0.5306223780076841,0.02817499092713701,0.3351678012926702,0.06914481660993187,0.0,0.003646759452807249,0.033243253709769445
Afghanistan,2017,q3,0.39757482034388186,0.014549910486711861,0.36104957924061026,0.15929732119234719,0.0,0.029774381563131242,0.03775398717331764
Afghanistan,2017,q4,0.43484057731479425,0.0277758084722999,0.3359471475033561,0.15307616830831663,0.0014157645716850434,0.03156016889625022,0.015384364933297897
Afghanistan,2017,q5,0.3008346614475777,0.06124261580686343,0.41255149225104193,0.14807983996300503,0.01131528525560189,0.008852329221839931,0.05712377605407002
Afghanistan,2021,q1,0.1560004416249911,0.0,0.7631433301699042,0.036533471920898106,0.0054690266136123164,0.02481598678104324,0.014037742889551135
Afghanistan,2021,q2,0.1714189099444151,0.0,0.656420121905938,0.02773599657049591,0.008971482048269705,0.13193947649590737,0.00351401303497384
Afghanistan,2021,q3,0.10956949465072167,0.013016555879302857,0.7040986309200621,0.06098808399910606,0.0,0.11232723455080734,0.0
Afghanistan,2021,q4,0.09397340769716152,0.009834013063706574,0.6521439615622416,0.10293766206276905,0.004322941076633081,0.1293111942360925,0.007476820301395519
Afghanistan,2021,q5,0.06670424776273247,0.03657120744298384,0.6318615741198446,0.14545375328293927,0.021835951942009536,0.09280897501196979,0.004764290437520566
Albania,2014,q1,0.5566283370674278,0.060577720670124846,0.32947685275520777,0.03950389031276195,0.0,0.0,0.01381319919447765
Albania,2014,q2,0.34740608050030947,0.08451284584484034,0.4453526233152654,0.09567097380511366,0.004821394740942364,0.005387961924424021,0.01684811986910471
Albania,2014,q3,0.27194972797984407,0.13842935370507345,0.4809817757466784,0.0820299748325847,0.0,0.006459930682723504,0.020149237053095882
Albania,2014,q4,0.2256378730192143,0.16981736622942004,0.48015104495172733,0.10065998643811085,0.0,0.0027742048486900156,0.020959524512837464
Albania,2014,q5,0.15683963188456546,0.21540730950527545,0.41076084485949926,0.1998611289989787,0.012916905764714836,0.0024643173015371157,0.00174986168542916
Albania,2017,q1,0.6826863648820454,0.0557936276754464,0.20273591223709475,0.03283253381790819,0.015848888310467817,0.0101026730770376,0.0
Albania,2017,q2,0.6094529131210158,0.07554891845425518,0.23422587941425918,0.025691025730467977,0.048459291009987616,0.006621972270014258,0.0
Albania,2017,q3,0.5011325808183184,0.11087696880149774,0.27953236193245584,0.08575651377335376,0.011340564350643205,0.011361010323731012,0.0
Albania,2017,q4,0.36213034654163223,0.1546111876791201,0.32580485589073693,0.12902773745862264,0.017923555209308564,0.0,0.010502317220579491
Albania,2017,q5,0.22697602369640532,0.24940426793365741,0.3055754892955671,0.19189214056899628,0.017111782625813785,0.0,0.009040295879560083
Albania,2021,q1,0.18934190937081502,0.07490232891674929,0.6055855301289116,0.033281174890855615,0.035377268502468605,0.05676851484571539,0.004743273344484467
Albania,2021,q2,0.1234561208910488,0.15787400292574355,0.5668561662847875,0.054193461038944034,0.06157448643746257,0.02225207198270002,0.013793690439313583
Albania,2021,q3,0.08983453441680157,0.14256498490108108,0.6143301047955185,0.11352813881972587,0.036341698161069615,0.003400538905803434,0.0
Albania,2021,q4,0.03630239049545148,0.28067708266702773,0.5370062361120398,0.10164543968441828,0.04043366110291889,0.00393518993814374,0.0
Albania,2021,q5,0.034376296043796835,0.3905257558547237,0.37459190781602175,0.1811334706279078,0.01268494641482632,0.004007725897355256,0.0026798973453683555
Algeria,2014,q1,0.2980126791788299,0.18651525045245074,0.4331981705885757,0.05618718129551927,0.0,0.011304016212105106,0.014782702272519337
Algeria,2014,q2,0.2177531383433337,0.17486969379694237,0.4703716044299799,0.08426036355078617,0.017198209593689878,0.022194296104976086,0.013352694180291854
Algeria,2014,q3,0.12545788840029523,0.3359080263720518,0.47166853712091716,0.057048675857806944,0.003693994374732778,0.0,0.006222877874196146
Algeria,2014,q4,0.10713838777694817,0.3418719192053268,0.4298912692236207,0.09575021213874335,0.007278950512737801,0.0,0.01806926114262323
Algeria,2014,q5,0.04708715866380542,0.5234829755617518,0.32042911427265347,0.07945546510380883,0.0070483532833320135,0.004996597849957673,0.01750033526469072
Algeria,2017,q1,0.5272308882050843,0.10632432939980246,0.23718333404092565,0.12720101681591034,0.0,0.0,0.0020604315382771682
Algeria,2017,q2,0.5051712148888378,0.07481984952331543,0.20837362803040704,0.1709551903413326,0.00899872805932189,0.006455540207866516,0.025225848948918776
Algeria,2017,q3,0.3901527748937928,0.14932997007764004,0.30864700857102295,0.13050611499218495,0.010326461089789138,0.007900212065467021,0.00313745831010311
Algeria,2017,q4,0.3507747657018158,0.1782329035167731,0.2902792331330591,0.15115779842526184,0.013518534313632397,0.010036529683256284,0.006000235226201375
Algeria,2017,q5,0.19157982786560687,0.32943291554068055,0.23164666466093228,0.22008828359714863,0.009844201994032164,0.0,0.017408106341599512
Algeria,2021,q1,0.27722700423142005,0.11989159212962523,0.38017267267770105,0.1397386373742124,0.01977329355784506,0.024035969814395992,0.03916083021480023
Algeria,2021,q2,0.13307177378316204,0.11993396974270405,0.5620870560318696,0.09906721445029042,0.006605303965042848,0.0792346820269312,0.0
Algeria,2021,q3,0.13832296617956444,0.2437254274316732,0.4832377420396684,0.08789608529816999,0.014708606375375959,0.03210917267554802,0.0
Algeria,2021,q4,0.04961841777205829,0.219415290665523,0.5471312946200728,0.12159261658411016,0.013142994737960078,0.044956568352323874,0.00414281726795166
Algeria,2021,q5,0.031927277937191675,0.34182676479878527,0.47926583346896073,0.1301927543776374,0.002584194598909845,0.009064079010692703,0.005139095807822451
Angola,2014,q1,0.738276208523118,0.05774915915078138,0.11693074611117778,0.07746816787088914,0.0,0.00430277630243526,0.005272942041598426
Angola,2014,q2,0.6490634106194998,0.08765299304449552,0.1661504700998974,0.09713312623610733,0.0,0.0,0.0
Angola,2014,q3,0.4857433996503491,0.09487273938734349,0.19887309759558383,0.21556954547695328,0.0,0.004941217889770349,0.0
Angola,2014,q4,0.5239632396465053,0.11762028449421559,0.18783518951317235,0.17058128634610675,0.0,0.0,0.0
Angola,2014,q5,0.3552972702072727,0.21049494284992443,0.18717767092602566,0.2114248840632595,0.011451682314897396,0.0032517590012181054,0.020901790637402256
Argentina,2014,q1,0.33464699602762865,0.07358287755844471,0.5091113239777606,0.05473749060276936,0.0,0.013280759665528738,0.014640552167867875
Argentina,2014,q2,0.3784120356359477,0.07056335167020342,0.43823618207641474,0.06661976618442121,0.0278625980863187,0.0,0.018306066346694357
Argentina,2014,q3,0.18998143952449745,0.15081316997386696,0.48799750630833644,0.10652681427134664,0.035731784731868214,0.02333855926683323,0.005610725923251163
Argentina,2014,q4,0.26526892063954827,0.16371139867828946,0.3785566428926554,0.17784002349734554,0.014623014292161313,0.0,0.0
Argentina,2014,q5,0.1826559260724869,0.153055781107332,0.41926357459009844,0.1739325746991107,0.04839195664093952,0.008186131055218182,0.014514055834814327
Argentina,2017,q1,0.8222241436864669,0.0337351753109456,0.06270142591293106,0.05375695971681098,0.024622624811687418,0.002959670561158064,0.0
Argentina,2017,q2,0.7473246845061327,0.01597774104471628,0.1247424878986418,0.08912460636049241,0.018081736002079473,0.0,0.004748744187937483
Argentina,2017,q3,0.6724738486537831,0.08980625312312161,0.11648130671332663,0.09668877123045833,0.012057425043460716,0.0040650617688264825,0.008427333467023068
Argentina,2017,q4,0.5917697140820075,0.05356722415479213,0.12008198241744242,0.16187339204331913,0.02872155081964409,0.016077240407634634,0.027908896075160106
Argentina,2017,q5,0.4620491049286748,0.12633826866228962,0.12443461391889503,0.2136936215279428,0.02794476862107032,0.01637381581175628,0.02916580652937114
Argentina,2021,q1,0.259433090926561,0.041409720022718255,0.3789366808916566,0.07035042483300522,0.14542180130339957,0.058044087741482016,0.04640419428117726
Argentina,2021,q2,0.11718688858500073,0.02871851234228893,0.42284651270661927,0.14120737953747953,0.19796116693417126,0.011826725565728703,0.08025281432871151
Argentina,2021,q3,0.12168070424336905,0.07701517482414481,0.4418868879738525,0.1273908307588634,0.12346886174658002,0.02747028935099527,0.08108725110219502
Argentina,2021,q4,0.09501469064973568,0.1604442287383106,0.30757775939440446,0.21071401937412504,0.10581771794139098,0.021227063366329908,0.0992045205357033
Argentina,2021,q5,0.09052401725721194,0.22337065267926975,0.3636917593210419,0.17010667091493972,0.0668068100154273,0.02620524675550612,0.059294843056603236
Armenia,2014,q1,0.49610079506088206,0.010782364662971382,0.4535998851343764,0.015855417738702745,0.0,0.0033996195315971925,0.020261917871470227
Armenia,2014,q2,0.4571353160500999,0.045598975720966585,0.4439973141993125,0.012645152762489828,0.0051446851182016485,0.01611335257089547,0.019365203578034108
Armenia,2014,q3,0.3459632696746859,0.013863657968821413,0.4786711182967753,0.08309310360449444,0.003220798554696603,0.0299551659900214,0.04523288591050502
Armenia,2014,q4,0.38077937972504056,0.03443314912774913,0.4768331119295241,0.08013768411026918,0.0026785800345415917,0.0,0.025138095072875375
Armenia,2014,q5,0.18676379849145325,0.08361436788406189,0.48780492050760405,0.1889894463072159,0.005831886743543201,0.00232730660046736,0.044668273465654405
Armenia,2017,q1,0.7625188851751782,0.02415166796607846,0.09987631328179776,0.01527864293609497,0.08564722560888899,0.0073124190371033765,0.0052148459948581916
Armenia,2017,q2,0.5904521827774123,0.011070620610654808,0.23592566121324804,0.017470798933910354,0.10381659421207426,0.03367716510208498,0.007586977150615344
Armenia,2017,q3,0.6362929795534159,0.0,0.15674263097843216,0.02492599634889075,0.14489330934496583,0.03234564862182227,0.004799435152472992
