"ref_area.label","indicator.label","source.label","time","obs_value","obs_status.label"
"Afghanistan","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",39.456,"Imputation"
"Angola","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",43.146,"Imputation"
"Albania","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.469,"Model-based extrapolation"
"United Arab Emirates","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",38.184,"Imputation"
"Argentina","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",49.492,
"Armenia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",53.339,
"Australia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",53.019,
"Austria","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",59.561,
"Azerbaijan","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",46.567,"Imputation"
"Burundi","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",39.593,"Model-based extrapolation"
"Belgium","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",61.089,
"Benin","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",36.139,"Model-based extrapolation"
"Burkina Faso","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",51.396,"Model-based extrapolation"
"Bangladesh","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",40.861,"Imputation"
"Bulgaria","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",51.289,
"Bahrain","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",28.11,"Imputation"
"Bahamas","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",41.08,"Imputation"
"Bosnia and Herzegovina","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.303,
"Belarus","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",48.922,"Imputation"
"Belize","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.397,"Imputation"
"Bolivia (Plurinational State of)","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",55.259,"Model-based extrapolation"
"Brazil","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",57.763,"Model-based extrapolation"
"Barbados","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",58.218,"Imputation"
"Brunei Darussalam","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",31.778,
"Bhutan","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",45.343,"Model-based extrapolation"
"Botswana","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",41.492,
"Central African Republic","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",35.212,"Imputation"
"Canada","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",59.505,
"Channel Islands","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",56.904,"Imputation"
"Switzerland","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",70.507,
"Chile","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",50.375,
"China","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",51.402,"Imputation"
"Côte d’Ivoire","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",31.215,"Model-based extrapolation"
"Cameroon","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",46.168,"Model-based extrapolation"
"Congo, Democratic Republic of the","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",38.831,"Imputation"
"Congo","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",43.928,"Imputation"
"Colombia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",54.655,
"Comoros","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",42.185,"Imputation"
"Cabo Verde","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",43.26,"Model-based extrapolation"
"Costa Rica","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",54.179,
"Cuba","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",41.923,"Imputation"
"Cyprus","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",48.497,
"Czechia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",56.309,
"Germany","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",61.37,
"Djibouti","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",41.299,"Imputation"
"Denmark","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",57.97,
"Dominican Republic","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.382,"Model-based extrapolation"
"Algeria","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",35.038,"Imputation"
"Ecuador","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",54.978,"Model-based extrapolation"
"Egypt","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",41.764,"Model-based extrapolation"
"Eritrea","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",38.131,"Imputation"
