iso3,pov_line,pov_headcount
AGO,0.0,0.0
AGO,2.15,0.311220062314
AGO,3.2,0.470206220195
AGO,3.22,0.47264848591260006
AGO,3.25,0.476311884489
AGO,3.65,0.529023264215
AGO,4.3,0.603329063633
AGO,5.45,0.69608275757
AGO,5.47,0.6975319048728
AGO,5.5,0.699705625827
AGO,6.85,0.77974702093
AGO,7.0,0.786859173492
AGO,7.3,0.7990704738096001
AGO,7.5,0.807211340688
AGO,10.0,0.887011655944
AGO,10.27,0.89056301147248
AGO,15.0,0.952777499064
AGO,inf,1.0
ALB,0.0,0.0
ALB,2.15,0.000212773636
ALB,3.2,0.00781930267
ALB,3.22,0.00781930267
ALB,3.25,0.00781930267
ALB,3.65,0.014779634829
ALB,4.3,0.033033096347
ALB,5.45,0.070016710955
ALB,5.47,0.0702937465662
ALB,5.5,0.070709299983
ALB,6.85,0.136719909201
ALB,7.0,0.146448574777
ALB,7.3,0.16615115675679998
ALB,7.5,0.17928621141
ALB,10.0,0.355748850656
ALB,10.27,0.37242486569868194
ALB,15.0,0.664563944039
ALB,inf,1.0
ARE,0.0,0.0
ARE,2.15,0.0
ARE,3.2,0.0
ARE,3.22,0.0
ARE,3.25,0.0
ARE,3.65,0.0
ARE,4.3,0.0
ARE,5.45,0.000994858517
ARE,5.47,0.0010341709065999993
ARE,5.5,0.001093139491
ARE,6.85,0.003808485001
ARE,7.0,0.00411769357
ARE,7.3,0.0047427865929999995
ARE,7.5,0.005159515275
ARE,10.0,0.010636372763
ARE,10.27,0.011308383095227999
ARE,15.0,0.023081008545
ARE,inf,1.0
ARG,0.0,0.0
ARG,2.15,0.009588466405
ARG,3.2,0.017669459796
ARG,3.22,0.017729408680400002
ARG,3.25,0.017819332007
ARG,3.65,0.024868479612
ARG,4.3,0.038000820233
ARG,5.45,0.066589990757
ARG,5.47,0.0670001833538
ARG,5.5,0.067615472249
ARG,6.85,0.10620059695
ARG,7.0,0.111633490535
ARG,7.3,0.1223449919942
ARG,7.5,0.129485992967
ARG,10.0,0.22308763941
ARG,10.27,0.232449709883652
ARG,15.0,0.396459314848
ARG,inf,1.0
ARM,0.0,0.0
ARM,2.15,0.005235208329
ARM,3.2,0.05045514591
ARM,3.22,0.05178280559120001
ARM,3.25,0.053774295113
ARM,3.65,0.086725052678
ARM,4.3,0.155473996602
ARM,5.45,0.31420064486
ARM,5.47,0.3177916680483999
ARM,5.5,0.323178202831
ARM,6.85,0.517406980197
ARM,7.0,0.540793092282
ARM,7.3,0.5814910763472
ARM,7.5,0.608623065724
ARM,10.0,0.812463804373
ARM,10.27,0.819568639889914
ARM,15.0,0.944034832464
ARM,inf,1.0
AUS,0.0,0.0
AUS,2.15,0.004970939722
AUS,3.2,0.004970939722
AUS,3.22,0.004970939722
AUS,3.25,0.004970939722
AUS,3.65,0.0073823462
AUS,4.3,0.0073823462
AUS,5.45,0.0073823462
AUS,5.47,0.0073823462
AUS,5.5,0.0073823462
AUS,6.85,0.009842698093
AUS,7.0,0.009842698093
AUS,7.3,0.0114338435986
AUS,7.5,0.012494607269
AUS,10.0,0.014924493707
AUS,10.27,0.015738376785818
AUS,15.0,0.029996402574
AUS,inf,1.0
AUT,0.0,0.0
AUT,2.15,0.006835775451
AUT,3.2,0.008875288235
AUT,3.22,0.008875288235
AUT,3.25,0.008875288235
AUT,3.65,0.008875288235
AUT,4.3,0.009244390983
AUT,5.45,0.009753083259
AUT,5.47,0.009753083259
AUT,5.5,0.009753083259
AUT,6.85,0.010466111045
AUT,7.0,0.01070214869
AUT,7.3,0.010905196649
AUT,7.5,0.011040561955
AUT,10.0,0.015009666383
AUT,10.27,0.015505642575091998
AUT,15.0,0.024194410681
AUT,inf,1.0
AZE,0.0,0.0
AZE,2.15,0.0
AZE,3.2,0.001017728136
AZE,3.22,0.0011885337180000007
AZE,3.25,0.001444742091
AZE,3.65,0.003148620803
AZE,4.3,0.020265706122
AZE,5.45,0.109734425267
AZE,5.47,0.11190524348259996
AZE,5.5,0.115161470806
AZE,6.85,0.313464002011
AZE,7.0,0.336109295727
AZE,7.3,0.38501216428979995
AZE,7.5,0.417614076665
AZE,10.0,0.698163410487
AZE,10.27,0.708837945458916
AZE,15.0,0.895839984041
AZE,inf,1.0
BDI,0.0,0.0
BDI,2.15,0.651328928523
BDI,3.2,0.827005607934
BDI,3.22,0.8281692746684
BDI,3.25,0.82991477477
BDI,3.65,0.866650999875
BDI,4.3,0.902861706591
BDI,5.45,0.942506859339
BDI,5.47,0.9431185847398
BDI,5.5,0.944036172841
BDI,6.85,0.96482768675
BDI,7.0,0.966735299228
BDI,7.3,0.9699745854853999
BDI,7.5,0.972134109657
BDI,10.0,0.986961904668
BDI,10.27,0.9874908258606541
BDI,15.0,0.996756741569
BDI,inf,1.0
BEL,0.0,0.0
BEL,2.15,0.000547254789
BEL,3.2,0.001169974018
BEL,3.22,0.001169974018
BEL,3.25,0.001169974018
BEL,3.65,0.001169974018
BEL,4.3,0.001600675814
BEL,5.45,0.001798229645
BEL,5.47,0.001798229645
BEL,5.5,0.001798229645
BEL,6.85,0.002846956851
BEL,7.0,0.002846956851
BEL,7.3,0.0029090975442
BEL,7.5,0.002950524673
BEL,10.0,0.004354010076
BEL,10.27,0.004652825556809999
BEL,15.0,0.009887630091
BEL,inf,1.0
BEN,0.0,0.0
BEN,2.15,0.200821865179
BEN,3.2,0.448357861759
BEN,3.22,0.451272196291
BEN,3.25,0.455643698089
BEN,3.65,0.531886774441
BEN,4.3,0.631088197823
BEN,5.45,0.745435437977
BEN,5.47,0.7474407306186
BEN,5.5,0.750448669581
BEN,6.85,0.83606075745
BEN,7.0,0.841392028777
BEN,7.3,0.855446039515
BEN,7.5,0.864815380007
BEN,10.0,0.93130304605
BEN,10.27,0.9336325484264381
BEN,15.0,0.974441978947
BEN,inf,1.0
BFA,0.0,0.0
BFA,2.15,0.312038230194
BFA,3.2,0.563794523353
BFA,3.22,0.5667313615746
BFA,3.25,0.571136618907
BFA,3.65,0.631043233905
BFA,4.3,0.71069156067
BFA,5.45,0.804688416292
BFA,5.47,0.8054113997284
BFA,5.5,0.806495874883
BFA,6.85,0.872424206546
BFA,7.0,0.87691729815
BFA,7.3,0.8832670340232
BFA,7.5,0.887500191272
BFA,10.0,0.926838138577
BFA,10.27,0.928984132879744
BFA,15.0,0.966578773813
BFA,inf,1.0
BGD,0.0,0.0
BGD,2.15,0.095763822443
BGD,3.2,0.321397857389
BGD,3.22,0.3257328484822
BGD,3.25,0.332235335122
BGD,3.65,0.42321634631
BGD,4.3,0.548141327212
BGD,5.45,0.715839851297
BGD,5.47,0.7178818832925999
BGD,5.5,0.720944931286
BGD,6.85,0.831446376179
BGD,7.0,0.840106816147
BGD,7.3,0.8553658029022
BGD,7.5,0.865538460739
BGD,10.0,0.935764108593
BGD,10.27,0.9380945384350979
BGD,15.0,0.97892021678
BGD,inf,1.0
BGR,0.0,0.0
BGR,2.15,0.002478634814
BGR,3.2,0.010141189276
BGR,3.22,0.010141189276
BGR,3.25,0.010141189276
BGR,3.65,0.013903044819
BGR,4.3,0.019661246259
BGR,5.45,0.032012196988
BGR,5.47,0.03265745499959999
BGR,5.5,0.033625342017
BGR,6.85,0.045320230581
BGR,7.0,0.048624566234
BGR,7.3,0.053707176159199996
BGR,7.5,0.057095582776
BGR,10.0,0.097112407503
BGR,10.27,0.10437443627622599
BGR,15.0,0.231594421822
BGR,inf,1.0
BIH,0.0,0.0
BIH,2.15,0.000749787577
BIH,3.2,0.004768213579
BIH,3.22,0.0049003892934
BIH,3.25,0.005098652865
BIH,3.65,0.008496979394
BIH,4.3,0.013557452951
BIH,5.45,0.029185080102
BIH,5.47,0.029569059035199994
BIH,5.5,0.030145027435
BIH,6.85,0.057792609116
BIH,7.0,0.061497815631
BIH,7.3,0.06946317671459999
BIH,7.5,0.074773417437
BIH,10.0,0.165111474913
BIH,10.27,0.17740840103240196
BIH,15.0,0.392832328976
BIH,inf,1.0
BLR,0.0,0.0
BLR,2.15,0.0
BLR,3.2,0.000267654593
BLR,3.22,0.0004241069174000007
BLR,3.25,0.000658785404
BLR,3.65,0.000658785404
BLR,4.3,0.000876080299
BLR,5.45,0.00405619066
BLR,5.47,0.004173914031599998
BLR,5.5,0.004350499089
BLR,6.85,0.01285999489
BLR,7.0,0.014115954342
BLR,7.3,0.019930822250999996
BLR,7.5,0.023807400857
BLR,10.0,0.090444925893
BLR,10.27,0.10514334796136397
BLR,15.0,0.362637927159
BLR,inf,1.0
BLZ,0.0,0.0
BLZ,2.15,0.195569282913
BLZ,3.2,0.323174481694
BLZ,3.22,0.33687663145280006
BLZ,3.25,0.357429856091
BLZ,3.65,0.391063399434
BLZ,4.3,0.472721433355
BLZ,5.45,0.57253556737
BLZ,5.47,0.573240764784
BLZ,5.5,0.574298560905
BLZ,6.85,0.667539052357
BLZ,7.0,0.679210342895
BLZ,7.3,0.6944909868662
BLZ,7.5,0.704678082847
BLZ,10.0,0.806672042203
BLZ,10.27,0.8117524155749261
BLZ,15.0,0.900753030572
BLZ,inf,1.0
BOL,0.0,0.0
BOL,2.15,0.019645011375
BOL,3.2,0.040949887005
BOL,3.22,0.041422127228200004
BOL,3.25,0.042130487563
BOL,3.65,0.054037213466
BOL,4.3,0.066438782716
BOL,5.45,0.097624945629
BOL,5.47,0.09845489459939999
BOL,5.5,0.099699818055
BOL,6.85,0.151835977452
BOL,7.0,0.158234160444
BOL,7.3,0.168502277787
BOL,7.5,0.175347689349
BOL,10.0,0.294939182523
BOL,10.27,0.30620253476667
BOL,15.0,0.503519779628
BOL,inf,1.0
BRA,0.0,0.0
BRA,2.15,0.058245602832
BRA,3.2,0.095940139646
BRA,3.22,0.0967423895748
BRA,3.25,0.097945764468
BRA,3.65,0.112550683331
BRA,4.3,0.146718691801
BRA,5.45,0.206136623984
BRA,5.47,0.2068332783424
BRA,5.5,0.20787825988
BRA,6.85,0.283581145007
BRA,7.0,0.291754266838
BRA,7.3,0.3062654438482
BRA,7.5,0.315939561855
BRA,10.0,0.436877721914
BRA,10.27,0.44679770199028396
BRA,15.0,0.62058105666
BRA,inf,1.0
BTN,0.0,0.0
BTN,2.15,1.5388477e-05
BTN,3.2,0.002072898317
BTN,3.22,0.0022238839242000007
BTN,3.25,0.002450362335
BTN,3.65,0.004704421428
BTN,4.3,0.011466813433
BTN,5.45,0.036813456111
BTN,5.47,0.03731449659499999
BTN,5.5,0.038066057321
BTN,6.85,0.084471764413
BTN,7.0,0.089575698937
BTN,7.3,0.1050262124752
BTN,7.5,0.115326554834
BTN,10.0,0.263065546144
BTN,10.27,0.279412574645242
BTN,15.0,0.565788296167
BTN,inf,1.0
BWA,0.0,0.0
BWA,2.15,0.154262420302
BWA,3.2,0.314874457602
BWA,3.22,0.3180672843124
BWA,3.25,0.322856524378
BWA,3.65,0.380041747036
BWA,4.3,0.452770130703
BWA,5.45,0.548787244175
BWA,5.47,0.5508871743122
BWA,5.5,0.554037069518
BWA,6.85,0.635148098714
BWA,7.0,0.643306437172
BWA,7.3,0.6568321766902
BWA,7.5,0.665849336369
BWA,10.0,0.754502585096
BWA,10.27,0.759781892023886
BWA,15.0,0.852267528205
BWA,inf,1.0
CAF,0.0,0.0
CAF,2.15,0.656665098549
CAF,3.2,0.817838581916
CAF,3.22,0.8196164073916
CAF,3.25,0.822283145605
CAF,3.65,0.857806446035
CAF,4.3,0.896750019914
CAF,5.45,0.939869318037
CAF,5.47,0.9404691471754
CAF,5.5,0.941368890883
CAF,6.85,0.96206238449
CAF,7.0,0.963798625554
CAF,7.3,0.9664017512556
CAF,7.5,0.96813716839
CAF,10.0,0.985437355862
CAF,10.27,0.98593101690005
CAF,15.0,0.994579226937
CAF,inf,1.0
CAN,0.0,0.0
CAN,2.15,0.002486375387
CAN,3.2,0.004994693977
CAN,3.22,0.004994693977
CAN,3.25,0.004994693977
CAN,3.65,0.004994693977
CAN,4.3,0.004994693977
CAN,5.45,0.007153652711
CAN,5.47,0.007153652711
CAN,5.5,0.007153652711
CAN,6.85,0.007153652711
CAN,7.0,0.007153652711
CAN,7.3,0.007153652711
CAN,7.5,0.007153652711
CAN,10.0,0.012495061041
CAN,10.27,0.01303382396958
CAN,15.0,0.022472152311
CAN,inf,1.0
CHE,0.0,0.0
CHE,2.15,0.00030503981
CHE,3.2,0.000352593844
CHE,3.22,0.000352593844
CHE,3.25,0.000352593844
CHE,3.65,0.000395770384
CHE,4.3,0.000395770384
CHE,5.45,0.000449785714
CHE,5.47,0.0005478530911999982
CHE,5.5,0.000694954157
CHE,6.85,0.001710939057
CHE,7.0,0.001710939057
CHE,7.3,0.0018318848022
CHE,7.5,0.001912515299
CHE,10.0,0.003749705091
CHE,10.27,0.004413536717471999
CHE,15.0,0.016042883359
CHE,inf,1.0
CHL,0.0,0.0
CHL,2.15,0.00749503097
CHL,3.2,0.014205468048
CHL,3.22,0.014323558027200001
CHL,3.25,0.014500692996
CHL,3.65,0.016836558791
CHL,4.3,0.02464661065
CHL,5.45,0.044795727173
CHL,5.47,0.04527253288219999
CHL,5.5,0.045987741446
CHL,6.85,0.080108866619
CHL,7.0,0.084840760175
CHL,7.3,0.09461954605879999
CHL,7.5,0.101138736648
CHL,10.0,0.205499953966
CHL,10.27,0.21741152085070597
CHL,15.0,0.426084525905
CHL,inf,1.0
CHN,0.0,0.0
CHN,2.15,0.001107742747
CHN,3.2,0.008282308523
CHN,3.22,0.008648796734200001
CHN,3.25,0.009198529051
CHN,3.65,0.020195804254
CHN,4.3,0.052646285516
CHN,5.45,0.135435710646
CHN,5.47,0.13699930020959997
CHN,5.5,0.139344684555
CHN,6.85,0.246598913676
CHN,7.0,0.258676816581
CHN,7.3,0.28270644140519996
CHN,7.5,0.298726191288
CHN,10.0,0.475668346527
CHN,10.27,0.488553484908636
CHN,15.0,0.714282020261
CHN,inf,1.0
CIV,0.0,0.0
CIV,2.15,0.115022170219
CIV,3.2,0.319199759276
CIV,3.22,0.323391916902
CIV,3.25,0.329680153341
CIV,3.65,0.397187156509
CIV,4.3,0.492250131664
CIV,5.45,0.641331537106
CIV,5.47,0.643184908048
CIV,5.5,0.645964964461
CIV,6.85,0.756192043761
CIV,7.0,0.768221166567
CIV,7.3,0.7828952618052
CIV,7.5,0.792677991964
CIV,10.0,0.885613606979
CIV,10.27,0.8894988789197901
CIV,15.0,0.957563087364
CIV,inf,1.0
CMR,0.0,0.0
CMR,2.15,0.256575177358
CMR,3.2,0.411708533167
CMR,3.22,0.41464962586980003
CMR,3.25,0.419061264924
CMR,3.65,0.469771474318
CMR,4.3,0.542478703438
CMR,5.45,0.646881474678
CMR,5.47,0.6480353861084
CMR,5.5,0.649766253254
CMR,6.85,0.747581325089
CMR,7.0,0.754984297724
CMR,7.3,0.7700988788450001
CMR,7.5,0.780175266259
CMR,10.0,0.863209551814
CMR,10.27,0.8672570143146341
CMR,15.0,0.938162561085
CMR,inf,1.0
COD,0.0,0.0
COD,2.15,0.698637778178
COD,3.2,0.843268316331
COD,3.22,0.8453099886677999
COD,3.25,0.848372497173
COD,3.65,0.878265274918
COD,4.3,0.913246389283
COD,5.45,0.950931715829
COD,5.47,0.9512539579038
COD,5.5,0.951737321016
COD,6.85,0.97378873265
COD,7.0,0.974609422386
COD,7.3,0.9774278298294
COD,7.5,0.979306768125
COD,10.0,0.990932209125
COD,10.27,0.991285888078014
