"Country or Area","Year","Area","Type of housing unit","Tenure","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Åland Islands","2000","Total","Total","Total","Census - de jure - complete tabulation","Final figure, complete","2009","11074","1"
"Åland Islands","2000","Total","Total","Member of household owns the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","7204","1"
"Åland Islands","2000","Total","Total","Member of household rents all or a part of the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","3238","1"
"Åland Islands","2000","Total","Total","Unknown","Census - de jure - complete tabulation","Final figure, complete","2009","632","1"
"Åland Islands","2000","Total","Conventional dwellings","Total","Census - de jure - complete tabulation","Final figure, complete","2009","10285","1"
"Åland Islands","2000","Total","Conventional dwellings","Member of household owns the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","6819","1"
"Åland Islands","2000","Total","Conventional dwellings","Member of household rents all or a part of the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","2971","1"
"Åland Islands","2000","Total","Conventional dwellings","Unknown","Census - de jure - complete tabulation","Final figure, complete","2009","495","1"
"Åland Islands","2000","Total","Unknown (type of housing unit)","Total","Census - de jure - complete tabulation","Final figure, complete","2009","789","1"
"Åland Islands","2000","Total","Unknown (type of housing unit)","Member of household owns the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","385","1"
"Åland Islands","2000","Total","Unknown (type of housing unit)","Member of household rents all or a part of the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","267","1"
"Åland Islands","2000","Total","Unknown (type of housing unit)","Unknown","Census - de jure - complete tabulation","Final figure, complete","2009","137","1"
"Åland Islands","2000","Urban","Total","Total","Census - de jure - complete tabulation","Final figure, complete","2009","4972","1"
"Åland Islands","2000","Urban","Total","Member of household owns the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","2450","1"
"Åland Islands","2000","Urban","Total","Member of household rents all or a part of the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","2315","1"
"Åland Islands","2000","Urban","Total","Unknown","Census - de jure - complete tabulation","Final figure, complete","2009","207","1"
"Åland Islands","2000","Urban","Conventional dwellings","Total","Census - de jure - complete tabulation","Final figure, complete","2009","4824","1"
"Åland Islands","2000","Urban","Conventional dwellings","Member of household owns the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","2424","1"
"Åland Islands","2000","Urban","Conventional dwellings","Member of household rents all or a part of the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","2214","1"
"Åland Islands","2000","Urban","Conventional dwellings","Unknown","Census - de jure - complete tabulation","Final figure, complete","2009","186","1"
"Åland Islands","2000","Urban","Unknown (type of housing unit)","Total","Census - de jure - complete tabulation","Final figure, complete","2009","148","1"
"Åland Islands","2000","Urban","Unknown (type of housing unit)","Member of household owns the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","26","1"
"Åland Islands","2000","Urban","Unknown (type of housing unit)","Member of household rents all or a part of the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","101","1"
"Åland Islands","2000","Urban","Unknown (type of housing unit)","Unknown","Census - de jure - complete tabulation","Final figure, complete","2009","21","1"
"Åland Islands","2000","Rural","Total","Total","Census - de jure - complete tabulation","Final figure, complete","2009","6102","1"
"Åland Islands","2000","Rural","Total","Member of household owns the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","4754","1"
"Åland Islands","2000","Rural","Total","Member of household rents all or a part of the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","923","1"
"Åland Islands","2000","Rural","Total","Unknown","Census - de jure - complete tabulation","Final figure, complete","2009","425","1"
"Åland Islands","2000","Rural","Conventional dwellings","Total","Census - de jure - complete tabulation","Final figure, complete","2009","5461","1"
"Åland Islands","2000","Rural","Conventional dwellings","Member of household owns the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","4395","1"
"Åland Islands","2000","Rural","Conventional dwellings","Member of household rents all or a part of the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","757","1"
"Åland Islands","2000","Rural","Conventional dwellings","Unknown","Census - de jure - complete tabulation","Final figure, complete","2009","309","1"
"Åland Islands","2000","Rural","Unknown (type of housing unit)","Total","Census - de jure - complete tabulation","Final figure, complete","2009","641","1"
"Åland Islands","2000","Rural","Unknown (type of housing unit)","Member of household owns the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","359","1"
"Åland Islands","2000","Rural","Unknown (type of housing unit)","Member of household rents all or a part of the housing unit","Census - de jure - complete tabulation","Final figure, complete","2009","166","1"
"Åland Islands","2000","Rural","Unknown (type of housing unit)","Unknown","Census - de jure - complete tabulation","Final figure, complete","2009","116","1"
"Albania","2011","Total","Total","Total","Census - de jure - complete tabulation","Final figure, complete","2013","722262",""
"Albania","2011","Total","Total","Member of household owns the housing unit","Census - de jure - complete tabulation","Final figure, complete","2013","522085",""
"Albania","2011","Total","Total","Member of household rents all or a part of the housing unit","Census - de jure - complete tabulation","Final figure, complete","2013","40819",""
"Albania","2011","Total","Total","Occupied free of rent","Census - de jure - complete tabulation","Final figure, complete","2013","29811",""
"Albania","2011","Total","Total","Other arrangements","Census - de jure - complete tabulation","Final figure, complete","2013","129547",""
"Albania","2011","Total","Conventional dwellings","Total","Census - de jure - complete tabulation","Final figure, complete","2013","718380",""
"Albania","2011","Total","Conventional dwellings","Member of household owns the housing unit","Census - de jure - complete tabulation","Final figure, complete","2013","520518",""
