iso3,income_cat,social
AFG,q1,0.08716767051484772
AFG,q2,0.06748815432176375
AFG,q3,0.06748815432176375
AFG,q4,0.06748815432176375
AFG,q5,0.06748815432176375
ALB,q1,0.5066834056992403
ALB,q2,0.2707744332705732
ALB,q3,0.2707744332705732
ALB,q4,0.2707744332705732
ALB,q5,0.2707744332705732
DZA,q1,0.2606258805741972
DZA,q2,0.1800347115154137
DZA,q3,0.1800347115154137
DZA,q4,0.1800347115154137
DZA,q5,0.1800347115154137
AGO,q1,0.14918147188631986
AGO,q2,0.09782981691435315
AGO,q3,0.09782981691435315
AGO,q4,0.09782981691435315
AGO,q5,0.09782981691435315
ATG,q1,0.23150114741025155
ATG,q2,0.1390910547954687
ATG,q3,0.1390910547954687
ATG,q4,0.1390910547954687
ATG,q5,0.1390910547954687
ARG,q1,0.28626886952701414
ARG,q2,0.20667217688551703
ARG,q3,0.20667217688551703
ARG,q4,0.20667217688551703
ARG,q5,0.20667217688551703
ARM,q1,0.4661400361243789
ARM,q2,0.23543557172664875
ARM,q3,0.23543557172664875
ARM,q4,0.23543557172664875
ARM,q5,0.23543557172664875
AUS,q1,0.3942948624110407
AUS,q2,0.25167291786490054
AUS,q3,0.25167291786490054
AUS,q4,0.25167291786490054
AUS,q5,0.25167291786490054
AUT,q1,0.43111779019634433
AUT,q2,0.3517769634437945
AUT,q3,0.3517769634437945
AUT,q4,0.3517769634437945
AUT,q5,0.3517769634437945
AZE,q1,0.4769214416678722
AZE,q2,0.2367538844555943
AZE,q3,0.2367538844555943
AZE,q4,0.2367538844555943
AZE,q5,0.2367538844555943
BHS,q1,0.23756593145989427
BHS,q2,0.14387925164492826
BHS,q3,0.14387925164492826
BHS,q4,0.14387925164492826
BHS,q5,0.14387925164492826
BHR,q1,0.31588946463805656
BHR,q2,0.19297715398414195
BHR,q3,0.19297715398414195
BHR,q4,0.19297715398414195
BHR,q5,0.19297715398414195
BGD,q1,0.10787353126513982
BGD,q2,0.09355935537138581
BGD,q3,0.09355935537138581
BGD,q4,0.09355935537138581
BGD,q5,0.09355935537138581
BRB,q1,0.27922726811221915
BRB,q2,0.16503526959112205
BRB,q3,0.16503526959112205
BRB,q4,0.16503526959112205
BRB,q5,0.16503526959112205
BLR,q1,0.46785545302095366
BLR,q2,0.279928258739982
BLR,q3,0.279928258739982
BLR,q4,0.279928258739982
BLR,q5,0.279928258739982
BEL,q1,0.4148128267909803
BEL,q2,0.3401707245258355
BEL,q3,0.3401707245258355
BEL,q4,0.3401707245258355
BEL,q5,0.3401707245258355
BLZ,q1,0.19298791792826858
BLZ,q2,0.12023535841510738
BLZ,q3,0.12023535841510738
BLZ,q4,0.12023535841510738
BLZ,q5,0.12023535841510738
BEN,q1,0.17947464184020182
BEN,q2,0.11887879567116652
BEN,q3,0.11887879567116652
BEN,q4,0.11887879567116652
BEN,q5,0.11887879567116652
BTN,q1,0.21147578652182694
BTN,q2,0.139599985077639
BTN,q3,0.139599985077639
BTN,q4,0.139599985077639
BTN,q5,0.139599985077639
BOL,q1,0.22068246904123218
BOL,q2,0.13635015488527788
BOL,q3,0.13635015488527788
BOL,q4,0.13635015488527788
BOL,q5,0.13635015488527788
BWA,q1,0.24011261365989559
BWA,q2,0.14518179496621758
BWA,q3,0.14518179496621758
BWA,q4,0.14518179496621758
BWA,q5,0.14518179496621758
BRA,q1,0.28639359828754285
BRA,q2,0.2425345051005064
BRA,q3,0.2425345051005064
BRA,q4,0.2425345051005064
BRA,q5,0.2425345051005064
BRN,q1,0.18035627777629476
BRN,q2,0.16032492061783657
BRN,q3,0.16032492061783657
BRN,q4,0.16032492061783657
BRN,q5,0.16032492061783657
BGR,q1,0.5003633320319114
BGR,q2,0.2884255696485827
BGR,q3,0.2884255696485827
BGR,q4,0.2884255696485827
BGR,q5,0.2884255696485827
BFA,q1,-0.0008112751496179849
BFA,q2,0.08577965965282967
BFA,q3,0.08577965965282967
BFA,q4,0.08577965965282967
BFA,q5,0.08577965965282967
BDI,q1,0.1464313107488722
BDI,q2,0.09532184284172665
BDI,q3,0.09532184284172665
BDI,q4,0.09532184284172665
BDI,q5,0.09532184284172665
CPV,q1,0.27405841503559064
CPV,q2,0.1721036314656732
CPV,q3,0.1721036314656732
CPV,q4,0.1721036314656732
CPV,q5,0.1721036314656732
KHM,q1,0.14769813152353806
KHM,q2,0.10892370584441587
KHM,q3,0.10892370584441587
KHM,q4,0.10892370584441587
KHM,q5,0.10892370584441587
CMR,q1,0.10743857746135937
CMR,q2,0.09061794037543003
CMR,q3,0.09061794037543003
CMR,q4,0.09061794037543003
CMR,q5,0.09061794037543003
CAN,q1,0.3900454037781645
CAN,q2,0.2424190530123529
CAN,q3,0.2424190530123529
CAN,q4,0.2424190530123529
CAN,q5,0.2424190530123529
CAF,q1,0.12182887105866214
CAF,q2,0.08260946760587715
CAF,q3,0.08260946760587715
CAF,q4,0.08260946760587715
CAF,q5,0.08260946760587715
TCD,q1,0.057304722968587685
TCD,q2,0.07098134898638273
TCD,q3,0.07098134898638273
TCD,q4,0.07098134898638273
TCD,q5,0.07098134898638273
CHL,q1,0.3140021858595178
CHL,q2,0.1946853943948647
CHL,q3,0.1946853943948647
CHL,q4,0.1946853943948647
CHL,q5,0.1946853943948647
CHN,q1,0.31376434951636545
CHN,q2,0.19681096786395455
CHN,q3,0.19681096786395455
CHN,q4,0.19681096786395455
CHN,q5,0.19681096786395455
COL,q1,0.2949984069877505
COL,q2,0.19826266162375816
COL,q3,0.19826266162375816
COL,q4,0.19826266162375816
COL,q5,0.19826266162375816
COD,q1,0.0957229502294846
COD,q2,0.07186389561137446
COD,q3,0.07186389561137446
COD,q4,0.07186389561137446
COD,q5,0.07186389561137446
COG,q1,0.10631413880058271
COG,q2,0.08037562329545091
COG,q3,0.08037562329545091
COG,q4,0.08037562329545091
COG,q5,0.08037562329545091
CRI,q1,0.2862240428040443
CRI,q2,0.1833004752556882
CRI,q3,0.1833004752556882
CRI,q4,0.1833004752556882
CRI,q5,0.1833004752556882
CIV,q1,0.16372952417524003
CIV,q2,0.112072982475005
CIV,q3,0.112072982475005
CIV,q4,0.112072982475005
CIV,q5,0.112072982475005
HRV,q1,0.5649658145849316
HRV,q2,0.34021279653233805
HRV,q3,0.34021279653233805
HRV,q4,0.34021279653233805
HRV,q5,0.34021279653233805
CYP,q1,0.3593795144700042
CYP,q2,0.2570500086462281
CYP,q3,0.2570500086462281
CYP,q4,0.2570500086462281
CYP,q5,0.2570500086462281
CZE,q1,0.5868441564463213
CZE,q2,0.3312024935379022
CZE,q3,0.3312024935379022
CZE,q4,0.3312024935379022
CZE,q5,0.3312024935379022
DNK,q1,0.4700846268518897
DNK,q2,0.3890273109094543
DNK,q3,0.3890273109094543
DNK,q4,0.3890273109094543
DNK,q5,0.3890273109094543
DJI,q1,0.16283518986676332
DJI,q2,0.10520066536053697
DJI,q3,0.10520066536053697
DJI,q4,0.10520066536053697
DJI,q5,0.10520066536053697
DMA,q1,0.29019866224814406
DMA,q2,0.19843117050682502
DMA,q3,0.19843117050682502
DMA,q4,0.19843117050682502
DMA,q5,0.19843117050682502
DOM,q1,0.19335456408836285
DOM,q2,0.12395063658774359
DOM,q3,0.12395063658774359
DOM,q4,0.12395063658774359
DOM,q5,0.12395063658774359
ECU,q1,0.24481289479676793
ECU,q2,0.15139886359094357
ECU,q3,0.15139886359094357
ECU,q4,0.15139886359094357
ECU,q5,0.15139886359094357
EGY,q1,0.26833154121476094
EGY,q2,0.18791067546284604
EGY,q3,0.18791067546284604
EGY,q4,0.18791067546284604
EGY,q5,0.18791067546284604
SLV,q1,0.2460884812017202
SLV,q2,0.15292283885611238
SLV,q3,0.15292283885611238
SLV,q4,0.15292283885611238
SLV,q5,0.15292283885611238
EST,q1,0.6071056608934086
EST,q2,0.3489129400032749
EST,q3,0.3489129400032749
EST,q4,0.3489129400032749
EST,q5,0.3489129400032749
SWZ,q1,0.13195346374107744
SWZ,q2,0.09892695943218315
SWZ,q3,0.09892695943218315
SWZ,q4,0.09892695943218315
SWZ,q5,0.09892695943218315
ETH,q1,0.10898024501910081
ETH,q2,0.09412540268141145
ETH,q3,0.09412540268141145
ETH,q4,0.09412540268141145
ETH,q5,0.09412540268141145
FJI,q1,0.2630564434317193
FJI,q2,0.15509585946287846
FJI,q3,0.15509585946287846
FJI,q4,0.15509585946287846
FJI,q5,0.15509585946287846
FIN,q1,0.4600917346699628
FIN,q2,0.4023256558293157
FIN,q3,0.4023256558293157
FIN,q4,0.4023256558293157
FIN,q5,0.4023256558293157
FRA,q1,0.4212490836058151
FRA,q2,0.3782537815177219
FRA,q3,0.3782537815177219
FRA,q4,0.3782537815177219
FRA,q5,0.3782537815177219
GMB,q1,0.12702597267390653
GMB,q2,0.09835058351050013
GMB,q3,0.09835058351050013
GMB,q4,0.09835058351050013
