iso3,income_cat,social
AFG,q1,0.022248107465121982
AFG,q2,0.0556813949471173
AFG,q3,0.07475131381704038
AFG,q4,0.07388036317593344
AFG,q5,0.07388036317593344
AND,q1,0.2736100636579304
AND,q2,0.1931887277246962
AND,q3,0.21294650695463604
AND,q4,0.15553517012477502
AND,q5,0.15553517012477502
ATG,q1,0.18390767892836324
ATG,q2,0.21752041732399935
ATG,q3,0.17204890777957396
ATG,q4,0.18108895771106331
ATG,q5,0.18108895771106331
AUS,q1,0.412695932701709
AUS,q2,0.2732023333223251
AUS,q3,0.31008838876121747
AUS,q4,0.2028574073069991
AUS,q5,0.2028574073069991
AUT,q1,0.5930308826243784
AUT,q2,0.3843172144470934
AUT,q3,0.4447725770030951
AUT,q4,0.33928477371527804
AUT,q5,0.33928477371527804
BDI,q1,0.08195787783083971
BDI,q2,0.06177345627098663
BDI,q3,0.08219156842527786
BDI,q4,0.07742537787870966
BDI,q5,0.07742537787870966
BEL,q1,0.5738111831888437
BEL,q2,0.3855746485804299
BEL,q3,0.44616004464055903
BEL,q4,0.35157635857965847
BEL,q5,0.35157635857965847
BLZ,q1,0.1581458408298908
BLZ,q2,0.21435063775507948
BLZ,q3,0.16794582440072395
BLZ,q4,0.1802574882734945
BLZ,q5,0.1802574882734945
BRB,q1,0.24078165532005907
BRB,q2,0.22353757614858924
BRB,q3,0.17937403233061294
BRB,q4,0.1855991006395337
BRB,q5,0.1855991006395337
BRN,q1,0.2464740106167928
BRN,q2,0.17893279008863558
BRN,q3,0.19579067156056335
BRN,q4,0.07443684715183417
BRN,q5,0.07443684715183417
BWA,q1,0.20151804161620865
BWA,q2,0.19736420743397978
BWA,q3,0.21811205431522845
BWA,q4,0.14423901370101938
BWA,q5,0.14423901370101938
CAN,q1,0.39671959282367975
CAN,q2,0.26184108061875977
CAN,q3,0.29631566575869667
CAN,q4,0.1833300881766828
CAN,q5,0.1833300881766828
CHE,q1,0.5128020433143885
CHE,q2,0.3087318825342256
CHE,q3,0.35314873580284556
CHE,q4,0.25579214937344336
CHE,q5,0.25579214937344336
COG,q1,0.04758817213792885
COG,q2,0.08271347016343356
COG,q3,0.08167895908991506
CYP,q1,0.4128760832126188
CYP,q2,0.3123459605467662
CYP,q3,0.3574118960531392
CYP,q4,0.27627978101032524
CYP,q5,0.27627978101032524
CZE,q1,0.5850022577195404
CZE,q2,0.4031666105265811
CZE,q3,0.34742212491031116
CZE,q4,0.2663411530098191
CZE,q5,0.2663411530098191
DEU,q1,0.5666683807906427
DEU,q2,0.37668174246336744
DEU,q3,0.4355267470440363
DEU,q4,0.328602151597121
DEU,q5,0.328602151597121
DMA,q1,0.3168204725082693
DMA,q2,0.3002021073674185
DMA,q3,0.2717540973270163
DMA,q4,0.2620565700807638
DMA,q5,0.2620565700807638
DNK,q1,0.6691035841926456
DNK,q2,0.40479163727610584
DNK,q3,0.4696236401614133
DNK,q4,0.3521965962883653
DNK,q5,0.3521965962883653
DZA,q1,0.24674112081638727
DZA,q2,0.16225124243669764
DZA,q3,0.08692394459812477
DZA,q4,0.09514680825565593
DZA,q5,0.09514680825565593
ESP,q1,0.4924845893080416
ESP,q2,0.34955909340079894
ESP,q3,0.40265403599703553
ESP,q4,0.2961867484346847
ESP,q5,0.2961867484346847
EST,q1,0.6209838138438997
EST,q2,0.4127668416820701
EST,q3,0.3590785365902483
EST,q4,0.27478717046175954
EST,q5,0.27478717046175954
FIN,q1,0.6878927332269761
FIN,q2,0.426956968254044
FIN,q3,0.49650780010243256
FIN,q4,0.36989184224055127
FIN,q5,0.36989184224055127
FRA,q1,0.6368113009393226
FRA,q2,0.42506227263887414
FRA,q3,0.49412791067958123
FRA,q4,0.3868312500963738
FRA,q5,0.3868312500963738
GBR,q1,0.4876927999689141
GBR,q2,0.3316230847020826
GBR,q3,0.38092063218908184
GBR,q4,0.2677085008196685
GBR,q5,0.2677085008196685
GRC,q1,0.4928642616385801
GRC,q2,0.3719677728408342
GRC,q3,0.42982701562943826
GRC,q4,0.3177380326084514
GRC,q5,0.3177380326084514
GRD,q1,0.22085102566795906
GRD,q2,0.23389989559907962
GRD,q3,0.1915939233592035
GRD,q4,0.19934968103784703
GRD,q5,0.19934968103784703
GUY,q1,0.16354806510420977
GUY,q2,0.21206572049419098
GUY,q3,0.16528641870208188
GUY,q4,0.17835853556808096
GUY,q5,0.17835853556808096
HKG,q1,0.30462211464658584
HKG,q2,0.20585980206479812
HKG,q3,0.22843118947006916
HKG,q4,0.140042119417658
HKG,q5,0.140042119417658
HTI,q1,0.05753536097217961
HTI,q2,0.1498388183021191
HTI,q3,0.09086303783195893
HTI,q4,0.1228202179364437
HTI,q5,0.1228202179364437
IDN,q1,0.19069497125839596
IDN,q2,0.19256330884013778
IDN,q3,0.21225668760460822
IDN,q4,0.14821315715321812
IDN,q5,0.14821315715321812
IND,q1,0.19657657937209413
IND,q2,0.09307341107252111
IND,q3,0.09397472176014668
IND,q4,0.10273565868606944
IND,q5,0.10273565868606944
IRL,q1,0.4074567693134741
IRL,q2,0.2691296603418551
IRL,q3,0.30514978440141843
IRL,q4,0.19954393493286637
IRL,q5,0.19954393493286637
ISL,q1,0.42626268309938414
ISL,q2,0.2802576549930907
ISL,q3,0.31859320049455786
ISL,q4,0.23554462752533042
ISL,q5,0.23554462752533042
ISR,q1,0.4245933073014937
ISR,q2,0.2941692571375508
ISR,q3,0.24437545024225396
ISR,q4,0.16914670821399566
ISR,q5,0.16914670821399566
ITA,q1,0.5264310557763243
ITA,q2,0.39214592932561965
ITA,q3,0.45427399008085095
ITA,q4,0.34508968690104147
ITA,q5,0.34508968690104147
JPN,q1,0.5347794699371355
JPN,q2,0.3418481274246354
JPN,q3,0.39331860550625686
JPN,q4,0.27809594700401635
JPN,q5,0.27809594700401635
KHM,q1,0.15237965942344162
KHM,q2,0.10581974034418938
KHM,q3,0.10897162713152084
KHM,q4,0.11016901274948813
KHM,q5,0.11016901274948813
KIR,q1,0.3546600177757189
KIR,q2,0.20017310470159186
KIR,q3,0.22355244877397512
KIR,q4,0.20856642010776869
KIR,q5,0.20856642010776869
KNA,q1,0.22457221293967175
KNA,q2,0.2173759046757456
KNA,q3,0.17174623429642027
KNA,q4,0.18361635350893166
KNA,q5,0.18361635350893166
KOR,q1,0.34697845378340475
KOR,q2,0.24275785066550068
KOR,q3,0.27314198037851106
KOR,q4,0.19365022683128552
KOR,q5,0.19365022683128552
KWT,q1,0.2600111982572696
KWT,q2,0.2484657280505501
KWT,q3,0.18897773415320984
KWT,q4,0.0868195113320743
KWT,q5,0.0868195113320743
LAO,q1,0.10127486649383602
LAO,q2,0.07963697693704652
LAO,q3,0.07784398246590724
LAO,q4,0.08382971036420404
LAO,q5,0.08382971036420404
LBN,q1,0.22614084049454813
LBN,q2,0.21919071488190206
LBN,q3,0.15379467296345073
LBN,q4,0.11023590061636776
LBN,q5,0.11023590061636776
LBY,q1,0.06866247855706299
LBY,q2,0.2218484838691193
LBY,q3,0.15670486614830545
LCA,q1,0.18214050244583593
LCA,q2,0.21401098492487847
LCA,q3,0.16775255759265215
LCA,q4,0.17896099246796857
LCA,q5,0.17896099246796857
LUX,q1,0.5940833468370541
LUX,q2,0.3724551774780979
LUX,q3,0.43022187416539315
LUX,q4,0.3390589545721523
LUX,q5,0.3390589545721523
MAC,q1,0.2886072591284221
