country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Albania,nonpoor,0.8,17749.404056525706,0.125,1.1031465654089851,110394.99789900928,0.01963888486382434,0.0
Albania,poor,0.2,6510.69843121467,0.0538,0.5874137383640594,36800.92879066238,0.01885644043559076,0.0
Algeria,nonpoor,0.8,12669.710457831534,0.2046,1.0434668433871528,58269.01866673594,0.024011959195083334,0.6000000000000001
Algeria,poor,0.2,5258.06968227887,0.0939,0.8261326264513889,21206.804895032896,0.02461891094125573,0.6000000000000001
Angola,nonpoor,0.8,7102.104101316321,0.2231,1.2080178779940998,41292.52080569887,0.0025014485044538804,0.0
Angola,poor,0.2,1122.1619785863625,0.0364,0.16792848802360055,6656.5806687830645,0.011066076712731491,0.0
Antigua and Barbuda,nonpoor,0.8,26546.151412678297,0.153,1.2236108957535194,166614.97015604118,0.27689996064519057,0.4
Antigua and Barbuda,poor,0.2,1105.083801356316,0.153,0.10555641698592248,5899.042503899127,0.2915291540446065,0.4
Argentina,nonpoor,0.8,21455.93656542055,0.1505,1.1572961474283086,70143.91717020457,0.007588824149980032,0.8
Argentina,poor,0.2,4612.23504672897,0.052,0.3708154102867646,13606.149299862618,0.007962351575205308,0.8
Armenia,nonpoor,0.8,18167.372137944785,0.0704,0.9874456307748992,41186.22103561279,0.04725190168374419,0.4
Armenia,poor,0.2,7539.659960118364,0.0343,1.0502174769004027,6029.845098225087,0.04710384521107197,0.4
Australia,nonpoor,0.8,59093.40692892496,0.7709,0.9182778183098946,265854.5652286654,0.004856707049933093,1.0
Australia,poor,0.2,18614.104447946156,0.5726,1.3268887267604215,40434.14442609963,0.005230268320622847,1.0
Austria,nonpoor,0.8,64792.9352156052,0.6614,1.1274635775032424,361528.99434257334,0.021231532291325593,1.0
Austria,poor,0.2,22230.80079058767,0.6746,0.4901456899870294,101196.84348684513,0.022845595601068552,1.0
Azerbaijan,nonpoor,0.8,16775.11260632446,0.0672,1.0169760385727176,27418.577378578128,0.02267062348938484,0.0
Azerbaijan,poor,0.2,8124.269782435163,0.0081999999999999,0.9320958457091292,13097.047802596691,0.023041525090412254,0.0
Bangladesh,nonpoor,0.8,7155.482811159093,0.0729,1.1036028785356675,25869.167855394753,0.057157860897259154,0.8
Bangladesh,poor,0.2,2693.0919989482795,0.0409,0.5855884858573296,9569.281663675512,0.05703907639563033,0.8
Belarus,nonpoor,0.8,21452.058172487254,0.2802,1.0715746725327016,61053.82131714456,0.014323570374974594,0.8
Belarus,poor,0.2,9853.119249793477,0.1344,0.7137013098691926,18971.744079535398,0.015065419198939362,0.8
Belgium,nonpoor,0.8,60199.06921931379,0.6414,1.0703484085640385,368323.0801913183,0.00623048711507417,0.0
Belgium,poor,0.2,24983.27817490285,0.4615999999999999,0.7186063657438463,89243.57699956404,0.006501380865777588,0.0
Belize,nonpoor,0.8,11733.286748179482,0.2879,1.1125850843310305,48196.180224332806,0.2165896816297386,0.0
Belize,poor,0.2,1556.5182544335628,0.1201,0.5496596626758772,4177.49289428193,0.23019079210505397,0.0
Benin,nonpoor,0.8,3993.387249230042,0.0506,1.19305846741153,8718.953241400919,0.0076876789743065286,0.4
Benin,poor,0.2,1202.3101395531312,0.0528,0.22776613035388008,2702.4145475011524,0.017189550866231324,0.4
Bhutan,nonpoor,0.8,12434.956648953575,0.2697,1.10628594057953,80347.45223890504,0.030320092364825028,0.6000000000000001
Bhutan,poor,0.2,4799.456952227696,0.1594,0.5748562376818802,30810.941760178604,0.028334196940398074,0.6000000000000001
Bolivia,nonpoor,0.8,9708.151321905165,0.2623999999999999,1.1594237668107177,20304.17484737699,0.018031582211844567,0.6000000000000001
Bolivia,poor,0.2,2173.3137066989384,0.1059,0.3623049327571291,3790.6624192185955,0.01861147269382576,0.6000000000000001
Bosnia and Herzegovina,nonpoor,0.8,19313.371490932994,0.2448999999999999,1.1095923354215127,53509.142603486136,0.015792957499217122,0.0
Bosnia and Herzegovina,poor,0.2,6263.796159221511,0.0989,0.5616306583139485,15504.302617572353,0.016028826174750464,0.0
Botswana,nonpoor,0.8,18641.033381533904,0.223,1.1423282788570404,87037.63097606543,0.004730614342352377,0.8
Botswana,poor,0.2,3026.0158246818823,0.0971,0.43068688457183907,11312.821011348207,0.0049920822955328336,0.8
Brazil,nonpoor,0.8,18244.225960253647,0.2587,1.1933872582578582,75519.88868190172,0.00220980780608254,0.2
Brazil,poor,0.2,2490.421744315907,0.1823999999999999,0.22645096696856717,9299.28522805377,0.002453449345485593,0.2
Bulgaria,nonpoor,0.8,31483.520629699975,0.3201,1.1296852815042857,93193.42852910761,0.00795875312856,0.8
Bulgaria,poor,0.2,8181.021335087106,0.0975,0.4812588739828565,13699.61848078159,0.007557874282080496,0.8
Burkina Faso,nonpoor,0.8,2525.362024879595,0.0913,1.219603362961793,4892.311979161674,0.0031931741804776597,0.6000000000000001
Burkina Faso,poor,0.2,679.1795413763692,0.051,0.12158654815282775,1418.0398859637644,0.00207927621054359,0.6000000000000001
Burundi,nonpoor,0.8,824.142516731331,0.0559,1.154645390796324,1563.9896621029634,0.023997810386982264,0.6000000000000001
Burundi,poor,0.2,244.32151946063092,0.0161,0.38141843681470444,458.0006304901244,0.024515510914398117,0.6000000000000001
Cameroon,nonpoor,0.8,4456.546559115898,0.1069,1.2027776029267931,11048.612905505563,0.01768913796556216,0.8
Cameroon,poor,0.2,839.9773619276039,0.0549,0.18888958829282632,2084.689301805316,0.02496715956415209,0.8
Canada,nonpoor,0.8,56542.8001802657,0.7209,0.9119312413995353,267513.9596612191,0.00929926219461125,0.8
Canada,poor,0.2,18602.826033334168,0.5163,1.3522750344018586,37763.82505154146,0.01014945058079485,0.8
Central African Republic,nonpoor,0.8,966.6469648310699,0.0862,1.25,6031.002863366655,0.008844563721965747,0.0
Central African Republic,poor,0.2,229.3738560616094,0.0141999999999999,0.0,1534.418703881182,0.010503547810584156,0.0
Chad,nonpoor,0.8,1640.4638718363744,0.0909,1.1730769659143931,2960.7353285267295,0.007183639055310214,0.0
Chad,poor,0.2,501.4981050608507,0.0542,0.3076921363424271,909.1065225270474,0.007975668512864891,0.0
Chile,nonpoor,0.8,30577.980851522094,0.3354999999999999,1.1648780428017327,137475.29843907672,0.08254404263515187,0.8
Chile,poor,0.2,7118.683372841122,0.2736,0.34048782879306905,30206.915703690225,0.08383868540530193,0.8
China,nonpoor,0.8,21098.05533498229,0.5178,1.117640699115735,105681.68245981856,0.014269628086576077,0.8
China,poor,0.2,6547.6723453393315,0.3406,0.5294372035370595,26872.728555739104,0.014574898221570145,0.8
Colombia,nonpoor,0.8,18860.156379795524,0.1699,1.1936511859075873,55307.85661996449,0.059815878838594336,0.8
Colombia,poor,0.2,2817.2847704258875,0.03,0.22539525636965085,7951.35485849628,0.06486343542923487,0.8
Comoros,nonpoor,0.8,3874.6363822959293,0.1317,1.1747780123890816,15800.662383414046,0.00888857055781405,0.6000000000000001
Comoros,poor,0.2,730.2979568725312,0.0815,0.3008879504436735,2948.5475876412797,0.009070667471329313,0.6000000000000001
"Congo, Dem. Rep.",nonpoor,0.8,1337.9478123889237,0.0729,1.2023387269946268,4076.5438825523593,0.015355498673064813,0.4
"Congo, Dem. Rep.",poor,0.2,311.47991399530497,0.0069,0.19064509202149196,974.8106893638326,0.029402558800844473,0.4
"Congo, Rep.",nonpoor,0.8,3844.458272049336,0.0719,1.1858645460125887,21680.44469822125,0.03888624632768384,0.0
"Congo, Rep.",poor,0.2,674.1847491694035,0.0281,0.2565418159496445,3658.124791205983,0.043129746945185274,0.0
Costa Rica,nonpoor,0.8,26247.311763133937,0.2788,1.1700715800824544,61023.47983098625,0.021312934889091972,1.0
Costa Rica,poor,0.2,4947.137295669224,0.1273,0.3197136796701834,10024.14387140617,0.021312934889091972,1.0
Cote d'Ivoire,nonpoor,0.8,6437.192343329167,0.0771,1.1466162381452394,12246.409430599968,0.006455175124759332,0.4
Cote d'Ivoire,poor,0.2,1938.0794151958785,0.0313,0.4135350474190417,3609.520255061132,0.006306487272730543,0.4
Croatia,nonpoor,0.8,39171.80492359257,0.3087999999999999,1.0645288034775708,198568.95733245433,0.012363820345966224,0.8
Croatia,poor,0.2,13440.054675195714,0.1675,0.7418847860897159,42080.16165224148,0.012850915004392685,0.8
Cyprus,nonpoor,0.8,49890.51796875,0.369,1.1026962419588187,350144.13691323996,0.023258683982928987,0.0
Cyprus,poor,0.2,18538.553125,0.1488,0.5892150321647249,101586.02769772938,0.02326285802303101,0.0
Denmark,nonpoor,0.8,67615.04011489263,0.7791,1.0428507107699565,335102.72277703916,0.00036154901313094074,0.8
Denmark,poor,0.2,28060.987950551465,0.5135000000000001,0.8285971569201744,69524.52584069759,0.0004014114653706383,0.8
Dominica,nonpoor,0.8,13822.89433403857,0.44,0.9791213290889269,48538.08212157152,0.33210521196538423,0.0
Dominica,poor,0.2,2184.0747804302105,0.44,1.0835146836442924,3499.909456147422,0.3468774189437159,0.0
Dominican Republic,nonpoor,0.8,22601.30516245668,0.171,1.108709194026354,91772.17292063557,0.09112789387933279,0.8
Dominican Republic,poor,0.2,6284.85491148528,0.0542,0.5651632238945837,21810.421246434773,0.0903646001049498,0.8
Ecuador,nonpoor,0.8,12936.043238931696,0.1769,1.156761297007287,71975.01010436831,0.02124665898327841,0.6000000000000001
Ecuador,poor,0.2,2551.9161898417196,0.0617,0.3729548119708521,12734.389808019756,0.022617082233824436,0.6000000000000001
"Egypt, Arab Rep.",nonpoor,0.8,14538.114349461202,0.0526,1.154174928928081,19578.481528345954,0.007606488776464561,0.6000000000000001
"Egypt, Arab Rep.",poor,0.2,5751.341940446189,0.0098,0.38330028428767554,7913.7234998171,0.01284863483477871,0.6000000000000001
El Salvador,nonpoor,0.8,11089.085156434287,0.1132,1.1591968808082938,37035.881214799454,0.01923097255085012,0.6000000000000001
El Salvador,poor,0.2,2631.308342204741,0.0243999999999999,0.3632124767668247,7380.9720043676025,0.0198244318871671,0.6000000000000001
Estonia,nonpoor,0.8,43452.6306119584,0.6831,1.105252264241716,198232.7395105243,0.016054063254850252,0.0
Estonia,poor,0.2,15319.534622714385,0.5195000000000001,0.5789909430331358,51686.93152942832,0.01665699108922345,0.0
Ethiopia,nonpoor,0.8,2759.1758525633377,0.2883,1.1433839270116537,5710.43308806513,0.010546748198516502,0.8
Ethiopia,poor,0.2,869.1255112712994,0.133,0.4264642919533843,1785.0158617343764,0.006934542088389626,0.8
Fiji,nonpoor,0.8,13697.520367451823,0.6,1.131581067475819,29721.557278546217,0.11634146993580462,1.0
Fiji,poor,0.2,5024.417951379708,0.6,0.47367573009672287,10580.822407525831,0.11297723953756832,1.0
France,nonpoor,0.8,52922.61520039565,0.5637,1.1212938521365172,304231.4014693856,0.015957223075173235,1.0
France,poor,0.2,18407.86615665936,0.4968999999999999,0.5148245914539307,85410.27343008276,0.017374245533421907,1.0
Gabon,nonpoor,0.8,16390.257297803604,0.135,1.1555610393626357,60096.06079561897,0.02358311599165686,0.2
Gabon,poor,0.2,4184.74654412007,0.0794,0.37775584254945765,15115.590864086476,0.048823322439334876,0.2
"Gambia, The",nonpoor,0.8,2481.647136081881,0.1859,1.1838765817402472,4898.609006833988,0.004299287327021861,0.8
"Gambia, The",poor,0.2,701.4505823614741,0.1373,0.2644936730390114,1413.8817787443536,0.007710925452361777,0.8
Georgia,nonpoor,0.8,19802.356704566377,0.1047,1.0172026149863924,79906.54118276702,0.05931856577947068,0.6000000000000001
Georgia,poor,0.2,5961.999868041491,0.0375,0.9311895400544307,7403.218243389054,0.05999517901794763,0.6000000000000001
Germany,nonpoor,0.8,61661.054828269036,0.5751,1.092598548523515,292609.4096930234,0.00981675807352143,0.8
Germany,poor,0.2,21156.235967136825,0.5658,0.6296058059059398,57991.60033753009,0.010510568971947229,0.8
Ghana,nonpoor,0.8,6556.1264088474345,0.289,1.1476507178831328,16364.161643278729,0.0037714805889522093,0.8
Ghana,poor,0.2,1293.338682962558,0.0925,0.4093971284674684,3063.9023763467817,0.004516518566334915,0.8
Greece,nonpoor,0.8,36756.27773092082,0.3379999999999999,1.1841348637825326,290424.06374972366,0.06193571684386235,1.0
Greece,poor,0.2,10558.07334607372,0.1547,0.2634605448698691,101969.17373021942,0.06207053960463203,1.0
Guatemala,nonpoor,0.8,10937.200515090813,0.1278,1.1616819446160662,33788.30068411624,0.056862149799847835,0.4
