country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Albania,15501.6629314635,2775634.0,0.084,0.63799,6802.80451885113,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.16202216968574668,1.0,0.17437979635596607
Algeria,11187.382302721,44903225.0,0.094,0.74772,4273.92218311515,4,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.21997907059240865,1.0,0.12955854598878916
Angola,5906.11567677033,35588987.0,0.038,0.68081,2998.50115810921,4,0.2,1.5,0.06,0.8,0.05,0.0,0.14166666666666666,0.17186260685643784,1.0,0.1435845712710372
Antigua and Barbuda,21457.9378904139,93763.0,0.0103,0.24346,18745.1735087796,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,0.15957204665763627,1.0,0.12371490701349915
Argentina,18087.19626168224,46234830.0,0.051,0.92347,13686.0086737317,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4083333333333333,0.3074152642375409,1.0,0.1701468280030515
Armenia,16041.8297023795,2780469.0,0.094,0.63573,7014.20659172274,4,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.469678089191154,1.0,0.3358876260335076
Australia,50997.5464327292,25978935.0,0.073,0.86488,64491.4298860631,4,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.23099803101387528,1.0,0.158996
Austria,56280.5083306017,9042528.0,0.079,0.59256,52131.4466586387,4,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.18186532022472657,1.0,0.41677551037000005
Azerbaijan,15044.9440415466,10175016.0,0.108,0.5717,7736.70123206975,4,0.2,1.5,0.06,0.8,0.05,0.0,0.24166666666666667,0.6127220701287495,1.0,0.016574123264208002
Bangladesh,6263.00464871693,171186372.0,0.086,0.3971099999999999,2688.30395035828,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2770114487863902,1.0,0.04159500331017765
Belarus,19132.2703879485,9208701.0,0.103,0.80326,7904.85624285517,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5583333333333333,0.3634728967331161,1.0,0.4375498404056802
Belgium,53155.9110104316,11669446.0,0.094,0.98153,49582.8253649187,4,0.2,1.5,0.06,0.8,0.05,0.0,0.43333333333333335,0.17009500737381328,1.0,0.42589573998999997
Belize,9697.9330494303,405272.0,0.0321,0.46396,6968.36158480889,4,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.24618765352857863,1.0,0.12274684143099521
Benin,3435.17182729466,13352864.0,0.07,0.49534,1303.22201358944,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.4570694328380306,1.0,0.07262089091371039
Bhutan,10907.8567096084,782455.0,0.088,0.43686,3266.36277371286,4,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.15485283162287,1.0,0.018872543314699106
Bolivia,8201.18379886392,12224110.0,0.053,0.7082999999999999,3523.27373305196,4,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.4583333333333333,0.48238079763710623,1.0,0.301693203565012
Bosnia and Herzegovina,16703.4564245907,3233526.0,0.075,0.49841,7585.37500171521,4,0.2,1.5,0.06,0.8,0.05,0.0,0.1375,0.36384492670064134,1.0,0.16647925548514395
Botswana,15518.0298701635,2630296.0,0.039,0.72224,7737.65468112589,4,0.2,1.5,0.06,0.8,0.05,0.6,0.6958333333333333,0.21584996202890477,1.0,0.13771975398423628
Brazil,15093.4651170661,215313498.0,0.033,0.87555,8917.67389796927,4,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5416666666666666,0.2423649776461265,1.0,0.20324621317469083
Bulgaria,26823.0207707774,6465097.0,0.061,0.76363,13772.476794451,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7083333333333334,0.34702291863864165,1.0,0.420239243645
Burkina Faso,2156.12552817895,22673762.0,0.063,0.31877,832.884265674075,4,0.2,1.5,0.06,0.8,0.05,0.8,0.5666666666666667,0.5136741699207948,1.0,0.10558806252422302
Burundi,708.178317277191,12889576.0,0.069,0.14417,238.44187565548,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.5273924728010927,1.0,0.09715804621046872
Cameroon,3733.23271967824,27914536.0,0.045,0.58733,1588.47872338696,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5666666666666667,0.4033385932793022,1.0,0.006326441795234533
Canada,48954.8053508794,38929902.0,0.076,0.8175199999999999,54966.4888361088,4,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.8333333333333333,0.2209511482560882,1.0,0.17731600000000003
Central African Republic,819.192343077178,5579144.0,0.0559999999999999,0.4311999999999999,427.058096252078,4,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.15963415104773776,1.0,0.0635723579378769
Chad,1412.67071848127,17723315.0,0.071,0.2406299999999999,716.804381236651,4,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.5538995526753602,1.0,0.029840466274336033
Chile,25886.1213557859,19603733.0,0.055,0.87912,15355.5064965406,4,0.2,1.5,0.06,0.8,0.05,0.8,0.9,0.22311463099423323,1.0,0.18274970689667305
China,18187.9787370537,1412175000.0,0.072,0.6356,12720.2156397612,4,0.2,1.5,0.06,0.8,0.05,0.8,0.8166666666666667,0.20226869046930582,1.0,0.26518652643799023
Colombia,15651.5820579216,51874024.0,0.036,0.8205,6630.28272608054,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1.0,0.34146505174868186,1.0,0.1257255639452767
Comoros,3245.76869721125,836774.0,0.045,0.29864,1484.8924647255,4,0.2,1.5,0.06,0.8,0.05,0.26666666666666666,0.16666666666666666,0.24532955097242454,1.0,0.02737290347424832
"Congo, Dem. Rep.",1132.6542327102,99010212.0,0.055,0.46837,586.464288888955,4,0.2,1.5,0.06,0.8,0.05,0.4,0.3625,0.32771689599153253,1.0,0.0771008738282244
"Congo, Rep.",3210.40356747335,5970424.0,0.042,0.6873600000000001,2447.98898873051,4,0.2,1.5,0.06,0.8,0.05,0.0,0.08333333333333334,0.17760605179703118,1.0,0.14077042799044456
Costa Rica,21987.276869641,5180829.0,0.045,0.82042,13198.8217168097,4,0.2,1.5,0.06,0.8,0.05,0.9333333333333333,0.7166666666666667,0.43261932255359703,1.0,0.22669889690789385
Cote d'Ivoire,5537.36975770251,28160542.0,0.07,0.52661,2486.41219393777,4,0.2,1.5,0.06,0.8,0.05,0.4,0.4375,0.5264144049225482,1.0,0.09742596011900773
Croatia,34025.4548739132,3854000.0,0.079,0.58219,18413.2346820557,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.575,0.20341490490168024,1.0,0.292528549
Cyprus,43620.125,1251488.0,0.085,0.66911,31283.505859375,4,0.2,1.5,0.06,0.8,0.05,0.0,0.225,0.1451910922152238,1.0,0.3459716345
Denmark,59704.2296820244,5903037.0,0.094,0.8836700000000001,66983.1320017138,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666667,0.21172682437904242,1.0,0.38390131047799997
Dominica,11495.1304233169,72737.0,0.038,0.7170000000000001,8414.53659276775,4,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.29079181047939545,1.0,0.1019751008296815
Dominican Republic,19338.0151122624,11228821.0,0.065,0.83848,10120.5511632969,4,0.2,1.5,0.06,0.8,0.05,0.6,1.0,0.24862508642175815,1.0,0.1565848301136874
Ecuador,10859.2178291137,18001000.0,0.047,0.6456999999999999,6391.28248430643,4,0.2,1.5,0.06,0.8,0.05,0.8,0.4666666666666667,0.18060502619358446,1.0,0.14400376584862168
"Egypt, Arab Rep.",12780.7598676582,110990103.0,0.09,0.42967,4295.40749561014,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4666666666666667,0.7411056618723808,1.0,0.11755597571889183
El Salvador,9397.52979358838,6336392.0,0.0559999999999999,0.74767,5127.32166823012,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.44999999999999996,0.30212378059748374,1.0,0.3391616796404788
Estonia,37826.0114141096,1344768.0,0.081,0.69609,28332.6290917984,4,0.2,1.5,0.06,0.8,0.05,0.0,0.4083333333333334,0.2239238114723021,1.0,0.36270029682999994
Ethiopia,2381.16578430493,123379924.0,0.073,0.22661,1027.58591828225,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.575,0.4834511165692108,1.0,0.04037392613425935
Fiji,11962.8998842374,929766.0,0.084,0.58229,5316.65838506043,4,0.2,1.5,0.06,0.8,0.05,1.0,0.6875,0.4620055737591007,1.0,0.1748010020936861
Finland,49586.4094271912,5556880.0,0.095,0.85681,50536.6244670541,4,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.8916666666666666,0.19991804595040583,1.0,0.35804451274
France,46019.6653916484,67935660.0,0.08,0.81509,40963.837337041,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.95,0.17668124683823622,1.0,0.38567809559999994
Gabon,13949.1551470669,2388992.0,0.06,0.90735,8820.34733810024,4,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5541666666666667,0.27297777313868626,1.0,0.0511971122506562
"Gambia, The",2125.6078253378,2705992.0,0.066,0.63852,840.010193356007,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,0.5058967226596787,1.0,0.09033596373212936
Georgia,17034.2853372614,3712502.0,0.07,0.60297,6627.70698037798,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.625,0.26043967643408783,1.0,0.2894999087663388
Germany,53560.0910560426,84079811.0,0.079,0.77648,48432.4558732596,4,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.21800234539705118,1.0,0.403897414723
Ghana,5503.56886367046,33475870.0,0.047,0.5861500000000001,2175.85976967011,4,0.2,1.5,0.06,0.8,0.05,0.8,0.55,0.4015998812071467,1.0,0.06148130541806227
Greece,31516.6368539514,10566531.0,0.067,0.80357,20732.0522190537,4,0.2,1.5,0.06,0.8,0.05,0.8,0.5583333333333333,0.12470324872956334,1.0,0.489023319274
Guatemala,9162.05278751063,17357886.0,0.045,0.52666,5473.20874104102,4,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.5583333333333333,0.3252414222281725,1.0,0.15075124517655997
Guinea,2699.1288547833,13859341.0,0.085,0.37668,1531.65647549394,4,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.5326179953434279,1.0,0.06815040302195904
Guinea-Bissau,1855.11197273171,2105566.0,0.078,0.45041,775.828965734682,4,0.2,1.5,0.06,0.8,0.05,0.2,0.16666666666666666,0.6111865352628437,1.0,0.08957057304248096
Guyana,34420.0675052872,808726.0,0.045,0.2702199999999999,18989.7901988355,4,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.38084819217434374,1.0,0.12710520740181658
Haiti,2799.1125613522,11584996.0,0.055,0.5882000000000001,1748.25713234727,4,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.25,0.11433196860146515,1.0,0.02350306605105794
Honduras,5709.12420809714,10432860.0,0.036,0.596,3040.17307960182,4,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,0.6041666666666667,0.24259264015249607,1.0,0.13880419457650786
Hungary,35254.5033035444,9683505.0,0.081,0.72552,18463.2085249699,4,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.6916666666666667,0.20937668409697455,1.0,0.557022787
Iceland,55033.2651800383,381900.0,0.0969999999999999,0.93992,72902.9799538499,4,0.2,1.5,0.06,0.8,0.05,0.0,0.36666666666666664,0.2088920584384275,1.0,0.251933220044
India,7096.33889865174,1417173173.0,0.081,0.35872,2388.62119776762,4,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.7833333333333333,0.26808751560353083,1.0,0.11881041763047664
Indonesia,12409.758854952,275501339.0,0.073,0.57934,4787.99930765134,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.625,0.1761408179006248,1.0,0.1253518604695039
"Iran, Islamic Rep.",15308.0032395997,88550570.0,0.06,0.76807,4387.82571517872,4,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.16736178418633862,1.0,0.13776510047376372
Iraq,9199.02069369123,44496122.0,0.088,0.71354,5937.19546600271,4,0.2,1.5,0.06,0.8,0.05,0.2,0.36666666666666664,0.4073304239369676,1.0,0.11397677570660815
Ireland,113870.785549597,5086988.0,0.09,0.6418300000000001,104038.946076296,4,0.2,1.5,0.06,0.8,0.05,0.0,0.39166666666666666,0.27491920622194305,1.0,0.51065902348
Israel,44272.2532212696,9550600.0,0.052,0.92763,54659.753964319,4,0.2,1.5,0.06,0.8,0.05,0.0,0.4,0.2848230351273969,1.0,0.17999860132531434
Italy,43788.2393135596,58856847.0,0.063,0.7165699999999999,34157.990122464,4,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.7166666666666667,0.14345010664311653,1.0,0.41498128028500014
Jamaica,10011.8567225921,2827377.0,0.053,0.57008,6047.21646430936,4,0.2,1.5,0.06,0.8,0.05,0.6,0.475,0.17381211069959124,1.0,0.19113073850227333
Japan,41641.16500512,125124989.0,0.077,0.91955,33815.3172733799,4,0.2,1.5,0.06,0.8,0.05,0.8,0.8083333333333333,0.21067857354295638,1.0,0.21227167873132777
Jordan,9318.69175816212,11285869.0,0.0819999999999999,0.91827,4204.50563967692,4,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.425,0.30982958107400826,1.0,0.2062385713577313
Kazakhstan,26093.2945860375,19621972.0,0.098,0.5799,11243.6712256386,4,0.2,1.5,0.06,0.8,0.05,0.6,0.7833333333333333,0.4992063423501769,1.0,0.17981812039843703
Kenya,4881.53172928637,54027487.0,0.072,0.29002,2099.30193826696,4,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.44207779697977306,1.0,0.05413454955569945
Kiribati,2002.71821779186,131232.0,0.095,0.57058,1701.97012305233,4,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.28394957983193275,1.0,0.08808444859096348
