iso3,income_cat,axfin,social,n,c,gamma_SP,k
DZA,poor,0.0939,0.2465088125041308,0.2,5220.9689083454805,0.6880103345823587,21447.768538168806
DZA,nonpoor,0.2046,0.1602931099485661,0.8,12692.549626417003,1.0779974163544102,58270.43805420485
ATG,poor,0.153,0.28417091868138916,0.2,1152.2290519610021,0.09483725581230666,6117.5765883102695
ATG,nonpoor,0.153,0.15296347029512064,0.8,27614.280261185,1.2262906860469232,173327.90767120422
ARG,poor,0.052,0.3124764999077889,0.2,4577.63589419896,0.3603152229619928,13099.40791868756
ARG,nonpoor,0.1505,0.21623559685160545,0.8,21464.58635355306,1.1599211942595018,70270.60251549834
ARM,poor,0.0343,0.675571418433078,0.2,7544.106081932765,0.7445701837523102,9078.825024996439
ARM,nonpoor,0.0704,0.40059794274354227,0.8,18185.23155110606,1.0638574540619223,40464.36742846235
AUS,poor,0.5726,0.6925199999999999,0.2,19043.504933815802,0.8146484852012442,38471.52997362374
AUS,nonpoor,0.7709,0.28018,0.8,59101.95292632278,1.0463378786996889,266846.9379185945
AUT,poor,0.6746,0.65208638,0.2,22381.67520253983,0.46894405440809317,97491.9993212336
AUT,nonpoor,0.6614,0.54044435,0.8,64238.5609583739,1.1327639863979766,359614.33581299457
BGD,poor,0.0409,0.05780474233468169,0.2,2685.394959514219,0.48132640804962895,9629.463402723795
BGD,nonpoor,0.0729,0.05106072844201551,0.8,7157.4070540162475,1.1296683979875928,25854.12235925846
BLR,poor,0.1344,0.6332487223290612,0.2,9779.61629713513,0.6647618444009926,19190.29675556816
BLR,nonpoor,0.2802,0.47420483759805254,0.8,21420.234893244087,1.083809538899752,60861.07376540399
BEN,poor,0.0528,0.0874077771538384,0.2,1202.5378045490559,0.3401433453261501,2638.344465187411
BEN,nonpoor,0.0506,0.09013132299879889,0.8,3993.33006958261,1.1649641636684624,8734.970185702683
BTN,poor,0.1594,0.05653681582397249,0.2,5050.182962615585,0.3510054387084943,33095.53441975563
BTN,nonpoor,0.2697,0.07225441204089139,0.8,13232.0581437386,1.1622486403228764,85328.56287594164
BOL,poor,0.1059,0.25986904717626796,0.2,2158.2060369453293,0.3701368128664673,4050.775008546671
BOL,nonpoor,0.2623999999999999,0.18192246056164563,0.8,9765.743063869468,1.157465796783383,20350.707576409677
BWA,poor,0.0971,0.32359482967933767,0.2,3001.6443783385985,0.3479749658334002,11444.867235006204
BWA,nonpoor,0.223,0.1755645532016047,0.8,18647.902712000225,1.16300625854165,87008.2166822176
BRA,poor,0.1823999999999999,0.5297789621324079,0.2,2494.0496334318977,0.31216399286551155,6731.791541479537
BRA,nonpoor,0.2587,0.2715012149561896,0.8,18243.318987974642,1.171959001783622,76161.76210354526
BGR,poor,0.0975,0.68259464,0.2,8153.19515742998,0.4323417406262975,14118.161670748479
BGR,nonpoor,0.3201,0.46848269499999995,0.8,31663.315283820375,1.1419145648434255,93586.85237097388
BFA,poor,0.051,0.050099601357311785,0.2,677.001807240319,0.12834305885111827,1427.1155954470612
BFA,nonpoor,0.0913,0.12786142519461105,0.8,2529.32269288292,1.2179142352872203,4896.693638231352
BDI,poor,0.0161,0.11063411625961682,0.2,243.4256924673368,0.3541069935874358,459.8820136559341
BDI,nonpoor,0.0559,0.1075779293110152,0.8,824.366468615117,1.1614732516031412,1563.5193070877585
CMR,poor,0.0549,0.016291106712273302,0.2,833.5809961324243,0.13457080453527795,2089.78623778249
CMR,nonpoor,0.1069,0.0277542846819213,0.8,4446.020171661281,1.2163572988661804,11017.275892730722
CAN,poor,0.5163,0.7342599999999999,0.2,19017.307740515687,0.8763536395812276,35540.221072623215
CAN,nonpoor,0.7209,0.28418000000000004,0.8,56463.90630649222,1.030911590104693,268181.7702487118
