iso3,hazard,rp,income_cat,fa,v_ew
ARE,Earthquake,10.0,q1,0.006743953891694122,0.1983490041866617
ARE,Earthquake,10.0,q2,0.006743953891694122,0.09999999999999998
ARE,Earthquake,10.0,q3,0.006743953891694122,0.10000000000000003
ARE,Earthquake,10.0,q4,0.006743953891694122,0.09999999999999998
ARE,Earthquake,10.0,q5,0.006743953891694122,0.09999999999999992
ARE,Earthquake,25.0,q1,0.01684540301623783,0.1983490041866617
ARE,Earthquake,25.0,q2,0.01684540301623783,0.09999999999999998
ARE,Earthquake,25.0,q3,0.01684540301623783,0.10000000000000003
ARE,Earthquake,25.0,q4,0.01684540301623783,0.09999999999999998
ARE,Earthquake,25.0,q5,0.01684540301623783,0.09999999999999992
ARE,Earthquake,50.0,q1,0.03364860909262625,0.1983490041866617
ARE,Earthquake,50.0,q2,0.03364860909262625,0.09999999999999998
ARE,Earthquake,50.0,q3,0.03364860909262625,0.10000000000000003
ARE,Earthquake,50.0,q4,0.03364860909262625,0.09999999999999998
ARE,Earthquake,50.0,q5,0.03364860909262625,0.09999999999999992
ARE,Earthquake,100.0,q1,0.06712909884190697,0.1983490041866617
ARE,Earthquake,100.0,q2,0.06712909884190697,0.09999999999999998
ARE,Earthquake,100.0,q3,0.06712909884190697,0.10000000000000003
ARE,Earthquake,100.0,q4,0.06712909884190697,0.09999999999999998
ARE,Earthquake,100.0,q5,0.06712909884190697,0.09999999999999992
ARE,Earthquake,250.0,q1,0.1665785500906875,0.1983490041866617
ARE,Earthquake,250.0,q2,0.1665785500906875,0.09999999999999998
ARE,Earthquake,250.0,q3,0.1665785500906875,0.10000000000000003
ARE,Earthquake,250.0,q4,0.1665785500906875,0.09999999999999998
ARE,Earthquake,250.0,q5,0.1665785500906875,0.09999999999999992
ARE,Earthquake,500.0,q1,0.2927592385321712,0.1983490041866617
ARE,Earthquake,500.0,q2,0.2927592385321712,0.09999999999999998
ARE,Earthquake,500.0,q3,0.2927592385321712,0.10000000000000003
ARE,Earthquake,500.0,q4,0.2927592385321712,0.09999999999999998
ARE,Earthquake,500.0,q5,0.2927592385321712,0.09999999999999992
ARE,Earthquake,1000.0,q1,0.3985716103611666,0.1983490041866617
ARE,Earthquake,1000.0,q2,0.3985716103611666,0.09999999999999998
ARE,Earthquake,1000.0,q3,0.3985716103611666,0.10000000000000003
ARE,Earthquake,1000.0,q4,0.3985716103611666,0.09999999999999998
ARE,Earthquake,1000.0,q5,0.3985716103611666,0.09999999999999992
ARE,Earthquake,2500.0,q1,0.5924256837312752,0.1983490041866617
ARE,Earthquake,2500.0,q2,0.5924256837312752,0.09999999999999998
ARE,Earthquake,2500.0,q3,0.5924256837312752,0.10000000000000003
ARE,Earthquake,2500.0,q4,0.5924256837312752,0.09999999999999998
ARE,Earthquake,2500.0,q5,0.5924256837312752,0.09999999999999992
ARE,Earthquake,5000.0,q1,0.7929594708587467,0.1983490041866617
ARE,Earthquake,5000.0,q2,0.7929594708587467,0.09999999999999998
ARE,Earthquake,5000.0,q3,0.7929594708587467,0.10000000000000003
ARE,Earthquake,5000.0,q4,0.7929594708587467,0.09999999999999998
ARE,Earthquake,5000.0,q5,0.7929594708587467,0.09999999999999992
ARE,Flood,10.0,q1,0.012899125729456475,0.1745471236842623
ARE,Flood,10.0,q2,0.011484943639128737,0.08799999999999998
ARE,Flood,10.0,q3,0.011484943639128737,0.08800000000000004
ARE,Flood,10.0,q4,0.011484943639128737,0.08799999999999998
ARE,Flood,10.0,q5,0.011484943639128737,0.08799999999999993
ARE,Flood,25.0,q1,0.02645148538368226,0.1745471236842623
ARE,Flood,25.0,q2,0.023551504588336866,0.08799999999999998
ARE,Flood,25.0,q3,0.023551504588336866,0.08800000000000004
ARE,Flood,25.0,q4,0.023551504588336866,0.08799999999999998
ARE,Flood,25.0,q5,0.023551504588336866,0.08799999999999993
ARE,Flood,50.0,q1,0.03675110962785926,0.1745471236842623
ARE,Flood,50.0,q2,0.03272194035503755,0.08799999999999998
ARE,Flood,50.0,q3,0.03272194035503755,0.08800000000000004
ARE,Flood,50.0,q4,0.03272194035503755,0.08799999999999998
ARE,Flood,50.0,q5,0.03272194035503755,0.08799999999999993
ARE,Flood,100.0,q1,0.04086684602163327,0.1745471236842623
ARE,Flood,100.0,q2,0.03638645231557003,0.08799999999999998
ARE,Flood,100.0,q3,0.03638645231557003,0.08800000000000004
ARE,Flood,100.0,q4,0.03638645231557003,0.08799999999999998
ARE,Flood,100.0,q5,0.03638645231557003,0.08799999999999993
ARE,Flood,250.0,q1,0.043216239834526174,0.1745471236842623
ARE,Flood,250.0,q2,0.03847827280737089,0.08799999999999998
ARE,Flood,250.0,q3,0.03847827280737089,0.08800000000000004
ARE,Flood,250.0,q4,0.03847827280737089,0.08799999999999998
ARE,Flood,250.0,q5,0.03847827280737089,0.08799999999999993
ARE,Flood,500.0,q1,0.045314000355661174,0.1745471236842623
ARE,Flood,500.0,q2,0.04034604755884934,0.08799999999999998
ARE,Flood,500.0,q3,0.04034604755884934,0.08800000000000004
ARE,Flood,500.0,q4,0.04034604755884934,0.08799999999999998
ARE,Flood,500.0,q5,0.04034604755884934,0.08799999999999993
ARE,Flood,1000.0,q1,0.04786570456791133,0.1745471236842623
ARE,Flood,1000.0,q2,0.04261799836203414,0.08799999999999998
ARE,Flood,1000.0,q3,0.04261799836203414,0.08800000000000004
ARE,Flood,1000.0,q4,0.04261799836203414,0.08799999999999998
ARE,Flood,1000.0,q5,0.04261799836203414,0.08799999999999993
ARE,Flood,2500.0,q1,0.05210940529923584,0.1745471236842623
ARE,Flood,2500.0,q2,0.04639644542448053,0.08799999999999998
ARE,Flood,2500.0,q3,0.04639644542448053,0.08800000000000004
ARE,Flood,2500.0,q4,0.04639644542448053,0.08799999999999998
ARE,Flood,2500.0,q5,0.04639644542448053,0.08799999999999993
ARE,Flood,5000.0,q1,0.0561443626630032,0.1745471236842623
ARE,Flood,5000.0,q2,0.04998903447904959,0.08799999999999998
ARE,Flood,5000.0,q3,0.04998903447904959,0.08800000000000004
ARE,Flood,5000.0,q4,0.04998903447904959,0.08799999999999998
ARE,Flood,5000.0,q5,0.04998903447904959,0.08799999999999993
ARG,Earthquake,10.0,q1,0.002606555965786064,0.7
ARG,Earthquake,10.0,q2,0.002606555965786064,0.5998558051573541
ARG,Earthquake,10.0,q3,0.002606555965786064,0.3
ARG,Earthquake,10.0,q4,0.002606555965786064,0.29999999999999993
ARG,Earthquake,10.0,q5,0.002606555965786064,0.1129800092391345
ARG,Earthquake,25.0,q1,0.006513641033870182,0.7
ARG,Earthquake,25.0,q2,0.006513641033870182,0.5998558051573541
ARG,Earthquake,25.0,q3,0.006513641033870182,0.3
ARG,Earthquake,25.0,q4,0.006513641033870182,0.29999999999999993
ARG,Earthquake,25.0,q5,0.006513641033870182,0.1129800092391345
ARG,Earthquake,50.0,q1,0.013015352151654395,0.7
ARG,Earthquake,50.0,q2,0.013015352151654395,0.5998558051573541
ARG,Earthquake,50.0,q3,0.013015352151654395,0.3
ARG,Earthquake,50.0,q4,0.013015352151654395,0.29999999999999993
ARG,Earthquake,50.0,q5,0.013015352151654395,0.1129800092391345
ARG,Earthquake,100.0,q1,0.0259847781903244,0.7
ARG,Earthquake,100.0,q2,0.0259847781903244,0.5998558051573541
ARG,Earthquake,100.0,q3,0.0259847781903244,0.3
ARG,Earthquake,100.0,q4,0.0259847781903244,0.29999999999999993
ARG,Earthquake,100.0,q5,0.0259847781903244,0.1129800092391345
ARG,Earthquake,250.0,q1,0.0646068601975244,0.7
ARG,Earthquake,250.0,q2,0.0646068601975244,0.5998558051573541
ARG,Earthquake,250.0,q3,0.0646068601975244,0.3
ARG,Earthquake,250.0,q4,0.0646068601975244,0.29999999999999993
ARG,Earthquake,250.0,q5,0.0646068601975244,0.1129800092391345
ARG,Earthquake,500.0,q1,0.11998448514935668,0.7
ARG,Earthquake,500.0,q2,0.11998448514935668,0.5998558051573541
ARG,Earthquake,500.0,q3,0.11998448514935668,0.3
ARG,Earthquake,500.0,q4,0.11998448514935668,0.29999999999999993
ARG,Earthquake,500.0,q5,0.11998448514935668,0.1129800092391345
ARG,Earthquake,1000.0,q1,0.17393705188217404,0.7
ARG,Earthquake,1000.0,q2,0.17393705188217404,0.5998558051573541
ARG,Earthquake,1000.0,q3,0.17393705188217404,0.3
ARG,Earthquake,1000.0,q4,0.17393705188217404,0.29999999999999993
ARG,Earthquake,1000.0,q5,0.17393705188217404,0.1129800092391345
ARG,Earthquake,2500.0,q1,0.2812519783828255,0.7
ARG,Earthquake,2500.0,q2,0.2812519783828255,0.5998558051573541
ARG,Earthquake,2500.0,q3,0.2812519783828255,0.3
ARG,Earthquake,2500.0,q4,0.2812519783828255,0.29999999999999993
ARG,Earthquake,2500.0,q5,0.2812519783828255,0.1129800092391345
ARG,Earthquake,5000.0,q1,0.40118287851259266,0.7
ARG,Earthquake,5000.0,q2,0.40118287851259266,0.5998558051573541
ARG,Earthquake,5000.0,q3,0.40118287851259266,0.3
ARG,Earthquake,5000.0,q4,0.40118287851259266,0.29999999999999993
ARG,Earthquake,5000.0,q5,0.40118287851259266,0.1129800092391345
ARG,Flood,10.0,q1,0.019994811405609002,0.588
ARG,Flood,10.0,q2,0.017802701274864156,0.5038788763321774
ARG,Flood,10.0,q3,0.017802701274864156,0.252
ARG,Flood,10.0,q4,0.017802701274864156,0.25199999999999995
ARG,Flood,10.0,q5,0.017802701274864156,0.09490320776087298
ARG,Flood,25.0,q1,0.04055500017030704,0.588
ARG,Flood,25.0,q2,0.03610879535635464,0.5038788763321774
ARG,Flood,25.0,q3,0.03610879535635464,0.252
ARG,Flood,25.0,q4,0.03610879535635464,0.25199999999999995
ARG,Flood,25.0,q5,0.03610879535635464,0.09490320776087298
