iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrowing_ability,avg_prod_k,tau_tax,rho,max_increased_spending,shareable,income_elasticity,T_rebuild_K,macro_multiplier_Gamma
ARE,74917.674109094,9441129.0,0.87543,0.9333333333333333,0.7833333333333333,0.14265133496611615,0.1880143481125514,0.06,0.05,0.8,1.5,3.0,1.0780777419315832
ARG,22461.44094261999,46234830.0,0.92347,0.7333333333333333,0.4083333333333333,0.3074152642375409,0.2087420721134342,0.06,0.05,0.8,1.5,3.0,1.2337242968790845
ARM,16057.0064572714,2780469.0,0.63573,0.4,0.425,0.469678089191154,0.3695482842639164,0.06,0.05,0.8,1.5,3.0,1.387008148579867
ATG,22321.870019340196,93763.0,0.24346,0.6666666666666667,0.4166666666666667,0.15957204665763627,0.13901490701349917,0.06,0.05,0.8,1.5,3.0,1.0940621293742163
AUS,51090.26332782138,26005540.0,0.86488,0.8,0.9166666666666667,0.23099803101387528,0.23406499895181193,0.06,0.05,0.8,1.5,3.0,1.1615356865292457
AUT,55867.18380720709,9041851.0,0.59256,0.8,0.8916666666666666,0.18186532022472657,0.4833157384977195,0.06,0.05,0.8,1.5,3.0,1.1151217826888908
BDI,708.178313385561,12889576.0,0.14417,0.6666666666666667,0.25,0.5273924728010927,0.1033689841072085,0.06,0.05,0.8,1.5,3.0,1.441528849922254
BEN,3435.1716165758994,13352864.0,0.49534,0.6666666666666667,0.25,0.4570694328380306,0.08627838745087081,0.06,0.05,0.8,1.5,3.0,1.3750972046459697
BFA,2158.8585157544,22673762.0,0.31877,0.8,0.5666666666666667,0.5136741699207948,0.11826341175146202,0.06,0.05,0.8,1.5,3.0,1.4285696628448004
BGD,6263.00463511584,171186372.0,0.3971099999999999,0.7333333333333333,0.6166666666666667,0.2770114487863902,0.04448744978081786,0.06,0.05,0.8,1.5,3.0,1.2050029065046446
BGR,26961.2912585423,6465097.0,0.76363,0.6666666666666667,0.7083333333333334,0.34702291863864165,0.27793174339542215,0.06,0.05,0.8,1.5,3.0,1.2711402227091062
BLR,19092.111174022295,9228071.0,0.80326,0.7333333333333333,0.5583333333333333,0.3634728967331161,0.46674049712544935,0.06,0.05,0.8,1.5,3.0,1.2866799250619734
BOL,8244.235658484637,12224110.0,0.7082999999999999,0.5333333333333333,0.4583333333333333,0.48238079763710623,0.1607276599735671,0.06,0.05,0.8,1.5,3.0,1.3990079401413924
BRA,15093.465117066098,215313498.0,0.87555,0.8666666666666666,0.5416666666666666,0.2423649776461265,0.27149589203313657,0.06,0.05,0.8,1.5,3.0,1.1722736319727987
BTN,11595.683107514,782455.0,0.43686,0.6,0.4166666666666667,0.15485283162287,0.04582417617530927,0.06,0.05,0.8,1.5,3.0,1.089604056751975
BWA,15518.651045267903,2630296.0,0.72224,0.6,0.6958333333333333,0.21584996202890477,0.1627165487657029,0.06,0.05,0.8,1.5,3.0,1.1472258508628863
CAN,48974.5865932969,38929902.0,0.8175199999999999,0.8666666666666666,0.8333333333333333,0.2209511482560882,0.24666038725994271,0.06,0.05,0.8,1.5,3.0,1.1520447579253583
CHE,72278.20725820551,8775760.0,0.74092,0.9333333333333333,1.0,0.22899160633982424,0.3725196963125629,0.06,0.05,0.8,1.5,3.0,1.159640289340925
CHL,25886.121356161602,19603733.0,0.87912,0.8,0.9,0.22311463099423323,0.21548047411167437,0.06,0.05,0.8,1.5,3.0,1.1540885222150892
CHN,18187.8411189224,1412175000.0,0.6356,0.8,0.8166666666666667,0.20226869046930582,0.31600808986996093,0.06,0.05,0.8,1.5,3.0,1.1343961123430204
CIV,5537.369757684749,28160542.0,0.52661,0.4,0.4375,0.5264144049225482,0.1072404611072749,0.06,0.05,0.8,1.5,3.0,1.4406049043931966
CMR,3723.5323365555096,27914536.0,0.58733,0.6666666666666667,0.5666666666666667,0.4033385932793022,0.018480421884311468,0.06,0.05,0.8,1.5,3.0,1.3243396140208026
COD,1132.65423032115,99010212.0,0.46837,0.4,0.3625,0.32771689599153253,0.08738361221216613,0.06,0.05,0.8,1.5,3.0,1.2529025178422186
COL,15616.752219973494,51874024.0,0.8205,0.7333333333333333,1.0,0.34146505174868186,0.14851494062419704,0.06,0.05,0.8,1.5,3.0,1.2658899058581772
COM,3245.76869721125,836774.0,0.29864,0.26666666666666666,0.16666666666666666,0.24532955097242454,0.044055268956522696,0.06,0.05,0.8,1.5,3.0,1.1750741577138875
CRI,22070.920974668297,5180829.0,0.82042,0.9333333333333333,0.7166666666666667,0.43261932255359703,0.3283491382560658,0.06,0.05,0.8,1.5,3.0,1.3520000652982582
CZE,41052.647091698396,10672118.0,0.7437699999999999,0.6666666666666667,0.9083333333333334,0.19013098402060497,0.5073737813698856,0.06,0.05,0.8,1.5,3.0,1.1229300578366836
DEU,53969.62554886499,83797985.0,0.77648,0.8,0.9166666666666667,0.21800234539705118,0.46030152611173814,0.06,0.05,0.8,1.5,3.0,1.1492591299771904
DJI,4989.408723231809,1120849.0,0.7837999999999999,0.6,0.25,0.5545364212082405,0.11434612907905987,0.06,0.05,0.8,1.5,3.0,1.4671707612066434
DNK,59935.11991557731,5903037.0,0.8836700000000001,0.7333333333333333,0.9166666666666667,0.21172682437904242,0.45732003688357004,0.06,0.05,0.8,1.5,3.0,1.1433308710963002
DOM,19338.0151125748,11228821.0,0.83848,0.6,1.0,0.24862508642175815,0.17702126959964037,0.06,0.05,0.8,1.5,3.0,1.1781873314629254
DZA,11198.233482802696,44903225.0,0.74772,0.8,0.5,0.21997907059240865,0.14830195691490078,0.06,0.05,0.8,1.5,3.0,1.151126471136726
ECU,10859.217829113702,18001000.0,0.6456999999999999,0.8,0.4666666666666667,0.18060502619358446,0.13754670328584065,0.06,0.05,0.8,1.5,3.0,1.1139312282693916
EGY,12780.759867658198,110990103.0,0.42967,0.6666666666666667,0.4666666666666667,0.7411056618723808,0.12552285229834584,0.06,0.05,0.8,1.5,3.0,1.6434160091620218
ESP,40223.0125356769,47778340.0,0.81304,0.8,0.7583333333333333,0.16670477850299206,0.48935636830331153,0.06,0.05,0.8,1.5,3.0,1.1008001644769425
ETH,2381.16578430493,123379924.0,0.22661,0.7333333333333333,0.575,0.4834511165692108,0.06820997206180943,0.06,0.05,0.8,1.5,3.0,1.4000190319210908
FIN,49418.77939735639,5556106.0,0.85681,0.8666666666666666,0.8916666666666666,0.19991804595040583,0.42501944379550854,0.06,0.05,0.8,1.5,3.0,1.132175543054033
FJI,12388.1085288836,929766.0,0.58229,1.0,0.6875,0.4620055737591007,0.23063226894104616,0.06,0.05,0.8,1.5,3.0,1.379760199346917
FRA,45904.41129725178,67971311.0,0.81509,0.7333333333333333,0.95,0.17668124683823622,0.44096333102066393,0.06,0.05,0.8,1.5,3.0,1.1102245751097186
FSM,3263.66519152845,114164.0,0.23217,0.4666666666666667,0.3333333333333333,0.24851632047477745,0.1980550897147346,0.06,0.05,0.8,1.5,3.0,1.1780845841867589
GAB,13939.7868122861,2388992.0,0.90735,0.5333333333333333,0.5541666666666667,0.27297777313868626,0.06693352380557857,0.06,0.05,0.8,1.5,3.0,1.2011924382722046
GBR,47587.1673459552,66971395.0,0.84398,0.8,0.8666666666666667,0.21166971628155043,0.49683459148031717,0.06,0.05,0.8,1.5,3.0,1.1432769231316362
GEO,17078.3409616702,3712502.0,0.60297,0.6666666666666667,0.625,0.26043967643408783,0.3799882950747853,0.06,0.05,0.8,1.5,3.0,1.1893481494991773
GHA,5480.32998341512,33475870.0,0.5861500000000001,0.8,0.55,0.4015998812071467,0.045688860432987324,0.06,0.05,0.8,1.5,3.0,1.3226971152938463
GIN,2699.1288547588897,13859341.0,0.37668,0.6,0.3333333333333333,0.5326179953434279,0.07583308709919642,0.06,0.05,0.8,1.5,3.0,1.4464652130274038
GMB,2113.61484432613,2705992.0,0.63852,0.6666666666666667,0.4166666666666667,0.5058967226596787,0.081704904290294,0.06,0.05,0.8,1.5,3.0,1.4212225882889098
GNB,1855.11197273144,2105566.0,0.45041,0.2,0.16666666666666666,0.6111865352628437,0.08958896550115872,0.06,0.05,0.8,1.5,3.0,1.5206860853978783
GRC,31704.425609933194,10426919.0,0.80357,0.8,0.5583333333333333,0.12470324872956334,0.5220733319766404,0.06,0.05,0.8,1.5,3.0,1.0611228307263636
GTM,9162.05278751063,17357886.0,0.52666,0.4666666666666667,0.5583333333333333,0.3252414222281725,0.18070439655011558,0.06,0.05,0.8,1.5,3.0,1.250564026857974
HND,5709.12420809714,10432860.0,0.596,0.33333333333333337,0.6041666666666667,0.24259264015249607,0.12120407572983878,0.06,0.05,0.8,1.5,3.0,1.1724886965501238
HRV,34302.348815210695,3855600.0,0.58219,0.6666666666666667,0.575,0.20341490490168024,0.3163605431380921,0.06,0.05,0.8,1.5,3.0,1.1354788998707217
HTI,2799.11256134589,11584996.0,0.5882000000000001,0.5333333333333333,0.25,0.11433196860146515,0.08058042766122707,0.06,0.05,0.8,1.5,3.0,1.051325455600193
HUN,35356.7758131528,9643048.0,0.72552,0.8666666666666666,0.6916666666666667,0.20937668409697455,0.48383332647140515,0.06,0.05,0.8,1.5,3.0,1.1411107781417031
IDN,12409.758854951999,275501339.0,0.57934,0.6666666666666667,0.625,0.1761408179006248,0.1514902093504652,0.06,0.05,0.8,1.5,3.0,1.1097140513397095
IND,7112.03939594585,1417173173.0,0.35872,0.8666666666666666,0.7833333333333333,0.26808751560353083,0.1355288657941127,0.06,0.05,0.8,1.5,3.0,1.1965727879548156
IRN,15461.079338719,88550570.0,0.76807,0.6,0.4166666666666667,0.16736178418633862,0.05320926365118401,0.06,0.05,0.8,1.5,3.0,1.1014208141036295
IRQ,9199.020693691231,44496122.0,0.71354,0.2,0.36666666666666664,0.4073304239369676,0.1168154716331102,0.06,0.05,0.8,1.5,3.0,1.3281105527969463
ITA,44292.191184356314,58940425.0,0.7165699999999999,0.8666666666666666,0.7166666666666667,0.14345010664311653,0.46693894363914346,0.06,0.05,0.8,1.5,3.0,1.0788323127910213
