iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.22733529252226134,0.6770833333333334,0.446875,0.17186260685643784,0.16809344697564138,0.21151755152966162,0.311220062314,0.06,0.05,0.8,1.5
ALB,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.17750201659656975,0.7407407407407408,0.5453703703703704,0.16202216968574668,0.18748463045754632,0.22637991545331604,0.000212773636,0.06,0.05,0.8,1.5
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.5001735995214184,0.5,0.3,0.3074152642375409,0.2087420721134342,0.16078785641502572,0.009588466405,0.06,0.05,0.8,1.5
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.24496279803722731,0.5,0.44166666666666665,0.469678089191154,0.3695482842639164,0.3118748350056252,0.005235208329,0.06,0.05,0.8,1.5
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.7270120841388369,0.8333333333333334,0.9166666666666667,0.23099803101387528,0.4446686830942625,0.12758653267074338,0.004970939722,0.06,0.05,0.8,1.5
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.6365297384825935,0.8333333333333334,0.8916666666666666,0.18186532022472657,0.4262241812069232,0.127813551756672,0.006835775451,0.06,0.05,0.8,1.5
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.35985177089198306,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.022054656348774723,0.16795043542206398,0.0,0.06,0.05,0.8,1.5
BEL,53287.15361438369,11685814.0,0.98153,0.35769762689571794,0.5332788648153127,0.8181818181818182,0.8424242424242425,0.17009500737381328,0.4462501851080438,0.16285570073270506,0.000547254789,0.06,0.05,0.8,1.5
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.282441108861362,0.5,0.4166666666666667,0.4570694328380306,0.08627838745087081,0.19222681870777605,0.200821865179,0.06,0.05,0.8,1.5
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.37944658107709417,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.11826341175146202,0.2855912927239073,0.312038230194,0.06,0.05,0.8,1.5
BGD,6263.00463511584,171186372.0,0.3971099999999999,0.7430143350200373,0.6015357543461132,0.8333333333333334,0.6083333333333334,0.2770114487863902,0.04448744978081786,0.2102081880793796,0.095763822443,0.06,0.05,0.8,1.5
BGR,26961.2912585423,6465097.0,0.76363,0.4856640200425024,0.4289302930323815,0.8333333333333334,0.7250000000000001,0.34702291863864165,0.27793174339542215,0.08013917618584966,0.002478634814,0.06,0.05,0.8,1.5
BIH,16737.226012295796,3233526.0,0.49841,0.20271542132514708,0.2796353410093126,0.7407407407407408,0.5203703703703704,0.36384492670064134,0.19328903585136673,0.13804999958364061,0.000749787577,0.06,0.05,0.8,1.5
BLR,19092.111174022295,9228071.0,0.80326,0.4236035393738244,0.4213636375717923,0.8333333333333334,0.5166666666666667,0.3634728967331161,0.46674049712544935,0.03691194986910738,0.0,0.06,0.05,0.8,1.5
