iso3,income_cat,income_share,liquidity,axfin,diversified_share,n,c,gamma_SP,k
AGO,q1,0.0379620379620379,96.53288069041751,0.0346965987745852,0.1303746056481646,0.2,1375.154525535259,0.1472182829833501,8364.264837281255
AGO,q2,0.0769230769230769,131.60122101768758,0.0456995628628879,0.1675723127347033,0.2,2786.4973280582913,0.38342297497586,16223.673867699476
AGO,q3,0.1258741258741259,190.9932684224552,0.1512590152016139,0.1498564888452727,0.2,4559.722900459024,0.5610883374501167,27112.824003255846
AGO,q4,0.2037962037962038,178.5137851325605,0.1901296568688489,0.1746012142778548,0.2,7382.4085055050855,1.0584310479750803,42619.26527693371
AGO,q5,0.5554445554445555,240.54411404681596,0.3251495004262276,0.17248861874141708,0.2,20120.68200520014,2.849839356615593,116455.69529369993
ALB,q1,0.084084084084084,608.0119428693681,0.030747964800638,0.2469630926141455,0.2,7670.272917146537,0.553796473725759,43875.39613097525
ALB,q2,0.1321321321321321,688.9863424473216,0.0766977603363668,0.19971609203634033,0.2,12053.286012658855,0.7037620363188715,73272.92318086061
ALB,q3,0.1731731731731731,731.305913365319,0.0827032617132566,0.18669269056766402,0.2,15797.10969840895,0.8622084262304502,97594.7106843101
ALB,q4,0.2302302302302302,774.0483913803055,0.0856291884061276,0.19072317825826857,0.2,21001.937749329827,1.1710357572639902,129107.19344774318
ALB,q5,0.3803803803803804,775.5432863044608,0.2068132807901691,0.16848830376604207,0.2,34698.8536728058,1.7091973064609292,219168.1599494478
ARG,q1,0.054,913.1867393620682,0.0383591152262322,0.30591241143041215,0.2,7318.344599410561,0.39508200008051175,20890.982852518002
ARG,q2,0.1009999999999999,1130.0483128889375,0.065731900431188,0.2141432691191253,0.2,13688.01489889752,0.5172758327353156,44240.04756676285
ARG,q3,0.152,1102.266131109661,0.0371094116419097,0.19271091050381395,0.2,20599.78479834084,0.7005615178881572,68394.86634233348
ARG,q4,0.2269999999999999,1223.0177537484954,0.1938859110476451,0.20792852713773258,0.2,30764.152297522163,1.1288502171085704,100216.92281157909
ARG,q5,0.466,1157.7884110946072,0.2221270147597444,0.2026216989957086,0.2,63154.60339491338,2.258230432187445,207110.04544382755
ARM,q1,0.092,543.2227184880109,0.0479004899407548,0.7553327186558696,0.2,8845.887367656664,0.9406301830494513,7307.208697273204
ARM,q2,0.136,624.9898019922418,0.0207471236834298,0.5136170358560411,0.2,13076.529152188114,0.9455208588300147,21473.609493940214
ARM,q3,0.175,585.7730259712501,0.0669766165796398,0.45074687195357466,0.2,16826.41618847735,1.0677351888815614,31203.145426269246
ARM,q4,0.2239999999999999,625.7056191194782,0.0416642702001703,0.36804986351733393,0.2,21537.812721250997,1.115957010886735,45953.50246547039
ARM,q5,0.373,713.7952556141677,0.1026041401135401,0.18422752962170763,0.2,35864.30421886886,0.9301567583522374,98779.23640156409
AUS,q1,0.074,2313.7118153302645,0.5155466474380117,0.5553435585017609,0.2,22034.565723462856,0.4619621387086533,76395.04306920264
AUS,q2,0.122,2636.4157627036107,0.6296838891562465,0.41640528206047733,0.2,36327.257003546874,0.5710695257185396,165302.74116770804
AUS,q3,0.1639999999999999,2752.702641435867,0.7270432805527772,0.4724327442344294,0.2,48833.36187362036,0.8709570996419085,200877.15685258902
AUS,q4,0.225,2705.6253915132975,0.7461748339028289,0.4242824948625712,0.2,66996.99037539383,1.0731256036482963,300746.66843871266
AUS,q5,0.415,2793.640640500551,0.8395599018246677,0.43362100165475503,0.2,123572.22669239304,2.022885632282602,545712.7617237716
AUT,q1,0.077,2876.314802614641,0.6638382115932856,0.6049162771582619,0.2,25030.826815831027,0.5471884315550799,94670.126538264
AUT,q2,0.133,3024.5110191746444,0.6853923440884614,0.44141971480224285,0.2,43235.06450007178,0.6896905541678036,231190.68906591073
AUT,q3,0.177,3052.3483777710526,0.6872906804953757,0.4671934844581309,0.2,57538.394109118075,0.9714511238119747,293478.2281660461
AUT,q4,0.2289999999999999,2960.6353545622906,0.6233226173406197,0.3844940348943411,0.2,74442.3291016273,1.0343701998492383,438632.5367897133
AUT,q5,0.384,2903.1481541782086,0.6738866481292712,0.3895504379732062,0.2,124829.05840622228,1.7572996906159035,729481.2033528119
AZE,q1,0.1078921078921079,613.5024178363168,0.0096431019212562,0.029572960011558624,0.2,11470.170747715554,0.7232916863451883,18576.144611331656
AZE,q2,0.1388611388611388,674.9755652654667,0.006776677150343,0.014653564345290637,0.2,14762.534573448713,0.46126765033181516,24275.75181409799
AZE,q3,0.1668331668331668,808.3951310844911,0.0574110205171255,0.024124187104847872,0.2,17736.282545078673,0.9123554717985006,28885.50494990724
AZE,q4,0.2087912087912088,875.3448397277672,0.0667226760684371,0.021201344963082458,0.2,22196.90450252362,1.0034705245797915,36258.39606468784
AZE,q5,0.3776223776223776,840.4712433338957,0.077384177336095,0.022191098060428627,0.2,40145.59761700443,1.899614666944704,65511.07487393006
BEL,q1,0.092092092092092,3024.188757980263,0.3643009168596042,0.5962173866180407,0.2,29555.044567057284,0.615792684334477,126601.58920137155
BEL,q2,0.1441441441441441,2896.045823906355,0.558554926711214,0.4437915834290479,0.2,46260.06975713317,0.7174367427508599,272962.9881900361
BEL,q3,0.1791791791791791,2995.7623046739413,0.5929028848642192,0.46976822255711514,0.2,57503.83671199193,0.944014636353205,323461.42713885324
BEL,q4,0.2242242242242242,3023.905854435869,0.6486143192973283,0.4132158989485818,0.2,71960.10851109607,1.0391233471087973,447950.5475982835
BEL,q5,0.3603603603603603,3073.5838404847577,0.6822970173784603,0.416584168756695,0.2,115650.17439283295,1.6836325894526611,715788.0207716692
BEN,q1,0.076,104.78819035768,0.0299388508504149,0.0798416622388799,0.2,1414.0653203488819,0.3532664953420423,3114.213643716121
BEN,q2,0.119,133.35966502341893,0.075413379333577,0.11846878385507975,0.2,2214.1285937041703,0.8207486539206166,4671.505906481446
BEN,q3,0.161,135.11788173898563,0.0141714519705808,0.05554507377952167,0.2,2995.5857444232893,0.5206318244491744,6771.413847199704
BEN,q4,0.221,136.36225708165736,0.0384354259584916,0.07716998109075612,0.2,4111.953102593459,0.992887298540968,9082.099009048861
BEN,q5,0.423,144.9400550950856,0.0987935155863254,0.09390217464239448,0.2,7870.389875099698,2.312465727747198,17068.19911143193
BFA,q1,0.073,85.7523425395726,0.0473461544114331,0.04463421679845514,0.2,905.9563725048881,0.14073081722104666,1905.5519417467597
BFA,q2,0.112,80.4911703305286,0.0545803211841068,0.0503368911573665,0.2,1389.960461925308,0.24350217418451653,2906.135358926655
BFA,q3,0.151,92.36311764064058,0.0303035320283974,0.0971104324657297,0.2,1873.9645513457276,0.6333463417958248,3725.116252700152
BFA,q4,0.211,86.89228808627048,0.0775577895636875,0.1478416704860337,0.2,2618.5862273771427,1.3473416874670068,4912.821637147227
BFA,q5,0.453,106.09755220182387,0.1662736350452913,0.1346781070520704,0.2,5621.893654037184,2.6350789793316056,10710.36180883299
BGD,q1,0.082082082082082,311.8311322890929,0.0444158753443058,0.054066329869112306,0.2,3382.765941748437,0.4987296596838739,12089.28178506974
BGD,q2,0.1221221221221221,323.4531148053826,0.0374479016299205,0.040874025692513416,0.2,5032.895669430606,0.5609597472830035,18237.3379907097
BGD,q3,0.1601601601601602,309.0331717062391,0.0871026207805918,0.047931118846840315,0.2,6600.518910728665,0.862704381861865,23741.836878120143
BGD,q4,0.2152152152152152,358.9883681580465,0.0426962158189025,0.03728087047218809,0.2,8869.447286291643,0.901672778601304,32259.974907076226
BGD,q5,0.4204204204204204,339.3904657455076,0.0887852689868649,0.04605447756948289,0.2,17326.362140662743,2.1759334325699533,62445.166531865456
BGR,q1,0.0609390609390609,1052.0278046459828,0.085879652429199,0.5229750667393808,0.2,10177.851894494055,0.570736510122265,19409.868610475824
BGR,q2,0.1098901098901099,1075.854249298622,0.1091351980626519,0.3940518252610381,0.2,18353.50341630077,0.775480470234904,44461.06361796808
BGR,q3,0.1548451548451548,1295.4862688909404,0.2106339517632901,0.29577765061004757,0.2,25861.754813878346,0.8202040123058106,72810.36079741007
BGR,q4,0.2187812187812187,1318.4548523473345,0.301832503731686,0.27260918643081244,0.2,36540.15680154424,1.0680939075062807,106258.4821338954
BGR,q5,0.4555444555444556,1316.563532658729,0.4477062865915038,0.21640853130546733,0.2,76083.61416211956,1.7654850998307394,238345.09715801614
