iso3,hazard,protection
AGO,Earthquake,0.0
AGO,Flood,16.40981765422472
ALB,Earthquake,0.0
ALB,Flood,15.53812983038791
ALB,Tsunami,0.0
ARG,Earthquake,0.0
ARG,Flood,49.38920519507015
ARM,Earthquake,0.0
ARM,Flood,10.09014089481521
AUS,Earthquake,0.0
AUS,Flood,100.0000313720315
AUS,Storm surge,64.25544615862299
AUS,Tsunami,0.0
AUS,Wind,0.0
AUT,Earthquake,0.0
AUT,Flood,610.0187978371207
AZE,Earthquake,0.0
AZE,Flood,14.89961952661951
BEL,Earthquake,0.0
BEL,Flood,213.6497682142595
BEN,Earthquake,0.0
BEN,Flood,5.915410578927322
BFA,Earthquake,0.0
BFA,Flood,1.917109807293677
BGD,Earthquake,0.0
BGD,Flood,50.0000056484733
BGD,Storm surge,0.8851181639865411
BGD,Tsunami,0.0
BGD,Wind,0.0
BGR,Earthquake,0.0
BGR,Flood,27.3143938097103
BIH,Earthquake,0.0
BIH,Flood,18.31872349100183
BLR,Earthquake,0.0
BLR,Flood,13.98804537097265
BOL,Earthquake,0.0
BOL,Flood,6.706563559701128
BRA,Earthquake,0.0
BRA,Flood,22.10157059446965
BRA,Tsunami,0.0
BTN,Earthquake,0.0
BTN,Flood,6.781135691165558
BWA,Earthquake,0.0
BWA,Flood,16.20418754825175
CAN,Earthquake,0.0
CAN,Flood,69.04731760440129
CAN,Tsunami,0.0
CHE,Earthquake,0.0
CHE,Flood,30.0000013465808
CHL,Earthquake,0.0
CHL,Flood,57.6879484399176
CHL,Tsunami,0.0
CHN,Earthquake,0.0
CHN,Flood,29.43819583859641
CHN,Storm surge,28.7289727183617
CHN,Tsunami,0.0
CHN,Wind,0.0
CIV,Earthquake,0.0
CIV,Flood,6.807846591264169
CMR,Earthquake,0.0
CMR,Flood,6.73769810334304
COD,Earthquake,0.0
COD,Flood,2.037779739919518
COL,Earthquake,0.0
COL,Flood,19.44042069738325
COL,Storm surge,10.17605299773521
COL,Tsunami,0.0
COL,Wind,0.0
COM,Earthquake,0.0
COM,Storm surge,2.235806192947441
COM,Tsunami,0.0
COM,Wind,0.0
CRI,Earthquake,0.0
CRI,Flood,17.02194680901668
CRI,Tsunami,0.0
CRI,Wind,0.0
CYP,Earthquake,0.0
CYP,Flood,14.29521918130544
CYP,Tsunami,0.0
CZE,Earthquake,0.0
CZE,Flood,86.13988211796371
DEU,Earthquake,0.0
DEU,Flood,106.2179142854564
DNK,Earthquake,0.0
DNK,Flood,35.64140486741957
DOM,Earthquake,0.0
DOM,Flood,84.2110897299146
DOM,Storm surge,9.166403718763016
DOM,Tsunami,0.0
DOM,Wind,0.0
ECU,Earthquake,0.0
ECU,Flood,18.2060110372592
ECU,Tsunami,0.0
EGY,Earthquake,0.0
EGY,Flood,29.25289010747523
EGY,Tsunami,0.0
ESP,Earthquake,0.0
ESP,Flood,96.8043275872174
ESP,Tsunami,0.0
EST,Earthquake,0.0
EST,Flood,45.85230865210559
ETH,Earthquake,0.0
ETH,Flood,1.949319844273826
FIN,Earthquake,0.0
FRA,Earthquake,0.0
FRA,Flood,119.6113109154283
FRA,Storm surge,27.01646923831492
FRA,Tsunami,0.0
FRA,Wind,0.0
GAB,Earthquake,0.0
GAB,Flood,17.11024211764759
GBR,Earthquake,0.0
GBR,Flood,230.1299628954135
GBR,Storm surge,71.80223910816967
GBR,Tsunami,0.0
GBR,Wind,0.0
GEO,Earthquake,0.0
GEO,Flood,26.65732206281902
GHA,Earthquake,0.0
GHA,Flood,8.061828184998248
GIN,Earthquake,0.0
GIN,Flood,3.913046187519934
GIN,Tsunami,0.0
GMB,Earthquake,0.0
GMB,Flood,1.514883192296329
