iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,capital_elasticity_alpha,k_pub_share_kappa,self_employment,k_pub_share,k_oth_share,k_prv_share,reconstruction_share_sigma_h,rho,max_increased_spending,income_elasticity_eta
AGO,7244.89305295156,36749906.0,0.68688,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.16809344697564138,0.56854,0.3582981307861687,0.6479064783027739,0.3582981307861687,0.4301843176841695,0.2115175515296616,0.2115175515296616,0.06,0.05,1.5
ALB,18244.29201007,2745972.0,0.64603,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.18748463045754632,0.5253099999999999,0.2993533161246094,0.528227228361827,0.2993533161246094,0.4742667684220745,0.226379915453316,0.226379915453316,0.06,0.05,1.5
ARG,27104.9799978169,45538401.0,0.92463,0.4869371336118353,0.6375410621136512,0.5,0.3,0.3074152642375409,0.2090612861871191,0.50508,0.2448042461995694,0.2760538713338329,0.2448042461995694,0.5944078973854049,0.1607878564150257,0.1607878564150257,0.06,0.05,1.5
ARM,19230.1899296884,2990900.0,0.63739,0.3740101200533297,0.3133509856523386,0.5,0.4416666666666666,0.469678089191154,0.3693832675614169,0.4666099999999999,0.2513575736257018,0.6246533884552661,0.2513575736257018,0.4367675913686729,0.3118748350056252,0.3118748350056252,0.06,0.05,1.5
AUS,59552.8803336834,26658948.0,0.86617,0.6790700317264603,0.9301463158373546,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4447921148257568,0.46981,0.1600743432823272,0.158711633517682,0.1600743432823272,0.7123391240469292,0.1275865326707433,0.1275865326707433,0.06,0.05,1.5
AUT,65015.1345865741,9131761.0,0.5953,0.6743220859874698,0.8577375757241545,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4256171243314889,0.40439,0.1905262215130456,0.127305561156808,0.1905262215130456,0.6816602267302825,0.127813551756672,0.127813551756672,0.06,0.05,1.5
AZE,21262.2979971542,10153958.0,0.57577,0.4236035393738244,0.4612760789957857,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.02205672381206751,0.53433,0.5448477361400302,0.671004189678957,0.5448477361400302,0.2872018284379058,0.1679504354220639,0.1679504354220639,0.06,0.05,1.5
BEL,64185.8467880223,11787423.0,0.98189,0.3576976268957179,0.6902337998079515,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4458229845217805,0.38911,0.1482256268063432,0.150572057790271,0.1482256268063432,0.6889186724609517,0.162855700732705,0.162855700732705,0.06,0.05,1.5
BEN,3721.2245272339,14111034.0,0.501,0.6048974177043009,0.3847971666493662,0.5,0.4166666666666667,0.4570694328380306,0.08588369418220232,0.6386099999999999,0.3753655670172955,0.7855615701984441,0.3753655670172955,0.4324076142749285,0.192226818707776,0.192226818707776,0.06,0.05,1.5
BFA,2482.07225343805,23025776.0,0.3252,0.5860386582748977,0.5325130244580834,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.11576347990537844,0.48604,0.3989634606264981,0.856177215971214,0.3989634606264981,0.3154452466495946,0.2855912927239073,0.2855912927239073,0.06,0.05,1.5
BGD,8242.39798977242,171466990.0,0.40473,0.7430143350200373,0.8203511395181686,0.8333333333333334,0.6083333333333334,0.2770114487863902,0.04449180873869024,0.5913900000000001,0.2665638977700733,0.58146517463448,0.2665638977700733,0.5232279141505471,0.2102081880793796,0.2102081880793796,0.06,0.05,1.5
BGR,33403.3762176674,6446596.0,0.76701,0.4856640200425024,0.5481724147748034,0.8333333333333334,0.7250000000000001,0.3470229186386416,0.27919722057743734,0.4871099999999999,0.2333802255721186,0.110871371552861,0.2333802255721186,0.6864805982420317,0.0801391761858496,0.0801391761858496,0.06,0.05,1.5
BIH,20126.3804029322,3185073.0,0.50269,0.202715421325147,0.3587490009203474,0.7407407407407408,0.5203703703703704,0.3638449267006413,0.19328903585136673,0.47697,0.353924541677768,0.247808042536406,0.353924541677768,0.5080254587385913,0.1380499995836406,0.1380499995836406,0.06,0.05,1.5
BLR,27718.3231175409,9178298.0,0.80731,0.4236035393738244,0.4612760789957857,0.8333333333333334,0.5166666666666667,0.3634728967331161,0.46674049712544946,0.51078,0.1440171661159616,0.047051684879269,0.1440171661159616,0.819070884014931,0.0369119498691073,0.0369119498691073,0.06,0.05,1.5
BOL,9843.97014174079,12244159.0,0.71186,0.3505492399830046,0.6197954434967983,0.5,0.3666666666666666,0.4823807976371062,0.16072765997356708,0.44741,0.5881475283709985,0.688209219640498,0.5881475283709985,0.2226232178105797,0.1892292538184218,0.1892292538184218,0.06,0.05,1.5
BRA,19018.2390697496,211140729.0,0.87788,0.5291082704872349,0.3928613642977452,0.6666666666666666,0.55,0.2423649776461265,0.272920813680003,0.42237,0.3302937340300304,0.321274310549545,0.3302937340300304,0.4652766099156167,0.2044296560543529,0.2044296560543529,0.06,0.05,1.5
BTN,14061.3120213689,786385.0,0.4435,0.6224304917176389,0.653216539981002,0.8333333333333334,0.8333333333333334,0.15485283162287,0.045824176175309275,0.54657,0.3120290159046609,0.711862587224906,0.3120290159046609,0.4325350714808958,0.2554359126144432,0.2554359126144432,0.06,0.05,1.5
BWA,18846.2504612042,2480244.0,0.72867,0.5450701640250646,0.599007672716824,0.6666666666666666,0.6708333333333334,0.2158499620289047,0.14675610325490268,0.58508,0.3469222485599993,0.309404638868818,0.3469222485599993,0.5355643055214472,0.1175134459185533,0.1175134459185533,0.06,0.05,1.5
CAN,55918.9297008845,40097761.0,0.8186199999999999,0.7290944203661487,0.7828004369006899,0.6666666666666666,0.825,0.2209511482560882,0.45114497316970187,0.4049499999999999,0.2144716532363995,0.135736183581057,0.2144716532363995,0.6549036986289728,0.1306246481346276,0.1306246481346276,0.06,0.05,1.5
CHE,82557.5501926632,8888093.0,0.74202,0.8346389202560219,0.9344967924968568,1.0,1.0,0.2289916063398242,0.3882163800111111,0.2949299999999999,0.1683496065654702,0.163508339508362,0.1683496065654702,0.5979273191143668,0.233723074320163,0.233723074320163,0.06,0.05,1.5
CHL,29462.6404846227,19658835.0,0.88012,0.5408725972262776,0.6397672985802739,1.0,0.8666666666666667,0.2231146309942332,0.21744386077814876,0.4962499999999999,0.1424989308000309,0.2460779512459799,0.1424989308000309,0.6861122725932216,0.1713887966067474,0.1713887966067474,0.06,0.05,1.5
CHN,22137.5998277466,1410710000.0,0.6456999999999999,0.6520846316363867,0.7804302528795941,0.8333333333333334,0.8166666666666667,0.2022686904693058,0.31643388861310323,0.4859799999999999,0.4684833758956687,0.4576133919991549,0.4684833758956687,0.3581608105797177,0.1733558135246135,0.1733558135246135,0.06,0.05,1.5
CIV,6485.31584901747,31165654.0,0.53149,0.4411772661914926,0.3515720969429335,0.5,0.4416666666666666,0.5264144049225482,0.10653918491689923,0.6878500000000001,0.2938797765320676,0.7399691977823101,0.2938797765320676,0.5286114553716867,0.1775087680962455,0.1775087680962455,0.06,0.05,1.5
CMR,4870.57076514365,28372687.0,0.59315,0.5426972877468083,0.6181845322890618,0.8333333333333334,0.5,0.4033385932793022,0.018053345673288083,0.53832,0.2802824580392851,0.750036622680601,0.2802824580392851,0.4379829317763912,0.2817346101843237,0.2817346101843237,0.06,0.05,1.5
COD,1455.8356229714,105789731.0,0.47444,0.5417738643394608,0.5874933870575137,0.5,0.375,0.3277168959915325,0.08847041737890998,0.61169,0.1775571155520186,0.863963258639973,0.1775571155520186,0.5311371010281636,0.2913057834198177,0.2913057834198177,0.06,0.05,1.5
COL,18692.3845274216,52321152.0,0.8235399999999999,0.5172414705972652,0.583481532649143,0.8333333333333334,0.6916666666666667,0.3414650517486818,0.15069579985158202,0.45345,0.2022411826573807,0.471021793172521,0.2022411826573807,0.5088625274339109,0.2888962899087083,0.2888962899087083,0.06,0.05,1.5
COM,3498.80327064529,850387.0,0.30132,0.5611604077563926,0.5535284709605425,0.3333333333333333,0.3333333333333333,0.2453295509724245,0.04406292577909373,0.5781499999999999,0.1857028071181877,0.570149890550217,0.1857028071181877,0.5750634891894238,0.2392337036923884,0.2392337036923884,0.06,0.05,1.5
CRI,26292.7714760841,5105525.0,0.82622,0.665176892969537,0.8263909380371303,1.0,0.675,0.432619322553597,0.32843579536775447,0.45821,0.1753729576065941,0.273666521193026,0.1753729576065941,0.6230254770913728,0.2016015653020331,0.2016015653020331,0.06,0.05,1.5
CYP,53420.68359375,1344976.0,0.66987,0.2915047815919911,0.4365650299807803,0.8181818181818182,0.7007575757575758,0.1451910922152238,0.2932396215869045,0.51503,0.2288763569886631,0.108990873966136,0.2288763569886631,0.6993496895593122,0.0717739534520246,0.0717739534520246,0.06,0.05,1.5
