iso3,hazard,protection
ARG,Earthquake,1.0
ARG,Flood,49.38920519507015
ARM,Earthquake,1.0
ARM,Flood,10.09014089481521
AUS,Earthquake,1.0
AUS,Flood,100.0000313720315
AUS,Storm surge,64.25544615862299
AUS,Tsunami,1.0
AUS,Wind,1.0
AUT,Earthquake,1.0
AUT,Flood,610.0187978371207
BDI,Earthquake,1.0
BDI,Flood,1.664751672348882
BEN,Earthquake,1.0
BEN,Flood,5.915410578927322
BFA,Earthquake,1.0
BFA,Flood,1.917109807293677
BGD,Earthquake,1.0
BGD,Flood,50.0000056484733
BGD,Storm surge,1.0
BGD,Tsunami,1.0
BGD,Wind,1.0
BGR,Earthquake,1.0
BGR,Flood,27.3143938097103
BLR,Earthquake,1.0
BLR,Flood,13.98804537097265
BOL,Earthquake,1.0
BOL,Flood,6.706563559701128
BRA,Earthquake,1.0
BRA,Flood,22.10157059446965
BRA,Tsunami,1.0
BTN,Earthquake,1.0
BTN,Flood,6.781135691165558
BWA,Earthquake,1.0
BWA,Flood,16.20418754825175
CAN,Earthquake,1.0
CAN,Flood,69.04731760440129
CAN,Tsunami,1.0
CHE,Earthquake,1.0
CHE,Flood,30.0000013465808
CHL,Earthquake,1.0
CHL,Flood,57.6879484399176
CHL,Tsunami,1.0
CHN,Earthquake,1.0
CHN,Flood,29.43819583859641
CHN,Storm surge,28.7289727183617
CHN,Tsunami,1.0
CHN,Wind,1.0
CIV,Earthquake,1.0
CIV,Flood,6.807846591264169
CMR,Earthquake,1.0
CMR,Flood,6.73769810334304
COD,Earthquake,1.0
COD,Flood,2.037779739919518
COL,Earthquake,1.0
COL,Flood,19.44042069738325
COL,Storm surge,10.17605299773521
COL,Tsunami,1.0
COL,Wind,1.0
COM,Earthquake,1.0
COM,Storm surge,2.235806192947441
COM,Tsunami,1.0
COM,Wind,1.0
CRI,Earthquake,1.0
CRI,Flood,17.02194680901668
CRI,Storm surge,4.417843943336388
CRI,Tsunami,1.0
CRI,Wind,1.0
CZE,Earthquake,1.0
CZE,Flood,86.13988211796371
DEU,Earthquake,1.0
DEU,Flood,106.2179142854564
DJI,Earthquake,1.0
DJI,Flood,2.190880638854981
DJI,Tsunami,1.0
DNK,Earthquake,1.0
DNK,Flood,35.64140486741957
DOM,Earthquake,1.0
DOM,Flood,84.2110897299146
DOM,Storm surge,9.166403718763016
DOM,Tsunami,1.0
DOM,Wind,1.0
DZA,Earthquake,1.0
DZA,Flood,19.69096028386024
DZA,Tsunami,1.0
ECU,Earthquake,1.0
ECU,Flood,18.2060110372592
ECU,Tsunami,1.0
EGY,Earthquake,1.0
EGY,Flood,29.25289010747523
