iso3,income_cat,income_share,axfin,diversified_share,n,c,gamma_SP,k,liquidity
AGO,q1,0.0379620379620379,0.0346965987745852,0.1303746056481646,0.2,1121.040937648712,0.14721828298335013,6818.639739616309,98.20611728905142
AGO,q2,0.0769230769230769,0.0456995628628879,0.16757231273470327,0.2,2271.582952603972,0.38342297497586,13225.715530168176,133.88230884866084
AGO,q3,0.1258741258741259,0.1512590152016139,0.1498564888452727,0.2,3717.135740624683,0.5610883374501168,22102.669248085982,194.3038184084444
AGO,q4,0.2037962037962038,0.1901296568688489,0.1746012142778548,0.2,6018.219770535201,1.0584310479750805,34743.68896059596,181.6080240748582
AGO,q5,0.5554445554445555,0.3251495004262276,0.17248861874141705,0.2,16402.598982439078,2.849839356615593,94935.9504131121,244.7135453569608
ALB,q1,0.084084084084084,0.030747964800638,0.2469630926141455,0.2,6513.181491183398,0.5537964737257589,37256.61669218908,604.6194397783426
ALB,q2,0.1321321321321321,0.0766977603363668,0.1997160920363404,0.2,10234.999486145349,0.7037620363188716,62219.408907815596,685.1420293152535
ALB,q3,0.1731731731731731,0.0827032617132566,0.18669269056766397,0.2,13414.052356842007,0.8622084262304499,82872.15724038663,727.2254711952708
ALB,q4,0.2302302302302302,0.0856291884061276,0.19072317825826854,0.2,17833.711225859322,1.1710357572639898,109630.85561958107,769.7294604922566
ALB,q5,0.3803803803803804,0.2068132807901691,0.1684883037660421,0.2,29464.392460115403,1.7091973064609294,186105.76419626424,771.2160144031961
ARG,q1,0.0509490509490509,0.0383591152262322,0.30591241143041215,0.2,5721.94549487322,0.37333027496836874,16327.304518839404,827.4315236361774
ARG,q2,0.0989010989010989,0.065731900431188,0.2141432691191253,0.2,11107.305960636262,0.5073008144387443,35884.64134794593,1023.9281376001819
ARG,q3,0.1498501498501498,0.0371094116419097,0.19271091050381395,0.2,16829.251455509486,0.6917091155697315,55853.49837010965,998.7549150721997
ARG,q4,0.2267732267732267,0.1938859110476451,0.2079285271377326,0.2,25468.267202671013,1.129447038630633,82931.64260295765,1108.1670372536814
ARG,q5,0.4735264735264735,0.2221270147597444,0.20262169899570853,0.2,53180.43459940997,2.2982127563925223,174330.26602158422,1049.0632285238291
ARM,q1,0.094,0.0479004899407548,0.7553327186558696,0.2,7546.793034917558,0.960649508833134,6235.714238620918,534.7897655489991
ARM,q2,0.138,0.0207471236834298,0.5136170358560411,0.2,11079.334455517266,0.9589971590493795,18198.68032757378,615.2875023494128
ARM,q3,0.173,0.0669766165796398,0.45074687195357466,0.2,13889.310585539759,1.055061167491158,25763.27664318917,576.6795249212437
ARM,q4,0.218,0.0416642702001703,0.36804986351733393,0.2,17502.137038425823,1.0855803377168205,37352.67941453257,615.9922071797192
ARM,q5,0.377,0.1026041401135401,0.18422752962170763,0.2,30267.45717195659,0.9397118269095075,83385.94411492936,702.714346083288
AUS,q1,0.0729270729270729,0.5155466474380117,0.5553435585017609,0.2,18629.316797856944,0.4553905157950246,64574.5030609677,2317.7938756960552
