iso3,hazard,income_cat,rp,fa,recovery_rate,recovery_time,n,macro_multiplier_Gamma,v_ew
AGO,Earthquake,q1,10.0,0.0001334255785424027,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q1,25.0,0.000328683670491475,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q1,50.0,0.0006620620214767407,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q1,100.0,0.0013235542745105582,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q1,250.0,0.00330462226999697,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q1,500.0,0.00616232400873418,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q1,1000.0,0.009209857659429856,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q1,2500.0,0.01559225735474927,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q1,5000.0,0.023140326055540433,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Flood,q1,10.0,0.0006074365468771833,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Flood,q1,25.0,0.0012386773570191236,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Flood,q1,50.0,0.0017192246060619848,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Flood,q1,100.0,0.0019099992879742875,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Flood,q1,250.0,0.0020112752655148877,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Flood,q1,500.0,0.0021013534296565354,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Flood,q1,1000.0,0.0022095652320905184,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Flood,q1,2500.0,0.002378338888659691,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Flood,q1,5000.0,0.00253646559329067,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Earthquake,q2,10.0,0.0001779007713898703,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,25.0,0.0004382448939886333,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,50.0,0.0008827493619689876,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,100.0,0.0017647390326807442,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,250.0,0.004406163026662627,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,500.0,0.008216432011645574,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,1000.0,0.012279810212573142,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,2500.0,0.020789676472999025,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,5000.0,0.030853768074053912,0.1497866136776995,20.0,0.2,1.5332208995388774,0.7000000000000001
AGO,Flood,q2,10.0,0.0008075998762570409,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Flood,q2,25.0,0.0016468480294671883,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Flood,q2,50.0,0.0022857458713205258,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Flood,q2,100.0,0.002539384889745446,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Flood,q2,250.0,0.002674033467197828,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Flood,q2,500.0,0.0027937943123235403,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Flood,q2,1000.0,0.0029376642172617854,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
