iso3,income_cat,hazard,capital_t,sigma_h,delta_k_h_eff,productivity_pi,savings_s_h,delta_i_h_pds,eta,delta_tax_sp,discount_rate_rho,k_h_eff,delta_c_h_max,lambda_h_init,lambda_h,consumption_floor_xi,t_hat,t_tilde,delta_tilde_k_h_eff
ARG,q1,Earthquake,50,0.2827911119891578,6325.14199034331,0.3074152642375409,0.0,0,1.5,0,0.06,16327.304518839404,,0.2,1.1263182770396682,,0.0,0.0,6325.14199034331
ARG,q1,Flood,50,0.2827911119891578,9441.097333221509,0.3074152642375409,0.0,0,1.5,0,0.06,16327.304518839404,,0.2,0.6009432325670686,,0.0,0.0,9441.097333221509
ARG,q1,Storm surge,50,0.2827911119891578,9441.097333221509,0.3074152642375409,0.0,0,1.5,0,0.06,16327.304518839404,,0.2,0.6009432325670686,,0.0,0.0,9441.097333221509
ARG,q1,Tsunami,50,0.2827911119891578,9441.097333221509,0.3074152642375409,0.0,0,1.5,0,0.06,16327.304518839404,,0.2,0.6009432325670686,,0.0,0.0,9441.097333221509
ARG,q1,Wind,50,0.2827911119891578,6610.865235984741,0.3074152642375409,0.0,0,1.5,0,0.06,16327.304518839404,,0.2,1.060784242673949,,0.0,0.0,6610.865235984741
ARG,q2,Earthquake,50,0.2827911119891578,10404.034583650213,0.3074152642375409,0.0,0,1.5,0,0.06,35884.64134794593,,0.2,1.5652290464007645,,0.0,0.0,10404.034583650213
ARG,q2,Flood,50,0.2827911119891578,15529.375200178394,0.3074152642375409,0.0,0,1.5,0,0.06,35884.64134794593,,0.2,0.9706600235248863,,0.0,0.0,15529.375200178394
ARG,q2,Storm surge,50,0.2827911119891578,15529.375200178394,0.3074152642375409,0.0,0,1.5,0,0.06,35884.64134794593,,0.2,0.9706600235248863,,0.0,0.0,15529.375200178394
ARG,q2,Tsunami,50,0.2827911119891578,15529.375200178394,0.3074152642375409,0.0,0,1.5,0,0.06,35884.64134794593,,0.2,0.9706600235248863,,0.0,0.0,15529.375200178394
ARG,q2,Wind,50,0.2827911119891578,10874.01210092092,0.3074152642375409,0.0,0,1.5,0,0.06,35884.64134794593,,0.2,1.4962919104751105,,0.0,0.0,10874.01210092092
ARG,q3,Earthquake,50,0.2827911119891578,13942.68212343045,0.3074152642375409,0.0,0,1.5,0,0.06,55853.49837010965,,0.2,1.8214982559215438,,0.0,0.0,13942.68212343045
ARG,q3,Flood,50,0.2827911119891578,20811.267037869253,0.3074152642375409,0.0,0,1.5,0,0.06,55853.49837010965,,0.2,1.1808702491419876,,0.0,0.0,20811.267037869253
ARG,q3,Storm surge,50,0.2827911119891578,20811.267037869253,0.3074152642375409,0.0,0,1.5,0,0.06,55853.49837010965,,0.2,1.1808702491419876,,0.0,0.0,20811.267037869253
ARG,q3,Tsunami,50,0.2827911119891578,20811.267037869253,0.3074152642375409,0.0,0,1.5,0,0.06,55853.49837010965,,0.2,1.1808702491419876,,0.0,0.0,20811.267037869253
ARG,q3,Wind,50,0.2827911119891578,14572.50962696086,0.3074152642375409,0.0,0,1.5,0,0.06,55853.49837010965,,0.2,1.7221267868069732,,0.0,0.0,14572.50962696086
ARG,q4,Earthquake,50,0.2827911119891578,32770.79664427968,0.3074152642375409,0.0,0,1.5,0,0.06,82931.64260295765,,0.2,1.0977731786129838,,0.0,0.0,32770.79664427968
ARG,q4,Flood,50,0.2827911119891578,48914.677532647846,0.3074152642375409,0.0,0,1.5,0,0.06,82931.64260295765,,0.2,0.5780934800837398,,0.0,0.0,48914.677532647846
ARG,q4,Storm surge,50,0.2827911119891578,48914.677532647846,0.3074152642375409,0.0,0,1.5,0,0.06,82931.64260295765,,0.2,0.5780934800837398,,0.0,0.0,48914.677532647846
ARG,q4,Tsunami,50,0.2827911119891578,48914.677532647846,0.3074152642375409,0.0,0,1.5,0,0.06,82931.64260295765,,0.2,0.5780934800837398,,0.0,0.0,48914.677532647846
ARG,q4,Wind,50,0.2827911119891578,34251.13944033931,0.3074152642375409,0.0,0,1.5,0,0.06,82931.64260295765,,0.2,1.0267711211116795,,0.0,0.0,34251.13944033931
ARG,q5,Earthquake,50,0.2827911119891578,99996.96672642599,0.3074152642375409,0.0,0,1.5,0,0.06,174330.26602158422,,0.2,0.6080514435701576,,0.0,0.0,99996.96672642599
ARG,q5,Flood,50,0.2827911119891578,110436.21918129864,0.3074152642375409,0.0,0,1.5,0,0.06,174330.26602158422,,0.2,0.49311474190806326,,0.0,0.0,110436.21918129864
ARG,q5,Storm surge,50,0.2827911119891578,110436.21918129864,0.3074152642375409,0.0,0,1.5,0,0.06,174330.26602158422,,0.2,0.49311474190806326,,0.0,0.0,110436.21918129864
ARG,q5,Tsunami,50,0.2827911119891578,110436.21918129864,0.3074152642375409,0.0,0,1.5,0,0.06,174330.26602158422,,0.2,0.49311474190806326,,0.0,0.0,110436.21918129864
ARG,q5,Wind,50,0.2827911119891578,104514.09186464314,0.3074152642375409,0.0,0,1.5,0,0.06,174330.26602158422,,0.2,0.5587517044439505,,0.0,0.0,104514.09186464314
ARM,q1,Earthquake,50,0.2974580893125118,4167.089147580321,0.469678089191154,0.0,0,1.5,0,0.06,6235.714238620918,,0.2,0.6368414717079839,,0.0,0.0,4167.089147580321
ARM,q1,Flood,50,0.2974580893125118,4167.089147580321,0.469678089191154,0.0,0,1.5,0,0.06,6235.714238620918,,0.2,0.6368414717079839,,0.0,0.0,4167.089147580321
