iso3,income_cat,hazard,capital_t,sigma_h,delta_k_h_eff,productivity_pi,savings_s_h,delta_i_h_pds,eta,delta_tax_sp,discount_rate_rho,k_h_eff,delta_c_h_max,lambda_h,consumption_floor_xi,t_hat,t_tilde,delta_tilde_k_h_eff
ARG,q1,Earthquake,50,0.2827911119891578,6325.14199034331,0.3074152642375409,0.0,0,1.5,0,0.06,16327.304518839404,,1.1460195893907192,,0.0,0.0,6325.14199034331
ARG,q1,Flood,50,0.2827911119891578,9441.097333221509,0.3074152642375409,0.0,0,1.5,0,0.06,16327.304518839404,,0.5991469927123307,,0.0,0.0,9441.097333221509
ARG,q1,Storm surge,50,0.2827911119891578,9441.097333221509,0.3074152642375409,0.0,0,1.5,0,0.06,16327.304518839404,,0.5991469927123307,,0.0,0.0,9441.097333221509
ARG,q1,Tsunami,50,0.2827911119891578,9441.097333221509,0.3074152642375409,0.0,0,1.5,0,0.06,16327.304518839404,,0.5991469927123307,,0.0,0.0,9441.097333221509
ARG,q1,Wind,50,0.2827911119891578,6610.865235984741,0.3074152642375409,0.0,0,1.5,0,0.06,16327.304518839404,,1.0651658896130007,,0.0,0.0,6610.865235984741
ARG,q2,Earthquake,50,0.2827911119891578,10404.034583650213,0.3074152642375409,0.0,0,1.5,0,0.06,35884.64134794593,,1.597419203704301,,0.0,0.0,10404.034583650213
ARG,q2,Flood,50,0.2827911119891578,15529.375200178394,0.3074152642375409,0.0,0,1.5,0,0.06,35884.64134794593,,0.9499291514808803,,0.0,0.0,15529.375200178394
ARG,q2,Storm surge,50,0.2827911119891578,15529.375200178394,0.3074152642375409,0.0,0,1.5,0,0.06,35884.64134794593,,0.9499291514808803,,0.0,0.0,15529.375200178394
ARG,q2,Tsunami,50,0.2827911119891578,15529.375200178394,0.3074152642375409,0.0,0,1.5,0,0.06,35884.64134794593,,0.9499291514808803,,0.0,0.0,15529.375200178394
ARG,q2,Wind,50,0.2827911119891578,10874.01210092092,0.3074152642375409,0.0,0,1.5,0,0.06,35884.64134794593,,1.5001881446288023,,0.0,0.0,10874.01210092092
ARG,q3,Earthquake,50,0.2827911119891578,13942.68212343045,0.3074152642375409,0.0,0,1.5,0,0.06,55853.49837010965,,1.742762447431918,,0.0,0.0,13942.68212343045
ARG,q3,Flood,50,0.2827911119891578,20811.267037869253,0.3074152642375409,0.0,0,1.5,0,0.06,55853.49837010965,,1.2202860419385095,,0.0,0.0,20811.267037869253
ARG,q3,Storm surge,50,0.2827911119891578,20811.267037869253,0.3074152642375409,0.0,0,1.5,0,0.06,55853.49837010965,,1.2202860419385095,,0.0,0.0,20811.267037869253
ARG,q3,Tsunami,50,0.2827911119891578,20811.267037869253,0.3074152642375409,0.0,0,1.5,0,0.06,55853.49837010965,,1.2202860419385095,,0.0,0.0,20811.267037869253
ARG,q3,Wind,50,0.2827911119891578,14572.50962696086,0.3074152642375409,0.0,0,1.5,0,0.06,55853.49837010965,,1.8476795945015727,,0.0,0.0,14572.50962696086
ARG,q4,Earthquake,50,0.2827911119891578,32770.79664427968,0.3074152642375409,0.0,0,1.5,0,0.06,82931.64260295765,,1.1092929846529394,,0.0,0.0,32770.79664427968
ARG,q4,Flood,50,0.2827911119891578,48914.677532647846,0.3074152642375409,0.0,0,1.5,0,0.06,82931.64260295765,,0.5773151572901495,,0.0,0.0,48914.677532647846
ARG,q4,Storm surge,50,0.2827911119891578,48914.677532647846,0.3074152642375409,0.0,0,1.5,0,0.06,82931.64260295765,,0.5773151572901495,,0.0,0.0,48914.677532647846
ARG,q4,Tsunami,50,0.2827911119891578,48914.677532647846,0.3074152642375409,0.0,0,1.5,0,0.06,82931.64260295765,,0.5773151572901495,,0.0,0.0,48914.677532647846
ARG,q4,Wind,50,0.2827911119891578,34251.13944033931,0.3074152642375409,0.0,0,1.5,0,0.06,82931.64260295765,,1.0300266178993378,,0.0,0.0,34251.13944033931
ARG,q5,Earthquake,50,0.2827911119891578,99996.96672642599,0.3074152642375409,0.0,0,1.5,0,0.06,174330.26602158422,,0.592594588738599,,0.0,0.0,99996.96672642599
ARG,q5,Flood,50,0.2827911119891578,110436.21918129864,0.3074152642375409,0.0,0,1.5,0,0.06,174330.26602158422,,0.49290926870848906,,0.0,0.0,110436.21918129864
ARG,q5,Storm surge,50,0.2827911119891578,110436.21918129864,0.3074152642375409,0.0,0,1.5,0,0.06,174330.26602158422,,0.49290926870848906,,0.0,0.0,110436.21918129864
ARG,q5,Tsunami,50,0.2827911119891578,110436.21918129864,0.3074152642375409,0.0,0,1.5,0,0.06,174330.26602158422,,0.49290926870848906,,0.0,0.0,110436.21918129864
ARG,q5,Wind,50,0.2827911119891578,104514.09186464314,0.3074152642375409,0.0,0,1.5,0,0.06,174330.26602158422,,0.5582735538743213,,0.0,0.0,104514.09186464314
ARM,q1,Earthquake,50,0.2974580893125118,4167.089147580321,0.469678089191154,0.0,0,1.5,0,0.06,6235.714238620918,,0.6360465605925982,,0.0,0.0,4167.089147580321
ARM,q1,Flood,50,0.2974580893125118,4167.089147580321,0.469678089191154,0.0,0,1.5,0,0.06,6235.714238620918,,0.6360465605925982,,0.0,0.0,4167.089147580321
ARM,q1,Storm surge,50,0.2974580893125118,4167.089147580321,0.469678089191154,0.0,0,1.5,0,0.06,6235.714238620918,,0.6360465605925982,,0.0,0.0,4167.089147580321
ARM,q1,Tsunami,50,0.2974580893125118,4167.089147580321,0.469678089191154,0.0,0,1.5,0,0.06,6235.714238620918,,0.6360465605925982,,0.0,0.0,4167.089147580321
ARM,q1,Wind,50,0.2974580893125118,4167.089147580321,0.469678089191154,0.0,0,1.5,0,0.06,6235.714238620918,,0.6360465605925982,,0.0,0.0,4167.089147580321
ARM,q2,Earthquake,50,0.2974580893125118,12161.481490544997,0.469678089191154,0.0,0,1.5,0,0.06,18198.68032757378,,0.6350831805964348,,0.0,0.0,12161.481490544997
ARM,q2,Flood,50,0.2974580893125118,12161.481490544997,0.469678089191154,0.0,0,1.5,0,0.06,18198.68032757378,,0.6350831805964348,,0.0,0.0,12161.481490544997
ARM,q2,Storm surge,50,0.2974580893125118,12161.481490544997,0.469678089191154,0.0,0,1.5,0,0.06,18198.68032757378,,0.6350831805964348,,0.0,0.0,12161.481490544997
ARM,q2,Tsunami,50,0.2974580893125118,12161.481490544997,0.469678089191154,0.0,0,1.5,0,0.06,18198.68032757378,,0.6350831805964348,,0.0,0.0,12161.481490544997
