iso3,income_cat,hazard,capital_t,sigma_h,delta_k_h_eff,productivity_pi,savings_s_h,delta_i_h_pds,eta,delta_tax_sp,discount_rate_rho,k_h_eff,delta_c_h_max,lambda_h,consumption_floor_xi,t_hat,t_tilde,delta_tilde_k_h_eff
ARG,q1,Earthquake,50,0.2827911119891578,6325.14199034331,0.3074152642375409,827.4315236361774,0,1.5,0,0.06,16327.304518839404,,3.9000000000324997,0.2814282525310547,0.3250968562650966,0.0,6325.14199034331
ARG,q1,Flood,50,0.2827911119891578,9441.097333221509,0.3074152642375409,827.4315236361774,0,1.5,0,0.06,16327.304518839404,,1.7161417800649976,0.45117873120461666,0.4637680449495428,0.0,9441.097333221509
ARG,q1,Storm surge,50,0.2827911119891578,9441.097333221509,0.3074152642375409,827.4315236361774,0,1.5,0,0.06,16327.304518839404,,1.7161417800649976,0.45117873120461666,0.4637680449495428,0.0,9441.097333221509
ARG,q1,Tsunami,50,0.2827911119891578,9441.097333221509,0.3074152642375409,827.4315236361774,0,1.5,0,0.06,16327.304518839404,,1.7161417800649976,0.45117873120461666,0.4637680449495428,0.0,9441.097333221509
ARG,q1,Wind,50,0.2827911119891578,6610.865235984741,0.3074152642375409,827.4315236361774,0,1.5,0,0.06,16327.304518839404,,3.5100000000389997,0.300725754677827,0.3423238015851098,0.0,6610.865235984741
ARG,q2,Earthquake,50,0.2827911119891578,10404.034583650213,0.3074152642375409,1023.9281376001819,0,1.5,0,0.06,35884.64134794593,,3.7012500000411244,0.3631422602273812,0.2736806808582255,0.0,10404.034583650213
ARG,q2,Flood,50,0.2827911119891578,15529.375200178394,0.3074152642375409,1023.9281376001819,0,1.5,0,0.06,35884.64134794593,,1.943945189319079,0.5056591486543003,0.35077761435094407,0.0,15529.375200178394
ARG,q2,Storm surge,50,0.2827911119891578,15529.375200178394,0.3074152642375409,1023.9281376001819,0,1.5,0,0.06,35884.64134794593,,1.943945189319079,0.5056591486543003,0.35077761435094407,0.0,15529.375200178394
ARG,q2,Tsunami,50,0.2827911119891578,15529.375200178394,0.3074152642375409,1023.9281376001819,0,1.5,0,0.06,35884.64134794593,,1.943945189319079,0.5056591486543003,0.35077761435094407,0.0,15529.375200178394
ARG,q2,Wind,50,0.2827911119891578,10874.01210092092,0.3074152642375409,1023.9281376001819,0,1.5,0,0.06,35884.64134794593,,3.4650000000384997,0.37882274302495716,0.28014051364996234,0.0,10874.01210092092
ARG,q3,Earthquake,50,0.2827911119891578,13942.68212343045,0.3074152642375409,998.7549150721997,0,1.5,0,0.06,55853.49837010965,,3.365000000049073,0.4490186955270135,0.23794673222890142,0.0,13942.68212343045
ARG,q3,Flood,50,0.2827911119891578,20811.267037869253,0.3074152642375409,998.7549150721997,0,1.5,0,0.06,55853.49837010965,,1.9409994208305603,0.5714462201940278,0.28829730553622107,0.0,20811.267037869253
ARG,q3,Storm surge,50,0.2827911119891578,20811.267037869253,0.3074152642375409,998.7549150721997,0,1.5,0,0.06,55853.49837010965,,1.9409994208305603,0.5714462201940278,0.28829730553622107,0.0,20811.267037869253
ARG,q3,Tsunami,50,0.2827911119891578,20811.267037869253,0.3074152642375409,998.7549150721997,0,1.5,0,0.06,55853.49837010965,,1.9409994208305603,0.5714462201940278,0.28829730553622107,0.0,20811.267037869253
ARG,q3,Wind,50,0.2827911119891578,14572.50962696086,0.3074152642375409,998.7549150721997,0,1.5,0,0.06,55853.49837010965,,3.165000000046156,0.46310259498959316,0.24322485370648486,0.0,14572.50962696086
ARG,q4,Earthquake,50,0.2827911119891578,32770.79664427968,0.3074152642375409,1108.1670372536814,0,1.5,0,0.06,82931.64260295765,,1.604751767960547,0.6470067145716943,0.27131835291861217,0.0,32770.79664427968
ARG,q4,Flood,50,0.2827911119891578,48914.677532647846,0.3074152642375409,1108.1670372536814,0,1.5,0,0.06,82931.64260295765,,0.8480796017473291,0.7469941156393538,0.3439511699171151,0.0,48914.677532647846
ARG,q4,Storm surge,50,0.2827911119891578,48914.677532647846,0.3074152642375409,1108.1670372536814,0,1.5,0,0.06,82931.64260295765,,0.8480796017473291,0.7469941156393538,0.3439511699171151,0.0,48914.677532647846
ARG,q4,Tsunami,50,0.2827911119891578,48914.677532647846,0.3074152642375409,1108.1670372536814,0,1.5,0,0.06,82931.64260295765,,0.8480796017473291,0.7469941156393538,0.3439511699171151,0.0,48914.677532647846
ARG,q4,Wind,50,0.2827911119891578,34251.13944033931,0.3074152642375409,1108.1670372536814,0,1.5,0,0.06,82931.64260295765,,1.5127913041303918,0.6580519742487049,0.2766220042472161,0.0,34251.13944033931
ARG,q5,Earthquake,50,0.2827911119891578,99996.96672642599,0.3074152642375409,1049.0632285238291,0,1.5,0,0.06,174330.26602158422,,0.7565377454782458,0.8306621403539295,0.24523844035380954,0.0,99996.96672642599
ARG,q5,Flood,50,0.2827911119891578,110436.21918129864,0.3074152642375409,1049.0632285238291,0,1.5,0,0.06,174330.26602158422,,0.6157338143835281,0.8482415800456076,0.2673067448747727,0.0,110436.21918129864
ARG,q5,Storm surge,50,0.2827911119891578,110436.21918129864,0.3074152642375409,1049.0632285238291,0,1.5,0,0.06,174330.26602158422,,0.6157338143835281,0.8482415800456076,0.2673067448747727,0.0,110436.21918129864
ARG,q5,Tsunami,50,0.2827911119891578,110436.21918129864,0.3074152642375409,1049.0632285238291,0,1.5,0,0.06,174330.26602158422,,0.6157338143835281,0.8482415800456076,0.2673067448747727,0.0,110436.21918129864
ARG,q5,Wind,50,0.2827911119891578,104514.09186464314,0.3074152642375409,1049.0632285238291,0,1.5,0,0.06,174330.26602158422,,0.6900529682121577,0.8386342164745612,0.2550248332853893,0.0,104514.09186464314
ARM,q1,Earthquake,50,0.2974580893125118,4167.089147580321,0.469678089191154,534.7897655489991,0,1.5,0,0.06,6235.714238620918,,3.0050000000438226,0.34974410398660866,0.3496018380556234,0.0,4167.089147580321
ARM,q1,Flood,50,0.2974580893125118,4167.089147580321,0.469678089191154,534.7897655489991,0,1.5,0,0.06,6235.714238620918,,3.0050000000438226,0.34974410398660866,0.3496018380556234,0.0,4167.089147580321
ARM,q1,Storm surge,50,0.2974580893125118,4167.089147580321,0.469678089191154,534.7897655489991,0,1.5,0,0.06,6235.714238620918,,3.0050000000438226,0.34974410398660866,0.3496018380556234,0.0,4167.089147580321
