iso3,income_cat,hazard,capital_t,sigma_h,delta_k_h_eff,productivity_pi,savings_s_h,delta_i_h_pds,eta,delta_tax_sp,discount_rate_rho,k_h_eff,delta_c_h_max,lambda_h,consumption_floor_xi,t_hat,t_tilde,delta_tilde_k_h_eff
ARG,q1,Earthquake,50,0.2827911119891578,6325.14199034331,0.3074152642375409,0.0,0,1.5,0,0.06,16327.304518839404,,1.1245317220896431,,0.0,0.0,6325.14199034331
ARG,q1,Flood,50,0.2827911119891578,9441.097333221509,0.3074152642375409,0.0,0,1.5,0,0.06,16327.304518839404,,0.6032631729068394,,0.0,0.0,9441.097333221509
ARG,q1,Storm surge,50,0.2827911119891578,9441.097333221509,0.3074152642375409,0.0,0,1.5,0,0.06,16327.304518839404,,0.6032631729068394,,0.0,0.0,9441.097333221509
ARG,q1,Tsunami,50,0.2827911119891578,9441.097333221509,0.3074152642375409,0.0,0,1.5,0,0.06,16327.304518839404,,0.6032631729068394,,0.0,0.0,9441.097333221509
ARG,q1,Wind,50,0.2827911119891578,6610.865235984741,0.3074152642375409,0.0,0,1.5,0,0.06,16327.304518839404,,1.0651658896130007,,0.0,0.0,6610.865235984741
ARG,q2,Earthquake,50,0.2827911119891578,10404.034583650213,0.3074152642375409,0.0,0,1.5,0,0.06,35884.64134794593,,1.567467593634845,,0.0,0.0,10404.034583650213
ARG,q2,Flood,50,0.2827911119891578,15529.375200178394,0.3074152642375409,0.0,0,1.5,0,0.06,35884.64134794593,,0.9736773802679024,,0.0,0.0,15529.375200178394
ARG,q2,Storm surge,50,0.2827911119891578,15529.375200178394,0.3074152642375409,0.0,0,1.5,0,0.06,35884.64134794593,,0.9736773802679024,,0.0,0.0,15529.375200178394
ARG,q2,Tsunami,50,0.2827911119891578,15529.375200178394,0.3074152642375409,0.0,0,1.5,0,0.06,35884.64134794593,,0.9736773802679024,,0.0,0.0,15529.375200178394
ARG,q2,Wind,50,0.2827911119891578,10874.01210092092,0.3074152642375409,0.0,0,1.5,0,0.06,35884.64134794593,,1.5001881446288023,,0.0,0.0,10874.01210092092
