iso3,_dw_tot_curr
DZA,1535001252.3612816
ATG,113689037.0426644
ARG,5336050039.177829
ARM,323334766.61591244
AUS,4223390288.540012
AUT,2212549485.8658547
BGD,20399220513.35105
BLR,1299736984.7324607
BEN,67397597.0720305
BTN,386044336.98417675
BOL,469274962.2771749
BWA,115922340.97650626
BRA,15813857660.682392
BGR,883795431.5664337
BFA,15655758.081279404
BDI,37062713.85700117
CMR,279970698.8329095
CAN,2676457622.7908506
CHL,8972831820.844408
CHN,174088885717.68533
COL,5619606194.768228
COM,16125758.634055845
COD,683793086.199113
CRI,471214450.0146579
CIV,125759380.01601376
HRV,1364332372.7603805
DNK,139294968.70698783
DOM,2041510560.3442671
ECU,5710084862.069188
EGY,1564606334.7277806
SLV,550241466.9053355
SWZ,33224569.47692054
ETH,337969428.26715165
FJI,294388966.828039
FIN,70578153.22437349
FRA,348582282576.6102
GAB,124302713.17579922
GMB,3824748.0187619384
GEO,763032051.9579647
DEU,8093763175.022147
GHA,116689484.00024216
GRC,7596309638.194653
GTM,2206181656.17566
GIN,61086853.522231475
GNB,2661920.364611107
HTI,2107417746.8002253
HND,2035113921.6243656
HUN,2973974650.8461466
IND,69675146950.8618
IDN,46000759963.802864
IRN,28871775459.197815
IRQ,2108583305.1207213
ITA,21966021027.317215
JAM,666593891.2594105
JPN,23600498190.61207
JOR,301217525.43735534
KAZ,2665405908.198195
KEN,438825096.90208536
KOR,22442414762.26068
KGZ,317455855.04347616
LAO,1546767286.3410618
LBN,694117409.7244928
LSO,35376841.840471335
MDG,138603799.12390953
MWI,69178832.73863995
MYS,7355780748.418736
MLI,74994870.86301881
MHL,148772.52072101098
MRT,60102581.59391903
MUS,173138220.651796
MEX,20275743695.46173
FSM,3971911.7611704497
MDA,297349075.21694154
MNG,157189603.22881275
MAR,1276345386.897741
MOZ,134169339.80157554
MMR,4201525106.510577
NAM,62309329.00585094
NPL,1207408082.2326646
NLD,14831605548.356522
NIC,423454010.9640449
NER,119880703.35167871
NGA,1635578909.1237185
NOR,118910304.83225621
PAK,7976572598.261218
PAN,918602266.2384436
PNG,410722210.364919
PRY,842604306.1400058
PER,4142230947.374569
PHL,11549016689.100378
POL,2575734461.16352
PRT,946151024.5193864
ROU,5324186760.190258
RWA,129660274.63729192
SEN,30850136.234719597
SRB,2556596387.1157246
SYC,23383727.871749073
SLE,14829181.156706702
SVK,1075295420.4530373
SVN,628891781.0716887
SLB,34150844.13992251
ZAF,3068877379.2090735
ESP,4607823869.223149
LKA,1255353589.4470918
LCA,55703398.280483015
SDN,2122305493.6499815
SWE,344903629.38900125
CHE,1478627213.744874
TJK,1394423050.862543
TZA,598214079.8621415
THA,15796980336.506245
TLS,58791007.50018571
TGO,15781903.653705291
TON,8554751.884256441
TTO,244691169.50247118
TUN,321211088.3796485
TUR,36313214871.45248
UGA,242094689.86777604
ARE,2648058963.3275466
GBR,102906373619.67686
USA,48230371977.029144
URY,244925024.22203672
VUT,118798998.98330405
PSE,67256693.0282097
ZMB,287624249.50143546
ZWE,55363626.09675532
SYR,771663562.7890215
