iso3,gdp_pc_pp,pop,share1,urbanization_rate,prepare_scaleup,borrowing_ability,avg_prod_k,tau_tax,rho,max_increased_spending,shareable,income_elasticity,T_rebuild_K,protection,macro_multiplier_Gamma,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dc,dc_npv_post,dc_npv_pre,fa,gamma_SP,help_fee,help_needed,help_received,k,n,social,v,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
DZA,11198.2334828027,44903225.0,0.094,0.74772,0.8,0.5,0.2199790705924086,0.1683973859887891,0.06,0.05,0.8,1.5,3.0,1.0,1.151126471136726,6.136059463845522,23.58633978788893,4.2396839410925587e-07,1059102722.4220289,19.03754819357659,0.010947600000000002,3359.4700448408103,23.586339787888935,27.15086008706434,27.15086008706434,0.001504925738134108,0.06000000000000001,6.136059463845522,18.075287383234585,6.136059463845522,15271.771245299293,0.20186509220922302,0.010652175027580743,0.10725190973632637,34.184654940959845,1535001252.3612816,0.003052682817647779,0.6899686373498514,0.002106255403953743
ATG,22321.870019340204,93763.0,0.0103,0.24346,0.6666666666666667,0.4166666666666667,0.1595720466576362,0.1543149070134991,0.06,0.05,0.8,1.5,3.0,1.0,1.0940621293742163,8.679120747146776,614.0873519128513,5.344263096229285e-06,57578672.377404675,0.5010941406917464,0.00918,6696.561005802061,614.0873519128514,671.849715855548,671.849715855548,0.021277756258431813,0.06,8.679120747146776,31.244834689728382,8.679120747146776,41965.75243638763,0.17534099712558052,0.010752297598342462,0.0679970750342855,1212.5149263852948,113689037.0426644,0.05431959443069701,0.5064575606863218,0.027510569292841118
ARG,18087.19626168224,46234830.0,0.051,0.92347,0.7333333333333333,0.4083333333333333,0.3074152642375409,0.2211438829074708,0.06,0.05,0.8,1.5,3.0,1.0,1.2337242968790845,9.154724581163268,59.53960674360429,6.972995672666003e-07,2752803596.057398,32.239526951644834,0.0052320000000000005,3617.439252336448,59.53960674360429,73.4554594662104,73.4554594662104,0.004222511773669556,0.04,9.154724581163267,30.97494633226472,9.154724581163268,11767.272719227238,0.12985227614303932,0.009419351098513686,0.06316014198675786,115.41191000762474,5336050039.177829,0.006380862370146616,0.5158878900771227,0.0032918096250074457
ARM,16057.006457271404,2780469.0,0.094,0.63573,0.4,0.425,0.469678089191154,0.4264454494583586,0.06,0.05,0.8,1.5,3.0,1.0,1.387008148579867,4.937869220642982,75.7691330097434,8.399600602802875e-07,210673725.49046826,2.335482908847471,0.0025272000000000003,3211.40129145428,75.7691330097434,105.09240489534591,105.09240489534591,0.005832666218590379,0.04,4.937869220642982,29.654103375562215,4.937869220642982,6837.451789553834,0.12673072997073861,0.018223705515257975,0.08588430020803142,116.28785165952665,323334766.61591244,0.007242187512907537,0.6515653348862617,0.004718758332156702
AUS,51090.26332782139,26005540.0,0.073,0.86488,0.8,0.9166666666666669,0.2309980310138752,0.3102808199999999,0.06,0.05,0.8,1.5,3.0,1.0,1.1615356865292457,41.264985624251736,125.4728774309761,2.0662848342320344e-07,3262989932.9463463,5.3734852908014545,0.07312400000000001,25545.131663910695,125.4728774309761,145.74122482758872,145.74122482758872,0.002686714312769265,0.1,41.26498562425175,56.27043494216145,41.264985624251736,110585.92816480019,0.3360942470278284,0.0362648,0.1464287942050652,162.40348358619016,4223390288.540012,0.003178756048762676,0.7725996675704656,0.00245590586656165
AUT,55867.18380720709,9041851.0,0.079,0.59256,0.8,0.8916666666666666,0.1818653202247265,0.5492640703700001,0.06,0.05,0.8,1.5,3.0,1.0,1.1151217826888908,89.91045829480078,204.98702263306916,2.722159687320092e-07,1853462115.5818386,2.461336229095486,0.0265616,11173.436761441417,204.98702263306913,228.5854941066761,228.5854941066761,0.0026819320577116685,0.039999999999999994,89.91045829480078,146.4214742760115,89.91045829480076,61437.97370292849,0.13225143060194988,0.022510910240000005,0.06296711563912501,244.70094517879744,2212549485.8658547,0.004380047972764112,0.8377042535871277,0.0036691848177001726
BGD,6263.004635115842,171186372.0,0.086,0.3971099999999999,0.7333333333333333,0.6166666666666667,0.2770114487863902,0.0516407136367847,0.06,0.05,0.8,1.5,3.0,1.0,1.2050029065046446,15.72805005581318,83.36109189335521,3.533425851444226e-06,14270282887.182087,604.874352239748,0.0066500000000000005,3131.502317557921,83.36109189335521,100.45035802089377,100.45035802089377,0.007481407767326134,0.1,15.728050055813181,40.3434876859395,15.72805005581318,11304.595283975767,0.329280340562152,0.005240953122054873,0.25936099111080857,119.16381120192823,20399220513.35105,0.019026620311566184,0.6995504008519519,0.013310079865814013
BLR,19092.111174022295,9228071.0,0.103,0.80326,0.7333333333333333,0.5583333333333333,0.3634728967331161,0.4905863577253465,0.06,0.05,0.8,1.5,3.0,1.0,1.2866799250619734,33.08871790746042,96.42917414901848,7.84667087488771e-07,889855265.5185071,7.24096359470959,0.010041600000000001,3818.422234804459,96.4291741490185,124.07348256784708,124.07348256784708,0.00812364209610857,0.04,33.08871790746042,87.30125743379554,33.08871790746041,10505.383672687365,0.1246891822709856,0.02024054458177017,0.05812617612712032,140.84601047526192,1299736984.7324607,0.007377183654100245,0.6846425668972373,0.005050733953415533
BEN,3435.171616575899,13352864.0,0.07,0.49534,0.6666666666666667,0.25,0.4570694328380306,0.0899406747896516,0.06,0.05,0.8,1.5,3.0,1.0,1.3750972046459695,0.15241121535435379,2.510936753605599,3.6844780549332763e-07,33528196.98349707,4.9198334378508575,0.0020416,687.03432331518,2.510936753605599,3.452782110925884,3.452782110925884,0.0006189401455780264,0.04,0.15241121535435379,0.9144672921261225,0.15241121535435379,1503.1290083199258,0.13513367848897062,0.0035834645531922686,0.1240305673731443,5.047426310342897,67397597.0720305,0.001469337452017625,0.4974687294513505,0.0007309494353904926
BTN,11595.683107513998,782455.0,0.088,0.43686,0.6,0.4166666666666667,0.15485283162287,0.0708712635738025,0.06,0.05,0.8,1.5,3.0,1.0,1.089604056751975,30.086950306466527,232.9863780157982,5.806773420374202e-06,182301356.41035137,4.543538896638896,0.0099056,2319.1366215028,232.9863780157982,253.86290265396286,253.86290265396286,0.02120486087281872,0.040000000000000015,30.086950306466523,360.95652944592626,30.086950306466527,14976.391436940892,0.1082820720134601,0.002764435711900301,0.04200403019133389,493.37576855432803,386044336.98417675,0.0425482279896577,0.4722290652791615,0.02009250993284071
