country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,103.40865720599484,297413742.39881897,1.8308795764991677e-06,5.265794580848833,0.0,0.0346414884752,22854.6508448,103.40865720599483,115.64681270623619,115.64681270623619,103.40865720599484,1.8308795764991677e-06,0.004432543009474081,0.4024,0.0,62.0475123250817,0.0,123351.96765895005,1.359240770574371,0.0,0.07717665888431997,0.8474543999999996,0.8474543999999996,150.82400911801543,433785083.44833326,0.013277731014407127,0.6856246416648464,0.009103539568875104
Algeria,13921.18002,13974.66622,40606052,0.094,0.71304,3843.752322,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1.0,0.14544458210878922,1.216243465076183,49.96781851598887,2028995836.9868069,7.979655055061148e-07,32.402228810787584,26.134209294767977,0.061239026704,28009.414200239997,49.96781851598886,60.77303273418415,60.773032734184156,49.96781851598887,7.979655055061148e-07,0.0076672763553617025,0.4023999999999999,26.134209294767977,66.5628431017347,26.134209294767974,96948.42872012849,1.3569343954790383,0.6072000000000001,0.06288010905537485,0.38243790176000003,0.35935477114880005,89.18518806928523,3621458384.371176,0.0064064388177695036,0.5602703722188757,0.0035893378610291735
Angola,5984.640421999999,6024.726138,28813463,0.054,0.44819,3110.808183,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.4323973905251145,1.0,0.1273585357336769,1.351790414097182,8.461960369084162,243818382.00207287,8.344200514298407e-07,24.04253127833181,0.0,0.074732247168,12041.096529063998,8.461960369084162,11.438796911398223,11.438796911398223,8.461960369084162,8.344200514298407e-07,0.0014286246683547507,0.4024,0.0,2.8738580346840323,0.0,27847.292312381862,1.3658353431710732,0.0,0.05233148935759813,1.2474399999999999,1.2474399999999999,26.285411343265142,757373727.1789504,0.004392145474043511,0.32192611553907785,0.0014139463313413692
Antigua and Barbuda,21013.017630000002,20777.613080000003,100963,0.0103,0.23393,14353.37881,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,0.4005106416086055,1.0,0.1390149070134991,1.3216681498414256,790.2627447625994,79787297.49946631,8.940793779230723e-06,0.9026893623324717,10.563357892217041,0.12239999999999998,84052.07052000001,790.2627447625994,1044.4650997589913,1044.4650997589913,790.2627447625994,8.940793779230723e-06,0.05465083408879792,0.8,10.563357892217041,38.028088411981344,10.563357892217041,209862.26528816915,2.6584143722134863,1.2000000000000002,0.1311239679778994,0.9439571109442394,0.8871606459462302,1853.4294836612166,187127800.95888743,0.08820387039580171,0.4263786411779394,0.03760824640599701
Argentina,18489.434889999997,10405.0,43847430,0.05,0.91893,12449.21685,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4,0.2695495148851759,1.0,0.1541967379,1.1979538860660952,77.29652154834497,3389253817.834548,7.262552662789822e-07,31.84442695029903,7.2741656538253565,0.0204221235296,37200.74299867999,77.29652154834497,92.59766836823154,92.59766836823152,77.29652154834497,7.262552662789822e-07,0.002923800127977448,0.4024,7.274165653825356,24.798292001677353,7.2741656538253565,138010.79558435472,1.3636974374995399,0.8096000000000001,0.06503855253184002,0.9212798910799999,0.8471379229071998,124.22191213786118,5446811596.931019,0.006718534821475076,0.6222454655388131,0.004180577827727485
Armenia,8190.239288999999,8174.366731999999,2924816,0.079,0.62558,3606.152057,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.3524222720091,1.289724411382942,50.132858209507916,146629385.8169001,1.3896931554701461e-06,4.064596776209571,1.3816225053712634,0.008422819423519998,16478.761449468,50.132858209507916,64.6575710452021,64.6575710452021,50.132858209507916,1.3896931554701461e-06,0.009598796525789854,0.4024,1.3816225053712634,8.127191208066254,1.3816225053712634,44938.5157660539,1.3519199992398552,0.40480000000000005,0.161991479798992,0.503,0.48275999999999997,70.08927237958093,204998225.28415638,0.008557658684492306,0.715271488880702,0.006121049268589682
Australia,44260.57597,44414.029480000005,24127159,0.073,0.89554,49927.81951,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.2736023908600951,1.0,0.22769110058,1.201782492156731,86.98916553868983,2098801428.2292902,1.7748388596861509e-07,4.282181936702645,12.20241477342452,0.6593659199999999,221302.87985000003,86.98916553868985,104.54205615172111,104.54205615172111,86.98916553868983,1.7748388596861509e-07,0.0012493967404791323,1.0,12.20241477342452,16.63965650921525,12.20241477342452,808848.4868656059,3.398163378543824,4.0,0.28233659200000005,2.8543999999999996,2.397696,112.50054366115728,2714318504.4991837,0.0025417776699835676,0.7732332903269722,0.0019653871110410187
Austria,44438.724819999974,44143.70016,8747358,0.079,0.66032,44176.51522,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729,1.0,0.4837075333,1.1627453167024924,95.77496009573058,837777863.3930696,1.8403737229107284e-07,1.6098407808092943,38.3370610416852,0.25965026593599994,89410.71433783992,95.77496009573056,111.3618863086788,111.3618863086788,95.77496009573058,1.8403737229107284e-07,0.0021485720374137826,0.4023999999999999,38.3370610416852,54.85035802698576,38.3370610416852,384928.8992710382,1.3650637055143084,1.012,0.19898284440799996,0.6148671999999998,0.5530137599999998,117.31502353465264,1026196509.636032,0.002639927765925771,0.8163912618356205,0.0021552139599790307
Azerbaijan,16001.323400000001,15994.00974,9762274,0.084,0.54895,3876.936433,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.2375,0.5982212831852317,1.0,0.43154867302399996,1.5084382783151649,36.819168398167186,359438810.3550492,4.328371441197877e-07,4.225474798274857,0.0,0.022996878320000004,32194.662680800007,36.81916839816719,55.539442987527444,55.539442987527444,36.819168398167186,4.328371441197877e-07,0.005775232632964118,0.4024,0.0,3.873215931980181,0.0,53817.31407043792,1.3566647868817676,0.0,0.19555970374207998,0.503,0.503,59.612391466972035,581952499.295843,0.0037254663240524235,0.6176428673989144,0.002301007702785832
Bangladesh,3319.353556000001,3319.353556,162951560,0.086,0.35035,1358.779752,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.14815265559799992,1.2169977389506987,58.16358243007391,9477846492.169134,6.405184474001097e-06,1043.7348021262583,14.38828510301955,0.08737927799999999,16596.767780000006,58.16358243007391,70.78494830667253,70.78494830667253,58.16358243007391,6.405184474001097e-06,0.013575027444594285,1.0000000000000002,14.38828510301955,34.54719501396791,14.38828510301955,57287.7372535001,3.380081932383769,3.2,0.13804606459999993,2.3566042902633693,2.054958941109658,83.34576619913214,13581322621.543854,0.025109035477247642,0.6978588725323825,0.017522563188527632
