country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,1,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.18394331291099994,1.0409983515622998,103.40865720599484,297413742.39881897,1.3531177809998914e-06,3.8917034030515687,58.93683994414792,0.0346414884752,22854.6508448,103.40865720599483,107.64824168871155,107.64824168871155,103.40865720599484,1.3531177809998914e-06,0.004432543009474081,0.4024,58.936839944147906,62.04751232508171,58.93683994414792,123351.96765895006,1.362204948310851,0.0,0.07717665888431997,0.8474543999999996,0.8474543999999996,111.46699715199384,320590341.97584665,0.009812952286726311,0.9277064947303566,0.009103539568875102
Algeria,13921.18002,13974.66622,40606052,0.094,0.71304,3843.752322,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2889104503291931,1.0,0.14544458210878922,1.0749118148570513,49.96781851598887,2028995836.9868069,5.853701893563209e-07,23.769572348252616,64.72647161104493,0.061239026704,28009.41420024,49.96781851598887,53.71099848546936,53.71099848546937,49.96781851598887,5.853701893563209e-07,0.0076672763553617025,0.4024,64.72647161104493,66.5628431017347,64.72647161104493,96948.4287201285,1.3579728164071247,0.6072000000000001,0.06288010905537485,0.38243790176000003,0.35935477114880005,65.4243198078899,2656623332.1838074,0.004699624580236547,0.7637499123065082,0.003589337861029173
Angola,5984.640421999999,6024.726138,28813463,0.054,0.44819,3110.808183,1,0.2,1.5,0.06,0.8,0.05,1,1,0.4323973905251145,1.0,0.1273585357336769,1.1218684613662162,8.461960369084162,243818382.00207287,3.5914486191412826e-07,10.348207190402846,2.8738580346840323,0.074732247168,12041.096529063998,8.461960369084162,9.493206459406348,9.493206459406348,8.461960369084162,3.5914486191412826e-07,0.0014286246683547505,0.4024,2.8738580346840323,2.8738580346840323,2.873858034684032,27847.292312381862,1.366802776741244,0.0,0.05233148935759813,1.2474399999999999,1.2474399999999999,11.313570917976401,325983157.0429891,0.0018904345324385478,0.7479477903513869,0.0014139463313413692
Antigua and Barbuda,21013.017630000002,20777.613080000003,100963,0.0103,0.23393,14353.37881,1,0.2,1.5,0.06,0.8,0.05,1,1,0.4005106416086055,1.0,0.1390149070134991,1.1114334015959364,790.2627447625994,79787297.49946633,5.245062191982987e-06,0.5295572140891783,34.90199477209292,0.12239999999999998,84052.07052000001,790.2627447625993,878.324410566037,878.324410566037,790.2627447625994,5.245062191982987e-06,0.05465083408879792,0.8,34.90199477209292,38.028088411981344,34.90199477209292,209862.26528816915,2.6694166980909686,1.2000000000000002,0.1311239679778994,0.9439571109442394,0.8871606459462302,1087.3031131576367,109777384.21373448,0.05174426311836853,0.7268099715704828,0.03760824640599701
Argentina,18489.434889999997,10405.0,43847430,0.05,0.91893,12449.21685,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2695495148851759,1.0,0.1541967379,1.068575875150691,77.29652154834497,3389253817.834548,4.948335034178812e-07,21.697177402770308,24.79829200167735,0.0204221235296,37200.74299867999,77.29652154834497,82.59719815962698,82.59719815962698,77.29652154834497,4.948335034178812e-07,0.002923800127977448,0.4024,24.79829200167735,24.79829200167735,24.79829200167735,138010.79558435472,1.3642268602700722,0.8096000000000001,0.06503855253184002,0.9212798910799997,0.8471379229071998,84.63851050524902,3711181164.683171,0.004577668869210585,0.9132547475956737,0.004180577827727486
Armenia,8190.239288999999,8174.366731999999,2924816,0.079,0.62558,3606.152057,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3666957212217474,1.0,0.3524222720091,1.1003673403838623,50.13285820950792,146629385.81690013,1.1045382307902743e-06,3.230571090027087,8.118301998211981,0.00842281942352,16478.761449468,50.13285820950793,55.16455985383752,55.16455985383752,50.13285820950792,1.1045382307902743e-06,0.009598796525789854,0.4024,8.11830199821198,8.127191208066256,8.118301998211981,44938.5157660539,1.3557237524472332,0.40480000000000005,0.161991479798992,0.503,0.48275999999999997,55.70746362734247,162934080.9366693,0.006801689384357922,0.8999307264260654,0.0061210492685896825
Australia,44260.57597,44414.029480000005,24127159,0.073,0.89554,49927.81951,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2736023908600951,1.0,0.22769110058,1.0699021942166627,86.98916553868983,2098801428.2292902,1.5028095611873765e-07,3.625852522948807,16.63965650921525,0.6593659199999998,221302.87985,86.98916553868983,93.06989908292074,93.06989908292076,86.98916553868983,1.5028095611873765e-07,0.0012493967404791325,1.0,16.63965650921525,16.63965650921525,16.63965650921525,808848.4868656059,3.398333130138809,4.0,0.28233659200000005,2.8543999999999996,2.397696,95.25760140425457,2298295295.0390735,0.0021521997695832192,0.9131992014949535,0.0019653871110410187
Austria,44438.724819999974,44143.70016,8747358,0.079,0.66032,44176.51522,1,0.2,1.5,0.06,0.8,0.05,1,1,0.23227851820729,1.0,0.4837075333,1.0563787998373693,95.77496009573056,837777863.3930696,1.5355833833361829e-07,1.3432297592892826,52.770389521378505,0.25965026593599994,89410.71433783992,95.77496009573056,101.17463740039979,101.1746374003998,95.77496009573056,1.5355833833361829e-07,0.0021485720374137826,0.4024,52.770389521378505,54.85035802698576,52.77038952137851,384928.8992710382,1.3653540282154122,1.012,0.198982844408,0.6148671999999998,0.5530137599999999,97.88609699913883,856244733.674193,0.0022027206540158072,0.9784327195778697,0.00215521395997903
Azerbaijan,16001.323400000001,15994.00974,9762274,0.084,0.54895,3876.936433,1,0.2,1.5,0.06,0.8,0.05,1,1,0.5982212831852317,1.0,0.43154867302399996,1.176134960462112,36.819168398167186,359438810.3550492,3.219330995838475e-07,3.1427991278068053,3.873215931980181,0.022996878320000004,32194.662680800004,36.81916839816719,43.30431116822622,43.30431116822622,36.819168398167186,3.219330995838475e-07,0.005775232632964117,0.4024,3.8732159319801807,3.873215931980181,3.873215931980181,53817.31407043792,1.3605005843360507,0.0,0.19555970374207998,0.503,0.503,44.33815863376283,432841253.2382584,0.002770905726070309,0.8304171741162465,0.0023010077027858324
Bangladesh,3319.353556000001,3319.353556,162951560,0.086,0.35035,1358.779752,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2897089076246591,1.0,0.14815265559799992,1.0751731130415736,58.16358243007391,9477846492.169134,5.072301790373695e-06,826.5394895321866,30.189230183746094,0.08737927799999999,16596.767780000006,58.16358243007391,62.53591998699274,62.53591998699274,58.16358243007391,5.072301790373695e-06,0.013575027444594285,1.0000000000000002,30.189230183746098,34.54719501396791,30.189230183746094,57287.7372535001,3.3825088553500873,3.2,0.13804606459999993,2.3566042902633693,2.054958941109658,66.00198336642832,10755126152.653545,0.019883987123674843,0.8812399183091613,0.017522563188527632
