country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.0409983515622998,109.29888932386885,314354644.88326854,1.7880083788211395e-06,5.142492686335858,0.0,0.086087198,56795.852,109.29888932386885,113.77996361373772,113.77996361373772,109.29888932386885,1.7880083788211395e-06,0.004684841967579017,1.0,0.0,65.57923726924163,0.0,306540.6750967943,3.3905695888242064,0.0,0.19179090179999997,2.105999999999999,2.105999999999999,147.29237001269817,423627732.6858912,0.012966824585420266,0.7420539795404617,0.009622083785614206
Algeria,13921.18002,13974.66622,40606052,0.094,0.71304,3843.752322,1,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1.0,0.14544458210878922,1.0749118148570513,57.81974373705247,2347831520.813427,8.02235072467205e-07,32.575599068827096,30.323205730159042,0.15218446000000002,69605.9001,57.81974373705247,62.1511256749647,62.1511256749647,57.81974373705247,8.02235072467205e-07,0.00885501592764815,1.0,30.323205730159042,77.03533419021237,30.323205730159042,240925.51868819207,3.387029213793623,2.4000000000000004,0.156262696459679,0.9503924,0.8591547296,89.66237928841909,3640835235.8292685,0.006440716890350154,0.6448606895770893,0.004153365135282006
Angola,5984.640421999999,6024.726138,28813463,0.054,0.44819,3110.808183,1,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.4323973905251145,1.0,0.1273585357336769,1.1218684613662162,8.786108876009243,253158223.01286387,7.364829378746924e-07,21.220623880583748,0.0,0.18571632,29923.202109999995,8.786108876009243,9.856858446124544,9.856858446124544,8.786108876009243,7.364829378746924e-07,0.0015207822274709481,1.0,0.0,3.0592445449337538,0.0,69203.0127047263,3.3975619791919236,0.0,0.13004843279721204,3.0999999999999996,3.0999999999999996,23.20025380042103,668479654.4690408,0.0038766328742383775,0.3787074465474078,0.0014681097370045542
Antigua and Barbuda,21013.017630000002,20777.613080000003,100963,0.0103,0.23393,14353.37881,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,0.4005106416086055,1.0,0.1390149070134991,1.1114334015959364,2072.115977344849,209207045.420668,1.9108319042032933e-05,1.929233215440771,27.857744830781037,0.12239999999999998,84052.07052000001,2072.115977344849,2303.018909201674,2303.018909201674,2072.115977344849,1.9108319042032933e-05,0.16509649839485852,0.8,27.857744830781037,100.2878813908117,27.857744830781037,209862.26528816915,2.528628853077601,1.2000000000000002,0.1311239679778994,0.9439571109442393,0.8871606459462302,3961.1608063234094,399930678.4888304,0.18850985023055963,0.5231082701911574,0.0986110616681022
Argentina,18489.434889999997,10405.0,43847430,0.05,0.91893,12449.21685,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4,0.2695495148851759,1.0,0.1541967379,1.068575875150691,80.21683341862106,3517301988.1446486,6.610184672941484e-07,28.98396097338746,7.549502953609814,0.050750804000000004,92447.17444999996,80.21683341862106,85.71777297212022,85.7177729721202,80.21683341862106,6.610184672941484e-07,0.0030324152141462057,1.0,7.549502953609814,25.736941887306184,7.549502953609814,342969.1739173825,3.3953720234242892,3.2000000000000006,0.16162662160000002,2.2894629499999994,1.9964116923999993,113.06352157200695,4957544847.682065,0.006115033923138306,0.709484653434691,0.00433852272369916
Armenia,8190.239288999999,8174.366731999999,2924816,0.079,0.62558,3606.152057,1,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.3524222720091,1.1003673403838623,57.629091043419294,168554487.54924944,1.357432311053914e-06,3.970239742287464,1.5882061879529714,0.0209314598,40951.196444999994,57.6290910434193,63.41316964018675,63.41316964018675,57.629091043419294,1.357432311053914e-06,0.011016746984863627,1.0,1.5882061879529714,9.342389340899832,1.5882061879529714,111676.23202299676,3.3812983202529328,1.6000000000000003,0.40256331958,1.25,1.17,68.46219441450337,200239321.6186501,0.008358998070600008,0.8417651747255543,0.007036313471429187
Australia,44260.57597,44414.029480000005,24127159,0.073,0.89554,49927.81951,1,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.2736023908600951,1.0,0.22769110058,1.0699021942166627,88.39363947772019,2132687394.2676318,1.5836905584814073e-07,3.8209953911279713,12.403176861781699,0.6593659199999998,221302.87984999997,88.3936394777202,94.57254883200945,94.57254883200945,88.39363947772019,1.5836905584814073e-07,0.0012700219247559013,1.0,12.4031768617817,16.913422993338678,12.403176861781699,808848.4868656059,3.3981335085652433,4.0,0.28233659200000005,2.8543999999999996,2.397696,100.38435199221729,2421989221.6281934,0.0022680308557271878,0.8805519757160286,0.0019971190509954903
Austria,44438.724819999974,44143.70016,8747358,0.079,0.66032,44176.51522,1,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729,1.0,0.4837075333,1.0563787998373693,97.81411965077582,855615122.0401711,1.6803442753000646e-07,1.4698572939300223,39.172330711615956,0.64525414,222193.62409999984,97.81411965077582,103.3287623238354,103.3287623238354,97.81411965077582,1.6803442753000646e-07,0.0021940994067726942,1.0,39.172330711615956,56.021296816608306,39.172330711615956,956582.75166759,3.3968367433595112,4.0,0.49449017,1.5279999999999998,1.2835199999999998,107.1139115654001,936963731.2428951,0.0024103732048853187,0.9131784865409742,0.002201100955236093
Azerbaijan,16001.323400000001,15994.00974,9762274,0.084,0.54895,3876.936433,1,0.2,1.5,0.06,0.8,0.05,0.0,0.2375,0.5982212831852317,1.0,0.43154867302399996,1.176134960462112,41.32668934562817,403442464.9049029,3.7812558808452774e-07,3.691365597292295,0.0,0.0571493,80006.617,41.32668934562817,48.605764139550374,48.605764139550374,41.32668934562817,3.7812558808452774e-07,0.006481208391686513,0.9999999999999998,0.0,4.346685440492769,0.0,133740.8401352831,3.387084573381872,0.0,0.4859833591999999,1.2499999999999998,1.2499999999999998,52.077255583997825,508392438.17901677,0.003254559281265312,0.7935650387522905,0.002582704462158934
Bangladesh,3319.353556000001,3319.353556,162951560,0.086,0.35035,1358.779752,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.14815265559799992,1.0751731130415736,74.12561736339785,12078884985.328768,7.104664671981467e-06,1157.716191576268,18.248225052445598,0.08737927799999998,16596.767780000002,74.12561736339785,79.69787077673298,79.69787077673298,74.12561736339785,7.104664671981467e-06,0.01733380638164783,1.0,18.248225052445594,44.02610819975905,18.248225052445598,57287.7372535001,3.3746015744721998,3.2,0.13804606459999993,2.3566042902633693,2.054958941109658,92.44756697917701,15064475257.461382,0.027851075644554503,0.8018125277444454,0.022331341362962005
