country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,109.29888932386885,314354644.88326854,1.5565060025736978e-06,4.476668470508215,62.46856488830784,0.086087198,56795.852,109.29888932386885,122.23413903787085,122.23413903787088,109.29888932386885,1.5565060025736978e-06,0.004684841967579017,1.0,62.46856488830784,65.57923726924162,62.46856488830784,306540.6750967943,3.3937034201181033,0.0,0.19179090179999997,2.105999999999999,2.105999999999999,128.221691113789,368778534.0340597,0.011287945034594163,0.852421211843733,0.009622083785614206
Algeria,13921.18002,13974.66622,40606052,0.094,0.71304,3843.752322,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2889104503291931,1.0,0.14544458210878922,1.216243465076183,57.81974373705247,2347831520.813427,7.907242270474547e-07,32.10818908114875,75.1989626995226,0.15218446000000002,69605.9001,57.81974373705247,70.32288547256962,70.32288547256964,57.81974373705247,7.907242270474547e-07,0.00885501592764815,1.0,75.19896269952258,77.03533419021237,75.1989626995226,240925.51868819207,3.388228573864774,2.4000000000000004,0.15626269645967902,0.9503924,0.8591547296,88.37586137942029,3588594822.7175317,0.006348302460887241,0.6542481491503369,0.004153365135282006
Angola,5984.640421999999,6024.726138,28813463,0.054,0.44819,3110.808183,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.4323973905251145,1.0,0.1273585357336769,1.351790414097182,8.786108876009243,253158223.01286387,5.277462587773421e-07,15.206197300669373,3.0592445449337538,0.18571632,29923.20210999999,8.786108876009243,11.876977755803459,11.876977755803459,8.786108876009243,5.277462587773421e-07,0.0015207822274709481,1.0,3.0592445449337538,3.0592445449337538,3.0592445449337538,69203.0127047263,3.398591931227176,0.0,0.13004843279721204,3.0999999999999996,3.0999999999999996,16.624753291895296,479016713.8601533,0.00277790345277578,0.5284955945958333,0.0014681097370045542
Antigua and Barbuda,21013.017630000002,20777.613080000003,100963,0.0103,0.23393,14353.37881,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.4005106416086055,1.0,0.1390149070134991,1.3216681498414256,2072.1159773448494,209207045.42066804,1.7441005433832056e-05,1.7608962316159857,96.30090301724726,0.12239999999999998,84052.07052000001,2072.115977344849,2738.649690034224,2738.649690034224,2072.1159773448494,1.7441005433832056e-05,0.16509649839485852,0.8,96.30090301724726,100.28788139081169,96.30090301724726,209862.26528816915,2.562303318966353,1.2000000000000002,0.1311239679778994,0.9439571109442393,0.8871606459462302,3615.5261483439745,365034366.5152527,0.1720612532672193,0.5731160258082891,0.09861106166810223
Argentina,18489.434889999997,10405.0,43847430,0.05,0.91893,12449.21685,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2695495148851759,1.0,0.1541967379,1.1979538860660952,80.21683341862106,3517301988.1446486,6.002406755108225e-07,26.319011002613507,25.736941887306184,0.050750804000000004,92447.17444999996,80.21683341862106,96.09606732175372,96.09606732175372,80.21683341862106,6.002406755108225e-07,0.003032415214146206,1.0,25.736941887306187,25.736941887306184,25.736941887306184,342969.1739173825,3.3959211142176486,3.2000000000000006,0.16162662160000002,2.2894629499999994,1.9964116923999993,102.66781931496982,4501720020.665787,0.005552782977185401,0.7813240210403962,0.0043385227236991605
Armenia,8190.239288999999,8174.366731999999,2924816,0.079,0.62558,3606.152057,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3666957212217474,1.0,0.3524222720091,1.289724411382942,57.629091043419294,168554487.54924944,1.5082084065594289e-06,4.4112320788395225,9.333500131045557,0.020931459800000003,40951.196444999994,57.6290910434193,74.32564552450793,74.32564552450793,57.629091043419294,1.5082084065594289e-06,0.011016746984863629,1.0,9.333500131045561,9.342389340899832,9.333500131045557,111676.23202299676,3.3856735196408754,1.6000000000000003,0.40256331958,1.25,1.17,76.06659743298161,222480801.23754355,0.009287469480304901,0.757613630532026,0.007036313471429185
Australia,44260.57597,44414.029480000005,24127159,0.073,0.89554,49927.81951,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2736023908600951,1.0,0.22769110058,1.201782492156731,88.39363947772019,2132687394.2676318,1.7451787518796812e-07,4.2106205230022615,16.913422993338678,0.6593659199999998,221302.87984999997,88.3936394777202,106.22992834233818,106.22992834233817,88.39363947772019,1.7451787518796812e-07,0.0012700219247559013,1.0,16.913422993338678,16.913422993338678,16.913422993338678,808848.4868656059,3.398306062937593,4.0,0.28233659200000005,2.854399999999999,2.397696,110.6204979121779,2668958341.786284,0.0024993009125583213,0.7990710686178278,0.0019971190509954903
Austria,44438.724819999974,44143.70016,8747358,0.079,0.66032,44176.51522,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.23227851820729,1.0,0.4837075333,1.1627453167024924,97.81411965077582,855615122.0401711,1.7636846552451173e-07,1.5427581078535622,53.94132831100105,0.64525414,222193.62409999984,97.81411965077582,113.7329095313168,113.7329095313168,97.81411965077582,1.7636846552451173e-07,0.0021940994067726942,1.0,53.94132831100105,56.021296816608306,53.94132831100105,956582.75166759,3.397133253798616,4.0,0.49449017,1.528,1.2835199999999998,112.42646222450067,983434513.7511837,0.0025299209795034963,0.8700275514803094,0.002201100955236093
Azerbaijan,16001.323400000001,15994.00974,9762274,0.084,0.54895,3876.936433,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.5982212831852317,1.0,0.43154867302399996,1.5084382783151649,41.32668934562817,403442464.9049029,4.6880907614077615e-07,4.576642654973119,4.346685440492769,0.0571493,80006.61700000001,41.32668934562817,62.33876012498503,62.33876012498502,41.32668934562817,4.6880907614077615e-07,0.0064812083916865135,1.0,4.34668544049277,4.346685440492769,4.346685440492769,133740.8401352831,3.39139388940095,0.0,0.4859833591999999,1.25,1.25,64.56661714420507,630317007.8148274,0.004035079819973207,0.640062793646566,0.0025827044621589334
Bangladesh,3319.353556000001,3319.353556,162951560,0.086,0.35035,1358.779752,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2897089076246591,1.0,0.14815265559799992,1.2169977389506987,74.12561736339785,12078884985.328768,7.498146035823932e-06,1221.8345936453254,37.57903750558593,0.08737927799999999,16596.767780000002,74.12561736339784,90.21070872957984,90.21070872957984,74.12561736339785,7.498146035823932e-06,0.01733380638164783,1.0,37.57903750558593,44.02610819975905,37.57903750558592,57287.7372535001,3.3776991960353997,3.2,0.13804606459999993,2.3566042902633693,2.054958941109658,97.56763899078668,15898798979.065514,0.029393566351021947,0.7597356882889985,0.022331341362962005
