iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco,dW_long_term,dW_reco,dc_long_term,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,0.11447518080875344,2.1577211688467717,8.023159254515241e-06,76791110.62771256,285.5361104078727,0.01045708067787829,826.8561947478463,0.12447537355991828,5.367416664744907e-06,2.655742589770335e-06,1.8258006438885015,0.022257010726927547,1.701325270328583,392.7226102140955,0.00015067813543069689,0.07,0.11447518080875344,0.11447518080875344,0.11447518080875344,0.028000000000000004,4811.1465889642,0.0003350962753339605,23.875986791383323,0.027926781260286436,0.07029832582356407,3.641651111983976,129602674.08293326,0.0006165898724786506,0.5925117762506477,0.0003653367605604856
ALB,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,9.976894085583886,78.41653121287465,5.7263635875869785e-05,217816736.16815856,159.06057147240887,0.0077214632967449294,3718.096176966984,8.459197216725629,3.875756635561507e-05,1.8506069520254718e-05,69.12380072348742,0.0476440011476381,60.664603506761765,1973.062413651281,0.0023825463839211415,0.08,9.976894085583886,11.0575340278927,9.976894085583886,0.047999999999999994,22948.07052749936,0.00800624359638596,170.78075592884736,0.04678645021092884,0.11231394826570702,110.4187906611856,306709060.2128779,0.007127440630194291,0.7101737914653653,0.005061721535789373
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.6375410621136512,0.5,0.3,0.3074152642375409,0.2087420721134342,0.1607878564150257,0.009588466405,0.06,0.05,0.8,1.5,1.1273787464632739,43.49392304333352,1.6509790919883153e-05,2010934137.9416077,763.3273765163412,0.006686560237280634,2695.372913114399,2.1791578255243245,1.4257152071861967e-05,2.2526388480211857e-06,38.679786215640156,0.02695960361248302,36.500628390115835,707.9588674302239,0.0011091803883285691,0.060000000000000005,1.127378746463274,1.1273787464632739,1.1273787464632739,0.023999999999999997,8767.856468674485,0.005002449607904262,120.1762762100657,0.0234631736947827,0.051948312323891535,55.5773702946073,2569610267.418218,0.0024743457214782116,0.782583321463012,0.0019363816931622117
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.3133509856523386,0.5,0.4416666666666666,0.469678089191154,0.3695482842639164,0.3118748350056252,0.005235208329,0.06,0.05,0.8,1.5,4.016637359749123,42.27652971374959,2.780340676372274e-05,117548580.2966596,77.3065106009214,0.003918496967245487,2247.980904017996,5.481619505798598,1.809844181262865e-05,9.70496495109409e-06,34.57316349046212,0.06361527254892677,29.091543984663527,465.72591980740697,0.0038935224667832275,0.07,4.016637359749122,4.168481558521989,4.016637359749123,0.028000000000000004,4786.216252687683,0.017262031764356783,85.27297369031457,0.0261808067784282,0.06585230546660462,56.57113426088416,157294285.1072263,0.0035231432715321586,0.7473162818123216,0.002632902329973511
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.9301463158373546,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4446686830942625,0.1275865326707433,0.004970939722,0.06,0.05,0.8,1.5,1.9212163437550451,33.48334831239792,3.468631269055545e-06,870752553.8719965,90.20362921267474,0.04343258742410413,16042.342684935915,2.9037574735518876,3.172881840394614e-06,2.95749428660931e-07,32.115081472564185,0.14457094310651883,29.211323999012286,3085.957203874909,0.0004557918863493363,0.0628,1.9212163437550451,1.9212163437550451,1.9212163437550451,0.0628,69447.9628874945,0.002587909465882244,830.5544033168695,0.0625906387188229,0.13807030239501664,40.0557941508998,1041672557.0229908,0.0007840201154157544,0.8359177248179902,0.0006553763110898755
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.8577375757241545,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4262241812069232,0.127813551756672,0.006835775451,0.06,0.05,0.8,1.5,5.45367291347128,88.5544012406211,7.741585113149415e-06,800695701.4119112,69.99825909691516,0.033670678066634846,5642.585564527916,7.459115113818214,7.089790567986555e-06,6.517945451628609e-07,84.69506380819013,0.046208993775580895,77.23594869437188,1225.009904212451,0.0009145511537334959,0.0505,5.45367291347128,5.45367291347128,5.45367291347128,0.020199999999999996,31026.176719978885,0.00512617489347152,299.3025457076769,0.019804116196907258,0.041367396927768335,102.22686970383276,924320124.05847,0.0018298196318004684,0.8662536718298923,0.0015850879748335774
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.4612760789957857,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.0220546563487747,0.1679504354220639,0.0,0.06,0.05,0.8,1.5,4.287032024751467,26.04315654241419,1.790769063312514e-05,264123339.12296838,181.6154289246407,0.0030511271419055956,2113.199774068488,4.30074124947813,1.494800805479944e-05,2.959682578325701e-06,25.96993831082889,0.0031288083255858272,21.669197061350758,168.73450207529723,0.003635625115869391,0.07,4.287032024751467,4.454288898879059,4.287032024751467,0.028,3448.8716452215394,0.021443727830747494,84.37930597939781,0.026366720711156894,0.05224426547438647,33.209196117000154,336799563.97476304,0.0022001173355365596,0.7842152050492548,0.0017253654674202232
BEL,53287.15361438369,11685814.0,0.98153,0.3576976268957179,0.6902337998079515,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4462501851080438,0.162855700732705,0.000547254789,0.06,0.05,0.8,1.5,4.825183413074267,48.75560022422767,4.809857026344259e-06,569748875.6786828,56.207094576452114,0.02960536867715259,5541.863975895904,4.887103913391237,3.9671666303701815e-06,8.426903959740779e-07,45.70257669845871,0.0486632070144372,40.81547278506744,1649.4588792298766,0.0004953862628657734,0.052000000000000005,4.825183413074267,4.825183413074267,4.825183413074267,0.0208,32580.991420381302,0.0021646188041794436,312.28052089480866,0.020547186010703117,0.04372054886037532,59.16514742315728,691392908.0695952,0.001110307896182823,0.8240594733166285,0.000914959740147711
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.3847971666493662,0.5,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.192226818707776,0.200821865179,0.06,0.05,0.8,1.5,0.15379828185438058,2.4230283651738076,1.6017046929246655e-05,32354368.22830819,213.87344932784822,0.0051350524739877945,687.0343233151799,0.2092670627297485,1.2610974526998432e-05,3.406072402248227e-06,2.166524393627492,0.016997107024265278,1.9572573308977432,150.32726314538755,0.0005774502619973901,0.10000000000000002,0.15379828185438058,0.15379828185438058,0.15379828185438058,0.04000000000000001,1503.129008319926,0.002940545389570946,27.862080232459718,0.03972507168676416,0.1153802799300318,3.2248172340559145,43060545.95120479,0.0009387645200883264,0.7513692061631407,0.0007053587522328875
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.5325130244580834,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.118263411751462,0.2855912927239073,0.312038230194,0.06,0.05,0.8,1.5,0.03256663907916751,0.3926863067062336,5.704098795326493e-06,8903675.858916145,129.3333785097196,0.007521228644658323,431.77170315087994,0.0412927728363642,3.923305868911182e-06,1.7807929264153101e-06,0.3218312895753878,0.018984052718386213,0.28053851673902364,131.3733743620726,0.00015689994312687199,0.1,0.03256663907916751,0.03256663907916751,0.03256663907916751,0.04000000000000001,840.5556059348991,0.0006813782185637372,17.45410832285797,0.0399243743931935,0.11960548385957759,0.5721676646425463,12973193.45220091,0.00026503249771447196,0.6863133500414758,0.00018189534137627903
