iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco,dW_long_term,dW_reco,dc_long_term,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.0,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,0.12810285678025352,2.3509338787167695,9.130328943380912e-06,83667355.24751067,324.93915807170697,0.01045708067787829,826.8561947478463,0.13783010868112217,5.8628897099632984e-06,3.2674392334176137e-06,1.9915002095635903,0.022257010726927547,1.8536701008824679,408.4282170562899,0.00015860856361125947,0.07,0.12810285678025352,0.12810285678025352,0.12810285678025352,0.028000000000000004,4811.1465889641995,0.0003578302492407353,23.875986791383323,0.02792294050526415,0.07282627588078369,4.144187033397171,147487418.45714048,0.0007016772545950806,0.5672846953506359,0.0003980507676074409
ALB,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.0,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,10.618876387607607,83.53102435581947,6.306247813787257e-05,232023207.51189184,175.16795183630913,0.007721463296744931,3718.096176966984,8.998076385009252,4.1369960509815113e-05,2.1692517628057457e-05,73.61935450942946,0.04764400114763811,64.62127812442017,1990.5530064350648,0.002507943562022255,0.08,10.618876387607607,11.845328058858337,10.618876387607607,0.047999999999999994,22948.07052749936,0.008334017625898279,170.78075592884736,0.046726135596171246,0.11327317839672628,121.60042696512726,337768168.37633735,0.007849205906082105,0.6869303541160642,0.005391857792594883
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.0,0.5,0.3,0.3074152642375409,0.2087420721134342,0.1607878564150257,0.009588466405,0.06,0.05,0.8,1.5,1.2729951608161638,46.87759129739659,1.81498507799672e-05,2167377464.444611,839.1552653371509,0.006686560237280634,2695.372913114399,2.387782717450886,1.5442513971808316e-05,2.7073368081588886e-06,41.72802659623942,0.026959603612483018,39.34024387878853,726.5474150470646,0.0011675583035037577,0.060000000000000005,1.2729951608161638,1.2729951608161638,1.2729951608161638,0.023999999999999997,8767.856468674485,0.005171343670971221,120.17627621006568,0.023435890113202934,0.05341752120939513,61.09834960873286,2824871807.4403305,0.0027201438128931594,0.7672480778547301,0.002087025111930713
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.0,0.5,0.4416666666666666,0.469678089191154,0.3695482842639164,0.3118748350056252,0.005235208329,0.06,0.05,0.8,1.5,4.288618508678608,44.15690812861145,2.9292867146804208e-05,122776914.18745215,81.44790902280755,0.003918496967245487,2247.980904017996,5.804505354031513,1.9034086932976003e-05,1.0258780213828205e-05,36.189985045673716,0.06361527254892675,30.385479691642203,476.8793207690168,0.004098444701877082,0.07,4.288618508678607,4.467117256120121,4.288618508678608,0.028000000000000004,4786.216252687682,0.01829060613016318,85.27297369031456,0.026096229226019996,0.06720541061251699,59.601714794544186,165720720.33307147,0.0037118820966503133,0.7408664042775742,0.002750008742047621
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.0,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4446686830942625,0.1275865326707433,0.004970939722,0.06,0.05,0.8,1.5,2.1868038109487644,37.89727641439208,3.980870494915955e-06,985539137.68553,103.52468689035668,0.04343258742410412,16042.342684935913,3.2179082125025227,3.5968179103735813e-06,3.8405258454237384e-07,36.280002531517596,0.1445709431065188,33.06209431901506,3344.4073433967023,0.00047978093299930256,0.0628,2.1868038109487644,2.1868038109487644,2.1868038109487644,0.0628,69447.9628874945,0.002609393640525184,830.5544033168696,0.06257971984648215,0.14939648337792116,45.97113867602358,1195504285.684878,0.0008998023435708119,0.8243710620584986,0.0007417710136121962
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.0,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4262241812069232,0.127813551756672,0.006835775451,0.06,0.05,0.8,1.5,5.757052724310045,91.67781891883779,8.052449757734653e-06,828937178.6691124,72.80905089442282,0.03367067806663484,5642.585564527916,7.845790544504124,7.374336073953003e-06,6.781136837816498e-07,87.80594181002027,0.046208993775580895,79.96015126551612,1227.5422176294956,0.0009626854249826281,0.050499999999999996,5.757052724310045,5.757052724310045,5.757052724310045,0.0202,31026.176719978885,0.005385704435773983,299.3025457076769,0.019784634936093424,0.04144664877060027,106.33180674877539,961436353.1832216,0.0019032963450550404,0.8621862236897769,0.0016409958883055599
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.0,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.0220546563487747,0.1679504354220639,0.0,0.06,0.05,0.8,1.5,4.52997956551238,28.262335356577672,1.9656427744808465e-05,286629709.1765837,199.35069401947771,0.0030511271419055956,2113.199774068488,4.558747794335093,1.6218731499988183e-05,3.437696244820282e-06,28.074411621731155,0.0031288083255858272,23.51566382739606,174.94971198977336,0.0037887421456728985,0.07,4.52997956551238,4.730681660956941,4.52997956551238,0.028,3448.8716452215394,0.02229767612986173,84.3793059793978,0.0263107899482926,0.05397823668946545,36.45216892062588,369689002.863771,0.002414965074060351,0.7753265770856747,0.0018723866046526647
BEL,53287.15361438369,11685814.0,0.98153,0.3576976268957179,0.0,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4462501851080438,0.162855700732705,0.000547254789,0.06,0.05,0.8,1.5,5.100821240207638,51.00518381097576,5.059163557915987e-06,596037091.0508739,59.12044433338445,0.02960536867715259,5541.863975895905,5.1651505503716555,4.16556320756357e-06,8.936003503524163e-07,47.86384941081056,0.0486632070144372,42.69869886043888,1661.6351753685656,0.0005214592240692348,0.052000000000000005,5.100821240207638,5.100821240207638,5.100821240207638,0.020800000000000003,32580.991420381302,0.002278107529816059,312.28052089480866,0.020534309619653284,0.04400429230577463,62.23182021887825,727229475.9592505,0.0011678578418585328,0.8195997422473456,0.0009571759861687947
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.0,0.5,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.192226818707776,0.200821865179,0.06,0.05,0.8,1.5,0.17350439002043666,2.6577622708607316,1.8073290796164107e-05,35488738.147134505,241.33019403363102,0.005135052473987795,687.0343233151799,0.22927784304495819,1.386854534907155e-05,4.204745447092554e-06,2.3761469276965763,0.016997107024265278,2.1468690846516183,156.9646649406651,0.0006078423810498845,0.10000000000000003,0.17350439002043666,0.17350439002043666,0.17350439002043666,0.04,1503.129008319926,0.003028558661407281,27.862080232459718,0.03971067069015405,0.12025523529662058,3.6388143140887603,48588592.6572805,0.001059281666316237,0.7303923864898542,0.0007736912642256657
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.0,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.118263411751462,0.2855912927239073,0.312038230194,0.06,0.05,0.8,1.5,0.03788872556940763,0.44307506365486526,6.808700991539553e-06,10046178.541445268,154.37886581133182,0.007521228644658323,431.77170315087994,0.04670141748219234,4.441989554067535e-06,2.366711437472017e-06,0.36323810093413716,0.018984052718386213,0.3165366834519448,139.16828885181127,0.0001651578348703912,0.09999999999999999,0.03788872556940762,0.03788872556940763,0.03788872556940763,0.04000000000000001,840.5556059348991,0.0006625657252866033,17.45410832285797,0.039920399457510254,0.12650112000294697,0.6829682804180097,15485460.243747214,0.000316356201869649,0.6487491093783767,0.00020523580420926075
