iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco,dW_long_term,dW_reco,dc_long_term,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.3087509853262413,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,0.1238621882648799,2.2630228203080573,8.673426703541732e-06,80538689.7326468,308.6784701977996,0.01045708067787829,826.8561947478463,0.13344530303051114,5.648662976071459e-06,3.024763727470273e-06,1.9177990773312592,0.022257010726927547,1.784353774300748,399.6678337299194,0.00015860856361125947,0.07,0.1238621882648799,0.1238621882648799,0.1238621882648799,0.028000000000000004,4811.1465889641995,0.0003660157503105136,23.875986791383323,0.02792294050526415,0.07141621820178543,3.9368025733614407,140106815.60492685,0.00066656374321375,0.5748377720592105,0.0003831660170844397
ALB,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.1943239698382023,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,10.436207608303627,81.84383864804742,6.119014001273315e-05,227336730.3304562,169.96717882182872,0.007721463296744931,3718.096176966984,8.852882115016584,4.05589509400321e-05,2.063118907270105e-05,72.16891948954422,0.04764400114763811,63.3160373745276,1975.029696495928,0.002507943562022255,0.08,10.436207608303626,11.662659279554358,10.436207608303627,0.047999999999999994,22948.07052749936,0.00841186567875369,170.78075592884736,0.046726135596171246,0.11242183923339177,117.9900849334952,327739761.02883536,0.007616161346084057,0.693650137587226,0.005282951365597719
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.5425312579720292,0.5,0.3,0.3074152642375409,0.2087420721134342,0.1607878564150257,0.009588466405,0.06,0.05,0.8,1.5,1.199572483392105,44.390720665476024,1.69791940449245e-05,2052397423.5457706,785.0301502040966,0.006686560237280634,2695.372913114399,2.278756267571377,1.4635006995429966e-05,2.3441870494945345e-06,39.53198811252733,0.026959603612483018,37.25323184495595,710.729032951011,0.0011675583035037577,0.060000000000000005,1.1995724833921053,1.199572483392105,1.199572483392105,0.023999999999999997,8767.856468674485,0.005320585308443985,120.17627621006568,0.023435890113202934,0.05216726174809339,57.1575351449356,2642668920.645123,0.002544695831890317,0.7766381204667682,0.001976307788038915
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.2025909240007728,0.5,0.4416666666666666,0.469678089191154,0.3695482842639164,0.3118748350056252,0.005235208329,0.06,0.05,0.8,1.5,4.237386194663594,43.50970265544375,2.8764222282767284e-05,120977379.43267903,79.97802836634366,0.003918496967245487,2247.980904017996,5.747648866911758,1.87679992356005e-05,9.996223047166783e-06,35.687770185545176,0.06361527254892675,29.94012131863342,469.6683084855876,0.004098444701877082,0.07,4.237386194663593,4.415884942105106,4.237386194663594,0.028000000000000004,4786.216252687682,0.018403693604298874,85.27297369031456,0.026096229226019996,0.06633058706214612,58.52608978808705,162729978.3469926,0.0036448942051451666,0.7434240492229182,0.0027097020089781694
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.7953106462091724,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4446686830942625,0.1275865326707433,0.004970939722,0.06,0.05,0.8,1.5,2.046174976603996,34.9702576483665,3.6445215620437565e-06,909420434.084901,94.7777512625914,0.04343258742410412,16042.342684935913,3.0664089576100793,3.3294283652401806e-06,3.150931968035758e-07,33.57493268601896,0.1445709431065188,30.50852372840888,3123.4225972593317,0.00047978093299930256,0.0628,2.046174976603996,2.046174976603996,2.046174976603996,0.0628,69447.9628874945,0.002697884270478285,830.5544033168696,0.06257971984648215,0.13971216579989942,42.08697729565523,1094494571.541254,0.0008237768716438896,0.8309044720105521,0.0006844798865877704
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.617257863889075,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4262241812069232,0.127813551756672,0.006835775451,0.06,0.05,0.8,1.5,5.745290728307341,91.4502355151042,8.030944084043615e-06,826879403.4424804,72.61459979725383,0.03367067806663484,5642.585564527916,7.833411125692617,7.356647467202257e-06,6.742966168413569e-07,87.59506723062724,0.046208993775580895,79.76165610493457,1225.719876607321,0.0009626854249826281,0.050499999999999996,5.745290728307341,5.745290728307341,5.745290728307341,0.0202,31026.176719978885,0.005391849309114192,299.3025457076769,0.019784634936093424,0.04138961638144043,106.0478264436861,958868645.5776696,0.0018982132124226658,0.8623489851879843,0.0016369222374031096
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.3144517466134102,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.0220546563487747,0.1679504354220639,0.0,0.06,0.05,0.8,1.5,4.472005377349861,27.720363872198156,1.933532966364707e-05,281133166.6230489,196.09419562827065,0.0030511271419055956,2113.199774068488,4.516864672339253,1.593649446565556e-05,3.3988351979915097e-06,27.58158136214368,0.0031288083255858272,23.064716689804428,170.7128054989127,0.0037887421456728985,0.07,4.472005377349861,4.672707472794421,4.472005377349861,0.028,3448.8716452215394,0.022298814369821902,84.3793059793978,0.0263107899482926,0.05279618910020829,35.85670357735284,363649938.64583963,0.0023755153499589116,0.7730873478761833,0.0018364808617388983
BEL,53287.15361438369,11685814.0,0.98153,0.3576976268957179,0.5749817243431983,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4462501851080438,0.162855700732705,0.000547254789,0.06,0.05,0.8,1.5,5.082760596302242,50.754997539523856,5.031985337763269e-06,593113460.8173335,58.80284470782874,0.02960536867715259,5541.863975895905,5.148789478689419,4.146056248734332e-06,8.859290890289363e-07,47.638046328227425,0.0486632070144372,42.48925684953799,1651.4920213359976,0.0005214592240692348,0.052000000000000005,5.082760596302242,5.082760596302242,5.082760596302242,0.020800000000000003,32580.991420381302,0.0022832415866266354,312.28052089480866,0.020534309619653284,0.04376792704004558,61.897506040051866,723322742.6479226,0.0011615840186919649,0.819984532279571,0.0009524809282705553
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.2522633766556849,0.5,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.192226818707776,0.200821865179,0.06,0.05,0.8,1.5,0.1658922067625871,2.5383843257002154,1.7050995608840333e-05,33894700.680806674,227.67962542944215,0.005135052473987795,687.0343233151799,0.22268082305944453,1.3279112729885039e-05,3.771882878955293e-06,2.273119605172624,0.016997107024265278,2.0504387821131798,152.6133507049682,0.0006078423810498845,0.10000000000000003,0.1658922067625871,0.1658922067625871,0.1658922067625871,0.04,1503.129008319926,0.0030784910309330418,27.862080232459718,0.03971067069015405,0.1170593367599195,3.432988911132962,45840234.04386652,0.0009993646007575268,0.7394094159373479,0.0007389395957545838
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.3947220298857601,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.118263411751462,0.2855912927239073,0.312038230194,0.06,0.05,0.8,1.5,0.03521427840802501,0.4112856106392151,6.120130871810709e-06,9325392.049658233,138.7663907962885,0.007521228644658323,431.77170315087994,0.04421850778185861,4.144044731479538e-06,1.976086140331171e-06,0.3380445291998787,0.018984052718386213,0.29382602141802006,133.39035605231453,0.0001651578348703912,0.09999999999999999,0.03521427840802501,0.03521427840802501,0.035214278408025004,0.04000000000000001,840.5556059348991,0.0007069426602197197,17.45410832285797,0.039920399457510254,0.12138977179013226,0.6138990774668465,13919401.574502839,0.000284362811637206,0.6699563914256356,0.00019051068314011025
