iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco,dW_long_term,dW_reco,dc_long_term,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.2273352925222613,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,0.12498042587881447,2.28620441345476,8.790842590778178e-06,81363699.14978406,312.8571826822509,0.01045708067787829,826.8561947478463,0.13458719997209032,5.705114295938683e-06,3.0857282948394947e-06,1.9372192535965933,0.022257010726927547,1.8026320536245029,401.97789171075874,0.00015860856361125947,0.07,0.12498042587881447,0.12498042587881447,0.12498042587881447,0.028000000000000004,4811.1465889641995,0.00036382058293962674,23.875986791383323,0.02792294050526415,0.07178804154255278,3.990096753715464,142003501.49672186,0.000675587301720001,0.5729696682983718,0.00038709103217310104
ALB,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.1775020165965697,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,10.452020612055643,81.98989247305792,6.13489998852768e-05,227742422.43359578,170.40844214233465,0.007721463296744931,3718.096176966984,8.865388650835882,4.06291183857738e-05,2.0719881499503006e-05,72.2944161978165,0.04764400114763811,63.42902754698059,1976.3734956894548,0.002507943562022255,0.08,10.452020612055641,11.678472283306373,10.452020612055643,0.047999999999999994,22948.07052749936,0.008407159891489486,170.78075592884736,0.046726135596171246,0.11249553671708516,118.29640699535106,328590628.4505097,0.007635934179100275,0.6930886115271451,0.0052923790179052795
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.5001735995214184,0.5,0.3,0.3074152642375409,0.2087420721134342,0.1607878564150257,0.009588466405,0.06,0.05,0.8,1.5,1.2053048953907848,44.5848809378841,1.7067326173490484e-05,2061374390.7333121,789.1049241858832,0.006686560237280634,2695.372913114399,2.2864214387375092,1.4697700284189915e-05,2.369625889300574e-06,39.70259494210009,0.026959603612483018,37.41617350336258,711.96403944367,0.0011675583035037577,0.060000000000000005,1.205304895390785,1.2053048953907848,1.2053048953907848,0.023999999999999997,8767.856468674485,0.005310407713630439,120.17627621006568,0.023435890113202934,0.05226487467353924,57.45421679087121,2656385946.109076,0.002557904318678565,0.7760071136322253,0.001984951947285157
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.2449627980372273,0.5,0.4416666666666666,0.469678089191154,0.3695482842639164,0.3118748350056252,0.005235208329,0.06,0.05,0.8,1.5,4.2266709606680575,43.37433968733438,2.8655634330397046e-05,120601006.89610294,79.67610293100475,0.003918496967245487,2247.980904017996,5.736284265164918,1.8712723319070112e-05,9.942911011326936e-06,35.583258919033945,0.06361527254892675,29.84697465386903,468.1601258971731,0.004098444701877082,0.07,4.226670960668057,4.40516970810957,4.2266709606680575,0.028000000000000004,4786.216252687682,0.01842703203206576,85.27297369031456,0.026096229226019996,0.06614761779309684,58.30514766812115,162115655.63163316,0.0036311343476926683,0.7439195580847431,0.0027012718592818617
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.7270120841388369,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4446686830942625,0.1275865326707433,0.004970939722,0.06,0.05,0.8,1.5,2.058251700607573,35.22162002333948,3.6725899677734647e-06,915957248.3817558,95.50768531053154,0.04343258742410412,16042.342684935913,3.077378941595164,3.352178180665695e-06,3.204117871077696e-07,33.80519459111034,0.1445709431065188,30.727815649515172,3142.4000125279445,0.00047978093299930256,0.0628,2.058251700607573,2.058251700607573,2.0582517006075736,0.0628,69447.9628874945,0.002713055709270476,830.5544033168696,0.06257971984648215,0.1405438219186299,42.41111157077501,1102923858.3982525,0.0008301212170045697,0.8304809451778264,0.0006893998529101226
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.6365297384825935,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4262241812069232,0.127813551756672,0.006835775451,0.06,0.05,0.8,1.5,5.744923498134678,91.44312996153751,8.030374141488582e-06,826815156.085858,72.60944646159267,0.03367067806663484,5642.585564527916,7.83306346809043,7.356098838871275e-06,6.742753026173066e-07,87.58852220549691,0.046208993775580895,79.75545873740646,1225.6629799200523,0.0009626854249826281,0.050499999999999996,5.744923498134678,5.744923498134678,5.744923498134678,0.0202,31026.176719978885,0.005389230627717548,299.3025457076769,0.019784634936093424,0.04138783573008553,106.04030040832507,958800596.2873144,0.0018980784994328897,0.8623431809361268,0.0016367950508674285
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.359851770891983,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.0220546563487747,0.1679504354220639,0.0,0.06,0.05,0.8,1.5,4.46363515972997,27.64211492362617,1.9289337362449948e-05,280339584.8793752,195.62775293165095,0.0030511271419055956,2113.199774068488,4.510694121600596,1.5895657446514377e-05,3.3936799159355706e-06,27.510303807817024,0.0031288083255858272,22.999609686216424,170.1010879313598,0.0037887421456728985,0.07,4.46363515972997,4.664337255174531,4.46363515972997,0.028,3448.8716452215394,0.02229896015464638,84.3793059793978,0.0263107899482926,0.05262552701984568,35.771412437271266,362784936.7141705,0.0023698647911438164,0.7727431778686227,0.0018312968498274324
BEL,53287.15361438369,11685814.0,0.98153,0.3576976268957179,0.5332788648153127,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4462501851080438,0.162855700732705,0.000547254789,0.06,0.05,0.8,1.5,5.084070517059515,50.77314330397591,5.033763287489335e-06,593325508.8456079,58.8236214976289,0.02960536867715259,5541.863975895905,5.149976563184289,4.14747111001993e-06,8.86292177469405e-07,47.65442403598917,0.0486632070144372,42.50444747280486,1652.2276943319926,0.0005214592240692348,0.052000000000000005,5.084070517059515,5.084070517059515,5.084070517059515,0.020800000000000003,32580.991420381302,0.002282789167442288,312.28052089480866,0.020534309619653284,0.04378507038053215,61.919376265523745,723578314.0349251,0.0011619944407916354,0.8199879644499265,0.0009528214562068637
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.282441108861362,0.5,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.192226818707776,0.200821865179,0.06,0.05,0.8,1.5,0.16498157743976838,2.5241033955545955,1.6931581670934307e-05,33704009.36277871,226.08510735687858,0.005135052473987795,687.0343233151799,0.22189120093129022,1.3208597676223405e-05,3.7229839947109024e-06,2.2607942306689304,0.016997107024265278,2.0389030297376403,152.09281222059343,0.0006078423810498845,0.10000000000000003,0.16498157743976838,0.16498157743976838,0.16498157743976838,0.04,1503.129008319926,0.003085301864452744,27.862080232459718,0.03971067069015405,0.11667701820272078,3.4089465188838215,45519199.2499291,0.000992365709600786,0.7404350234221488,0.0007347823274315953
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.3794465810770941,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.118263411751462,0.2855912927239073,0.312038230194,0.06,0.05,0.8,1.5,0.03531777752287554,0.41251583881354986,6.145426765756172e-06,9353285.950488793,139.33994387518518,0.007521228644658323,431.77170315087994,0.0443073046492187,4.15551335900954e-06,1.989913406746632e-06,0.33901221178691987,0.018984052718386213,0.29470490713770114,133.61395775177925,0.0001651578348703912,0.09999999999999999,0.03531777752287554,0.03531777752287554,0.03531777752287554,0.04000000000000001,840.5556059348991,0.0007051210522776316,17.45410832285797,0.039920399457510254,0.12158757716215751,0.6164364620885293,13976933.629517337,0.0002855381478638119,0.6691944169167374,0.00019108053436720876
