iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco,dW_long_term,dW_reco,dc_long_term,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,0.12050019032500328,2.1933270173489285,8.902484936824905e-06,78058286.70717978,316.83042068435736,0.01045708067787829,826.8561947478463,0.09406009171228355,5.288983381539428e-06,3.613501555285477e-06,1.8234599486477112,0.022257010726927547,1.7293998569354274,392.7226102140954,0.00015860856361125947,0.07,0.12050019032500328,0.12050019032500328,0.12050019032500328,0.028000000000000004,4811.1465889641995,0.00033304798529449275,0.0,0.02792294050526415,0.07029832582356407,4.040770367528721,143806924.07996488,0.0006841671563294467,0.5427992233793619,0.0003713654011172902
ALB,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,10.413057831794221,81.63002010601956,6.52215543884539e-05,226742808.91826937,181.1651941877101,0.007721463296744931,3718.096176966984,6.7795549832401765,3.887274084000538e-05,2.6348813548448514e-05,69.93017803920657,0.04764400114763811,63.150623055966356,1973.062413651281,0.002507943562022255,0.08,10.41305783179422,11.639509503044952,10.413057831794221,0.047999999999999994,22948.07052749936,0.007439714754828308,0.0,0.046726135596171246,0.11231394826570702,125.76367271241551,349332370.2928767,0.008117939938713896,0.6490747156588166,0.0052691495574560725
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.6375410621136512,0.5,0.3,0.3074152642375409,0.2087420721134342,0.1607878564150257,0.009588466405,0.06,0.05,0.8,1.5,1.186714469961342,43.95521194926394,1.770948175238276e-05,2032261752.0881867,818.794878209519,0.006686560237280634,2695.372913114399,0.88241011000313,1.3650153832166091e-05,4.0593279202166675e-06,37.77015775167679,0.026959603612483018,36.88774764167367,707.9588674302239,0.0011675583035037577,0.060000000000000005,1.186714469961342,1.186714469961342,1.186714469961342,0.023999999999999997,8767.856468674485,0.0043064026121685285,0.0,0.023435890113202934,0.051948312323891535,59.615923051600554,2756332067.5838327,0.002654145083741307,0.7373065734672684,0.001956918617178299
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.3133509856523386,0.5,0.4416666666666666,0.469678089191154,0.3695482842639164,0.3118748350056252,0.005235208329,0.06,0.05,0.8,1.5,4.209376577318476,43.15586391136946,3.083893461457614e-05,119993541.77378152,85.7467016888559,0.003918496967245487,2247.980904017996,2.894754156962505,1.6675622621117758e-05,1.4163311993458378e-05,32.59139013144839,0.06361527254892675,29.696635974485893,465.72591980740697,0.004098444701877082,0.07,4.209376577318476,4.387875324759989,4.209376577318476,0.028000000000000004,4786.216252687682,0.014805441851269419,0.0,0.026096229226019996,0.0658523054666046,62.74747283200277,174467403.03772593,0.003907793958916149,0.6877705501688173,0.0026876656010701404
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.9301463158373546,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4446686830942625,0.1275865326707433,0.004970939722,0.06,0.05,0.8,1.5,2.022332993426368,34.47401566139891,3.737787672060009e-06,896515393.2431359,97.20318681726346,0.04343258742410412,16042.342684935913,1.6978211706633708,3.096133653932618e-06,6.416540181273912e-07,31.7734167065875,0.1445709431065188,30.075595535924126,3085.957203874909,0.00047978093299930256,0.0628,2.022332993426368,2.022332993426368,2.0223329934263683,0.0628,69447.9628874945,0.002267152493963841,0.0,0.06257971984648215,0.1380703023950166,43.164015416540124,1122503529.4754508,0.0008448579554107526,0.7986748991890297,0.0006747668423667326
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.8577375757241545,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4262241812069232,0.127813551756672,0.006835775451,0.06,0.05,0.8,1.5,5.740708329969774,91.36157047809117,8.290583481054297e-06,826077707.3888992,74.96222053875428,0.03367067806663484,5642.585564527916,4.806082463579102,6.9936913879291645e-06,1.296892093125132e-06,84.49040612479797,0.046208993775580895,79.68432366121883,1225.0099042124511,0.0009626854249826281,0.050499999999999996,5.740708329969774,5.740708329969774,5.740708329969774,0.0202,31026.176719978885,0.004518299216833506,0.0,0.019784634936093424,0.041367396927768335,109.47633913459609,989868746.4804868,0.001959582203255307,0.8345325684097487,0.0016353351690926857
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.4612760789957857,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.0220546563487747,0.1679504354220639,0.0,0.06,0.05,0.8,1.5,4.44493597301662,27.467305645550308,2.2151506700154794e-05,278566711.83459365,224.65517598533506,0.0030511271419055956,2113.199774068488,2.949900766816772,1.4728080858621578e-05,7.423425841533216e-06,25.804060469325997,0.0031288083255858272,22.854159702509218,168.73450207529723,0.0037887421456728985,0.07,4.44493597301662,4.645638068461181,4.44493597301662,0.028,3448.8716452215394,0.021035289013831324,0.0,0.0263107899482926,0.05224426547438647,41.07920699343158,416615294.0008767,0.002721507473951694,0.6686425482834231,0.0018197156925554424
BEL,53287.15361438369,11685814.0,0.98153,0.3576976268957179,0.6902337998079515,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4462501851080438,0.162855700732705,0.000547254789,0.06,0.05,0.8,1.5,5.079140434815014,50.704849011637066,5.27038117993288e-06,592527434.4480746,61.58869417779617,0.02960536867715259,5541.863975895905,3.448189502352146,3.938405747106918e-06,1.3319754328259625e-06,45.895464797653084,0.0486632070144372,42.44727529530091,1649.4588792298766,0.0005214592240692348,0.052000000000000005,5.079140434815014,5.079140434815014,5.079140434815014,0.020800000000000003,32580.991420381302,0.0020482426956391995,0.0,0.020534309619653284,0.04372054886037532,64.82996849575049,757590953.4672,0.0012166153396913862,0.782120525246911,0.0009515398285028761
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.3847971666493662,0.5,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.192226818707776,0.200821865179,0.06,0.05,0.8,1.5,0.16189292826776908,2.4756657031100793,1.861488861310295e-05,33057227.443093266,248.5620760259123,0.005135052473987795,687.0343233151799,0.12991079006918246,1.218130771983875e-05,6.4335808932641995e-06,2.1296871508864617,0.016997107024265278,1.9997763608172792,150.32726314538755,0.0006078423810498845,0.10000000000000003,0.16189292826776908,0.16189292826776908,0.16189292826776908,0.04,1503.129008319926,0.002529213551032489,0.0,0.03971067069015405,0.1153802799300318,3.747857758970119,50044634.94687278,0.0010910248969470404,0.6605548722292951,0.0007206818114018322
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.5325130244580834,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.118263411751462,0.2855912927239073,0.312038230194,0.06,0.05,0.8,1.5,0.0342806727149131,0.4001884333440834,6.868795364409581e-06,9073777.292796612,155.7414313193261,0.007521228644658323,431.77170315087994,0.02718523659762054,3.716917975999064e-06,3.151877388410517e-06,0.31308333792981197,0.018984052718386213,0.2858981013321914,131.3733743620726,0.0001651578348703912,0.09999999999999999,0.03428067271491309,0.0342806727149131,0.0342806727149131,0.04000000000000001,840.5556059348991,0.0005368206853985764,0.0,0.039920399457510254,0.11960548385957757,0.6889962364925738,15622136.685128333,0.0003191483978521901,0.5808281847536575,0.00018537038459152567
